gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH1_and_SLC18A1	CPI-CS0A3252712	SLC18A1	0.048	0.0	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH1_and_SLC18A1	CPI-CS0F1FE8541	SLC18A1	0.048	0.0	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS036645DBE	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS05FD872B4	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0D82F92E9	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS00CB2214E	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS049727103	TPH1	0.048	0.038	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS036645DBE	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS05FD872B4	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0D82F92E9	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS00CB2214E	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS049727103	SLC18A2	0.048	0.038	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.048	0.038	0.0	0.0
SLC29A1	Q99808	True	S29A1_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS064B4FE21	SLC29A1	0.0	0.0	0.033	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS064B4FE21	NT5E	0.0	0.0	0.033	0.0
SLC29A2	Q14542	True	S29A2_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0BCAA5227	SLC29A2	0.0	0.0	0.033	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0BCAA5227	NT5E	0.0	0.0	0.033	0.0
SLC29A4	Q7RTT9	True	S29A4_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0521FD886	SLC29A4	0.0	0.0	0.033	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0521FD886	NT5E	0.0	0.0	0.033	0.0
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS005209739	POMC	0.0	0.281	0.134	0.175
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS040CDD259	POMC	0.0	0.281	0.134	0.175
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS0FFD6263C	POMC	0.0	0.281	0.134	0.175
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS05C6641C3	DDC	0.0	0.0	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS0DEA717AA	DDC	0.0	0.0	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS0398DD932	DDC	0.0	0.0	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS05C6641C3	SLC18A1	0.0	0.0	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS0DEA717AA	SLC18A1	0.0	0.0	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS0398DD932	SLC18A1	0.0	0.0	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS04B5BF177	DDC	0.0	0.117	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS02C89A362	DDC	0.0	0.117	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS039F33B17	DDC	0.0	0.117	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS04B5BF177	SLC18A2	0.0	0.117	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS02C89A362	SLC18A2	0.0	0.117	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS039F33B17	SLC18A2	0.0	0.117	0.0	0.0
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0CE0C5AF0	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0FA38E530	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC09C521706	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0990A372B	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0392C7337	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0CAFBA656	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0608D4CA8	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0F8CB8104	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC035C82A9B	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0B77A9502	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC07BC9E69C	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC021D4CBC2	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0836120E7	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0B41182ED	SLC32A1	0.391	0.809	0.072	1.348
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0B9F66E8C	SLC32A1	0.391	0.809	0.072	1.348
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0CE0C5AF0	GAD1	0.391	0.809	0.072	1.348
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0FA38E530	GAD1	0.391	0.809	0.072	1.348
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC09C521706	GAD1	0.391	0.809	0.072	1.348
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0990A372B	GAD1	0.391	0.809	0.072	1.348
