gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
SLC6A1	P30531	True	SC6A1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC06A23B181	SLC6A1	0.89	0.818	0.249	0.817
SLC6A1	P30531	True	SC6A1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC02B07EA5C	SLC6A1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CS06B116BC0	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CS04C0A3C19	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC0200FD25E	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC07921E343	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC03C18523A	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC0DF227F32	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC0C3E95213	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC01B9552BA	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC07D1D1AD0	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC0A95EED6F	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC06A23B181	GAD1	0.89	0.818	0.249	0.817
GAD1	Q99259	True	DCE1_HUMAN	GABA_byGAD1_and_SLC6A1	CPI-CC02B07EA5C	GAD1	0.89	0.818	0.249	0.817
