cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
2	QKI	7.0102860563992e-50	6.3081850592992e-54	3.10044875747883	0.697	0.145
2	LMO7	1.86270574140171e-49	1.67615022172384e-53	5.3373646312253	0.349	0.024
2	TSPAN2	2.04258365014274e-49	1.83801282294856e-53	3.82044201527709	0.725	0.185
2	TNNC1	2.87156060124653e-49	2.58396526702648e-53	7.05608355334523	0.257	0.009
2	ATP11C	1.98815070801357e-46	1.78903150185689e-50	4.30280729115049	0.642	0.145
2	QSOX1	1.83437486805861e-44	1.65065676960191e-48	3.82813704101637	0.367	0.032
2	FEZ1	4.64117554046393e-44	4.1763480072563e-48	4.24911530047414	0.706	0.211
2	SYDE1	5.49954528619899e-43	4.94874947016916e-47	5.5769156403944	0.284	0.017
2	SCD	8.36569750282617e-43	7.52784801838043e-47	4.82060898886492	0.431	0.056
2	DPYSL5	1.72517090238249e-41	1.55238990586025e-45	4.66782762081769	0.413	0.051
2	PAQR6	3.64391209938844e-41	3.27896346566043e-45	3.8659119857158	0.523	0.092
2	OLIG2	2.75631483666615e-40	2.48026170850908e-44	4.77506271629534	0.33	0.029
2	NPC2	3.17070539435208e-40	2.85314981944756e-44	4.26610666086349	0.413	0.052
2	MERTK	1.86390847161473e-39	1.67723249492912e-43	6.8203370737918	0.174	0.003
2	ADAMTS14	3.56565304665438e-39	3.20854228979967e-43	4.43976945278286	0.394	0.048
2	MYO6	9.44840161353614e-39	8.50211609244681e-43	2.67691082480897	0.89	0.564
2	GNA12	1.17338478577475e-38	1.0558668098396e-42	5.18512034958791	0.229	0.01
2	PACS2	2.08427988758214e-38	1.87553305820404e-42	2.98872503091557	0.798	0.331
2	TMEM80	6.5563451974754e-38	5.8997077274142e-42	4.96959739369893	0.358	0.04
2	AATK	9.66220330541667e-37	8.69450490904047e-41	4.49324103778666	0.945	0.667
2	PARD3	7.57548425362242e-36	6.81677697617423e-40	3.69189371880838	0.844	0.446
2	LUZP2	1.33040194136279e-34	1.19715823032735e-38	2.15419425675936	0.972	0.688
2	NAAA	8.22268516941842e-34	7.39915879548134e-38	4.96342911272425	0.303	0.03
2	SYNGR2	2.99383155221589e-33	2.69399041862313e-37	4.61963234826123	0.239	0.016
2	PCBP4	5.9509130188961e-33	5.35491138207154e-37	2.49325563028415	0.817	0.397
2	NFASC	2.61365377973614e-32	2.35188858070381e-36	5.26653934624948	0.872	0.649
2	PPP1R16B	5.65221559116436e-32	5.08612939005161e-36	3.38496804026136	0.569	0.153
2	SGK3	7.68868126972945e-32	6.91863697447084e-36	4.04281158400223	0.275	0.024
2	GAS7	1.02244472868851e-31	9.2004384836544e-36	2.9561853664084	0.789	0.402
2	CLCN2	1.74386041306759e-31	1.56920760646773e-35	2.13521185618576	0.798	0.366
2	GALNT5	2.07761356097788e-31	1.8695343840348e-35	6.3719007223368	0.165	0.005
2	MAP3K11	8.63404126443203e-31	7.76931635420861e-35	3.68740958982197	0.44	0.081
2	KCNJ18	1.17060851206639e-30	1.05336858819976e-34	5.62533615582427	0.202	0.011
2	LPAR1	1.94266319266821e-30	1.74809969645299e-34	4.47199305055812	0.248	0.02
2	SPTBN5	3.14490807742352e-30	2.82993618053047e-34	4.84847919350002	0.303	0.035
2	TFEB	3.25445889286001e-30	2.92851515599749e-34	4.221024587332	0.248	0.02
2	ARRDC2	7.19831018809023e-29	6.47737801501865e-33	4.39225030822112	0.22	0.016
2	FIGN	7.55319372124337e-29	6.79671890690486e-33	3.17781890611531	0.486	0.107
2	CEMIP2	1.17831091204664e-28	1.06029956991509e-32	5.85286994246175	0.202	0.013
2	REEP6	3.06275337335929e-28	2.75600951440591e-32	7.67881650512551	0.128	0.002
