"","cluster","gene","KT_estimate","KT_p.value","KT_q.value"
"229",11,"cdh13",0.0387830238655189,0.871137094938394,0.998194049975054
"230",11,"dennd11",-0.104691950038516,0.191753580261149,0.998194049975054
"231",11,"tmtc2b",-0.0101234137387345,0.830053364260755,0.998194049975054
"232",11,"tspan9a",0.11609400366421,0.383017034669811,0.998194049975054
"233",11,"LOC111575927",0.00109810975701343,0.987371572813826,0.998194049975054
"234",11,"shank3a",-0.0761345875095175,0.682438104897393,0.998194049975054
"235",11,"mapk8ip2",0.0390530174266862,0.829230133106553,0.998194049975054
"236",11,"hprt1l",0.108823511524638,0.177215465420225,0.998194049975054
"237",11,"LOC111583626",0.021625734170731,0.415776967853683,0.998194049975054
"238",11,"LOC111583624",0.256235674920182,0.190204892038458,0.998194049975054
"239",11,"bmal2",-0.0228613457333673,0.879710953801396,0.998194049975054
"240",11,"polg",-0.0809903372528154,0.224429682327994,0.998194049975054
"241",11,"lrrc4ca",-0.281327830433647,0.174706035397289,0.998194049975054
"242",11,"cd44b",-0.0419961273148393,0.836809150013622,0.998194049975054
"243",11,"slc1a2b",0.324862315839485,0.196862603621028,0.998194049975054
"244",11,"ldha",0.0219416652050268,0.768766113102494,0.998194049975054
"245",11,"b4galnt4a",-0.220449472915537,0.133524825698894,0.998194049975054
"246",11,"dusp8a",-0.0855069592151229,0.623238992833166,0.998194049975054
"247",11,"abcc8",-0.0971121428483817,0.492388629342846,0.998194049975054
"248",11,"washc4",0.0142244473260036,0.801127050166814,0.998194049975054
"249",11,"btbd11b",0.0214985175494181,0.926850474988383,0.998194049975054
"250",11,"si:ch211-186j3.6",-0.108796461560455,0.152020751137781,0.998194049975054
"251",11,"pclob",-0.0927326145140784,0.682666983776175,0.998194049975054
"252",11,"c2cd5",-0.0293769636971557,0.633422605785219,0.998194049975054
"253",11,"mef2aa",-0.0988980355773233,0.405225851285715,0.998194049975054
"254",11,"nr2f2",-0.0126209961480166,0.919753631784291,0.998194049975054
"255",11,"LOC111580163",0.118859546856266,0.607909531075672,0.998194049975054
"256",11,"scaper",-0.217676978957031,0.05645440690509,0.998194049975054
"257",11,"roraa",0.302073629358827,0.0170889933856725,0.998194049975054
"258",11,"klf13",-0.0811537611400644,0.62786599099286,0.998194049975054
"259",11,"syt7a",0.14495877068786,0.444362211339817,0.998194049975054
"260",11,"tjp1b",-0.323765717155089,0.0396063479845191,0.998194049975054
"261",11,"LOC111587600",0.161768166827565,0.433693809030696,0.998194049975054
"262",11,"LOC129348302",0.00936243239781272,0.640918358505463,0.998194049975054
"263",11,"LOC111573642",-0.191841772470559,0.328774888190652,0.998194049975054
"264",11,"LOC111566794",-0.044997715869334,0.779985046071016,0.998194049975054
"265",11,"tasor2",-0.130715812877807,0.239471447399683,0.998194049975054
"266",11,"LOC111567068",-0.255681839197763,0.153575224326553,0.998194049975054
"267",11,"LOC111567055",0.0633988550806187,0.841185137287953,0.998194049975054
"268",11,"pparab",0.0261247705712813,0.723436981873145,0.998194049975054
"269",11,"srpk2",-0.149008439981475,0.425863484767232,0.998194049975054
"270",11,"shisal1b",-0.00482501061692968,0.981672068251378,0.998194049975054
"271",11,"nell2a",-0.0825822013524368,0.598707301725505,0.998194049975054
"272",11,"lingo1a",-0.0791594182293765,0.609080915711555,0.998194049975054
"273",11,"ptpn9a",-0.0365871655832899,0.218694081177291,0.998194049975054
"274",11,"LOC111567130",0.0396778307311399,0.850068400303452,0.998194049975054
"275",11,"LOC111577803",-0.106908286648057,0.534378870279421,0.998194049975054
"276",11,"rps13",-0.0601795433055846,0.649019408690477,0.998194049975054
"277",11,"LOC111567884",-0.147421996082807,0.519519847326879,0.998194049975054
"278",11,"map1ab",-0.212367886159924,0.484815994376213,0.998194049975054
"279",11,"LOC111570087",0.00728389529312529,0.962645315622335,0.998194049975054
"280",11,"rlig1",-0.0400163949852235,0.422063664475721,0.998194049975054
"281",11,"cttnbp2",-0.384814944647,0.11260445323998,0.998194049975054
"282",11,"LOC111564057",-0.0165391808983848,0.783498369338084,0.998194049975054
"283",11,"wasla",0.0883882483518623,0.392429854489208,0.998194049975054
"284",11,"grm8b",-0.276358416430347,0.541893662456972,0.998194049975054
"285",11,"bcar1",-0.210670570530862,0.159248631349894,0.998194049975054
"286",11,"pard6a",-0.0287388327215108,0.882740028102175,0.998194049975054
"287",11,"ntrk3a",0.0240106588926336,0.916802713979928,0.998194049975054
"288",11,"LOC111575958",0.0992530249755797,0.714104880357241,0.998194049975054
"289",11,"LOC111566194",-0.00442147936365993,0.982505041227074,0.998194049975054
"290",11,"gnao1a",0.0818765882801761,0.501398078023029,0.998194049975054
"291",11,"znf423",-0.229079457471505,0.466194595295867,0.998194049975054
"292",11,"sf3b3",0.014323285401472,0.790791386615176,0.998194049975054
"293",11,"necab2",-0.156222389787734,0.39811249648708,0.998194049975054
"294",11,"mbtps1",-0.0434300660458769,0.594670267770707,0.998194049975054
"295",11,"LOC129348610",-0.00762523930300476,0.907488750854873,0.998194049975054
"296",11,"jph3b",0.136746363986181,0.0813808270736748,0.998194049975054
"297",11,"ca5a",0.0529317225803693,0.289528835426181,0.998194049975054
"298",11,"lcat",-0.0513588948132196,0.830873722901594,0.998194049975054
"299",11,"snrkb",0.0464077175323121,0.518579686118532,0.998194049975054
"300",11,"zgc:171459",-0.157789505680801,0.00310252161896372,0.998194049975054
"301",11,"phf21ab",0.0289832584471001,0.798549592377173,0.998194049975054
"302",11,"ambra1b",-0.25746135946425,0.146100151633655,0.998194049975054
"303",11,"zgc:114188",-0.0120367608917481,0.927160521933101,0.998194049975054
"304",11,"mapk8ip1a",-0.00901225011354678,0.966573379692487,0.998194049975054
"305",11,"zc3h18",-0.0840163701845747,0.356259946545479,0.998194049975054
"306",11,"cmip",0.13019385884022,0.341694906603796,0.998194049975054
"307",11,"cotl1",-0.0527130437274043,0.654504621119978,0.998194049975054
"308",11,"vps9d1",-0.238305543934443,0.337085598867451,0.998194049975054
"309",11,"spire2",-0.0144654252857789,0.897682734603786,0.998194049975054
"310",11,"coq9",0.160216706834338,0.0763499869145684,0.998194049975054
"311",11,"wwp2",-0.027288076794697,0.768711533272764,0.998194049975054
"312",11,"LOC111566761",-0.0312945226149514,0.840216575911365,0.998194049975054
"313",11,"LOC111568446",-0.33053049646802,0.172737658982207,0.998194049975054
"314",11,"bmal1a",-0.234478626309719,0.242406950216093,0.998194049975054
"315",11,"ndrg4",-0.238482813496097,0.465041162363251,0.998194049975054
"316",11,"smpd3",0.203802526138247,0.387115060124436,0.998194049975054
"317",11,"LOC111578300",-0.0305387439482864,0.47050120234767,0.998194049975054
"318",11,"lamb1a",0.0348832083393514,0.266052773031388,0.998194049975054
"319",11,"lsm6",-0.1203508125326,0.241121527209118,0.998194049975054
"320",11,"nr3c2",-0.153078865927302,0.532423729241877,0.998194049975054
"321",11,"lrba",-0.152556499028072,0.398738738827539,0.998194049975054
"322",11,"rps3a",0.0751903422638761,0.622751915476355,0.998194049975054
"323",11,"fbxw7",0.0556343847733511,0.698979956192362,0.998194049975054
"324",11,"radil",-0.055355546726344,0.759475821991956,0.998194049975054
"325",11,"grin2ab",-0.0200930907534857,0.85657618711634,0.998194049975054
"326",11,"LOC111563079",0.0347795993538352,0.729718904607735,0.998194049975054
"327",11,"cnrip1a",0.0241535328959603,0.820740677389364,0.998194049975054
"328",11,"gpr137bb",-0.176213739212801,0.305937724903056,0.998194049975054
"329",11,"si:ch211-89o9.6",-0.0426243407391393,0.666330573012077,0.998194049975054
"330",11,"LOC111568506",-0.0491430591166883,0.572679936662103,0.998194049975054
"331",11,"LOC111571194",-0.0584789704024699,0.296432333376694,0.998194049975054
"332",11,"LOC111571197",-0.12122041936592,0.185276359215254,0.998194049975054
"333",11,"si:dkey-28b4.8",-0.210442778954657,0.108727414760693,0.998194049975054
"334",11,"LOC111570659",-0.0970307614976602,0.310862153278855,0.998194049975054
"335",11,"LOC111570676",-0.03911859355058,0.706238390283938,0.998194049975054
"336",11,"ttbk1a",-0.128378566053226,0.20301625184315,0.998194049975054
"337",11,"pex6",-0.0703127153697759,0.287939332793228,0.998194049975054
"338",11,"gemin6",0.0722505884367627,0.237587944130618,0.998194049975054
"339",11,"LOC111568898",-0.261922983817371,0.283271197645292,0.998194049975054
