id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,directionality,classification,max_exprmean_column,max_exprmean_value,max_score_column,max_score_value
CPI-SS0F3A089DE,SEMA3E_PLXND1,simple:O15041,simple:Q9Y4D7,SEMA3E,PLXND1,True,False,True,curated,False,Ligand-Receptor,Signaling by Semaphorin,13|14,0.7699999809265137,13|14,100.0
CPI-CS045C37E64,2arachidonoylglycerol_byDAGLA_GPR55,complex:2arachidonoylglycerol_byDAGLA,simple:Q9Y2T6,,GPR55,True,False,True,curated,False,Ligand-Receptor,Signaling by Arachidonoylglycerol,13|14,0.7710000276565552,13|14,100.0
CPI-SS0579FA162,IGF2_IGF1R,simple:P01344,simple:P08069,IGF2,IGF1R,True,False,True,curated,False,Ligand-Receptor,Signaling by Insulin-like growth factor,14|27,0.7739999890327454,14|27,100.0
CPI-SS0E654708F,UCN_CRHR2,simple:P55089,simple:Q13324,UCN,CRHR2,True,False,True,curated,False,Ligand-Receptor,Signaling by Urocortin/Urotensin,6|31,0.7799999713897705,6|31,100.0
CPI-SS0D37C7C70,DLK1_NOTCH4,simple:P80370,simple:Q99466,DLK1,NOTCH4,False,False,True,curated,False,Ligand-Receptor,Signaling by Notch,13|30,0.7940000295639038,13|30,100.0
CPI-SS0CD40D735,PDYN_OPRD1,simple:P01213,simple:P41143,PDYN,OPRD1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,17|24,0.8349999785423279,17|24,100.0
CPI-SS0C2003B74,EFNB1_EPHB3,simple:P98172,simple:P54753,EFNB1,EPHB3,False,False,True,curated,False,Ligand-Receptor,Signaling by Ephrin,6|31,0.8360000252723694,6|31,100.0
CPI-SS05A6C9EC5,BTC_ERBB3,simple:P35070,simple:P21860,BTC,ERBB3,True,False,True,curated,False,Ligand-Receptor,Signaling by Betacellulin,2|4,0.8460000157356262,2|4,100.0
CPI-SS09CEEE405,MPZL1_MPZL1,simple:O95297,simple:O95297,MPZL1,MPZL1,False,False,False,curated,False,Adhesion-Adhesion,,4|4,0.8560000061988831,4|4,100.0
CPI-SS0FB520A95,SOSTDC1_LRP5,simple:Q6X4U4,simple:O75197,SOSTDC1,LRP5,True,False,True,curated,False,Ligand-Receptor,Signaling by Sclerostin domain-containing protein,8|2,0.8629999756813049,8|2,100.0
CPI-CS00CB2214E,5-HT_byTPH1_and_SLC18A2_HTR4,complex:5-HT_byTPH1_and_SLC18A2,simple:Q13639,,HTR4,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin,28|16,0.8840000033378601,28|16,100.0
CPI-CS0B87D36A1,Estradiol_byCYP19A1_ESR2,complex:Estradiol_byCYP19A1,simple:Q92731,,ESR2,True,False,True,curated,False,Ligand-Receptor,Signaling by Steroids,2|19,0.9269999861717224,2|19,100.0
CPI-SS00C9DE87A,NTN1_UNC5B,simple:O95631,simple:Q8IZJ1,NTN1,UNC5B,True,False,True,curated,False,Ligand-Receptor,Signaling by Netrin,24|8,0.6060000061988831,24|8,100.0
CPI-SS0D97012FB,PENK_OPRM1,simple:P01210,simple:P35372,PENK,OPRM1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,5|5,0.6119999885559082,5|5,100.0
CPI-CS0AB91708D,SerotoninDopamin_byDDC_DRD1,complex:SerotoninDopamin_byDDC,simple:P21728,,DRD1,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin/Dopamine,28|31,0.6299999952316284,28|31,100.0
CPI-CS04B5BF177,Dopamine_byDDC_and_SLC18A2_DRD1,complex:Dopamine_byDDC_and_SLC18A2,simple:P21728,,DRD1,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin/Dopamine,28|31,0.6299999952316284,28|31,100.0
CPI-CS0FFD6263C,b-Endorphin_byPOMC_OPRM1,complex:b-Endorphin_byPOMC,simple:P35372,,OPRM1,True,False,True,curated,False,Ligand-Receptor,Signaling by Proopiomelanocortin,17|5,0.6340000033378601,17|5,100.0
CPI-CS059692236,5-HT_byTPH1_and_SLC18A2_HTR7,complex:5-HT_byTPH1_and_SLC18A2,simple:P34969,,HTR7,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin,28|16,0.6349999904632568,28|16,100.0
CPI-CS0D82F92E9,5-HT_byTPH1_and_SLC18A2_HTR2A,complex:5-HT_byTPH1_and_SLC18A2,simple:P28223,,HTR2A,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin,28|13,0.6430000066757202,28|13,100.0
CPI-SS018AC8F36,FTH1_SCARA5,simple:P02794,simple:Q6ZMJ2,FTH1,SCARA5,False,False,True,curated,False,Ligand-Receptor,,27|29,0.7120000123977661,27|29,100.0
CPI-CS07508694A,SerotoninDopamin_byDDC_HTR4,complex:SerotoninDopamin_byDDC,simple:Q13639,,HTR4,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin/Dopamine,28|16,0.7160000205039978,28|16,100.0
CPI-CC0F677619F,GABA_byGAD1_and_SLC6A13_GABA-A_a6b3d_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a6b3d_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7319999933242798,29|13,100.0
CPI-CC0489A8F45,GABA_byGAD1_and_SLC6A13_GABA-A_a1b2d_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a1b2d_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7319999933242798,29|13,100.0
CPI-SS0F9D53834,JAM3_JAM3,simple:Q9BX67,simple:Q9BX67,JAM3,JAM3,True,False,False,curated,False,Adhesion-Adhesion,Adhesion by JAM,22|22,0.7390000224113464,22|22,100.0
CPI-SS0A05319F5,CRH_CRHR2,simple:P06850,simple:Q13324,CRH,CRHR2,True,False,True,curated,False,Ligand-Receptor,Signaling by Corticotropin-releasing factor,27|31,0.7509999871253967,27|31,100.0
CPI-SS0CEFF4625,GJC1_GJC1,simple:P36383,simple:P36383,GJC1,GJC1,False,False,False,curated,False,Gap-Gap,Adhesion by GAP junction,18|18,0.753000020980835,18|18,100.0
CPI-SS09947DDD9,EGF_EGFR,simple:P01133,simple:P00533,EGF,EGFR,True,False,True,curated,False,Ligand-Receptor,Signaling by Epidermal growth factor,22|22,0.7540000081062317,22|22,100.0
CPI-CC025A561B8,GABA_byGAD1_and_SLC6A13_GABA-A_a5b3g2S_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a5b3g2S_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|17,0.7559999823570251,29|17,100.0
CPI-CS08B8EB95C,SerotoninDopamin_byDDC_HTR2A,complex:SerotoninDopamin_byDDC,simple:P28223,,HTR2A,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin/Dopamine,28|13,0.47600001096725464,28|13,100.0
CPI-SC04617C8EB,WNT7A_FZD3_LRP6,simple:O00755,complex:FZD3_LRP6,WNT7A,,True,False,False,curated,False,Ligand-Receptor,Signaling by WNT,18|27,0.49399998784065247,18|27,100.0
CPI-SS0AFFDEC0B,PDYN_OPRK1,simple:P01213,simple:P41145,PDYN,OPRK1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,17|17,0.4970000088214874,17|17,100.0
CPI-SS0BD6EE954,PENK_OPRD1,simple:P01210,simple:P41143,PENK,OPRD1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,5|24,0.5120000243186951,5|24,100.0
CPI-SS06B1216BE,CRH_CRHR1,simple:P06850,simple:P34998,CRH,CRHR1,True,False,True,curated,False,Ligand-Receptor,Signaling by Corticotropin-releasing factor,27|31,0.5170000195503235,27|31,100.0
CPI-SS0CC966B71,BTC_EGFR,simple:P35070,simple:P00533,BTC,EGFR,True,False,True,curated,False,Ligand-Receptor,Signaling by Epidermal growth factor,2|22,0.5210000276565552,2|22,100.0
CPI-SS09A36B221,BDNF_SORT1,simple:P23560,simple:Q99523,BDNF,SORT1,True,False,True,curated,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor,24|11,0.5239999890327454,24|11,100.0
CPI-SS0335C4DDE,LAMA2_ADGRG6,simple:P24043,simple:Q86SQ4,LAMA2,ADGRG6,True,False,True,curated,False,Ligand-Receptor,,22|8,0.5339999794960022,22|8,100.0
CPI-CS005209739,b-Endorphin_byPOMC_OPRD1,complex:b-Endorphin_byPOMC,simple:P41143,,OPRD1,True,False,True,curated,False,Ligand-Receptor,Signaling by Proopiomelanocortin,17|24,0.5350000262260437,17|24,100.0
CPI-SS0E1A8414D,DLK1_NOTCH2,simple:P80370,simple:Q04721,DLK1,NOTCH2,False,False,True,curated,False,Ligand-Receptor,Signaling by Notch,13|26,0.5379999876022339,13|26,100.0
CPI-CS020F306DA,Glutamate_byGLS_and_SLC1A6_GRM6,complex:Glutamate_byGLS_and_SLC1A6,simple:O15303,,GRM6,True,False,True,curated,False,Ligand-Receptor,Signaling by Glutamate,12|17,0.5410000085830688,12|17,100.0
CPI-SS0A748917D,UCN_CRHR1,simple:P55089,simple:P34998,UCN,CRHR1,True,False,True,curated,False,Ligand-Receptor,Signaling by Urocortin/Urotensin,6|31,0.5460000038146973,6|31,100.0
CPI-SS042A6F835,IGF2_IGF2R,simple:P01344,simple:P11717,IGF2,IGF2R,True,False,True,curated,False,Ligand-Receptor,Signaling by Insulin-like growth factor,14|14,0.5600000023841858,14|14,100.0
CPI-SS07E5C3060,TGFA_EGFR,simple:P01135,simple:P00533,TGFA,EGFR,True,False,True,curated,False,Ligand-Receptor,Signaling by Transforming growth factor,9|22,0.5619999766349792,9|22,100.0
CPI-SS007AA9FDE,DLK1_NOTCH3,simple:P80370,simple:Q9UM47,DLK1,NOTCH3,False,False,True,curated,False,Ligand-Receptor,Signaling by Notch,13|2,0.5699999928474426,13|2,100.0
