,meanscell_abundance_w_sf_0,meanscell_abundance_w_sf_1,meanscell_abundance_w_sf_2,meanscell_abundance_w_sf_3,meanscell_abundance_w_sf_4,meanscell_abundance_w_sf_5,meanscell_abundance_w_sf_6,meanscell_abundance_w_sf_7,meanscell_abundance_w_sf_8,meanscell_abundance_w_sf_9,meanscell_abundance_w_sf_10,meanscell_abundance_w_sf_11,meanscell_abundance_w_sf_12,meanscell_abundance_w_sf_13,meanscell_abundance_w_sf_14,meanscell_abundance_w_sf_15,meanscell_abundance_w_sf_16,meanscell_abundance_w_sf_17,meanscell_abundance_w_sf_18,meanscell_abundance_w_sf_19,meanscell_abundance_w_sf_20,meanscell_abundance_w_sf_21,meanscell_abundance_w_sf_22,meanscell_abundance_w_sf_23,meanscell_abundance_w_sf_24,meanscell_abundance_w_sf_25,meanscell_abundance_w_sf_26
cellid_000117394-1_4,1.0146998,0.46829438,0.5613213,0.611522,0.5943993,0.84574354,3.6638021,0.71391374,0.619091,0.87096804,0.7637533,0.7074678,0.7475284,0.54978955,0.79748094,0.45403072,0.800362,0.8133141,0.6442157,0.5909561,0.7538646,1.1027769,0.69317514,1.1020316,0.7147378,0.60446787,0.6998423
cellid_000117406-1_4,0.019651279,0.06990786,0.0754389,0.03959697,0.060150024,0.021833384,0.05475753,0.066554636,0.03467246,0.09341359,0.08811122,0.111596316,0.049426164,0.06527137,0.027850254,0.056287915,0.060748506,0.04241214,0.03649827,0.056447268,0.5217303,0.024503605,0.025572589,0.081434354,0.032642238,0.03299433,0.6917506
cellid_000117410-1_4,0.046886973,0.1758855,0.16306242,0.06403067,0.096396334,0.048616715,0.060775124,0.10670927,0.051679272,0.08499867,0.12349027,0.22722939,0.11282174,0.13750672,0.05908474,0.21212494,0.07488019,0.055590793,0.06483784,0.090308726,0.24413656,0.04178298,0.02395536,0.08939001,0.04938914,0.06382389,0.477658
cellid_000117415-1_4,0.021485234,0.058557793,0.11324778,0.024486268,0.058485184,0.030924391,0.04504034,0.045418426,0.027393334,0.091839686,0.049582485,0.10193134,0.058462277,0.0672435,0.036913287,0.042729482,0.044214282,0.044600576,0.031512592,0.039665293,0.27895626,0.032934245,0.01466328,0.058543652,0.038464148,0.029405765,0.124212615
cellid_000117418-1_4,0.024501126,0.049196146,0.124569245,0.030047912,0.061714362,0.026984887,0.05880989,0.039638303,0.025940297,0.06006052,0.052129623,0.09823514,0.047170237,0.062212314,0.05777035,0.045160886,0.05671271,0.029476736,0.027926996,0.028905485,0.07364907,0.022516472,0.013595205,0.044547558,0.035717834,0.022012623,0.19160041
cellid_000117433-1_4,0.11241552,1.0814669,0.31036472,0.23011303,0.23534508,0.19289337,0.31021306,0.33255437,0.13851435,0.332103,0.27667734,0.8732803,0.21013361,1.0995551,0.19705123,0.47390735,0.23032942,0.20171055,0.18407358,0.17853637,0.31464058,0.16176401,0.09403944,0.33237815,0.20317338,0.1899766,0.80305237
cellid_000117492-1_4,0.03542048,0.086219266,0.07772117,0.055480637,0.06045334,0.039901663,0.102726124,0.13274729,0.024284244,0.10515296,0.098724715,0.07441401,0.07659367,0.13080849,0.048756585,0.11185912,0.06642147,0.05212974,0.05702703,0.040459458,0.120142244,0.05227036,0.029593136,0.17114714,0.04352112,0.051987883,0.08528171
cellid_000117497-1_4,0.04232034,0.044478517,0.13229749,0.04710974,0.05744349,0.044470683,0.03829526,0.09473013,0.05171863,0.14802393,0.1503213,0.13786344,0.06599128,0.071569085,0.051243667,0.05537595,0.08601961,0.06908131,0.070422195,0.04364678,0.84441507,0.046454705,0.033078406,0.070788704,0.048315167,0.07379493,0.5113931
cellid_000117504-1_4,2.1800056,0.37286857,0.54923415,0.8640557,0.57337356,0.95228606,2.0743415,0.700716,0.7833475,0.88016355,0.92355055,0.6562118,0.7011847,0.54691285,0.99191064,0.43363172,0.877787,0.7956642,0.7676906,0.82251847,0.78697234,1.5309393,1.1705626,0.8870523,0.6431842,0.6027366,0.65662783
cellid_000117511-1_4,0.08631966,1.2074969,0.20348155,0.14124064,0.21324484,0.13323104,0.22647633,0.21708843,0.09397283,0.20582871,0.22852892,0.24676356,0.19877201,0.2920215,0.24826507,0.17982453,0.24851172,0.12664746,0.1617387,0.16231586,0.25443473,0.13948204,0.048730396,0.20043905,0.10972596,0.102607004,0.52238333
