,q95cell_abundance_w_sf_0,q95cell_abundance_w_sf_1,q95cell_abundance_w_sf_2,q95cell_abundance_w_sf_3,q95cell_abundance_w_sf_4,q95cell_abundance_w_sf_5,q95cell_abundance_w_sf_6,q95cell_abundance_w_sf_7,q95cell_abundance_w_sf_8,q95cell_abundance_w_sf_9,q95cell_abundance_w_sf_10,q95cell_abundance_w_sf_11,q95cell_abundance_w_sf_12,q95cell_abundance_w_sf_13,q95cell_abundance_w_sf_14,q95cell_abundance_w_sf_15,q95cell_abundance_w_sf_16,q95cell_abundance_w_sf_17,q95cell_abundance_w_sf_18,q95cell_abundance_w_sf_19,q95cell_abundance_w_sf_20,q95cell_abundance_w_sf_21,q95cell_abundance_w_sf_22,q95cell_abundance_w_sf_23,q95cell_abundance_w_sf_24,q95cell_abundance_w_sf_25,q95cell_abundance_w_sf_26
cellid_000100276-1_3,0.7705269,0.5581367,0.583158,0.5854839,0.68437785,0.6636752,0.70113915,0.8145586,0.79436177,0.8901679,0.89932853,0.6791273,0.59848475,0.5361597,0.6578013,0.35991347,0.8462527,0.83801717,0.9963946,0.8725258,0.4831381,1.0817329,1.1787467,0.72110385,0.9494663,0.8359981,0.52089685
cellid_000100277-1_3,0.5480958,0.37928486,1.1104617,0.45479852,0.5814658,0.3801421,0.3776102,0.66119784,0.44586954,0.7008359,0.5899079,0.51347613,0.9162288,0.5811938,0.48273152,0.5353148,0.8352826,0.60171163,1.1141466,0.6235039,0.69648093,0.5468066,0.7626601,0.6019686,0.5030132,3.8541732,0.45672974
cellid_000100285-1_3,3.289237,0.6346904,1.1611102,1.2270237,1.0551851,1.1373131,1.0218173,1.0896316,0.94320893,1.2725363,1.1367759,0.99943686,1.3182826,0.9875616,1.6392338,0.6990359,1.1355699,1.367323,1.3948429,1.8929942,1.0254604,1.4207487,3.336849,1.5717665,0.97732556,1.5035082,0.8842476
cellid_000100288-1_3,2.134985,0.5810518,1.3694434,0.6358261,1.0435857,0.83051336,0.71862626,0.98715883,0.9328396,1.4409133,1.1846268,1.0023746,1.3851941,0.9257956,1.0039647,0.6727926,1.3247852,0.9017796,1.0476607,1.622256,1.3647631,1.1550124,1.9486092,1.103552,1.0155773,1.400603,0.8948791
cellid_000100298-1_3,0.72345424,0.29629517,0.7658871,0.41204014,1.5045877,0.59222144,0.5053796,1.1529031,0.797937,1.0263147,0.7433404,0.61975616,1.0097307,0.48028055,0.7410624,0.50829726,0.8354859,0.6949848,0.857256,0.90296656,0.5470204,0.75039965,0.43908122,0.80848736,0.60679173,1.1770897,0.5491713
cellid_000100299-1_3,0.6342736,0.50029886,0.5908053,0.36715606,1.3225213,0.44163662,0.38289526,0.53732747,0.5662511,0.53583896,0.71687555,0.5192622,0.5415294,0.4067852,0.5136458,0.48020005,0.7801234,1.0488169,0.46141082,0.5716067,0.47810212,0.802717,0.87666094,0.42440918,0.56783044,0.47544366,0.32094514
cellid_000100310-1_3,2.9019675,0.4783651,1.5377405,0.5578222,0.9971853,0.5757304,0.9892028,1.1660671,0.62811387,0.96850467,0.785231,1.178469,1.07423,0.811176,0.90430546,0.64334255,0.5950201,0.8925632,0.6283997,0.85891765,0.78718174,0.71403843,0.3658527,0.7274194,0.7220541,0.5490272,0.4554037
cellid_000100315-1_3,2.803117,0.49052256,0.6710451,0.98624265,1.3210145,0.9532455,1.0752314,0.9378442,0.9533587,1.2368479,1.3719624,0.6598929,1.1390138,0.75763994,1.2261987,0.5329297,1.4995704,0.990043,0.9500609,1.0668565,0.7087502,0.97366506,1.6097353,1.092484,0.60353845,1.154551,0.53874344
cellid_000100320-1_3,0.4065153,0.3320022,0.3234801,0.5169416,0.47039127,0.33938313,0.3767127,0.6710655,0.46137,0.5577287,0.4974179,0.3890454,0.36314002,0.40614578,0.45020315,0.31641462,0.5007259,0.8005295,0.4448768,0.5119585,0.57165325,0.28026792,0.25784105,0.23859699,0.35341448,0.30051252,0.30651253
cellid_000100326-1_3,0.24935459,1.0212708,2.6564088,0.26156282,0.4666985,0.24046306,0.33621806,0.46663123,0.36280996,0.69126713,0.42005622,0.63581884,0.5373999,0.52769846,0.3621829,0.46907273,0.58103985,0.45207283,0.320657,0.3991688,0.6387049,0.27646703,0.23344614,0.31720218,0.36673513,0.33793953,1.2811401
