,q05cell_abundance_w_sf_0,q05cell_abundance_w_sf_1,q05cell_abundance_w_sf_2,q05cell_abundance_w_sf_3,q05cell_abundance_w_sf_4,q05cell_abundance_w_sf_5,q05cell_abundance_w_sf_6,q05cell_abundance_w_sf_7,q05cell_abundance_w_sf_8,q05cell_abundance_w_sf_9,q05cell_abundance_w_sf_10,q05cell_abundance_w_sf_11,q05cell_abundance_w_sf_12,q05cell_abundance_w_sf_13,q05cell_abundance_w_sf_14,q05cell_abundance_w_sf_15,q05cell_abundance_w_sf_16,q05cell_abundance_w_sf_17,q05cell_abundance_w_sf_18,q05cell_abundance_w_sf_19,q05cell_abundance_w_sf_20,q05cell_abundance_w_sf_21,q05cell_abundance_w_sf_22,q05cell_abundance_w_sf_23,q05cell_abundance_w_sf_24,q05cell_abundance_w_sf_25,q05cell_abundance_w_sf_26
cellid_000027069-13P5,0.0073961215,0.012243265,0.020879487,0.026334377,0.011263945,0.0107503105,0.010525027,0.019790614,0.010397227,0.023983734,0.030636858,0.020913398,0.015800081,0.016617302,0.015162815,0.0077297026,0.02671732,0.010346352,0.015374161,0.0111246,0.020628305,0.0137963975,0.006661828,0.013618442,0.009888517,0.016120102,0.015902953
cellid_000027080-13P5,0.0260668,0.008587541,0.022024695,0.04065718,0.043040276,0.051954538,0.038197733,0.039214134,0.030501189,0.03619363,0.030177929,0.020629898,0.037886254,0.016264852,0.029924488,0.014968088,0.04317332,0.014511739,0.032789323,0.028430779,0.028439377,0.026481176,0.03443571,0.028931027,0.032569204,0.021618122,0.018463073
cellid_000027083-13P5,0.009071245,0.011132622,0.016352955,0.04322578,0.04684346,0.033734065,0.022583148,0.03306828,0.013764718,0.032686595,0.040442154,0.01980018,0.02144739,0.045258127,0.010242246,0.01071382,0.016188614,0.021663224,0.008385601,0.013983304,0.018582992,0.01704511,0.0053438735,0.015769562,0.009302781,0.008878317,0.012836462
cellid_000027097-13P5,0.0055719553,0.020680428,0.015280814,0.014208911,0.008671766,0.011791117,0.023989886,0.013354492,0.00955329,0.017611053,0.01863484,0.051451966,0.021880908,0.020969255,0.010179163,0.04870951,0.016142927,0.016279556,0.009265675,0.014208517,0.029255236,0.0064440765,0.007142235,0.019300412,0.005228247,0.02687418,0.09817113
cellid_000027108-13P5,0.0026499592,0.007650217,0.025094654,0.0025472986,0.0069512837,0.004497311,0.0030958967,0.0110034,0.003584525,0.007381466,0.012098195,0.04667501,0.006014508,0.01490112,0.0031958323,0.042579193,0.016024644,0.004116644,0.0038278766,0.0042533907,0.036862068,0.004237511,0.0034392094,0.007578897,0.004320125,0.0051423917,0.08968754
cellid_000027121-13P5,0.011934064,0.005761355,0.010945698,0.011970968,0.021399423,0.019727366,0.008208853,0.027665878,0.03191423,0.023722997,0.018370315,0.012903099,0.021718478,0.019354813,0.016579539,0.008163646,0.012096636,0.021538347,0.013451647,0.013524017,0.007662421,0.01080889,0.006754056,0.010095096,0.012643604,0.020143503,0.0048881853
cellid_000027122-13P5,0.01772803,0.00573024,0.019513346,0.029734036,0.053698856,0.03973625,0.024318844,0.027276829,0.022587137,0.030651443,0.024958361,0.031924296,0.015272838,0.021141907,0.020179676,0.013459195,0.01667355,0.016518343,0.028259188,0.027175037,0.02840737,0.022635404,0.066793464,0.042918377,0.014332336,0.015924923,0.018076397
cellid_000027152-13P5,0.021569759,0.012002044,0.02900162,0.018827556,0.024881016,0.022976074,0.0828962,0.022490954,0.02282666,0.031572193,0.04575095,0.042917605,0.029595641,0.04476775,1.2251644,0.016750243,0.032255556,0.031038323,0.020195588,0.03111136,0.022513943,0.021225633,0.02298933,0.021412611,0.01444286,0.015864002,0.014502639
cellid_000027176-13P5,0.18543018,0.038141,0.08930851,0.780728,0.15753888,0.17571318,0.45546487,0.13123727,0.16724847,0.15887201,0.19275385,0.13643351,0.13947944,0.094279036,0.21228875,0.050651368,0.17447323,0.110982046,0.18551555,0.17190266,0.1040573,0.26511866,0.2879505,0.098603286,0.11722773,0.19433977,0.04733839
cellid_000027190-13P5,0.21342164,0.02510473,0.048252244,0.16270936,0.045698024,0.17166246,0.1417194,0.06278764,0.05586755,0.08677108,0.07774606,0.05551055,0.057046775,0.18449268,0.084797695,0.039332606,0.057470884,0.042505555,0.06592605,0.05944053,0.088403575,0.13398361,0.027816085,0.09827201,0.04752433,0.12269312,0.038253177
cellid_000027196-13P5,0.03833414,0.016802408,0.0368199,0.07738868,0.060112607,0.100198194,0.043707225,0.064916156,0.03913629,0.059650525,0.058556523,0.039489515,0.0893936,0.08861244,0.03275276,0.027378159,0.06752709,0.055426598,0.040868822,0.06728375,0.06371063,0.036519147,0.044574745,0.060129743,0.08429414,0.1092388,0.02619771
cellid_000027202-13P5,0.0032397574,0.0056765326,0.012054086,0.0062921187,0.008329307,0.007116698,0.007972973,0.0131445555,0.0039222585,0.008998313,0.008405941,0.040266477,0.012018366,0.009303965,0.0055375933,0.006157986,0.010957878,0.004555487,0.0048367046,0.0058167037,0.01751083,0.004432599,0.0035411797,0.0058085714,0.0035789274,0.0030044187,0.04309235
cellid_000027209-13P5,0.043597065,0.02318745,0.05484329,0.31928432,0.06915504,0.15114751,0.06893224,0.047353696,0.056826,0.053630248,0.060065307,0.04629602,0.07580567,0.55816394,0.048772115,0.035605162,0.044128664,0.049384497,0.027014656,0.048343837,0.057644904,0.030028569,0.029984172,0.058159754,0.03125536,0.036672175,0.027803589
cellid_000027228-13P5,0.005151576,0.006152767,0.020723524,0.01439417,0.0068879304,0.005274755,0.012637523,0.009864977,0.0047061057,0.01641514,0.016857797,0.75505996,0.016940933,0.014198924,0.05034504,0.009832474,0.011438307,0.011934786,0.007374877,0.0076794093,0.04530698,0.0063048904,0.0075997906,0.020630836,0.0051742876,0.007995023,0.04178891
cellid_000027229-13P5,0.058250584,0.01914767,0.05001557,0.07726352,0.23161559,0.14351611,0.096124455,0.09354525,0.08585034,0.10145153,0.07818624,0.05723159,0.12327264,0.0498123,0.049637258,0.029154003,0.056236416,0.08288247,0.074958116,0.030426959,0.06274835,0.052444924,0.031680025,0.06473427,0.070246376,0.077978745,0.023386005
cellid_000027233-13P5,0.03577652,0.016946565,0.0335851,0.038303968,0.08324411,0.06097031,0.03483808,0.052746862,0.026173554,0.045740794,0.05775128,0.032086667,0.03291195,0.09066992,0.051049545,0.022544231,0.029547444,0.12472649,0.039379805,0.028857026,0.031346664,0.027003724,0.03732156,0.036180016,0.050054032,0.034011584,0.021588178
cellid_000027260-13P5,0.16561526,0.0276073,0.04311521,0.815677,0.07390478,0.09487064,0.27307713,0.068224385,0.07899974,0.07779473,0.083810724,0.049825244,0.06076891,0.0532339,0.06083227,0.03463876,0.039616857,0.05188896,0.03796303,0.06997105,0.045207903,0.10507131,0.087767474,0.047581453,0.04018406,0.053794496,0.02008285
cellid_000027264-13P5,0.028178215,0.4200046,0.07827908,0.05683616,0.066514425,0.060506903,0.045677796,0.07095915,0.054759663,0.052903894,0.056280006,0.042715557,0.09961535,0.100498125,0.03056834,0.09072511,0.033433627,0.047374364,0.049082994,0.03946687,0.052413147,0.024869803,0.038011104,0.036076657,0.039115466,0.020717753,0.036537576
cellid_000027270-13P5,0.021219721,0.009850806,0.040834162,0.09376954,0.040802542,0.03238664,0.17825024,0.031197615,0.023283903,0.04686934,0.05764837,0.032930315,0.0336859,0.021175455,0.089024164,0.015920524,0.033142034,0.047622494,0.040237647,0.024984064,0.043734044,0.04834419,0.02065001,0.030421136,0.020636953,0.034079306,0.023335226
cellid_000027276-13P5,0.008658371,0.015265878,0.013648735,0.0171541,0.016827947,0.016183853,0.031729896,0.02688781,0.01341266,0.021424608,0.028774712,0.019527702,0.026983168,0.012085346,0.020491121,0.013907125,0.018924274,0.011193451,0.02091863,0.01525549,0.022811852,0.012763619,0.009737736,0.026194572,0.008639213,0.024843544,0.021854378
cellid_000027277-13P5,0.023095578,0.011198101,0.019209553,0.011894187,0.012719947,0.011132623,0.15362301,0.020115346,0.0089571085,0.025943369,0.020745523,0.03403439,0.018533258,0.012691913,0.095753185,0.015057961,0.0088663455,0.011526941,0.013228422,0.02379975,0.016749877,0.014811648,0.027055327,0.01944225,0.012162516,0.01161364,0.015460913
cellid_000027287-13P5,0.090179056,0.03118616,0.16937351,0.053435754,0.09774005,0.11110429,0.07094178,0.07857006,0.07385063,0.111074775,0.15727371,0.07134037,0.10827359,1.9594362,0.23405819,0.05054001,0.09030904,0.072146475,0.07828518,0.08342894,0.089932665,0.13670036,0.05364278,0.04213453,0.062344234,0.1439512,0.045365095
cellid_000027289-13P5,0.47308472,0.03608237,0.092524245,0.21900153,0.13290463,0.27207217,0.2972072,0.1326095,0.11134283,0.17542812,0.18244019,0.095023595,0.10964942,0.096786864,0.14241326,0.03019454,0.15161496,0.13055393,0.27993724,0.1456793,0.17791434,0.23875704,0.18626088,0.07505765,0.13527144,0.13502857,0.0642799
cellid_000027336-13P5,0.08728455,0.019368047,0.044762738,0.46193278,0.04145547,0.050894517,0.10021385,0.03185423,0.06923281,0.08577982,0.05926323,0.038484495,0.038502324,0.03236012,0.041908707,0.031822294,0.038362775,0.053149257,0.055933546,0.05289676,0.057933353,0.06478754,0.04250141,0.033225317,0.027085278,0.0535498,0.008647991
cellid_000027347-13P5,0.026789673,0.010649397,0.05379386,0.057616897,0.07228504,0.112072155,0.02946176,0.11688844,0.058170464,0.06557819,0.04896476,0.02881912,0.06107599,0.044145327,0.026214266,0.036675956,0.056975994,0.10013862,0.08857076,0.04604312,0.05081618,0.03891807,0.11011974,0.0433448,0.031733375,0.024941184,0.0782062
cellid_000027367-13P5,0.016000304,0.027534213,0.055128697,0.13611358,0.031430155,0.08461568,0.10624676,0.049354892,0.04685009,0.062873065,0.07718848,0.055741902,0.04342848,0.035185434,0.03973647,0.05786954,0.035699815,0.04220466,0.036185503,0.032890096,0.08626055,0.028644439,0.012958075,0.048751354,0.03923766,0.06596013,0.065997414
cellid_000027377-13P5,0.0058937888,0.005978202,0.010907629,0.0050782617,0.006156631,0.007679098,0.0075658457,0.006795131,0.006271607,0.013320905,0.019699069,0.027138948,0.0074655246,0.03997309,0.026235476,0.007117381,0.004297697,0.008998701,0.01055255,0.006231243,0.024907706,0.005772367,0.0059776814,0.007662478,0.0035772922,0.0047899373,0.025827171
cellid_000027420-13P5,0.012155687,0.0045189373,0.02111128,0.01689046,0.016948411,0.011353017,0.012531541,0.023220206,0.008191385,0.023537554,0.036494266,0.016438361,0.022119371,0.015237813,0.025485668,0.008139042,0.021176131,0.012770128,0.00841853,0.02269899,0.018261515,0.014387459,0.012711093,0.034709062,0.010820723,0.011094284,0.009531086
cellid_000027438-13P5,0.051837496,0.031036355,0.123909965,0.055083945,0.08904911,0.14715579,0.065284684,0.07431723,0.068972364,0.16271548,0.11877673,0.14366136,0.12038129,0.0701193,0.07052683,0.03222381,0.11276367,0.11204995,0.035153545,0.06265247,0.09118553,0.0637539,0.069954515,0.053115807,0.08351737,0.1129586,0.048931755
cellid_000027448-13P5,0.08581852,0.025162498,0.049375795,0.048497867,0.057202432,0.04679579,0.18973565,0.054963496,0.04338844,0.07794024,0.09500395,0.04855679,0.080278456,0.035316613,1.9292207,0.02229553,0.05188984,0.047011852,0.04025162,0.088435665,0.049954273,0.060693882,0.029765368,0.03387725,0.04417771,0.07895579,0.021699306
cellid_000027460-13P5,0.00943219,0.0075533823,0.01866552,0.015730884,0.02571361,0.013376405,0.020513564,0.040428326,0.019560961,0.02669756,0.031841993,0.02218478,0.02183405,0.01651327,0.017912094,0.019408429,0.020765834,0.023739403,0.014988586,0.023562558,0.017122058,0.01373761,0.016410671,0.010558437,0.01813341,0.023589578,0.008894537
cellid_000027480-13P5,0.06083842,0.020742381,0.043741938,0.25470948,0.058669742,0.0322449,0.1358789,0.034609675,0.038132265,0.048928745,0.048083525,0.03478624,0.045135904,0.02760298,0.03686333,0.018443218,0.030154984,0.03686031,0.02918699,0.022160286,0.044228207,0.12841128,0.30310825,0.043651097,0.019967733,0.023627194,0.017954187
cellid_000027489-13P5,0.009908542,0.007991681,0.028969731,0.042512164,0.04509181,0.011911626,0.1259878,0.032925814,0.03231862,0.026336823,0.39517286,0.057079174,0.036302805,0.026165089,0.015696958,0.01960001,0.031856906,0.032805715,0.019186718,0.018862218,0.028661044,0.016848823,0.013770264,0.046733852,0.027247753,0.0077208756,0.017242623
cellid_000027492-13P5,0.10297252,0.044871733,0.08685888,0.60304236,0.15017493,0.27644098,0.69637674,0.16268912,0.12987496,0.1353258,0.16208737,0.13996518,0.09742728,0.09077319,0.1697916,0.11575749,0.092459306,0.13567758,0.10894016,0.15248588,0.15825027,0.12722158,0.08181498,0.18990189,0.104312226,0.09373179,0.0796597
cellid_000027499-13P5,0.19501089,0.04328934,0.07075372,0.19531848,0.13107215,0.15397842,0.16553673,0.12488427,0.15672322,0.12369641,0.1144029,0.075944856,0.17250684,0.08195033,0.16614409,0.07360806,0.09590374,0.15403849,0.15973169,0.13944478,0.13705333,0.27992532,0.25873327,0.10384809,0.17698996,0.060229365,0.05414171
cellid_000027513-13P5,0.023478478,0.013788846,0.06546048,0.03958175,0.11863408,0.06686048,0.041688614,0.09197303,0.063669614,0.060376517,0.06938096,0.04478381,0.058272228,0.09632376,0.027689328,0.019025348,0.075517416,0.0403432,0.057481322,0.023396859,0.0507573,0.049328465,0.018428313,0.024436103,0.043919962,0.10165344,0.024167655
cellid_000027562-13P5,0.02801936,0.03031031,0.051348347,0.034454472,0.039610837,0.021277463,0.21406496,0.04828924,0.024061948,0.054625433,0.048961345,0.038796633,0.06831769,0.05719939,1.7158184,0.027845362,0.030379333,0.045884896,0.038700867,0.0449855,0.039520845,0.060788263,0.016623298,0.037376057,0.033537198,0.04382187,0.049473453
cellid_000027566-13P5,0.021270463,0.014990334,0.019876217,0.02220982,0.07624505,0.026744455,0.016995784,0.024391185,0.0300759,0.037167326,0.022954509,0.019902615,0.027911115,0.026327232,0.021563578,0.0092853615,0.029546682,0.038805198,0.020233905,0.029570024,0.037721336,0.019961486,0.027392428,0.01821287,0.023812735,0.0138987675,0.016946604
cellid_000027571-13P5,0.32421204,0.025839988,0.08258519,0.34850615,0.171632,0.21512532,0.11385968,0.08209476,0.11926921,0.1278959,0.21910882,0.09234742,0.09867023,0.1123055,0.24374309,0.039567582,0.18605311,0.16406335,0.1059728,0.12383622,0.064357325,0.33194908,0.109947115,0.07822501,0.12631899,0.08108499,0.043448146
cellid_000027572-13P5,0.018772988,0.017364234,0.034849755,0.15148117,0.081383914,0.0574212,0.06234086,0.083413415,0.042270295,0.044594634,0.11871587,0.029208684,0.043895334,0.03503331,0.023188002,0.019886602,0.031210938,0.050938386,0.046711065,0.040044576,0.043415762,0.023458583,0.014822791,0.030295445,0.039348483,0.023127485,0.044268366
cellid_000027603-13P5,0.16482677,0.022604492,0.060061023,0.044561118,0.054608397,0.10125225,0.046400294,0.07494237,0.09410811,0.13100237,0.0738991,0.041522887,0.074756816,0.068453446,0.4784229,0.027183358,0.12020688,0.11833853,0.091805875,0.08989843,0.059997518,0.28830016,0.119445644,0.0593011,0.058989808,0.051820833,0.04120353
cellid_000027644-13P5,0.011777385,0.121730566,0.053120125,0.045554165,0.029220823,0.045475088,0.030535042,0.03842175,0.03357919,0.040596563,0.05916617,0.06409589,0.033257384,0.09025074,0.024069397,0.027097527,0.06449384,0.038348388,0.017729523,0.04949627,0.09302524,0.036338355,0.016681833,0.03459743,0.020873377,0.056327827,0.053977877
cellid_000027653-13P5,0.01552808,0.0076009203,0.02783908,0.017753666,0.014172253,0.022046879,0.053778857,0.016534416,0.0052603697,0.02538269,0.021451944,0.021299584,0.013590824,0.025457809,0.043992534,0.007856625,0.021095341,0.022054395,0.0138708195,0.010423899,0.028123487,0.017037991,0.015992532,0.011860882,0.01069232,0.011152435,0.005361904
cellid_000027661-13P5,0.24215598,0.017041989,0.0678356,0.094707616,0.09023082,0.106645525,0.0902174,0.06431406,0.085179485,0.08264726,0.06436107,0.07039104,0.08837666,0.06363769,0.054979455,0.025648443,0.10023201,0.041745853,0.15179645,0.061999515,0.060273,0.24195352,0.0928424,0.053628203,0.06608646,0.054208443,0.038049538
cellid_000027676-13P5,0.00695981,0.07572518,0.0449984,0.009506227,0.012451731,0.01623777,0.009021466,0.019164607,0.010508525,0.037744384,0.028208898,0.2844503,0.015027799,0.045194782,0.010725616,0.04153916,0.02073637,0.010199662,0.008335553,0.011315503,0.07240018,0.0070151505,0.004650135,0.01859595,0.008212334,0.009098382,0.18613972
cellid_000027682-13P5,0.009301962,0.005856016,0.023496369,0.057179954,0.01545672,0.02780993,0.0171245,0.030347956,0.021885231,0.023128193,0.0425674,0.018660702,0.020895457,0.049440548,0.010766912,0.01147921,0.016335253,0.014160234,0.03973892,0.011945449,0.028811393,0.011153386,0.008189875,0.01954288,0.010988337,0.014593501,0.014055217
cellid_000027692-13P5,0.02653957,0.010895621,0.022295587,0.025421517,0.04882476,0.012978401,0.094340526,0.036320895,0.031190833,0.04945288,0.033446636,0.029397035,0.028025756,0.045810703,0.63010144,0.024698205,0.023432126,0.051765878,0.019400096,0.027253546,0.026587859,0.03720023,0.034406085,0.017803935,0.01651095,0.023366842,0.034189187
cellid_000027694-13P5,0.0016919043,0.006598051,0.012391252,0.0017342962,0.004532517,0.002054301,0.0038417173,0.0053369463,0.0022982077,0.0052747373,0.0048330138,0.030567244,0.0052430523,0.0073352675,0.0021850448,0.0062686075,0.004019594,0.002799843,0.0032157716,0.0021940856,0.052318856,0.0018995692,0.001154927,0.0036161523,0.0029761447,0.0017854267,0.06533873
cellid_000027709-13P5,0.18164445,0.018558634,0.07676507,0.11987004,0.092354156,0.08783877,0.08656486,0.0737407,0.117861465,0.10069054,0.06475616,0.03931,0.083207384,0.069089755,0.1056585,0.03525915,0.05005694,0.11209688,0.12906459,0.11263916,0.051895093,0.0799491,0.13914032,0.054867122,0.08974928,0.078504354,0.027123772
cellid_000027736-13P5,0.15515125,0.014611507,0.037914168,0.025749657,0.04732582,0.04752616,0.055080023,0.03778635,0.071696855,0.054084383,0.02677542,0.038329072,0.044477195,0.03588939,0.028338162,0.02017722,0.031463116,0.06806203,0.06492779,0.08298818,0.05432389,0.070150934,0.21203578,0.0365005,0.052264206,0.06624819,0.020889873
cellid_000027751-13P5,0.11547204,0.017653821,0.059976216,0.08221335,0.056911413,0.17692259,0.12957682,0.05620828,0.037021395,0.06305314,0.06783277,0.04748451,0.06323534,0.03969732,0.060465645,0.020836692,0.054053694,0.053091682,0.047754,0.10668097,0.04223748,0.050823186,0.050680116,0.058864906,0.048542682,0.053544838,0.01318926
cellid_000027763-13P5,0.03281032,0.013705949,0.048526615,0.04428462,0.035960123,0.03660696,0.17814128,0.0500169,0.03540939,0.049400005,0.065841384,0.06372259,0.042794984,0.02846207,0.75552946,0.019667793,0.03679525,0.027473517,0.026892247,0.033425767,0.04662652,0.03691145,0.07382588,0.018507777,0.026739134,0.053799376,0.015996292
cellid_000027766-13P5,0.087135844,0.008782282,0.02286927,0.02622643,0.01905514,0.039679423,0.06842836,0.027456213,0.058716763,0.056867857,0.034517746,0.034896083,0.027983537,0.017655939,0.06440499,0.017136017,0.0768204,0.020259561,0.0305742,0.037638318,0.03132439,0.13611408,0.03769907,0.026489863,0.028373776,0.043067064,0.018515674
cellid_000027847-13P5,0.022574117,0.013589622,0.03945273,0.050449237,0.024338596,0.02813345,0.023629127,0.037115213,0.018700028,0.042587683,0.060225192,1.3048707,0.02685531,0.043037213,0.023124732,0.039446563,0.038002606,0.02573004,0.0281129,0.0340503,0.16923596,0.028068053,0.024952516,0.031275816,0.019040156,0.029468682,0.053787943
cellid_000027860-13P5,0.024868924,0.054072615,0.07133669,0.04461816,0.074236326,0.10539162,0.057213478,0.04195056,0.040828038,0.0507245,0.0557093,0.09814134,0.046385698,0.13792944,0.04698968,0.039410368,0.050205197,0.06358103,0.044942185,0.050724663,0.10382483,0.04197408,0.021442045,0.038197186,0.05245115,0.054528564,0.0587203
cellid_000027873-13P5,0.0187825,0.0175128,0.02718505,0.09611293,0.031816613,0.033625133,0.03909062,0.04628553,0.05369119,0.047251187,0.08450972,0.021806547,0.07250061,0.033812746,0.035584893,0.015360055,0.017182332,0.02143158,0.016434224,0.03136633,0.02474911,0.025976727,0.021128682,0.018908007,0.030072581,0.026348671,0.013711072
cellid_000027876-13P5,0.039045304,0.018793218,0.054814786,0.103802584,0.20137829,0.10287401,0.045159247,0.12795012,0.14909127,0.05969986,0.08275895,0.045440473,0.07640488,0.049989816,0.04273387,0.025632238,0.06573304,0.07319821,0.1018915,0.066918775,0.10299965,0.054362405,0.037922755,0.0393807,0.05395538,0.098020524,0.036132034
cellid_000027886-13P5,0.029071907,0.015950777,0.0425818,0.06912775,0.06652422,0.09723866,0.035696227,0.08616748,0.14003609,0.08983566,0.09007901,0.03171287,0.06130217,0.035444885,0.066011816,0.018028785,0.06500363,0.046427827,0.13661811,0.056402292,0.057771742,0.04619287,0.050484285,0.030363463,0.026600543,0.036367316,0.01389904
cellid_000027906-13P5,0.038559094,0.009052821,0.06882042,0.25177884,0.050913468,0.07459548,0.07809349,0.051241726,0.08500855,0.057762325,0.055538088,0.03301155,0.06222647,0.04970753,0.15425573,0.014949671,0.028247898,0.056193203,0.049933344,0.058176555,0.0360213,0.08957271,0.041462224,0.028453141,0.060468268,0.025114143,0.027302101
cellid_000027919-13P5,0.56545144,0.020232096,0.079214804,0.068937995,0.07322763,0.116464406,0.1641485,0.07984096,0.09398154,0.09907388,0.092017576,0.049073085,0.07660362,0.05703603,0.18877801,0.0376676,0.10692756,0.1185118,0.15250202,0.096678324,0.0760222,0.15945818,0.21969272,0.049358338,0.06939437,0.092206575,0.04471409
cellid_000027938-13P5,0.020519773,0.025823748,0.045988277,0.032178055,0.0383259,0.026990937,0.1442491,0.040736478,0.04883233,0.06515852,0.07594815,0.029244434,0.042207602,0.029627036,0.45610806,0.03347298,0.068134606,0.033474464,0.031259,0.04493302,0.033628147,0.039564945,0.03835401,0.025404666,0.025247607,0.07923011,0.028919337
cellid_000027945-13P5,0.046285354,0.01428895,0.030778332,0.024921644,0.020781204,0.026738115,0.057369426,0.03138566,0.038903993,0.037843797,0.05752134,0.08162146,0.046255406,0.08878075,0.8156393,0.021535737,0.17942694,0.02090995,0.025068544,0.03251655,0.07156819,0.045334753,0.10710695,0.046132706,0.01767463,0.037746314,0.018342672
cellid_000027958-13P5,0.090636835,0.017646642,0.033567786,0.08567437,0.043597795,0.037587635,0.10308858,0.060541186,0.055497926,0.061167374,0.057610795,0.027298776,0.045870814,0.04028444,0.05920975,0.046204276,0.077638686,0.051284455,0.06859178,0.07327801,0.043536548,0.04943101,0.15237193,0.051037874,0.041923366,0.06726988,0.026883869
cellid_000027996-13P5,0.011131606,0.005363027,0.018030412,0.025093477,0.01858227,0.011866899,0.015386504,0.017705541,0.009243697,0.019775946,0.0545899,0.022979869,0.019258188,0.01078809,0.009622537,0.00928418,0.008555989,0.016411938,0.014055649,0.01635156,0.025730688,0.012112826,0.005557268,0.018530907,0.006256183,0.0143477805,0.014725572
cellid_000028025-13P5,0.2673355,0.018754253,0.053398192,0.06285206,0.034100864,0.08377576,0.09899704,0.05919592,0.0826427,0.08437355,0.06344474,0.039668284,0.03243,0.042934544,0.054557197,0.020922568,0.055491026,0.05598414,0.07565132,0.03863677,0.038786434,0.09297596,0.06660305,0.040762488,0.03315294,0.036231782,0.018075747
