"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"18266","nherf1b",-0.419606744398473,0.0990750568289374,-0.0149035899072969,0.949284238570361,0.404703154491176,0.121379931363509,NA,TRUE,"1","1","1"
"18267","zgc:112183",-0.0482049154176704,0.831546848875007,-0.28883044290372,0.226038895213246,-0.24062552748605,0.322523103817089,NA,FALSE,"1","1","1"
"18268","LOC118469962",-0.540920329082816,0.638300988660074,-17.9630843539336,0.997221057261024,-17.4221640248508,0.997304738940434,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"18269","xylt2",-0.331148752426781,0.300790247892204,-0.0435824248955416,0.884405469769036,0.287566327531239,0.379817525669814,NA,TRUE,"1","1","1"
"18270","si:ch211-120g10.1",0.111860391234868,0.550412424076104,0.0282836708784482,0.879391583281097,-0.0835767203564198,0.664860961657326,NA,FALSE,"1","1","1"
"18271","recql5",0.0915739431960257,0.830376201709465,0.0319737314685286,0.94176649576338,-0.059600211727497,0.889587451647208,NA,TRUE,"1","1","1"
"18272","LOC111565376",0.0365467916881261,0.970977465195785,-0.650049514108121,0.596871177115764,-0.686596305796247,0.576426211515175,NA,TRUE,"1","1","1"
"18273","cdr2l",0.38300313425954,0.140837660696734,0.116825150027662,0.672270654002332,-0.266177984231878,0.302961180620657,NA,TRUE,"1","1","1"
"18274","arhgdia",-1.2334460825593,0.410260541262991,-0.237065319395823,0.777967687976282,0.996380763163477,0.421605713466507,"Model failed to converge with max|grad| = 0.012330",FALSE,"NA","NA","NA"
"18275","alyref",-0.123153462733124,0.586186966272277,-0.383428897326713,0.118956884287439,-0.260275434593589,0.303387757369477,NA,TRUE,"1","1","1"
"18276","mcrip1",0.266856784804347,0.582915872553831,0.353963352323707,0.459444260023898,0.0871065675193603,0.847058608672341,NA,TRUE,"1","1","1"
"18277","nptx1l",-0.0434535631173059,0.744258293670167,-0.290816960130334,0.0430490399019993,-0.247363397013028,0.0896128452121729,NA,TRUE,"1","1","1"
"18278","LOC111565329",-19.9934036565437,0.999258528894195,-19.3169826049837,0.998997220396326,0.676421051559983,0.999979588099213,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"18279","LOC111565363",0.264563551646869,0.103346585778525,0.025016505162031,0.879921269162802,-0.239547046484838,0.148692787805975,NA,FALSE,"1","1","1"
"18280","rasd4",-0.166792334040592,0.780244765987723,-1.2020829095874,0.0751837234033415,-1.03529057554681,0.136085716571598,NA,FALSE,"1","1","1"
"18281","LOC111565338",0.0267909493907825,0.906359691283491,-0.0845576117191005,0.708817645078228,-0.111348561109883,0.631671464753858,NA,FALSE,"1","1","1"
"18282","LOC111565380",-1.06386278984092,0.358474187232463,-1.06920921209741,0.356335318768765,-0.00534642225648899,0.996991567700091,NA,TRUE,"1","1","1"
"18283","LOC111565336",0.754950622268609,0.23415041368765,0.241048012617767,0.719430810154058,-0.513902609650842,0.413874042930712,NA,FALSE,"1","1","1"
"18284","LOC111565337",0.601373635545223,0.342244058273004,0.0427442846815963,0.952248398918328,-0.558629350863626,0.378534082159507,NA,TRUE,"1","1","1"
"18285","LOC111565381",0.0668467953740759,0.981227487803059,-29.5518773245033,0.91555911643685,-29.6187241198774,0.915367943906451,NA,FALSE,"1","1","1"
"18286","LOC111565355",-31.3636302745893,0.999993355984367,0.0440453001630296,0.975209703724402,31.4076755747523,0.999993346653889,NA,TRUE,"1","1","1"
"18287","LOC118469964",0.512401142272608,0.999999922483288,32.872851336107,0.999992878580134,32.3604501938344,0.999993160595806,NA,TRUE,"1","1","1"
"18288","grapa",0.331280081337078,0.0652585960569097,-7.22842474545121e-06,0.999970360153179,-0.331287309761824,0.0756244693937639,NA,TRUE,"1","1","1"
"18289","epn2",-0.442848994505402,0.169168102696484,0.228422058911974,0.411185173763239,0.671271053417377,0.0332163230576078,NA,TRUE,"1","1","1"
"18290","b9d1",0.501942597880776,0.547374161325893,0.414532552716936,0.636647641311815,-0.0874100451638395,0.913409725571608,NA,FALSE,"1","1","1"
"18291","cacna1ha",-0.0101854451444846,0.938677335003402,-0.0565693414301053,0.614602857562672,-0.0463838962856207,0.708646716679832,NA,FALSE,"1","1","1"
"18292","grin2aa",-0.114897698692425,0.35220978168127,-0.147079261278768,0.263242595560975,-0.0321815625863427,0.810734299223667,NA,TRUE,"1","1","1"
"18293","LOC129347529",-203.209667518172,0.999957051492075,-18.8736280997204,0.999150716864704,184.336039418452,0.999961040876534,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"18294","atf7ip2",0.0430300504083658,0.871325650550539,-0.128340280145457,0.645306868320275,-0.171370330553823,0.539173728051691,NA,TRUE,"1","1","1"
"18295","nubp1",0.575469076977096,0.15884742034402,0.0491340169748547,0.914494505592907,-0.526335060002242,0.199480908694126,NA,TRUE,"1","1","1"
"18296","ciita",1344.14892557192,0.999708809906642,1310.88287063284,0.999817061285236,-33.2660549390802,0.999993930443893,NA,TRUE,"1","1","1"
"18297","dexi",0.507418774911303,0.3792754482949,-1.57054917243151,0.153271930339192,-2.07796794734281,0.0510782453857754,NA,TRUE,"1","1","1"
"18298","clec16a",0.133284704390863,0.445496112109195,-0.097971355183689,0.596958549102,-0.231256059574552,0.207705798725306,NA,TRUE,"1","1","1"
"18299","socs1a",0.922923142832275,0.660821491951984,-29.3309826250459,0.93543006020328,-30.2539057678782,0.933402348611916,NA,FALSE,"1","1","1"
"18300","prkcbb",0.0891811209735528,0.427781357802472,0.0540652321161226,0.647311322899964,-0.0351158888574302,0.767967312789091,NA,TRUE,"1","1","1"
"18301","cacng3b",0.325391649730574,0.0347101956227032,0.282968737705115,0.0786978145763214,-0.0424229120254589,0.783123932008702,NA,TRUE,"1","1","1"
"18302","LOC111581537",-0.444772973073625,0.536510745183014,-0.247574739342157,0.715931854866851,0.197198233731468,0.791222587919583,NA,FALSE,"1","1","1"
"18303","LOC111581539",-5.26380324478462,0.999999190743677,31.382366443775,0.999992968898467,36.6461696885597,0.999992254805939,NA,TRUE,"1","1","1"
"18304","LOC111581529",-0.151298647927418,0.41659854462718,-0.143723104880173,0.435356134812935,0.00757554304724485,0.968628660821222,NA,FALSE,"1","1","1"
"18305","ndufab1b",0.291418324706767,0.348035931801486,0.327096295042397,0.291595769602122,0.0356779703356297,0.902523976727381,NA,TRUE,"1","1","1"
"18306","dctn5",0.0892148590674709,0.78895286432909,-0.134159516952668,0.704402435605124,-0.223374376020139,0.523548961967849,NA,TRUE,"1","1","1"
"18307","hapstr1a",-0.215698493024464,0.462661259449586,-0.557722395412846,0.0877312753673846,-0.342023902388382,0.315061231466401,NA,TRUE,"1","1","1"
"18308","usp7",-0.196381749546328,0.258384004478908,-0.160522585969969,0.357122675209965,0.0358591635763587,0.844897524861392,NA,TRUE,"1","1","1"
"18309","slc2a6",31.1840562526178,0.999993191545207,31.191015174122,0.999993190025856,0.0069589215041761,0.996082793245192,NA,TRUE,"1","1","1"
"18310","clcn7",0.38809635636968,0.11085752090899,-0.021938395389353,0.934690892188178,-0.410034751759033,0.101512603158721,NA,TRUE,"1","1","1"
"18311","LOC118471478",-0.247204460066111,0.65158123170319,-2.0429939186142,0.0550912398338273,-1.79578945854809,0.0977627601633346,NA,TRUE,"1","1","1"
"18312","LOC111580449",-0.208577691768317,0.465154077944905,-0.503645049145018,0.10559344983957,-0.295067357376701,0.367863007737934,NA,TRUE,"1","1","1"
"18313","sun1b",0.0920246198028913,0.614970401526425,0.287591093662327,0.113507077539545,0.195566473859436,0.273302055584535,NA,FALSE,"1","1","1"
"18314","iqck",-0.168450361530564,0.713985253376199,0.0918066167962243,0.83103576277241,0.260256978326789,0.565988036713422,NA,TRUE,"1","1","1"
"18315","gprc5ba",0.0537903067527018,0.677752771962789,0.165910254804938,0.205719992376558,0.112119948052237,0.392082594429566,NA,TRUE,"1","1","1"
"18316","proza",-0.135247071368402,0.302548614591745,-0.0694703244477697,0.597514162494202,0.0657767469206323,0.626359876808742,NA,FALSE,"1","1","1"
"18317","gpr139",0.346858228052981,0.287344835769143,0.188131522422553,0.580591365832463,-0.158726705630428,0.619490578402928,NA,TRUE,"1","1","1"
"18318","kdelr2a",-0.59874170206799,0.156100394972009,0.163752135373561,0.63796254390787,0.762493837441551,0.0671938115502429,NA,TRUE,"1","1","1"
