"","gene","av_p.value","singular","warning","av_q.value","d_m_estimate","d_m_p.value","f_m_estimate","f_m_p.value","d_f_estimate","d_f_p.value"
"12612","rab42a",0.00979000873149537,TRUE,NA,0.952672403065807,NA,NA,NA,NA,NA,NA
"3330","cep170ab",0.00985333351886392,FALSE,NA,0.952871273979183,NA,NA,NA,NA,NA,NA
"6268","clip3",0.00998218934129644,FALSE,NA,0.952871273979183,NA,NA,NA,NA,NA,NA
"15938","xylt2",0.0099382498166935,FALSE,NA,0.952871273979183,NA,NA,NA,NA,NA,NA
"18205","LOC111567537",0.00996882930546964,TRUE,NA,0.952871273979183,NA,NA,NA,NA,NA,NA
"8602","parla",0.0100671405998746,TRUE,NA,0.956426068554915,NA,NA,NA,NA,NA,NA
"5126","ssh1a",0.0103285169833298,TRUE,NA,0.976629487961455,NA,NA,NA,NA,NA,NA
"12494","fhod3a",0.0103824152065955,FALSE,NA,0.977116879020717,NA,NA,NA,NA,NA,NA
"6765","ptpn1",0.010493356725576,TRUE,NA,0.98294312579858,NA,NA,NA,NA,NA,NA
"1898","iqsec3b",0.0106633177303682,TRUE,NA,0.994217987083537,NA,NA,NA,NA,NA,NA
"1","LOC129348986",0.367514065490299,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"2","trip4",0.026150608091564,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"3","chrna7a",0.130302347100436,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"4","cln6a",0.165897954953046,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"5","LOC118470268",0.128990203379094,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"6","LOC111568352",0.347631537170975,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"7","rxfp3.3a2",0.930610626803255,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"8","rps17",0.699738048244987,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"9","LOC129347713",0.999999820244665,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"10","csnk1g1",0.492202306277322,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"11","LOC111571203",0.766975628260019,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"12","neo1a",0.122069309024302,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"13","LOC129349243",0.259633668757838,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"14","LOC111567962",0.97915811337962,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"15","bbs4",0.522977151313169,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"16","scamp2l",0.927129233630179,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"17","LOC129347348",0.997572921958715,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"18","myo9aa",0.462759829345003,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"19","senp8",0.536125481759813,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"20","LOC111580711",0.255986188576056,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"21","anp32a",0.561203946022187,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"22","coro2ba",0.801893616056657,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"23","itga11a",0.779284861739338,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"24","LOC111588606",0.99999999986534,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"25","LOC111564424",0.811566282673597,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"26","LOC129349160",0.999999999921084,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"27","LOC111564416",0.530690940979542,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"28","cpeb1b",0.301291490339998,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"29","LOC111564421",0.770479960659156,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"30","LOC111564418",0.801853493588377,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"31","LOC111564417",0.728881857674122,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"32","LOC111564410",0.236627889913004,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"33","cars1",0.335250027070707,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"34","pex16",0.833840798601121,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"35","arfgap2",0.529074783937164,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"36","LOC118469870",0.154014243550147,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"37","glceb",0.371530143521555,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"38","paqr5b",0.772328791073329,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"39","LOC111564414",0.986809969087647,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"40","tle3b",0.777871544505281,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"41","LOC129348677",0.99999999986534,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"42","uacab",0.562610717685657,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"43","LOC111564639",0.141117360437298,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"44","rxfp3.3a1",0.999999999834947,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"46","skor1a",0.462713062038689,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"47","map2k5",0.501769433882027,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"48","smad3a",0.0812743487426574,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"49","tmem208",0.34428612628401,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"50","slc39a1",0.60801781822163,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"51","LOC111565738",0.233036897037578,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"52","LOC111565745",0.882931894401567,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"53","mibp2",0.792374625074126,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"54","LOC129350229",0.999999999824738,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"55","bloc1s6",0.980099885257623,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"56","slc30a4",0.752668840175195,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"57","c1h15orf48",0.664955487900735,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"58","LOC111565744",0.868490435176985,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"59","dtwd1",0.877789789058974,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"60","LOC129349619",0.986809978292738,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"61","cops2",0.181567964698193,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"62","secisbp2l",0.994288368015393,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"63","LOC111565759",0.999999999922839,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"64","LOC129349512",0.985219163579399,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"65","dut",0.914183772833793,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"66","slc12a1",0.362367659223906,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"67","ctxn2",0.819865188926882,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"68","myef2",0.764216407916189,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"69","slc24a5",0.999999999834947,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"70","LOC111565754",0.828999314830332,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"71","sema6dl",0.272294029796404,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"72","LOC118470001",0.999999639362869,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"73","dmxl2",0.915123276193873,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"74","gldn",0.999999999938631,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"75","LOC111565746",0.899799106665299,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"76","tnfaip8l3",0.658470798670277,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"77","scg3",0.597579907266958,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"78","lysmd2",0.483193002687787,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"79","tmod2",0.551909038313616,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"80","leo1",0.157424159515827,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"81","mapk6",0.656542118226177,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"82","LOC118471234",0.651830315532503,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"83","LOC111577620",0.999999999921084,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"84","usp8",0.424858810502034,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"85","LOC129349535",0.999999999824738,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"86","zgc:158482",0.999999999640692,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"87","LOC129349407",0.985219172187287,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"88","pde8a",0.11195559142454,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"89","LOC111563916",0.0199338327864748,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"90","LOC111563902",0.871126535221052,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"91","LOC111563893",0.780445184833511,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"92","homer2",0.663085998122024,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"93","ramac",0.921155440579027,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"94","LOC111567331",0.197009888692033,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"95","LOC111567348",0.999999999932666,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"96","zrsr2",0.304142301764593,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"97","LOC111567330",0.614467086829166,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"98","phka2",0.504477956090677,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"99","ppef1",0.373600241177299,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"100","cdkl5",0.531422323345197,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"101","scml2",0.124722448479883,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"102","LOC118470148",0.985219152751488,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"103","nhsb",0.204851563620487,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"104","ace2",0.0869567371330921,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"105","il1fma",0.999999999909814,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"106","pir",0.206041961375172,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"107","vegfd",0.520367651268219,FALSE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"108","LOC111566429",0.999999999932606,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
"109","LOC129350612",0.849115718684871,TRUE,NA,0.999999999942595,NA,NA,NA,NA,NA,NA
