,gene,gene_name,f_m_estimate,f_m_p.value,d_m_estimate,d_m_p.value,d_f_estimate,d_f_p.value,av_p.value,warning,singular,av_q.value,cluster,full_label,first_word,second_word,short_label
7735,LOC129349487,uncharacterized LOC129349487,-0.230322672,0.343631445,-1.347308334,4.97E-05,-1.116985662,0.000780688,0.000226316,NA,FALSE,0.023189653,4,"Transiently downregulated, full rebound",Transiently,Downregulated,Transiently Downregulated
18938,efna2a,ephrin-A2a,0.924066499,0.001387207,-0.521532899,0.175041706,-1.445599399,2.33E-05,1.28E-05,NA,FALSE,0.001389705,4,Late upregulated_1,Late,Upregulated,Late Upregulated
20177,chst11,carbohydrate (chondroitin 4) sulfotransferase 11,0.16162923,0.480195955,0.807945389,0.000158678,0.64631616,0.000948633,0.000101742,NA,FALSE,0.010718703,4,"Transiently upregulated, full rebound",Transiently,Upregulated,Transiently Upregulated
22066,LOC129348286,NA,1.127874953,8.85E-05,0.4281066,0.169627534,-0.699768353,0.011323142,0.000253741,NA,FALSE,0.025881621,4,Late upregulated_1,Late,Upregulated,Late Upregulated
2652,LOC111567884,uncharacterized LOC111567884,-0.405544555,0.017374651,-0.702782035,7.86E-05,-0.29723748,0.095977631,0.000349869,NA,FALSE,0.034047462,5,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
7588,kcnd1,"potassium voltage-gated channel, Shal-related subfamily, member 1",-0.756044153,0.000576449,0.213667019,0.264141296,0.969711172,3.20E-06,1.41E-05,NA,FALSE,0.001407396,5,Late_downregulated_1,Late,Downregulated,Late Downregulated
19376,LOC111582900,ankyrin repeat domain-containing protein 34C ,-0.557351571,0.49223767,1.789219079,0.002684128,2.34657065,0.000388802,9.57E-05,NA,FALSE,0.009395262,5,"Transiently upregulated, full rebound",Transiently,Upregulated,Transiently Upregulated
1621,ptprfa,protein tyrosine phosphatase receptor type Fa,0.719973995,2.94E-07,0.466809222,0.001525885,-0.253164773,0.053779163,1.91E-06,NA,FALSE,0.000177928,6,"Early upregulated, no rebound",Early,Upregulated,Early Upregulated
2095,nudt4a,nudix (nucleoside diphosphate linked moiety X)-type motif 4a,0.630855783,5.71E-30,0.942009247,7.99E-127,0.311153464,3.54E-16,5.70E-142,NA,FALSE,6.36E-140,6,"Transiently upregulated, reduced rebound",Transiently,Upregulated,Transiently Upregulated
3608,tacr3a,tachykinin receptor 3a,-0.889628262,0.004678862,0.461472619,0.073580224,1.351100881,2.95E-06,1.76E-05,NA,FALSE,0.001614388,6,Late_downregulated_1,Late,Downregulated,Late Downregulated
4610,LOC111565100,G-protein coupled receptor 22-like,1.298039403,1.83E-05,-0.421161664,0.26523351,-1.719201067,5.41E-08,4.25E-09,NA,FALSE,4.05E-07,6,Late upregulated_1,Late,Upregulated,Late Upregulated
6373,si:dkey-178e17.1,"tricarboxylate transport protein B, mitochondrial",-2.034918163,0.000316367,-1.951465418,0.000550239,0.083452745,0.908343846,2.53E-05,NA,FALSE,0.002285358,6,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
7102,LOC111562717,unconventional myosin-Ic,-0.980674478,8.41E-05,-0.661765154,0.005431427,0.318909324,0.224230987,0.000203433,NA,FALSE,0.0169657,6,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
7265,pgr,progesterone receptor,0.572198013,0.032576936,-0.704662991,0.02490574,-1.276861004,1.18E-05,5.83E-05,NA,FALSE,0.005127317,6,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
8955,LOC111577100,urokinase plasminogen activator surface receptor-like,0.844751837,0.043348098,-1.326458988,0.005612378,-2.171210825,1.51E-06,9.38E-06,NA,FALSE,0.000864676,6,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
9213,bcan,brevican,-1.147876915,0.001125357,0.142108561,0.649130079,1.289985475,0.000129683,0.000307392,NA,FALSE,0.025264072,6,Late_downregulated_1,Late,Downregulated,Late Downregulated
9927,LOC111587111,low-density lipoprotein receptor-related protein 8-like,0.363295565,0.024554089,-0.351667937,0.040279887,-0.714963502,7.88E-06,4.33E-05,NA,FALSE,0.003871117,6,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
10410,pde1cb,"phosphodiesterase 1C, calmodulin-dependent b",-0.918402967,9.22E-05,-0.374233157,0.092364975,0.54416981,0.017848576,0.000457955,NA,FALSE,0.036837776,6,Late_downregulated_1,Late,Downregulated,Late Downregulated
10961,wdfy2,WD repeat and FYVE domain containing 2,0.367598112,0.014155212,-0.237841615,0.15016092,-0.605439727,4.34E-05,0.000148584,NA,FALSE,0.012718752,6,Late upregulated_1,Late,Upregulated,Late Upregulated
12424,chgb,Chromogranin b,0.470083501,0.020342146,-0.770939598,0.00049069,-1.241023099,1.61E-09,1.23E-08,NA,FALSE,1.17E-06,6,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
13285,LOC111568069,progesterone receptor-like,0.767014418,0.006419396,-0.164517212,0.620176002,-0.93153163,0.000730393,0.000631181,NA,FALSE,0.04971424,6,Late upregulated_1,Late,Upregulated,Late Upregulated
14775,LOC111572204,glutathione S-transferase A-like,3.176146626,0.001885926,0.470512899,0.702240586,-2.705633726,0.000243463,1.62E-05,NA,FALSE,0.001490006,6,Late upregulated_1,Late,Upregulated,Late Upregulated
15174,sdc2,syndecan 2,0.613892138,0.002568438,-0.13945771,0.532008306,-0.753349848,0.000124867,0.00015252,NA,FALSE,0.012957953,6,Late upregulated_1,Late,Upregulated,Late Upregulated
