"","individual","Status","total_cells","res0.8_50nn_40PC_45LSI","ncells"
"101","B21F","F",1657,"19",26
"102","B21F","F",1657,"20",17
"103","B21F","F",1657,"21",21
"104","B21F","F",1657,"23",18
"105","B21F","F",1657,"24",2
"106","B21F","F",1657,"25",11
"107","B21F","F",1657,"26",2
"108","B21M","M",1031,"0",243
"109","B21M","M",1031,"1",87
"110","B21M","M",1031,"2",64
"111","B21M","M",1031,"3",74
"112","B21M","M",1031,"4",60
"113","B21M","M",1031,"5",55
"114","B21M","M",1031,"6",30
"115","B21M","M",1031,"7",38
"116","B21M","M",1031,"8",52
"117","B21M","M",1031,"9",48
"118","B21M","M",1031,"10",33
"119","B21M","M",1031,"11",14
"120","B21M","M",1031,"12",18
"121","B21M","M",1031,"13",36
"122","B21M","M",1031,"14",15
"123","B21M","M",1031,"15",11
"124","B21M","M",1031,"16",23
"125","B21M","M",1031,"17",23
"126","B21M","M",1031,"18",36
"127","B21M","M",1031,"19",12
"128","B21M","M",1031,"20",9
"129","B21M","M",1031,"21",12
"130","B21M","M",1031,"22",16
"131","B21M","M",1031,"23",5
"132","B21M","M",1031,"24",10
"133","B21M","M",1031,"25",6
"134","B21M","M",1031,"26",1
"135","B23F","F",1323,"0",221
"136","B23F","F",1323,"1",161
"137","B23F","F",1323,"2",79
"138","B23F","F",1323,"3",111
"139","B23F","F",1323,"4",63
"140","B23F","F",1323,"5",50
"141","B23F","F",1323,"6",69
"142","B23F","F",1323,"7",26
"143","B23F","F",1323,"8",84
"144","B23F","F",1323,"9",43
"145","B23F","F",1323,"10",57
"146","B23F","F",1323,"11",53
"147","B23F","F",1323,"12",51
"148","B23F","F",1323,"13",31
"149","B23F","F",1323,"14",46
"150","B23F","F",1323,"15",32
"151","B23F","F",1323,"16",27
"152","B23F","F",1323,"17",21
"153","B23F","F",1323,"18",10
"154","B23F","F",1323,"19",25
"155","B23F","F",1323,"20",31
"156","B23F","F",1323,"21",22
"157","B23F","F",1323,"23",5
"158","B23F","F",1323,"24",2
"159","B23F","F",1323,"25",2
"160","B23F","F",1323,"26",1
"161","B23M","M",1088,"0",161
"162","B23M","M",1088,"1",113
"163","B23M","M",1088,"2",88
"164","B23M","M",1088,"3",83
"165","B23M","M",1088,"4",63
"166","B23M","M",1088,"5",27
"167","B23M","M",1088,"6",46
"168","B23M","M",1088,"7",58
"169","B23M","M",1088,"8",46
"170","B23M","M",1088,"9",35
"171","B23M","M",1088,"10",62
"172","B23M","M",1088,"11",46
"173","B23M","M",1088,"12",40
"174","B23M","M",1088,"13",23
"175","B23M","M",1088,"14",30
"176","B23M","M",1088,"15",25
"177","B23M","M",1088,"16",23
"178","B23M","M",1088,"17",18
"179","B23M","M",1088,"18",5
"180","B23M","M",1088,"19",21
"181","B23M","M",1088,"20",19
"182","B23M","M",1088,"21",14
"183","B23M","M",1088,"22",10
"184","B23M","M",1088,"23",12
"185","B23M","M",1088,"24",15
"186","B23M","M",1088,"25",4
"187","B23M","M",1088,"26",1
"188","C13F","F",2763,"0",385
"189","C13F","F",2763,"1",226
"190","C13F","F",2763,"2",386
"191","C13F","F",2763,"3",181
"192","C13F","F",2763,"4",236
"193","C13F","F",2763,"5",120
"194","C13F","F",2763,"6",103
"195","C13F","F",2763,"7",215
"196","C13F","F",2763,"8",89
"197","C13F","F",2763,"9",98
"198","C13F","F",2763,"10",65
"199","C13F","F",2763,"11",116
"200","C13F","F",2763,"12",40
"201","C13F","F",2763,"13",70
"202","C13F","F",2763,"14",52
"203","C13F","F",2763,"15",24
"204","C13F","F",2763,"16",32
"205","C13F","F",2763,"17",36
"206","C13F","F",2763,"18",74
"207","C13F","F",2763,"19",57
"208","C13F","F",2763,"20",49
"209","C13F","F",2763,"21",21
"210","C13F","F",2763,"22",17
"211","C13F","F",2763,"23",31
"212","C13F","F",2763,"24",17
"213","C13F","F",2763,"25",20
"214","C13F","F",2763,"26",3
"215","C13M","M",2281,"0",489
"216","C13M","M",2281,"1",200
"217","C13M","M",2281,"2",111
"218","C13M","M",2281,"3",155
"219","C13M","M",2281,"4",140
"220","C13M","M",2281,"5",94
"221","C13M","M",2281,"6",81
"222","C13M","M",2281,"7",93
"223","C13M","M",2281,"8",89
"224","C13M","M",2281,"9",82
"225","C13M","M",2281,"10",98
"226","C13M","M",2281,"11",58
"227","C13M","M",2281,"12",88
"228","C13M","M",2281,"13",63
"229","C13M","M",2281,"14",39
"230","C13M","M",2281,"15",64
"231","C13M","M",2281,"16",50
"232","C13M","M",2281,"17",51
"233","C13M","M",2281,"18",13
"234","C13M","M",2281,"19",58
"235","C13M","M",2281,"20",18
"236","C13M","M",2281,"21",31
"237","C13M","M",2281,"22",34
"238","C13M","M",2281,"23",39
"239","C13M","M",2281,"24",16
"240","C13M","M",2281,"25",21
"241","C13M","M",2281,"26",6
"242","C14F","F",1535,"0",303
"243","C14F","F",1535,"1",141
"244","C14F","F",1535,"2",125
"245","C14F","F",1535,"3",59
"246","C14F","F",1535,"4",96
"247","C14F","F",1535,"5",59
"248","C14F","F",1535,"6",68
"249","C14F","F",1535,"7",114
"250","C14F","F",1535,"8",56
"251","C14F","F",1535,"9",24
"252","C14F","F",1535,"10",70
"253","C14F","F",1535,"11",49
"254","C14F","F",1535,"12",43
"255","C14F","F",1535,"13",46
"256","C14F","F",1535,"14",20
"257","C14F","F",1535,"15",43
"258","C14F","F",1535,"16",48
"259","C14F","F",1535,"17",43
"260","C14F","F",1535,"18",31
"261","C14F","F",1535,"19",32
"262","C14F","F",1535,"20",9
"263","C14F","F",1535,"21",2
"264","C14F","F",1535,"22",12
"265","C14F","F",1535,"23",16
"266","C14F","F",1535,"24",17
"267","C14F","F",1535,"25",9
"268","C14M","M",1630,"0",331
"269","C14M","M",1630,"1",175
"270","C14M","M",1630,"2",116
"271","C14M","M",1630,"3",121
"272","C14M","M",1630,"4",84
"273","C14M","M",1630,"5",90
"274","C14M","M",1630,"6",68
"275","C14M","M",1630,"7",59
"276","C14M","M",1630,"8",60
"277","C14M","M",1630,"9",39
"278","C14M","M",1630,"10",59
"279","C14M","M",1630,"11",44
"280","C14M","M",1630,"12",52
"281","C14M","M",1630,"13",55
"282","C14M","M",1630,"14",27
"283","C14M","M",1630,"15",35
"284","C14M","M",1630,"16",31
"285","C14M","M",1630,"17",20
"286","C14M","M",1630,"18",30
"287","C14M","M",1630,"19",30
"288","C14M","M",1630,"20",16
"289","C14M","M",1630,"21",19
"290","C14M","M",1630,"22",28
"291","C14M","M",1630,"23",17
"292","C14M","M",1630,"24",14
"293","C14M","M",1630,"25",9
"294","C14M","M",1630,"26",1
"295","C15F","F",1340,"0",282
"296","C15F","F",1340,"1",102
"297","C15F","F",1340,"2",131
"298","C15F","F",1340,"3",86
"299","C15F","F",1340,"4",51
"300","C15F","F",1340,"5",62
"301","C15F","F",1340,"6",67
"302","C15F","F",1340,"7",50
"303","C15F","F",1340,"8",62
"304","C15F","F",1340,"9",37
"305","C15F","F",1340,"10",67
"306","C15F","F",1340,"11",33
"307","C15F","F",1340,"12",40
"308","C15F","F",1340,"13",38
"309","C15F","F",1340,"14",26
"310","C15F","F",1340,"15",24
"311","C15F","F",1340,"16",22
"312","C15F","F",1340,"17",33
"313","C15F","F",1340,"18",24
"314","C15F","F",1340,"19",24
"315","C15F","F",1340,"20",10
"316","C15F","F",1340,"21",20
"317","C15F","F",1340,"22",17
"318","C15F","F",1340,"23",18
"319","C15F","F",1340,"24",8
"320","C15F","F",1340,"25",5
"321","C15F","F",1340,"26",1
"322","C15M","M",1315,"0",297
"323","C15M","M",1315,"1",145
"324","C15M","M",1315,"2",95
"325","C15M","M",1315,"3",87
"326","C15M","M",1315,"4",62
"327","C15M","M",1315,"5",79
"328","C15M","M",1315,"6",53
"329","C15M","M",1315,"7",17
"330","C15M","M",1315,"8",40
"331","C15M","M",1315,"9",46
"332","C15M","M",1315,"10",44
"333","C15M","M",1315,"11",38
"334","C15M","M",1315,"12",40
"335","C15M","M",1315,"13",43
"336","C15M","M",1315,"14",27
"337","C15M","M",1315,"15",21
"338","C15M","M",1315,"16",32
"339","C15M","M",1315,"17",23
"340","C15M","M",1315,"18",20
"341","C15M","M",1315,"19",18
"342","C15M","M",1315,"20",16
"343","C15M","M",1315,"21",18
"344","C15M","M",1315,"22",23
"345","C15M","M",1315,"23",6
"346","C15M","M",1315,"24",15
"347","C15M","M",1315,"25",10
"348","C21D","D",1385,"0",328
"349","C21D","D",1385,"1",144
"350","C21D","D",1385,"2",119
"351","C21D","D",1385,"3",111
"352","C21D","D",1385,"4",23
"353","C21D","D",1385,"5",59
"354","C21D","D",1385,"6",52
"355","C21D","D",1385,"7",23
"356","C21D","D",1385,"8",47
"357","C21D","D",1385,"9",39
"358","C21D","D",1385,"10",26
"359","C21D","D",1385,"11",51
"360","C21D","D",1385,"12",53
"361","C21D","D",1385,"13",46
"362","C21D","D",1385,"14",36
"363","C21D","D",1385,"15",27
"364","C21D","D",1385,"16",29
"365","C21D","D",1385,"17",36
"366","C21D","D",1385,"18",20
"367","C21D","D",1385,"19",15
"368","C21D","D",1385,"20",9
"369","C21D","D",1385,"21",19
"370","C21D","D",1385,"22",27
"371","C21D","D",1385,"23",14
"372","C21D","D",1385,"24",19
"373","C21D","D",1385,"25",10
"374","C21D","D",1385,"26",3
"375","D4F","F",1736,"0",385
"376","D4F","F",1736,"1",190
"377","D4F","F",1736,"2",118
"378","D4F","F",1736,"3",72
"379","D4F","F",1736,"4",127
"380","D4F","F",1736,"5",94
"381","D4F","F",1736,"6",63
"382","D4F","F",1736,"7",70
"383","D4F","F",1736,"8",66
"384","D4F","F",1736,"9",43
"385","D4F","F",1736,"10",46
"386","D4F","F",1736,"11",69
"387","D4F","F",1736,"12",47
"388","D4F","F",1736,"13",43
"389","D4F","F",1736,"14",34
"390","D4F","F",1736,"15",21
"391","D4F","F",1736,"16",34
"392","D4F","F",1736,"17",43
"393","D4F","F",1736,"18",30
"394","D4F","F",1736,"19",37
"395","D4F","F",1736,"20",18
"396","D4F","F",1736,"21",23
"397","D4F","F",1736,"22",24
"398","D4F","F",1736,"23",15
"399","D4F","F",1736,"24",14
"400","D4F","F",1736,"25",9
"401","D4F","F",1736,"26",1
"402","D4M","M",1273,"0",258
"403","D4M","M",1273,"1",110
"404","D4M","M",1273,"2",72
"405","D4M","M",1273,"3",91
"406","D4M","M",1273,"4",116
"407","D4M","M",1273,"5",54
"408","D4M","M",1273,"6",51
"409","D4M","M",1273,"7",58
"410","D4M","M",1273,"8",42
"411","D4M","M",1273,"9",83
"412","D4M","M",1273,"10",19
"413","D4M","M",1273,"11",32
"414","D4M","M",1273,"12",41
"415","D4M","M",1273,"13",37
"416","D4M","M",1273,"14",15
"417","D4M","M",1273,"15",14
"418","D4M","M",1273,"16",18
"419","D4M","M",1273,"17",18
"420","D4M","M",1273,"18",28
"421","D4M","M",1273,"19",25
"422","D4M","M",1273,"20",25
"423","D4M","M",1273,"21",7
"424","D4M","M",1273,"22",12
"425","D4M","M",1273,"23",20
"426","D4M","M",1273,"24",15
"427","D4M","M",1273,"25",12
"428","GH","NRM",1354,"0",287
"429","GH","NRM",1354,"1",168
"430","GH","NRM",1354,"2",48
"431","GH","NRM",1354,"3",148
"432","GH","NRM",1354,"4",2
"433","GH","NRM",1354,"5",80
"434","GH","NRM",1354,"6",76
"435","GH","NRM",1354,"7",6
"436","GH","NRM",1354,"8",1
"437","GH","NRM",1354,"9",74
"438","GH","NRM",1354,"10",40
"439","GH","NRM",1354,"11",36
"440","GH","NRM",1354,"12",85
"441","GH","NRM",1354,"13",49
"442","GH","NRM",1354,"14",75
"443","GH","NRM",1354,"15",23
"444","GH","NRM",1354,"16",29
"445","GH","NRM",1354,"17",22
"446","GH","NRM",1354,"18",7
"447","GH","NRM",1354,"19",1
"448","GH","NRM",1354,"20",6
"449","GH","NRM",1354,"21",40
"450","GH","NRM",1354,"22",16
"451","GH","NRM",1354,"23",8
"452","GH","NRM",1354,"24",20
"453","GH","NRM",1354,"25",3
"454","GH","NRM",1354,"26",4
"455","T11D","E",1669,"0",274
"456","T11D","E",1669,"1",212
"457","T11D","E",1669,"2",272
"458","T11D","E",1669,"3",87
"459","T11D","E",1669,"4",67
"460","T11D","E",1669,"5",59
"461","T11D","E",1669,"6",46
"462","T11D","E",1669,"7",93
"463","T11D","E",1669,"8",53
"464","T11D","E",1669,"9",21
"465","T11D","E",1669,"10",51
"466","T11D","E",1669,"11",67
"467","T11D","E",1669,"12",36
"468","T11D","E",1669,"13",43
"469","T11D","E",1669,"14",20
"470","T11D","E",1669,"15",64
"471","T11D","E",1669,"16",38
"472","T11D","E",1669,"17",18
"473","T11D","E",1669,"18",16
"474","T11D","E",1669,"19",29
"475","T11D","E",1669,"20",39
"476","T11D","E",1669,"21",9
"477","T11D","E",1669,"22",18
"478","T11D","E",1669,"23",19
"479","T11D","E",1669,"24",8
"480","T11D","E",1669,"25",8
"481","T11D","E",1669,"26",2
"482","T13D","D",1326,"0",307
"483","T13D","D",1326,"1",122
"484","T13D","D",1326,"2",106
"485","T13D","D",1326,"3",84
"486","T13D","D",1326,"4",101
"487","T13D","D",1326,"5",59
"488","T13D","D",1326,"6",39
"489","T13D","D",1326,"7",52
"490","T13D","D",1326,"8",40
"491","T13D","D",1326,"9",39
"492","T13D","D",1326,"10",34
"493","T13D","D",1326,"11",32
"494","T13D","D",1326,"12",27
"495","T13D","D",1326,"13",39
"496","T13D","D",1326,"14",10
"497","T13D","D",1326,"15",8
"498","T13D","D",1326,"16",25
"499","T13D","D",1326,"17",45
"500","T13D","D",1326,"18",30
"501","T13D","D",1326,"19",36
"502","T13D","D",1326,"20",12
"503","T13D","D",1326,"21",22
"504","T13D","D",1326,"22",19
"505","T13D","D",1326,"23",16
"506","T13D","D",1326,"24",13
"507","T13D","D",1326,"25",7
"508","T13D","D",1326,"26",2
"509","T14D","D",819,"0",143
"510","T14D","D",819,"1",139
"511","T14D","D",819,"2",43
"512","T14D","D",819,"3",72
"513","T14D","D",819,"5",30
"514","T14D","D",819,"6",52
"515","T14D","D",819,"7",1
"516","T14D","D",819,"8",5
"517","T14D","D",819,"9",31
"518","T14D","D",819,"10",44
"519","T14D","D",819,"11",43
"520","T14D","D",819,"12",20
"521","T14D","D",819,"13",19
"522","T14D","D",819,"14",33
"523","T14D","D",819,"15",25
"524","T14D","D",819,"16",27
"525","T14D","D",819,"17",10
"526","T14D","D",819,"18",1
"527","T14D","D",819,"19",1
"528","T14D","D",819,"20",25
"529","T14D","D",819,"21",19
"530","T14D","D",819,"22",15
"531","T14D","D",819,"23",1
"532","T14D","D",819,"24",16
"533","T14D","D",819,"25",1
"534","T14D","D",819,"26",3
"535","T17D","NF",1677,"0",334
"536","T17D","NF",1677,"1",189
"537","T17D","NF",1677,"2",140
"538","T17D","NF",1677,"3",102
"539","T17D","NF",1677,"4",96
"540","T17D","NF",1677,"5",81
"541","T17D","NF",1677,"6",46
"542","T17D","NF",1677,"7",66
"543","T17D","NF",1677,"8",53
"544","T17D","NF",1677,"9",77
"545","T17D","NF",1677,"10",52
"546","T17D","NF",1677,"11",52
"547","T17D","NF",1677,"12",44
"548","T17D","NF",1677,"13",60
"549","T17D","NF",1677,"14",18
"550","T17D","NF",1677,"15",13
"551","T17D","NF",1677,"16",51
"552","T17D","NF",1677,"17",31
"553","T17D","NF",1677,"18",36
"554","T17D","NF",1677,"19",23
"555","T17D","NF",1677,"20",15
"556","T17D","NF",1677,"21",16
"557","T17D","NF",1677,"22",28
"558","T17D","NF",1677,"23",27
"559","T17D","NF",1677,"24",18
"560","T17D","NF",1677,"25",9
"561","T19D","D",1428,"0",265
"562","T19D","D",1428,"1",136
"563","T19D","D",1428,"2",78
"564","T19D","D",1428,"3",123
"565","T19D","D",1428,"4",80
"566","T19D","D",1428,"5",71
"567","T19D","D",1428,"6",56
"568","T19D","D",1428,"7",52
"569","T19D","D",1428,"8",64
"570","T19D","D",1428,"9",68
"571","T19D","D",1428,"10",60
"572","T19D","D",1428,"11",41
"573","T19D","D",1428,"12",37
"574","T19D","D",1428,"13",38
"575","T19D","D",1428,"14",24
"576","T19D","D",1428,"15",23
"577","T19D","D",1428,"16",38
"578","T19D","D",1428,"17",34
"579","T19D","D",1428,"18",25
"580","T19D","D",1428,"19",15
"581","T19D","D",1428,"20",21
"582","T19D","D",1428,"21",17
"583","T19D","D",1428,"22",15
"584","T19D","D",1428,"23",17
"585","T19D","D",1428,"24",20
"586","T19D","D",1428,"25",9
"587","T19D","D",1428,"26",1
"588","T5D","D",1187,"0",262
"589","T5D","D",1187,"1",115
"590","T5D","D",1187,"2",97
"591","T5D","D",1187,"3",56
"592","T5D","D",1187,"4",53
"593","T5D","D",1187,"5",56
"594","T5D","D",1187,"6",45
"595","T5D","D",1187,"7",43
"596","T5D","D",1187,"8",65
"597","T5D","D",1187,"9",48
"598","T5D","D",1187,"10",43
"599","T5D","D",1187,"11",25
"600","T5D","D",1187,"12",34
"601","T5D","D",1187,"13",36
"602","T5D","D",1187,"14",13
"603","T5D","D",1187,"15",22
"604","T5D","D",1187,"16",27
"605","T5D","D",1187,"17",29
"606","T5D","D",1187,"18",26
"607","T5D","D",1187,"19",20
"608","T5D","D",1187,"20",9
"609","T5D","D",1187,"21",4
"610","T5D","D",1187,"22",20
"611","T5D","D",1187,"23",13
"612","T5D","D",1187,"24",16
"613","T5D","D",1187,"25",8
"614","T5D","D",1187,"26",2
