"","cluster","gene","Time_estimate","Time_p.value","Time_q.value"
"70",9,"tnfaip8l3",6.51654234044404e-05,0.632213430650231,0.994079288185125
"71",9,"LOC129349365",-2.28382229428696e-05,0.131061506903209,0.994079288185125
"72",9,"scg3",-0.000255082694735715,0.129120954873178,0.994079288185125
"73",9,"lysmd2",-0.00010412904290696,0.192312516322481,0.994079288185125
"74",9,"tmod2",2.48989903196001e-05,0.641502548878723,0.994079288185125
"75",9,"leo1",7.16080308451207e-05,0.186514178428408,0.994079288185125
"76",9,"mapk6",-6.84487291106163e-05,0.710147724067455,0.995535686340016
"77",9,"LOC118471234",3.56959876334519e-05,0.633169233906809,0.994079288185125
"78",9,"usp8",-7.20955312976039e-05,0.244940168654591,0.994079288185125
"79",9,"LOC111577621",-1.77072271434887e-05,0.538682858034441,0.994079288185125
"80",9,"LOC129349407",-2.56663505875958e-06,0.899586760200657,0.997690133677494
"81",9,"pde8a",-0.00016526625980175,0.317988342222761,0.994079288185125
"82",9,"LOC111563916",1.5506505201876e-05,0.746565895761961,0.99764820355292
"83",9,"LOC111563902",-8.88666998817407e-06,0.876577454746528,0.99764820355292
"84",9,"LOC111563893",-3.37537025954834e-06,0.951581976226971,0.998772439579712
"85",9,"homer2",-4.69097864162653e-05,0.444433506555587,0.994079288185125
"86",9,"ramac",7.5733749074334e-06,0.730506822369941,0.995751195679336
"87",9,"LOC111567331",-2.94603492272266e-05,0.691262049169588,0.995535686340016
"88",9,"LOC111567348",1.90922327903018e-05,0.377694925317108,0.994079288185125
"89",9,"zrsr2",4.77551373308048e-05,0.597634740545554,0.994079288185125
"90",9,"LOC111567330",0.000296340694499432,0.00106138770774478,0.735002423582116
"91",9,"phka2",-7.55323151061678e-05,0.467782365236446,0.994079288185125
"92",9,"ppef1",1.06546018084736e-05,0.586985400585348,0.994079288185125
"93",9,"cdkl5",0.000131067650794297,0.511866189215964,0.994079288185125
"94",9,"scml2",-5.42055670336456e-05,0.656184926940456,0.994079288185125
"95",9,"nhsb",2.62793301922983e-05,0.890044072611642,0.99764820355292
"96",9,"ace2",2.79713491797296e-05,0.705194651337199,0.995535686340016
"97",9,"pir",-2.80114283537385e-05,0.422206408409441,0.994079288185125
"98",9,"vegfd",-2.10754420936901e-05,0.236406616968431,0.994079288185125
"99",9,"LOC129350612",-2.22346807637247e-05,0.231565161147037,0.994079288185125
"100",9,"LOC111566424",7.61188130437612e-06,0.505464385408448,0.994079288185125
"101",9,"ildr1a",-1.65345874732251e-05,0.47498463092688,0.994079288185125
"102",9,"tmem39a",-7.16526328659302e-06,0.846787880612238,0.99764820355292
"103",9,"LOC111566421",-2.3730956998316e-05,0.225189709436727,0.994079288185125
"104",9,"LOC111564828",-0.000166192988225644,0.0667050700991238,0.994079288185125
"105",9,"LOC118469910",3.80016444584167e-05,0.318658651068082,0.994079288185125
"106",9,"LOC111564831",0.000107452853199994,0.165234534253401,0.994079288185125
"107",9,"stk16",7.32121503493147e-05,0.303312286426047,0.994079288185125
"108",9,"LOC129349502",5.79576184665086e-08,0.993372972375837,0.99952167860879
"109",9,"atic",-2.18865378514936e-05,0.460312285169988,0.994079288185125
"110",9,"LOC118469909",2.14971841839635e-05,0.286460893798422,0.994079288185125
"111",9,"psmd14",-5.43378585005739e-05,0.465011731964746,0.994079288185125
"112",9,"rbms1a",0.000108701113844857,0.348428572200484,0.994079288185125
"113",9,"pla2r1",-1.35621916999015e-05,0.380730105099051,0.994079288185125
"114",9,"ly75",-2.63829122962956e-05,0.437304232615796,0.994079288185125
"115",9,"marchf7",-1.43941859244954e-05,0.866483467728151,0.99764820355292
"116",9,"baz2ba",6.61694861115952e-05,0.103222692508612,0.994079288185125
"117",9,"wdsub1",1.39783895185087e-06,0.97603727865587,0.999125694599231
"118",9,"LOC111564834",-7.9438101914594e-05,0.529464128756313,0.994079288185125
"119",9,"LOC111564858",-1.78449190301634e-05,0.531408880267399,0.994079288185125
"120",9,"gtf2f2a",4.68856151095684e-05,0.590543837525052,0.994079288185125
"121",9,"gpalpp1",-1.97582556300927e-05,0.557426888913842,0.994079288185125
"122",9,"ercc3",9.73346031924938e-05,0.212204720253612,0.994079288185125
"123",9,"rbm26",-1.6902457807024e-05,0.818148184429719,0.99764820355292
"124",9,"LOC118469912",-8.49509837146676e-06,0.605498256540596,0.994079288185125
