"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"32",27,"arfgap2",0.0035420595957249,0.32296292613551,0.999441924530329
"33",27,"LOC118469870",0.000432613040217371,0.639666835316205,0.999441924530329
"34",27,"glceb",0.00250035523647435,0.55213333022431,0.999441924530329
"35",27,"paqr5b",-0.00117673845056108,0.109488405118892,0.999441924530329
"36",27,"LOC111564414",0.000944041868733109,0.0812670193094633,0.999441924530329
"37",27,"tle3b",0.00566878310087322,0.335494473762466,0.999441924530329
"38",27,"LOC129348677",0.000629943856578616,0.238125715385758,0.999441924530329
"39",27,"uacab",0.00052639119553703,0.105493040781128,0.999441924530329
"40",27,"LOC111564639",-0.0054290400926127,0.360923571672775,0.999441924530329
"41",27,"pias1a",0.00728192327413925,0.178380277973673,0.999441924530329
"42",27,"skor1a",-0.00091414169614056,0.617205090859842,0.999441924530329
"43",27,"map2k5",0.00214005234931034,0.643430008291296,0.999441924530329
"44",27,"smad3a",-0.000205169639421388,0.753979148609441,0.999441924530329
"45",27,"tmem208",0.00035653937987856,0.771629823737004,0.999441924530329
"46",27,"slc39a1",5.90993470449262e-06,0.99712361744353,0.999441924530329
"47",27,"LOC111565738",0.000207192163443393,0.955978821758492,0.999441924530329
"48",27,"LOC111565745",0.00331818537530906,0.395622551377216,0.999441924530329
"49",27,"mibp2",0.00114899135818255,0.493436129438256,0.999441924530329
"50",27,"bloc1s6",-0.0033496515528826,0.350935061170601,0.999441924530329
"51",27,"slc30a4",-4.79668595759561e-05,0.977114143260636,0.999441924530329
"52",27,"c1h15orf48",-2.28215106359357e-05,0.981915478590663,0.999441924530329
"53",27,"spata5l1",-0.0023362423259178,0.116630767754098,0.999441924530329
"54",27,"LOC111565744",0.00102087516975394,0.0782743782637463,0.999441924530329
"55",27,"dtwd1",0.00026605246222225,0.770598549227115,0.999441924530329
"56",27,"cops2",0.000592633627880259,0.731703764087951,0.999441924530329
"57",27,"secisbp2l",-0.000204597622423851,0.955688503153789,0.999441924530329
"58",27,"LOC111565759",-0.00256775889576336,0.294536747592306,0.999441924530329
