"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wtip.18",6.83527091332596e-05,0.465201221065172,0.088,0.058,0.757826486160449,"19","Wtip"
"Ugt2a3.16",6.84127031600204e-05,-3.26654745213971,0.006,0.027,0.758491639935147,"19","Ugt2a3"
"Psd2.14",6.87950187669111e-05,0.48094621887673,0.181,0.139,0.762730373068744,"19","Psd2"
"Prelid3b.12",6.92664383282783e-05,0.591879490592323,0.085,0.056,0.767957001745622,"19","Prelid3b"
"Aspscr1.8",6.94724519236903e-05,0.353677501488137,0.145,0.106,0.770241074477955,"19","Aspscr1"
"Lancl2.12",6.98493643711213e-05,-0.852758285733738,0.141,0.192,0.774419902782622,"19","Lancl2"
"Baiap2.15",6.99220064378509e-05,-0.214284360544118,0.425,0.469,0.775225285376453,"19","Baiap2"
"Tgfbr3.16",7.01610122622841e-05,-2.87752438757472,0.006,0.027,0.777875142951944,"19","Tgfbr3"
"Usp12.11",7.11119597822666e-05,0.115584005494313,0.23,0.181,0.788418298105989,"19","Usp12"
"Ssbp2.16",7.13062518977439e-05,0.165351948554366,0.258,0.207,0.790572414790287,"19","Ssbp2"
"Slc12a6.14",7.25807986340039e-05,0.2764260862548,0.229,0.18,0.804703314455201,"19","Slc12a6"
"Cd63.19",7.32590884542068e-05,-3.3443297240034,0.005,0.025,0.812223513691791,"19","Cd63"
"Ttc39a.15",7.38632259626792e-05,-1.06568572191027,0.049,0.085,0.818921586248224,"19","Ttc39a"
"Lrrc74b.17",7.5038713116662e-05,-4.75899430686781,0.001,0.018,0.831954212324431,"19","Lrrc74b"
"Zdhhc15.10",7.52896127924275e-05,0.345542190387808,0.121,0.085,0.834735937029644,"19","Zdhhc15"
"Mcoln1.11",7.53786933149264e-05,0.308279324392778,0.202,0.158,0.835723572782589,"19","Mcoln1"
"Gpr85.15",7.65366657972579e-05,0.172416141471396,0.336,0.278,0.848562013694199,"19","Gpr85"
"Osgin2.14",7.7037447465488e-05,0.626925696859112,0.071,0.045,0.854114180049866,"19","Osgin2"
"Mterf3.7",7.71265835615152e-05,0.86215892277957,0.03,0.015,0.855102431946519,"19","Mterf3"
"Tecpr2.11",7.73601240124531e-05,0.379339883845442,0.122,0.087,0.857691694926068,"19","Tecpr2"
"Plcl1.15",7.73617113382939e-05,-2.06991315328028,0.189,0.231,0.857709293607665,"19","Plcl1"
"Mbtps1.14",7.74193125962594e-05,0.338241567274317,0.184,0.14,0.858347918754728,"19","Mbtps1"
"Rnf43.17",7.8059826044652e-05,-2.44257558020764,0.031,0.061,0.865449291357057,"19","Rnf43"
"Pkp1.17",7.80924867313497e-05,-1.87200014972935,0.014,0.038,0.865811400390474,"19","Pkp1"
"Napa.12",7.85743759856628e-05,0.449980479287647,0.082,0.053,0.871154106553043,"19","Napa"
"Rad9a.2",7.87430747233879e-05,1.23265540499197,0.016,0.006,0.873024469458202,"19","Rad9a"
"Hcn3.17",8.03367502341393e-05,-0.67970320136037,0.43,0.463,0.890693549845902,"19","Hcn3"
"Arfip1.7",8.07422125124173e-05,0.373456052705172,0.077,0.049,0.89518891012517,"19","Arfip1"
"Stxbp2.9",8.11419840778284e-05,0.501771529989105,0.055,0.032,0.899621177470883,"19","Stxbp2"
"Spred2.12",8.12429304239532e-05,0.247683624488146,0.331,0.275,0.900740369610369,"19","Spred2"
"H3f3b.11",8.17804139512545e-05,-1.01192951777413,0.22,0.274,0.906699449477558,"19","H3f3b"
"Lhx6.16",8.18783807799222e-05,-2.00310790378183,0.017,0.042,0.907785607706998,"19","Lhx6"
"Iffo1.12",8.21762189060419e-05,0.16261025958405,0.276,0.223,0.911087739011286,"19","Iffo1"
"Wls.18",8.30739451177639e-05,-2.81572508339277,0.012,0.035,0.921040829520649,"19","Wls"
"Ndrg1.19",8.33964297423682e-05,-2.81503653511128,0.009,0.032,0.924616216553636,"19","Ndrg1"
"Ivd.10",8.39297034815013e-05,0.630728884241701,0.103,0.071,0.930528622499404,"19","Ivd"
"Enox1.14",8.46718997559975e-05,-0.433373007178407,0.559,0.572,0.938757352594745,"19","Enox1"
"Myt1.18",8.59605484794812e-05,-0.206898202108875,0.504,0.418,0.953044600992008,"19","Myt1"
"Paqr6.19",8.59634890833859e-05,-1.7916163310126,0.073,0.11,0.953077203467499,"19","Paqr6"
"Cav1.3",8.67756308157355e-05,0.468651336274001,0.02,0.008,0.96208141885406,"19","Cav1"
"Tshz3.14",8.75741897601684e-05,0.363348019953789,0.135,0.097,0.970935041870987,"19","Tshz3"
"Sparc.18",8.76543757641485e-05,-3.00171758883078,0.005,0.025,0.971824064097114,"19","Sparc"
"Slf1.10",8.77401832926799e-05,0.762152656160384,0.062,0.038,0.972775412165942,"19","Slf1"
"Pcgf2.6",8.80064007975217e-05,0.574121685349659,0.077,0.05,0.975726965642123,"19","Pcgf2"
"Pacsin3.14",8.87372004222912e-05,-1.42075191183827,0.023,0.051,0.983829341081943,"19","Pacsin3"
"Ntsr1.18",8.9004063188851e-05,0.457904259635491,0.143,0.105,0.986788048574791,"19","Ntsr1"
"Pcmtd1.6",8.90782145253509e-05,0.27852985552789,0.283,0.234,0.987610164442565,"19","Pcmtd1"
"Col5a1.13",8.95677774580891e-05,-2.3916923867942,0.013,0.036,0.993037948677834,"19","Col5a1"
"Atad2b.11",9.02197750799516e-05,0.138891189671684,0.212,0.165,1,"19","Atad2b"
"Heyl.18",9.07492106983247e-05,-5.76023509027112,0.031,0.061,1,"19","Heyl"
"Slc2a7.15",9.29303230371566e-05,-2.24422004943066,0.022,0.049,1,"19","Slc2a7"
"Dhcr7.13",9.52260038027085e-05,0.71130749960258,0.077,0.05,1,"19","Dhcr7"
"Plpp3.17",9.59580257543591e-05,-2.33029660253672,0.018,0.043,1,"19","Plpp3"
"Ash1l.13",9.604140314366e-05,-0.848941828412259,0.372,0.415,1,"19","Ash1l"
"Ccdc81.15",9.85260753400465e-05,-4.79502315497186,0.001,0.018,1,"19","Ccdc81"
"Ahrr.16",9.85263745825702e-05,-1.43351211456428,0.015,0.039,1,"19","Ahrr"
"Tgs1.8",9.86449818868076e-05,0.339322552959897,0.197,0.154,1,"19","Tgs1"
"Tfap2a.17",9.87093677793366e-05,-4.16114230661484,0.002,0.02,1,"19","Tfap2a"
"Sec11a.10",9.87114378909447e-05,0.55567580070104,0.084,0.055,1,"19","Sec11a"
"Adamts14.14",0.00010102434538599,-1.98227466461244,0.025,0.053,1,"19","Adamts14"
"Itga2",0.00010144816259111,1.86225669475398,0.01,0.003,1,"19","Itga2"
"Tsc2.10",0.000101527560334141,0.33236983780143,0.156,0.116,1,"19","Tsc2"
"Afmid.12",0.000101694520774,0.650600143263058,0.05,0.029,1,"19","Afmid"
"Tnfsf10.8",0.000102892906103143,0.456855711944483,0.029,0.014,1,"19","Tnfsf10"
"Aopep.12",0.000107127865541501,-0.959945126674166,0.144,0.188,1,"19","Aopep"
"Fam20b.12",0.000107660689775777,0.37235725268592,0.156,0.117,1,"19","Fam20b"
"Top3b.11",0.000111368282628008,0.119250462409794,0.319,0.265,1,"19","Top3b"
"Poli.13",0.000113807065833249,0.682092983716342,0.077,0.05,1,"19","Poli"
"Scamp3.11",0.000114064118738058,0.149217129891076,0.22,0.174,1,"19","Scamp3"
"Efl1.10",0.000114094479746278,0.386578179932336,0.096,0.065,1,"19","Efl1"
"Rnasek.15",0.000114394834611971,0.250965882900504,0.364,0.305,1,"19","Rnasek"
"Ptk2b.18",0.000114499286829573,-3.34993412760854,0.006,0.026,1,"19","Ptk2b"
"Ccdc158.8",0.000114578070208126,0.641175050878381,0.079,0.052,1,"19","Ccdc158"
"Hes6.12",0.000115017371826275,1.50902595650347,0.025,0.012,1,"19","Hes6"
"Arhgef12.13",0.000115667455254175,-1.26716129195402,0.147,0.194,1,"19","Arhgef12"
"Mmp14.19",0.000115940442230937,-5.29561201554561,0.005,0.024,1,"19","Mmp14"
"Atat1.15",0.000117800403189188,0.249457181370284,0.2,0.155,1,"19","Atat1"
"Pparg.18",0.00011803655306038,-2.25802451107547,0.009,0.031,1,"19","Pparg"
"Arhgef28.17",0.000120752455279739,-1.78221751795944,0.053,0.088,1,"19","Arhgef28"
"Wdfy2.13",0.000122399159757792,0.267057490190057,0.273,0.224,1,"19","Wdfy2"
"Entpd4.10",0.000122727642966902,0.527354270214504,0.089,0.06,1,"19","Entpd4"
"Fam171a2.12",0.000122837811858977,0.157519194722375,0.354,0.297,1,"19","Fam171a2"
"Slc35g1.6",0.000122920629436679,0.609099571929131,0.043,0.024,1,"19","Slc35g1"
"Atp7a.8",0.000123733596959669,0.387313852032827,0.104,0.072,1,"19","Atp7a"
"Prss12.13",0.000124164240831339,0.674646768399805,0.091,0.062,1,"19","Prss12"
"Hgf.3",0.000124393242067064,1.33164868419326,0.016,0.006,1,"19","Hgf"
"B3galt2.17",0.000125853055193667,0.453986880782882,0.196,0.152,1,"19","B3galt2"
"P2ry1.16",0.000128320466493678,-2.49824449408212,0.007,0.028,1,"19","P2ry1"
"Csrnp3.14",0.000128421971347024,0.454043662350335,0.224,0.179,1,"19","Csrnp3"
"Tmub2.11",0.000129230068040189,0.506615303790893,0.101,0.07,1,"19","Tmub2"
"Dsg1c.19",0.000130624284332599,1.00865649907632,0.043,0.024,1,"19","Dsg1c"
"Srebf1.10",0.000132340318596072,-0.951566556324801,0.139,0.184,1,"19","Srebf1"
"Sec63.8",0.000133214170657879,0.217396825216704,0.129,0.093,1,"19","Sec63"
"Odc1.9",0.00013456001291667,1.01515122471067,0.035,0.018,1,"19","Odc1"
"Nr1i3.14",0.000135223005070195,-1.04330792207056,0.077,0.116,1,"19","Nr1i3"
"Gad2.19",0.000135714244217385,0.160833262274083,0.268,0.212,1,"19","Gad2"
"Ssr2.8",0.000136608625150407,0.367995738447278,0.133,0.097,1,"19","Ssr2"
"Stk39.13",0.000136772723337595,0.500860101600258,0.126,0.091,1,"19","Stk39"
"Foxk1.10",0.00013689481084855,0.129962284305439,0.25,0.202,1,"19","Foxk1"
"Vopp1.14",0.000137557515089503,0.335561608307424,0.2,0.157,1,"19","Vopp1"
"Arhgap20.16",0.000139435108047643,-1.60754756456628,0.09,0.129,1,"19","Arhgap20"
"Tmtc1.13",0.000139664096418096,0.117161821526675,0.618,0.541,1,"19","Tmtc1"
"Pxk.12",0.000139818712725555,0.338165412650162,0.16,0.121,1,"19","Pxk"
"Usb1.7",0.000140085121296094,0.585930128903111,0.06,0.036,1,"19","Usb1"
"Acss1.14",0.000143376374920407,-1.46693461763556,0.036,0.066,1,"19","Acss1"
"Itgb2.19",0.000144239630846913,-4.9059918870882,0.001,0.017,1,"19","Itgb2"
"Serinc4.12",0.000145429578266378,-6.28886998459245,0,0.015,1,"19","Serinc4"
"Osbpl9.12",0.000146798768676523,0.147081809573635,0.287,0.236,1,"19","Osbpl9"
"Stac2.17",0.000147498771458912,-1.28483824316063,0.035,0.064,1,"19","Stac2"
"Tmem35a.15",0.000147499329904868,0.337502874071621,0.195,0.152,1,"19","Tmem35a"
"Fndc5.15",0.000147845151733495,0.379541215492616,0.163,0.123,1,"19","Fndc5"
"Cnr1.14",0.000148074220443115,-0.200139753662687,0.292,0.232,1,"19","Cnr1"
"Phka2.12",0.00014817805540007,0.589220667307317,0.127,0.092,1,"19","Phka2"
"Acp1.13",0.000149458973617522,0.481602668691367,0.121,0.088,1,"19","Acp1"
"Nnt.10",0.000150613957641871,-0.567324026399185,0.132,0.18,1,"19","Nnt"
"Atg7.12",0.0001510171460739,0.197122776837869,0.236,0.19,1,"19","Atg7"
"Mal2.19",0.000151133223919334,-4.88102572818808,0.003,0.02,1,"19","Mal2"
"Emc10.8",0.000151672828772389,0.403300196694931,0.112,0.079,1,"19","Emc10"
"Gbe1.10",0.000151772982449034,0.149284738159573,0.163,0.122,1,"19","Gbe1"
"Arhgap40.14",0.000152105955900442,0.334003619529895,0.139,0.102,1,"19","Arhgap40"
"Adck5.5",0.000152175808843102,0.559886815118599,0.042,0.023,1,"19","Adck5"
"Ackr4.16",0.000152665123367901,0.964463594985827,0.023,0.01,1,"19","Ackr4"
"Acin1.11",0.00015269093141645,0.13552011103922,0.482,0.415,1,"19","Acin1"
"Slc35a1.6",0.000152941124313205,0.466083759320137,0.087,0.058,1,"19","Slc35a1"
"Zranb3.12",0.000153105306768246,-0.870738778911288,0.105,0.147,1,"19","Zranb3"
"Ablim3.14",0.000153290814794331,0.328222525972387,0.133,0.096,1,"19","Ablim3"
"B3galt1.16",0.000158362344154805,0.389423080623035,0.234,0.19,1,"19","B3galt1"
"Tmem151a.15",0.000159527159030946,-0.579751660097622,0.18,0.229,1,"19","Tmem151a"
"Shc2.18",0.00015981558405179,0.73265109298593,0.051,0.03,1,"19","Shc2"
"Lrrc75a.16",0.000160609510756478,-1.15566586307154,0.104,0.144,1,"19","Lrrc75a"
"Slc35a2.8",0.000163433894620532,0.30958939041149,0.171,0.131,1,"19","Slc35a2"
"Creb3l4.9",0.000163530531371474,0.565776834464484,0.088,0.059,1,"19","Creb3l4"
"Larp4.7",0.000163925432371349,0.243154321308313,0.055,0.033,1,"19","Larp4"
"Dpysl2.14",0.000165659945828497,0.134960818291672,0.554,0.473,1,"19","Dpysl2"
"Tmem121.18",0.000167000386113305,0.393258957358239,0.238,0.192,1,"19","Tmem121"
"Tal1.19",0.000167282846099478,-3.37766431323799,0.003,0.02,1,"19","Tal1"
