"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"sez6l2",1.636784356661e-21,-7.53614513361681,0.041,0.515,2.54700013740018e-17,"RGC","sez6l2"
"nicol1",1.69051651793886e-21,-1.40485971638301,0.095,0.587,2.63061275356466e-17,"RGC","nicol1"
"calm1b",2.30760592436248e-21,-2.99768622849823,0.142,0.643,3.59086557890046e-17,"RGC","calm1b"
"atp6v0a1b",2.65151167449448e-21,-5.9714242620656,0.027,0.5,4.12601731668086e-17,"RGC","atp6v0a1b"
"her4.1",2.85671471950369e-21,7.23169533031143,0.534,0.107,4.44533377501969e-17,"RGC","her4.1"
"gja1b",2.97468462032059e-21,11.211835616141,0.446,0.036,4.62890673768088e-17,"RGC","gja1b"
"dnajc5aa",3.35069074225957e-21,-5.41519746098676,0.061,0.536,5.21400986403012e-17,"RGC","dnajc5aa"
"fkbp1aa",4.23309447762656e-21,-2.16353031454849,0.284,0.781,6.58711831663468e-17,"RGC","fkbp1aa"
"vdac1",4.2982468809958e-21,-2.69133080864871,0.223,0.699,6.68850197151757e-17,"RGC","vdac1"
"ptp4a1",5.16442265594177e-21,-2.8618553721906,0.135,0.638,8.03635809491099e-17,"RGC","ptp4a1"
"spock3",5.19341177333455e-21,-2.85324564715965,0.047,0.526,8.08146806048589e-17,"RGC","spock3"
"crip2l",5.3292786357742e-21,-5.29275165120957,0.02,0.49,8.29289048512823e-17,"RGC","crip2l"
"jpt1b",7.50192626724246e-21,-2.43346521341351,0.243,0.719,1.1673747464456e-16,"RGC","jpt1b"
"atp6v1b2",1.0266996774522e-20,-3.82166984439068,0.081,0.566,1.59764736808337e-16,"RGC","atp6v1b2"
"s100b",1.42542486831339e-20,5.36242740538538,0.514,0.087,2.21810363758246e-16,"RGC","s100b"
"atp6v1e1b",1.48332021578007e-20,-3.34673476463909,0.095,0.582,2.30819458777537e-16,"RGC","atp6v1e1b"
"plcxd3",1.86388010936685e-20,-5.61318152865938,0.041,0.505,2.90038383818575e-16,"RGC","plcxd3"
"ube2e3",1.93532772099753e-20,-2.30383757243985,0.291,0.745,3.01156346664426e-16,"RGC","ube2e3"
"tspan7",2.10525662505374e-20,-1.72643752028494,0.216,0.745,3.27598983424612e-16,"RGC","tspan7"
"zc4h2",2.85983649857068e-20,-2.82722667678825,0.182,0.663,4.45019157542583e-16,"RGC","zc4h2"
"serinc1",3.111549684348e-20,-1.99197028971992,0.331,0.786,4.84188246381392e-16,"RGC","serinc1"
"c1qtnf4",3.91609133443987e-20,-3.30145898775385,0.041,0.5,6.09382972552188e-16,"RGC","c1qtnf4"
"stx1b",4.85968118475134e-20,-6.4849803661799,0.061,0.515,7.56214989159156e-16,"RGC","stx1b"
"zfp36l2",6.45250144688911e-20,6.41785887218277,0.405,0.02,1.00407375015041e-15,"RGC","zfp36l2"
"dclk1b",6.53510931369491e-20,-4.56078829985081,0.041,0.5,1.01692836030407e-15,"RGC","dclk1b"
"oaz1b",7.32321312292482e-20,-1.65693389817074,0.385,0.837,1.13956519405833e-15,"RGC","oaz1b"
"myl12.1",7.60329584576111e-20,-1.83836464141891,0.304,0.755,1.18314886655889e-15,"RGC","myl12.1"
"si:dkey-178k16.1",8.20050756878416e-20,-2.94399476769689,0.054,0.541,1.2760809827785e-15,"RGC","si:dkey-178k16.1"
"syt11b",1.04976463481202e-19,-5.55827994473205,0.041,0.49,1.63353874823098e-15,"RGC","syt11b"
"atp1b4",1.07447884323246e-19,5.09557717144583,0.5,0.087,1.67199652795404e-15,"RGC","atp1b4"
"clta",1.12536804742903e-19,-2.77951212472319,0.095,0.571,1.75118521860432e-15,"RGC","clta"
"vamp2",1.13447501880475e-19,-4.01760560304658,0.088,0.561,1.76535657676207e-15,"RGC","vamp2"
"anks1b",1.63295267955571e-19,-3.74163491791318,0.061,0.52,2.54103766465664e-15,"RGC","anks1b"
"cd99l2",1.77043189892104e-19,-3.56650992710458,0.257,0.689,2.75496907791102e-15,"RGC","cd99l2"
"cyp19a1b",1.94729752132435e-19,11.1476518977049,0.507,0.107,3.03018967293282e-15,"RGC","cyp19a1b"
"evlb",2.75439357037891e-19,-5.07002677155462,0.027,0.469,4.28611183486662e-15,"RGC","evlb"
"slc1a2b",3.10866798789548e-19,4.06495239425923,0.676,0.311,4.83739825596416e-15,"RGC","slc1a2b"
"tubb2b",3.12134784446426e-19,-2.17432269620277,0.27,0.73,4.85712938077084e-15,"RGC","tubb2b"
"hmgb1b",3.95559023837495e-19,-1.35048276521006,0.419,0.918,6.15529396993527e-15,"RGC","hmgb1b"
"srrm1",4.29964718001481e-19,-1.61811765803688,0.236,0.714,6.69068097682104e-15,"RGC","srrm1"
"olfm1a",5.06199813119667e-19,-5.29395815585226,0.027,0.464,7.87697529195513e-15,"RGC","olfm1a"
"si:dkey-106l3.6",5.07789719027796e-19,-4.09614139233701,0.02,0.459,7.90171581779154e-15,"RGC","si:dkey-106l3.6"
"nrn1a",5.51228051794454e-19,-8.28799908784757,0.007,0.429,8.5776597139735e-15,"RGC","nrn1a"
"fads2",6.99627699310775e-19,5.2261901039206,0.709,0.327,1.0886906628975e-14,"RGC","fads2"
"arhgap44a",7.1689004470586e-19,-4.67839183708842,0.034,0.48,1.11555259856679e-14,"RGC","arhgap44a"
"slc4a4a",7.5118553469838e-19,7.977017794067,0.405,0.031,1.16891981054415e-14,"RGC","slc4a4a"
"dpysl5a",8.56399023746141e-19,-4.64098627554101,0.047,0.485,1.33264252085137e-14,"RGC","dpysl5a"
"grin1a",1.06330310504871e-18,-3.09800940290306,0.047,0.48,1.6546059617663e-14,"RGC","grin1a"
"nmnat2",1.12719248064356e-18,-3.44008801083452,0.02,0.454,1.75402421912944e-14,"RGC","nmnat2"
"fam49al",1.31538270568747e-18,-4.2312787098178,0.101,0.551,2.04686702832027e-14,"RGC","fam49al"
"ndufa4b",1.73178733046424e-18,-5.90550866850744,0.02,0.444,2.69483426493541e-14,"RGC","ndufa4b"
"eno1a",1.74452841901899e-18,-2.2463531132395,0.257,0.699,2.71466067283545e-14,"RGC","eno1a"
"rab3c",2.01965588568095e-18,-8.46766089269292,0,0.408,3.14278652370813e-14,"RGC","rab3c"
"map4l",2.68154247767615e-18,-4.11604993254091,0.115,0.556,4.17274824951186e-14,"RGC","map4l"
"ppp1cb",2.79475658120922e-18,-1.95288552047361,0.27,0.74,4.34892071601967e-14,"RGC","ppp1cb"
"clk4a",2.97063456796772e-18,-1.67974758359705,0.419,0.852,4.62260445121457e-14,"RGC","clk4a"
"dscaml1",3.04098733968419e-18,-5.53752559714392,0.02,0.439,4.73208039928257e-14,"RGC","dscaml1"
"kcnma1a",3.73835652246152e-18,-5.32260072083721,0.041,0.464,5.81725658460237e-14,"RGC","kcnma1a"
"snap25b",3.73835652246152e-18,-3.94613019326563,0.041,0.464,5.81725658460237e-14,"RGC","snap25b"
"ndfip1",4.15268497346917e-18,-2.28839227836458,0.115,0.587,6.46199308721537e-14,"RGC","ndfip1"
"ptn",5.37181559533412e-18,7.82170008495958,0.439,0.066,8.35908224789942e-14,"RGC","ptn"
"sult4a1",5.42781123077986e-18,-6.20767723742353,0.014,0.423,8.44621705621653e-14,"RGC","sult4a1"
"syn2a",5.8880770248003e-18,-6.76344168028232,0.034,0.449,9.16243665829174e-14,"RGC","syn2a"
"lhfpl3",6.54224017206208e-18,-4.62923503934513,0.047,0.474,1.01803799317458e-13,"RGC","lhfpl3"
"evla",6.67749368406138e-18,-3.87489722774259,0.02,0.439,1.03908479217679e-13,"RGC","evla"
"slco5a1a",7.16456530774621e-18,-3.68025423189127,0.081,0.52,1.11487800753839e-13,"RGC","slco5a1a"
"rab6ba",8.58098645498752e-18,-4.07742175376548,0.054,0.485,1.33528730226061e-13,"RGC","rab6ba"
"chga",9.05984284575235e-18,-6.23915807285001,0.02,0.429,1.40980214522752e-13,"RGC","chga"
"her6",9.36980214516563e-18,5.42430951451125,0.459,0.082,1.45803491180922e-13,"RGC","her6"
"tmeff1b",9.55889970134113e-18,-2.18354350606731,0.122,0.566,1.48746038252569e-13,"RGC","tmeff1b"
"cbx1b",1.06223985235872e-17,-3.00656473765193,0.095,0.541,1.6529514342554e-13,"RGC","cbx1b"
"efhd1",1.07351492582823e-17,5.52930407756809,0.432,0.061,1.67049657608131e-13,"RGC","efhd1"
"si:dkeyp-72g9.4",1.26788871979118e-17,-3.95572564478791,0.02,0.429,1.97296163686705e-13,"RGC","si:dkeyp-72g9.4"
"appb",1.35530824208108e-17,-1.88208356858705,0.223,0.689,2.10899515550236e-13,"RGC","appb"
"sh3bgrl3",1.59491824162527e-17,-1.98431172744864,0.074,0.526,2.48185227579309e-13,"RGC","sh3bgrl3"
"tsc22d1",1.81688497733636e-17,-1.74722075130751,0.304,0.76,2.82725471323312e-13,"RGC","tsc22d1"
"atp6v0b",3.11550202933816e-17,-4.09641980814749,0.108,0.531,4.8480327078531e-13,"RGC","atp6v0b"
"klc4",3.59321542812591e-17,-2.83734286944473,0.088,0.531,5.59140252770674e-13,"RGC","klc4"
"sv2a",3.87224132389345e-17,-7.71535931298225,0.014,0.403,6.02559472411059e-13,"RGC","sv2a"
"her4.3",4.22796056698723e-17,4.36520459722724,0.446,0.077,6.57912943828883e-13,"RGC","her4.3"
"rab6bb",4.43817715627622e-17,-1.27069577890645,0.081,0.526,6.90624747288143e-13,"RGC","rab6bb"
"glula",4.99719408626583e-17,4.1283587341804,0.777,0.551,7.77613371763825e-13,"RGC","glula"
"pbxip1b",5.24575905220062e-17,9.4399435902014,0.372,0.031,8.16292566112939e-13,"RGC","pbxip1b"
"pcdh1gc5",5.35150887820547e-17,-3.6504943292824,0.014,0.413,8.32748296537554e-13,"RGC","pcdh1gc5"
"camk2n1a",5.68431991395434e-17,-3.57274209757171,0.128,0.546,8.84537021810435e-13,"RGC","camk2n1a"
"ywhaba",5.72475280918675e-17,-1.74038188993814,0.345,0.776,8.9082878463755e-13,"RGC","ywhaba"
"her15.1",7.24975981259217e-17,4.62928777328461,0.439,0.071,1.12813512443747e-12,"RGC","her15.1"
"gng2",7.84804464796806e-17,-3.70915909731372,0.047,0.454,1.22123422767031e-12,"RGC","gng2"
"myt1la",8.48331633266561e-17,-5.06320222558131,0.027,0.423,1.3200888545261e-12,"RGC","myt1la"
"boc",8.62272828045444e-17,5.27164147909968,0.365,0.026,1.34178274772152e-12,"RGC","boc"
"snap91b",8.86523905590957e-17,-5.48411925627813,0.027,0.418,1.37951984949009e-12,"RGC","snap91b"
"gstp1.2",1.06769052610501e-16,4.41766502903244,0.426,0.061,1.661433227672e-12,"RGC","gstp1.2"
"id1",1.24948491571463e-16,6.01184104357798,0.351,0.02,1.94432347734354e-12,"RGC","id1"
"tmem176l.1",1.38662038464032e-16,5.60598276964215,0.378,0.036,2.1577199805388e-12,"RGC","tmem176l.1"
"gpm6bb",1.46058973642424e-16,4.42195145478567,0.385,0.036,2.27282368884976e-12,"RGC","gpm6bb"
"atp6ap2",1.647856702754e-16,-2.74155844678288,0.162,0.582,2.56422981515549e-12,"RGC","atp6ap2"
"pclob",1.7104974071061e-16,-3.665004673312,0.047,0.459,2.6617050151978e-12,"RGC","pclob"
"cspg5a",1.79572630963767e-16,-1.30851568112062,0.291,0.714,2.79432971042717e-12,"RGC","cspg5a"
"kiaa1549la",2.08006907404629e-16,-5.23999731751019,0.054,0.444,3.23679548612343e-12,"RGC","kiaa1549la"
"si:ch1073-429i10.3",2.13715521128197e-16,-1.9576118375396,0.223,0.689,3.32562722427587e-12,"RGC","si:ch1073-429i10.3"
"palm1b",2.22024739974119e-16,-3.23852801861366,0.061,0.474,3.45492697873726e-12,"RGC","palm1b"
"epb41a",2.30076628263349e-16,-3.13366641508524,0.108,0.52,3.58022241240597e-12,"RGC","epb41a"
"ppap2d",2.62875799742104e-16,5.427241956186,0.412,0.061,4.09061031978689e-12,"RGC","ppap2d"
"klc1a",2.64626645925427e-16,-3.30544469560423,0.108,0.541,4.11785523724557e-12,"RGC","klc1a"
"celf5a",2.80355031153985e-16,-7.02721702949296,0.014,0.388,4.36260463978716e-12,"RGC","celf5a"
"elmo1",3.04023845259459e-16,-2.297450592979,0.081,0.51,4.73091505608244e-12,"RGC","elmo1"
"coro1cb",3.3761474083109e-16,-2.51271986775515,0.162,0.597,5.25362298207259e-12,"RGC","coro1cb"
"eef1da",3.50616022614422e-16,6.79035639999849,0.331,0.015,5.45593592790303e-12,"RGC","eef1da"
"pcp4a",4.18568343527613e-16,-7.71274974048925,0.014,0.383,6.51334199363318e-12,"RGC","pcp4a"
"tubb5",5.30741924906623e-16,-5.52705070851469,0.176,0.556,8.25887509347195e-12,"RGC","tubb5"
"elovl4a",5.76140565862126e-16,-5.64187898703228,0.02,0.398,8.96532334538055e-12,"RGC","elovl4a"
"zfp36l1a",6.04376396630613e-16,3.80537396228844,0.426,0.066,9.40470110796897e-12,"RGC","zfp36l1a"
"LOC100007608",6.04913592435944e-16,-5.9620549903113,0.02,0.393,9.41306041189572e-12,"RGC","LOC100007608"
"si:dkey-7j14.5",6.12089192887512e-16,-5.5073419732419,0.027,0.403,9.52471993052258e-12,"RGC","si:dkey-7j14.5"
"ddx5",6.3052242186487e-16,-1.23550408763607,0.48,0.872,9.81155940663924e-12,"RGC","ddx5"
"kdm6bb",8.86783247901014e-16,-3.96196428395255,0.047,0.434,1.37992341205877e-11,"RGC","kdm6bb"
"uchl1",9.53223149394561e-16,-1.57749719253791,0.162,0.612,1.48331054277288e-11,"RGC","uchl1"
"lgals2a",1.16731186438609e-15,9.48270915962995,0.311,0.01,1.8164539921712e-11,"RGC","lgals2a"
"si:ch73-119p20.1",1.28083808633145e-15,-4.3409822333011,0.027,0.403,1.99311214614037e-11,"RGC","si:ch73-119p20.1"
"her4.4",1.32570584216637e-15,5.02640709225119,0.52,0.173,2.06293086099509e-11,"RGC","her4.4"
"ckmt1",1.33681675633654e-15,-5.31386801555058,0.014,0.378,2.08022055453528e-11,"RGC","ckmt1"
"calm2b",1.33937161842161e-15,-1.30663082737501,0.459,0.852,2.08419617542587e-11,"RGC","calm2b"
"prkar1b",1.68218110847116e-15,-4.13888327115781,0.034,0.408,2.61764202289198e-11,"RGC","prkar1b"
"CYTB",2.24556308907775e-15,2.73168111330161,0.959,0.934,3.49432072291389e-11,"RGC","CYTB"
"celf4",2.29746340990357e-15,-2.99485101476176,0.02,0.393,3.57508281215094e-11,"RGC","celf4"
"si:dkey-238c7.13",2.29927852206519e-15,6.8609048338479,0.459,0.117,3.57790730818565e-11,"RGC","si:dkey-238c7.13"
"gabrg2",2.31139183258886e-15,-7.66187636822556,0,0.347,3.59675683069153e-11,"RGC","gabrg2"
"gng13b",2.31139183258886e-15,-8.70179705485642,0,0.347,3.59675683069153e-11,"RGC","gng13b"
"scdb",2.35207417258587e-15,-4.39316583911236,0.034,0.403,3.66006261996088e-11,"RGC","scdb"
"pcdh1g30",2.50084426260709e-15,-4.75388631131245,0.007,0.362,3.89156375704289e-11,"RGC","pcdh1g30"
"gpm6aa",2.57100774540201e-15,-1.63056852904254,0.358,0.791,4.00074515262006e-11,"RGC","gpm6aa"
"her4.2",2.66982693434438e-15,4.63698465413597,0.554,0.204,4.15451769253328e-11,"RGC","her4.2"
"cdk5r1b",3.03316803959638e-15,-4.81831614971852,0.02,0.383,4.71991278641593e-11,"RGC","cdk5r1b"
"snap91a",3.18481360153298e-15,-4.59261457448846,0.034,0.403,4.95588844534547e-11,"RGC","snap91a"
"gas7a",3.6804469163901e-15,-3.91010796504391,0.027,0.398,5.72714344659464e-11,"RGC","gas7a"
"jpt1a",3.80592782657825e-15,-3.26906338401984,0.02,0.383,5.92240429093841e-11,"RGC","jpt1a"
"ap2m1b",5.20781604993053e-15,-3.17229211694791,0.101,0.485,8.10388255529689e-11,"RGC","ap2m1b"
"ppiab",5.62878609825605e-15,-0.960456307480615,0.615,0.934,8.75895404749624e-11,"RGC","ppiab"
"ndrg4",5.71054959436459e-15,-1.25275200349329,0.176,0.612,8.88618622379074e-11,"RGC","ndrg4"
"cycsb",5.71521920257004e-15,-1.0275635793395,0.176,0.592,8.89345260111923e-11,"RGC","cycsb"
"raver2",6.9508159764065e-15,-4.35341647949269,0.047,0.418,1.08161647408862e-10,"RGC","raver2"
"atp5f1b",7.8414134687865e-15,-1.33646064404835,0.507,0.857,1.22020234987787e-10,"RGC","atp5f1b"
"her15.2",8.35198314057909e-15,4.48849923492675,0.446,0.107,1.29965209650551e-10,"RGC","her15.2"
"nptna",8.79189432454479e-15,-3.07645946689212,0.034,0.403,1.36810667584241e-10,"RGC","nptna"
"clip3",8.94159870558936e-15,-1.48576596693123,0.142,0.546,1.39140217457676e-10,"RGC","clip3"
"tpi1b",9.16483141942107e-15,-1.03944555205673,0.176,0.638,1.42613941717611e-10,"RGC","tpi1b"
"acsl2",9.71418435662552e-15,8.15568722315788,0.284,0.005,1.5116242277345e-10,"RGC","acsl2"
"atp1b1b",1.17060344349964e-14,-7.41142350812174,0.041,0.393,1.8215760184298e-10,"RGC","atp1b1b"
"gnao1a",1.24814828145155e-14,-2.05984182378244,0.182,0.592,1.94224354076676e-10,"RGC","gnao1a"
"atn1",1.28076099179074e-14,-3.46578216629293,0.061,0.429,1.99299217932557e-10,"RGC","atn1"
