cluster,gene,gene_name,short_label,av_q.value,status,valid_correlation,invalid_reason,n_cluster_cells,n_animals_in_cluster,expected_n_animals,n_peaks_tested,n_valid_peaks,selected_peak,peak_chr,peak_start,peak_end,peak_relation,distance_to_gene,pearson_r,pearson_p,pearson_FDR_global,spearman_rho,spearman_p,cor_n,n_nonzero_atac,n_nonzero_rna,n_zero_atac,n_zero_rna
10,st18,ST18 C2H2C-type zinc finger transcription factor,Late Upregulated,0.014060196,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,1157,22,22,13,0,NC-072775.1-19901101-19901458,NC_072775.1,19901101,19901458,gene_body,0,0.49344129,0.019611548,NA,0.573131254,0.005299652,22,7,16,15,6
10,med15,mediator complex subunit 15,Late Upregulated,0.014267118,valid,TRUE,NA,1157,22,22,4,2,NC-072784.1-9669597-9671076,NC_072784.1,9669597,9671076,gene_body,0,0.500078114,0.0177859,0.447591623,0.236127787,0.290082348,22,22,18,0,4
11,grik4,"glutamate receptor, ionotropic, kainate 4",Late Downregulated,0.00680349,invalid,FALSE,too_many_atac_zeros,1107,22,22,51,0,NC-072772.1-6798125-6798910,NC_072772.1,6798125,6798910,gene_body,0,0.510586964,0.015177869,NA,0.540147223,0.009458783,22,3,22,19,0
11,wu:fa11c10,protein FAM110A,Late Downregulated,0.007423145,valid,TRUE,NA,1107,22,22,13,2,NC-072773.1-3542765-3543963,NC_072773.1,3542765,3543963,gene_body,0,0.037695702,0.867726916,0.985575771,0.121400339,0.590454607,22,21,22,1,0
11,plch2a,"phospholipase C, epsilon 2",Early Downregulated,0.03562468,invalid,FALSE,too_many_atac_zeros,1107,22,22,29,0,NC-072773.1-9755933-9756415,NC_072773.1,9755933,9756415,gene_body,0,-0.707159262,0.000233086,NA,-0.361157559,0.098660447,22,1,21,21,1
11,LOC129349400,EPM2A-interacting protein 1-like,Late Downregulated,0.031861324,invalid,FALSE,too_many_atac_zeros,1107,22,22,14,0,NC-072773.1-16322289-16322985,NC_072773.1,16322289,16322985,gene_body,0,0.35617006,0.103750284,NA,0.320192908,0.146295166,22,12,21,10,1
11,nr1d2a,"nuclear receptor subfamily 1, group D, member 2a",Early Downregulated,0.046309119,valid,TRUE,NA,1107,22,22,3,2,NC-072774.1-14570619-14572408,NC_072774.1,14570619,14572408,gene_body,0,-0.275632106,0.214388801,0.827275403,-0.036743947,0.871039257,22,22,19,0,3
11,LOC111580029,myelin basic protein-like,Early Upregulated,0.008417151,invalid,FALSE,too_many_atac_zeros,1107,22,22,5,0,NC-072774.1-28724641-28726890,NC_072774.1,28724641,28726890,gene_body,0,0.296463509,0.180336312,NA,0.244187078,0.27344328,22,10,22,12,0
11,fam110b,family with sequence similarity 110 member B,Early Downregulated,0.018046233,valid,TRUE,NA,1107,22,22,11,1,NC-072775.1-23724551-23725450,NC_072775.1,23724551,23725450,proximal_promoter,723,0.505313118,0.016444871,0.447591623,0.405932203,0.060863558,22,20,20,2,2
11,sema5ba,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5Ba",Transiently Upregulated,0.026004437,valid,TRUE,NA,1107,22,22,51,1,NC-072776.1-24188625-24190686,NC_072776.1,24188625,24190686,gene_body,0,-0.452028753,0.034681972,0.548242927,-0.369847544,0.09023504,22,22,22,0,0
11,LOC118469121,NA,Transiently Downregulated,0.018875073,invalid,FALSE,no_peak_over_gene_or_promoter,1107,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,slco2b1,"solute carrier organic anion transporter family, member 2B1",Early Upregulated,0.028872675,invalid,FALSE,no_peak_over_gene_or_promoter,1107,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,LOC111572229,cadherin 6-like,Late Downregulated,0.009813407,invalid,FALSE,too_many_rna_zeros,1107,22,22,11,0,NC-072780.1-14270968-14271886,NC_072780.1,14270968,14271886,gene_body,0,0.272787445,0.219349336,NA,-0.042215334,0.852027616,22,20,16,2,6
11,LOC111565980,uncharacterized LOC111565980,Late Downregulated,3.69e-05,invalid,FALSE,too_many_atac_zeros,1107,22,22,17,0,NC-072782.1-3034770-3035460,NC_072782.1,3034770,3035460,gene_body,0,-0.566260567,0.006008414,NA,-0.414827989,0.054900664,22,2,20,20,2
11,asic2,acid sensing channel 2,Late Downregulated,0.000753711,valid,TRUE,NA,1107,22,22,79,1,NC-072784.1-13636819-13638045,NC_072784.1,13636819,13638045,gene_body,0,0.203272024,0.364247913,0.893434931,-0.057029927,0.80097559,22,21,22,1,0
11,alk,ALK receptor tyrosine kinase,Late Downregulated,0.046502639,valid,TRUE,NA,1107,22,22,82,4,NC-072785.1-2761933-2762712,NC_072785.1,2761933,2762712,gene_body,0,-0.187809218,0.402610118,0.919414216,-0.189694985,0.397815876,22,18,22,4,0
11,LOC111582608,zona pellucida sperm-binding protein 3-like,Transiently Upregulated,0.008024255,invalid,FALSE,too_many_atac_zeros,1107,22,22,4,0,NC-072789.1-4240155-4240409,NC_072789.1,4240155,4240409,gene_body,0,0.339306738,0.122385953,NA,0.412944119,0.056124296,22,4,20,18,2
11,LOC111584452,cd59,Early Upregulated,0.037439359,invalid,FALSE,too_many_atac_zeros,1107,22,22,2,0,NC-072789.1-18512227-18513015,NC_072789.1,18512227,18513015,proximal_promoter,1942,0.205805966,0.358169608,NA,0.209349213,0.349769689,22,6,22,16,0
12,hectd2,HECT domain E3 ubiquitin protein ligase 2,Late Upregulated,0.010237411,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,957,22,22,14,0,NC-072781.1-31512405-31512995,NC_072781.1,31512405,31512995,gene_body,0,0.473121766,0.026156701,NA,0.483673581,0.022569884,22,5,12,17,10
12,nfixb,nuclear factor I/Xb,Late Upregulated,0.003581181,valid,TRUE,NA,957,22,22,47,2,NC-072784.1-4159456-4161784,NC_072784.1,4159456,4161784,gene_body,0,0.138505262,0.538752586,0.949073878,0.043539739,0.847437155,22,19,20,3,2
13,tcf7l2,transcription factor 7 like 2,Early Downregulated,0.000607147,valid,TRUE,NA,968,22,22,33,1,NC-072783.1-29429102-29429926,NC_072783.1,29429102,29429926,gene_body,0,-0.04036987,0.858431786,0.985575771,-0.078143009,0.729599989,22,18,21,4,1
15,pxk,PX domain containing serine/threonine kinase,Early Upregulated,0.033049003,valid,TRUE,NA,724,22,22,2,1,NC-072770.1-37301408-37303248,NC_072770.1,37301408,37303248,gene_body,0,0.062106224,0.783650567,0.970472354,-0.228442265,0.306522312,22,19,20,3,2
16,pcdh17,protocadherin 17,Early Downregulated,0.006468875,invalid,FALSE,too_many_atac_zeros,706,22,22,17,0,NC-072766.1-6675043-6676339,NC_072766.1,6675043,6676339,gene_body,0,-0.468621472,0.027818284,NA,-0.392005557,0.071176266,22,10,19,12,3
16,syt7b,synaptotagmin VIIb,Transiently Upregulated,0.039464454,valid,TRUE,NA,706,22,22,21,1,NC-072766.1-9732175-9734178,NC_072766.1,9732175,9734178,gene_body,0,0.57713575,0.004919674,0.329618149,0.683794466,0.000450155,22,22,22,0,0
17,LOC111567884,uncharacterized LOC111567884,Early Downregulated,0.027186555,valid,TRUE,NA,664,22,22,13,7,NC-072768.1-21757870-21759173,NC_072768.1,21757870,21759173,gene_body,0,-0.338925019,0.122833938,0.738224872,-0.442123094,0.039374891,22,22,22,0,0
17,apoeb,apolipoprotein b,Late Upregulated,0.000103475,invalid,FALSE,no_peak_over_gene_or_promoter,664,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,cd74a,cd74a,Late Upregulated,0.048983307,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,664,22,22,1,0,NC-072778.1-20377092-20378536,NC_072778.1,20377092,20378536,gene_body,0,-0.3905466,0.072328593,NA,-0.430220504,0.045655561,22,12,11,10,11
19,grm8b,"glutamate receptor, metabotropic 8b",Late Upregulated,0.030890853,valid,TRUE,NA,575,21,22,31,1,NC-072768.1-27839502-27843133,NC_072768.1,27839502,27843133,gene_body,0,0.331441982,0.142181882,0.753320591,0.303345258,0.181308692,21,19,21,2,0
19,LOC111584347,corticotropin-releasing factor receptor 1,Transiently Downregulated,4.64e-175,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,575,21,22,6,0,NC-072783.1-2952938-2953470,NC_072783.1,2952938,2953470,gene_body,0,0.381207626,0.08819091,NA,0.510334125,0.018091295,21,3,17,18,4
2,slc39a13,solute carrier family 39 member 13,Early Downregulated,0.008478812,valid,TRUE,NA,2849,22,22,2,1,NC-072766.1-9072513-9073628,NC_072766.1,9072513,9073628,gene_body,0,-0.006123843,0.978422367,0.994147805,0.095534261,0.672361827,22,22,19,0,3
2,prkcaa,"protein kinase C, alpha, a",Transiently Upregulated,0.000906371,valid,TRUE,NA,2849,22,22,38,6,NC-072769.1-10356536-10357432,NC_072769.1,10356536,10357432,gene_body,0,0.481452098,0.023290189,0.490555302,0.550691917,0.007908987,22,20,22,2,0
2,sorcs3a,sortilin related VPS10 domain containing receptor 3a,Early Downregulated,0.020168626,valid,TRUE,NA,2849,22,22,36,5,NC-072769.1-35677838-35679612,NC_072769.1,35677838,35679612,gene_body,0,-0.430386592,0.045562876,0.548242927,-0.389045737,0.073528661,22,22,22,0,0
2,tnfaip2a,"tumor necrosis factor, alpha-induced protein 2a",Late Upregulated,0.024592683,valid,TRUE,NA,2849,22,22,3,2,NC-072777.1-9299489-9300764,NC_072777.1,9299489,9300764,gene_body,0,-0.251959937,0.257978264,0.832698197,-0.22874895,0.305855596,22,21,20,1,2
2,wdr5,WD repeat domain 5,Early Downregulated,0.022558832,valid,TRUE,NA,2849,22,22,3,2,NC-072782.1-26241631-26243021,NC_072782.1,26241631,26243021,gene_body,0,-0.24213063,0.277630529,0.836024326,-0.319367078,0.147397411,22,21,18,1,4
2,ptgdsb.1,"prostaglandin D2 synthase b, tandem duplicate 1",Late Upregulated,0.04110392,invalid,FALSE,too_many_atac_zeros,2849,22,22,1,0,NC-072787.1-12545131-12546377,NC_072787.1,12545131,12546377,gene_body,0,0.246566341,0.268648712,NA,0.189100153,0.399324695,22,17,22,5,0
2,jph1a,junctophilin 1a,Early Upregulated,0.027999775,valid,TRUE,NA,2849,22,22,13,8,NC-072787.1-14024289-14024911,NC_072787.1,14024289,14024911,proximal_promoter,1427,-0.426526554,0.047755086,0.551627749,-0.267080745,0.229528353,22,21,22,1,0
2,ehbp1l1a,EH domain binding protein 1-like 1a,Early Upregulated,0.037146622,valid,TRUE,NA,2849,22,22,4,2,NC-072788.1-20558601-20559882,NC_072788.1,20558601,20559882,gene_body,0,0.239390414,0.283272282,0.838558948,0.330979962,0.13242829,22,20,22,2,0
20,cpne2,copine II,Late Downregulated,0.047892279,invalid,FALSE,too_many_atac_zeros,454,22,22,14,0,NC-072768.1-33854402-33854787,NC_072768.1,33854402,33854787,gene_body,0,-0.510359861,0.015230745,NA,-0.327131241,0.137263522,22,1,19,21,3
22,LOC111572082,fibroblast growth factor 6,Transiently Downregulated,5.93e-18,valid,TRUE,NA,402,20,22,2,1,NC-072768.1-248654-251021,NC_072768.1,248654,251021,gene_body,0,0.258497042,0.271142865,0.836024326,-0.036103801,0.879886345,20,20,18,0,2
22,spns2,"SPNS lysolipid transporter 2, sphingosine-1-phosphate",Transiently Upregulated,6.9e-24,valid,TRUE,NA,402,20,22,18,2,NC-072779.1-26255416-26258928,NC_072779.1,26255416,26258928,gene_body,0,0.275946265,0.238937175,0.832698197,0.139849624,0.556493551,20,20,20,0,0
23,shisa9a,shisa family member 9a,Progressively Upregulated,8.43e-07,invalid,FALSE,too_many_atac_zeros,345,21,22,13,0,NC-072783.1-22863269-22863975,NC_072783.1,22863269,22863975,gene_body,0,-0.587560737,0.0050977,NA,-0.106640356,0.645459216,21,3,20,18,1
24,hspa4a,heat shock protein 4a,Transiently Downregulated,3.53e-11,invalid,FALSE,too_many_atac_zeros,302,19,22,3,0,NC-072779.1-7015572-7016749,NC_072779.1,7015572,7016749,gene_body,0,0.296185798,0.218227191,NA,0.346277055,0.146419106,19,5,18,14,1
24,slc4a11,solute carrier family 4 member 11,Late Upregulated,6.74e-21,invalid,FALSE,too_many_atac_zeros,302,19,22,28,0,NC-072785.1-27942484-27943488,NC_072785.1,27942484,27943488,gene_body,0,-0.447237097,0.054869124,NA,-0.499649616,0.029389573,19,7,19,12,0
25,camk2n1a,calcium/calmodulin-dependent protein kinase II inhibitor 1a,Early Downregulated,6.56e-05,invalid,FALSE,too_many_atac_zeros,198,19,22,1,0,NC-072775.1-15147521-15149941,NC_072775.1,15147521,15149941,gene_body,0,0.143855881,0.556832404,NA,-0.072333935,0.768546553,19,10,18,9,1
25,plp1b,proteolipid protein 1b,Late Upregulated,0,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,198,19,22,2,0,NC-072779.1-15648250-15648650,NC_072779.1,15648250,15648650,proximal_promoter,593,-0.214558762,0.37773096,NA,-0.209394732,0.389589118,19,1,9,18,10
25,LOC111563020,cyclic AMP-responsive element-binding protein 1,Late Upregulated,3.64e-16,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,198,19,22,1,0,NC-072789.1-15152748-15155381,NC_072789.1,15152748,15155381,gene_body,0,-0.74135959,0.000280919,NA,-0.634906686,0.003494919,19,15,4,4,15
26,gria2b,"glutamater receptor, ionotropic, AMPA2b",Transiently Downregulated,1.8e-144,invalid,FALSE,too_few_animals;too_many_atac_zeros;too_many_rna_zeros,62,3,22,9,0,NC-072778.1-8754321-8758087,NC_072778.1,8754321,8758087,gene_body,0,0.677391576,0.526220596,NA,0.866025404,0.333333333,3,1,2,2,1
26,LOC118471377,NA,Transiently Upregulated,1.61e-06,invalid,FALSE,too_few_animals;too_many_atac_zeros;too_many_rna_zeros,62,3,22,1,0,NC-072784.1-24046705-24047024,NC_072784.1,24046705,24047024,gene_body,0,0.999896632,0.009153596,NA,1,0,3,2,2,1,1
3,hprt1l,"hypoxanthine phosphoribosyltransferase 1, like",Late Upregulated,0.003395118,valid,TRUE,NA,2160,22,22,2,2,NC-072768.1-3497392-3498645,NC_072768.1,3497392,3498645,gene_body,0,0.27594183,0.213853247,0.827275403,0.405985319,0.060826545,22,22,22,0,0
3,tshz1,teashirt zinc finger homeobox 1,Transiently Upregulated,0.018542981,valid,TRUE,NA,2160,22,22,6,3,NC-072780.1-7077161-7080036,NC_072780.1,7077161,7080036,gene_body,0,0.528566057,0.011439983,0.439997058,0.566346697,0.005999065,22,22,22,0,0
