...1,individual,phase,prediction,multiome_cluster,mean_intermediate,n_features,neurotransmitter
2,A25D,I,0.922244081,16,0.601077224,5,Glutamatergic
3,C21D,I,0.878289701,16,0.601077224,5,Glutamatergic
4,T11D,LI,0.85313748,16,0.601077224,5,Glutamatergic
5,T13D,I,0.201026117,16,0.601077224,5,Glutamatergic
6,T14D,I,0.467196889,16,0.601077224,5,Glutamatergic
7,T17D,NF,0.894502843,16,0.601077224,5,Glutamatergic
8,T19D,I,0.912160231,16,0.601077224,5,Glutamatergic
9,T5D,I,0.427248962,16,0.601077224,5,Glutamatergic
0,A12D,LI,0.592168175,17,0.273509306,9,Glutamatergic
1,A22D,I,0.758118323,17,0.273509306,9,Glutamatergic
2,A25D,I,0.265221706,17,0.273509306,9,Glutamatergic
3,C21D,I,0.042113668,17,0.273509306,9,Glutamatergic
4,T11D,LI,0.096274071,17,0.273509306,9,Glutamatergic
5,T13D,I,0.258613985,17,0.273509306,9,Glutamatergic
6,T14D,I,0.137369744,17,0.273509306,9,Glutamatergic
7,T17D,NF,0.622278371,17,0.273509306,9,Glutamatergic
8,T19D,I,0.345822808,17,0.273509306,9,Glutamatergic
9,T5D,I,0.107304905,17,0.273509306,9,Glutamatergic
0,A12D,LI,0.35116946,18,0.219962958,9,Glutamatergic
1,A22D,I,0.07681262,18,0.219962958,9,Glutamatergic
2,A25D,I,0.076048831,18,0.219962958,9,Glutamatergic
3,C21D,I,0.157670204,18,0.219962958,9,Glutamatergic
4,T11D,LI,0.398964129,18,0.219962958,9,Glutamatergic
5,T13D,I,0.063237362,18,0.219962958,9,Glutamatergic
6,T14D,I,0.999997328,18,0.219962958,9,Glutamatergic
7,T17D,NF,0.230953704,18,0.219962958,9,Glutamatergic
8,T19D,I,0.005129563,18,0.219962958,9,Glutamatergic
9,T5D,I,0.1608448,18,0.219962958,9,Glutamatergic
0,A12D,LI,0.234887047,19,0.391562351,6,GABAergic
1,A22D,I,0.156359761,19,0.391562351,6,GABAergic
2,A25D,I,0.685120433,19,0.391562351,6,GABAergic
3,C21D,I,0.087634371,19,0.391562351,6,GABAergic
4,T11D,LI,0.070816234,19,0.391562351,6,GABAergic
5,T13D,I,0.145615529,19,0.391562351,6,GABAergic
6,T14D,I,0.013050374,19,0.391562351,6,GABAergic
7,T17D,NF,0.933158684,19,0.391562351,6,GABAergic
8,T19D,I,0.811323987,19,0.391562351,6,GABAergic
9,T5D,I,0.841832001,19,0.391562351,6,GABAergic
0,A12D,LI,0.519882968,20,0.104872821,8,Glial
1,A22D,I,0.090659871,20,0.104872821,8,Glial
2,A25D,I,0.001816751,20,0.104872821,8,Glial
3,C21D,I,0.104260001,20,0.104872821,8,Glial
4,T11D,LI,0.021473725,20,0.104872821,8,Glial
5,T13D,I,0.001899569,20,0.104872821,8,Glial
6,T14D,I,0.275485097,20,0.104872821,8,Glial
7,T17D,NF,0.016349179,20,0.104872821,8,Glial
8,T19D,I,0.168045979,20,0.104872821,8,Glial
9,T5D,I,0.091942475,20,0.104872821,8,Glial
0,A12D,LI,0.822870624,21,0.545783456,5,Glutamatergic
1,A22D,I,0.68491372,21,0.545783456,5,Glutamatergic
2,A25D,I,0.789255958,21,0.545783456,5,Glutamatergic
3,C21D,I,0.63610241,21,0.545783456,5,Glutamatergic
4,T11D,LI,0.410320732,21,0.545783456,5,Glutamatergic
5,T13D,I,0.594689579,21,0.545783456,5,Glutamatergic
6,T14D,I,0.962781587,21,0.545783456,5,Glutamatergic
7,T17D,NF,0.802983636,21,0.545783456,5,Glutamatergic
8,T19D,I,0.12908522,21,0.545783456,5,Glutamatergic
9,T5D,I,0.023655716,21,0.545783456,5,Glutamatergic
0,A12D,LI,0.349062377,22,0.477765975,1,Glutamatergic
1,A22D,I,0.586339532,22,0.477765975,1,Glutamatergic
2,A25D,I,0.359629671,22,0.477765975,1,Glutamatergic
3,C21D,I,0.498914391,22,0.477765975,1,Glutamatergic
4,T11D,LI,0.53149565,22,0.477765975,1,Glutamatergic
5,T13D,I,0.388595927,22,0.477765975,1,Glutamatergic
6,T14D,I,0.591802281,22,0.477765975,1,Glutamatergic
7,T17D,NF,0.524937736,22,0.477765975,1,Glutamatergic
8,T19D,I,0.409394212,22,0.477765975,1,Glutamatergic
9,T5D,I,0.509685809,22,0.477765975,1,Glutamatergic
0,A12D,LI,0.005840205,23,0.211099367,2,Glutamatergic
1,A22D,I,0.177220293,23,0.211099367,2,Glutamatergic
2,A25D,I,0.008530172,23,0.211099367,2,Glutamatergic
3,C21D,I,0.212355443,23,0.211099367,2,Glutamatergic
4,T11D,LI,0.261954086,23,0.211099367,2,Glutamatergic
5,T13D,I,0.033566795,23,0.211099367,2,Glutamatergic
6,T14D,I,0.999997442,23,0.211099367,2,Glutamatergic
7,T17D,NF,0.66705008,23,0.211099367,2,Glutamatergic
8,T19D,I,0.003803482,23,0.211099367,2,Glutamatergic
9,T5D,I,0.042221942,23,0.211099367,2,Glutamatergic
0,A12D,LI,0.973405375,24,0.210830721,5,Mixed
1,A22D,I,0.837713363,24,0.210830721,5,Mixed
2,A25D,I,0.098317844,24,0.210830721,5,Mixed
3,C21D,I,0.249305685,24,0.210830721,5,Mixed
4,T11D,LI,0.154059401,24,0.210830721,5,Mixed
5,T13D,I,0.016915891,24,0.210830721,5,Mixed
6,T14D,I,0.052136155,24,0.210830721,5,Mixed
7,T17D,NF,0.277592342,24,0.210830721,5,Mixed
8,T19D,I,0.200191361,24,0.210830721,5,Mixed
9,T5D,I,0.021234746,24,0.210830721,5,Mixed
0,A12D,LI,0.733475966,25,0.332394596,2,GABAergic
1,A22D,I,0.15544103,25,0.332394596,2,GABAergic
2,A25D,I,0.228646564,25,0.332394596,2,GABAergic
3,C21D,I,0.74510113,25,0.332394596,2,GABAergic
4,T11D,LI,0.182040651,25,0.332394596,2,GABAergic
5,T13D,I,0.198192436,25,0.332394596,2,GABAergic
6,T14D,I,0.080241222,25,0.332394596,2,GABAergic
7,T17D,NF,0.650372976,25,0.332394596,2,GABAergic
8,T19D,I,0.266829824,25,0.332394596,2,GABAergic
9,T5D,I,0.652309968,25,0.332394596,2,GABAergic
