individual,Phase,total_neurons,multiome_cluster,nneurons,prop_neurons
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
T11D,LI,970,0,274,0.282474227
T11D,LI,970,3,87,0.089690722
T11D,LI,970,4,67,0.069072165
T11D,LI,970,5,59,0.060824742
T11D,LI,970,6,46,0.04742268
T11D,LI,970,7,93,0.095876289
T11D,LI,970,8,53,0.054639175
T11D,LI,970,9,21,0.021649485
T11D,LI,970,10,51,0.05257732
T11D,LI,970,12,36,0.037113402
T11D,LI,970,14,20,0.020618557
T11D,LI,970,16,38,0.039175258
T11D,LI,970,17,18,0.018556701
T11D,LI,970,18,16,0.016494845
T11D,LI,970,19,29,0.029896907
T11D,LI,970,21,9,0.009278351
T11D,LI,970,22,18,0.018556701
T11D,LI,970,23,19,0.019587629
T11D,LI,970,24,8,0.008247423
T11D,LI,970,25,8,0.008247423
T13D,I,1005,0,307,0.305472637
T13D,I,1005,3,84,0.08358209
T13D,I,1005,4,101,0.100497512
T13D,I,1005,5,59,0.058706468
T13D,I,1005,6,39,0.03880597
T13D,I,1005,7,52,0.051741294
T13D,I,1005,8,40,0.039800995
T13D,I,1005,9,39,0.03880597
T13D,I,1005,10,34,0.033830846
T13D,I,1005,12,27,0.026865672
T13D,I,1005,14,10,0.009950249
T13D,I,1005,16,25,0.024875622
T13D,I,1005,17,45,0.044776119
T13D,I,1005,18,30,0.029850746
T13D,I,1005,19,36,0.035820896
T13D,I,1005,21,22,0.021890547
T13D,I,1005,22,19,0.018905473
T13D,I,1005,23,16,0.015920398
T13D,I,1005,24,13,0.012935323
T13D,I,1005,25,7,0.006965174
T14D,I,522,0,143,0.27394636
T14D,I,522,3,72,0.137931034
T14D,I,522,5,30,0.057471264
T14D,I,522,6,52,0.099616858
T14D,I,522,7,1,0.001915709
T14D,I,522,8,5,0.009578544
T14D,I,522,9,31,0.059386973
T14D,I,522,10,44,0.084291188
T14D,I,522,12,20,0.038314176
T14D,I,522,14,33,0.063218391
T14D,I,522,16,27,0.051724138
T14D,I,522,17,10,0.019157088
T14D,I,522,18,1,0.001915709
T14D,I,522,19,1,0.001915709
T14D,I,522,21,19,0.036398467
T14D,I,522,22,15,0.028735632
T14D,I,522,23,1,0.001915709
T14D,I,522,24,16,0.030651341
T14D,I,522,25,1,0.001915709
T17D,NF,1208,0,334,0.276490066
T17D,NF,1208,3,102,0.084437086
T17D,NF,1208,4,96,0.079470199
T17D,NF,1208,5,81,0.06705298
T17D,NF,1208,6,46,0.03807947
T17D,NF,1208,7,66,0.054635762
T17D,NF,1208,8,53,0.043874172
T17D,NF,1208,9,77,0.063741722
T17D,NF,1208,10,52,0.043046358
T17D,NF,1208,12,44,0.036423841
T17D,NF,1208,14,18,0.014900662
T17D,NF,1208,16,51,0.042218543
T17D,NF,1208,17,31,0.025662252
T17D,NF,1208,18,36,0.029801325
T17D,NF,1208,19,23,0.019039735
T17D,NF,1208,21,16,0.013245033
T17D,NF,1208,22,28,0.023178808
T17D,NF,1208,23,27,0.022350993
T17D,NF,1208,24,18,0.014900662
T17D,NF,1208,25,9,0.007450331
T19D,I,1090,0,265,0.243119266
T19D,I,1090,3,123,0.112844037
T19D,I,1090,4,80,0.073394495
T19D,I,1090,5,71,0.065137615
T19D,I,1090,6,56,0.051376147
T19D,I,1090,7,52,0.047706422
T19D,I,1090,8,64,0.058715596
T19D,I,1090,9,68,0.062385321
T19D,I,1090,10,60,0.055045872
T19D,I,1090,12,37,0.033944954
T19D,I,1090,14,24,0.022018349
T19D,I,1090,16,38,0.034862385
T19D,I,1090,17,34,0.031192661
T19D,I,1090,18,25,0.02293578
T19D,I,1090,19,15,0.013761468
T19D,I,1090,21,17,0.01559633
T19D,I,1090,22,15,0.013761468
T19D,I,1090,23,17,0.01559633
T19D,I,1090,24,20,0.018348624
T19D,I,1090,25,9,0.008256881
T5D,I,881,0,262,0.29738933
T5D,I,881,3,56,0.063564132
T5D,I,881,4,53,0.06015891
T5D,I,881,5,56,0.063564132
T5D,I,881,6,45,0.05107832
T5D,I,881,7,43,0.048808173
T5D,I,881,8,65,0.073779796
T5D,I,881,9,48,0.054483541
T5D,I,881,10,43,0.048808173
T5D,I,881,12,34,0.038592509
T5D,I,881,14,13,0.014755959
T5D,I,881,16,27,0.030646992
T5D,I,881,17,29,0.03291714
T5D,I,881,18,26,0.029511918
T5D,I,881,19,20,0.022701476
T5D,I,881,21,4,0.004540295
T5D,I,881,22,20,0.022701476
T5D,I,881,23,13,0.014755959
T5D,I,881,24,16,0.01816118
T5D,I,881,25,8,0.00908059
