"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"228",10,"rnf111",0.000588559975631271,0.805351140250888,0.996794864902951
"229",10,"sltm",0.00239508902613374,0.103647113412101,0.97325168318352
"230",10,"mindy2",-0.00053543528431216,0.712836019812571,0.996794864902951
"231",10,"adam10a",9.54530177101838e-06,0.994621973887104,0.999572338668326
"232",10,"aqp9b",8.93728090147061e-05,0.905046343108308,0.998982449948509
"233",10,"aldh1a2",-0.00106358420147122,0.285305796773867,0.996794864902951
"234",10,"LOC129348974",-0.00119586038566055,0.594408120399432,0.996794864902951
"235",10,"polr2m",-0.00084135892407206,0.0219867612286453,0.851903952575677
"236",10,"tcf12",-0.00447203241856529,0.288159006833429,0.996794864902951
"237",10,"LOC111577795",-0.000962969823502899,0.00930958931329292,0.851903952575677
"238",10,"znf280d",0.000599549198954287,0.639361394357457,0.996794864902951
"239",10,"LOC111577798",-0.00150095857174884,0.286272396864774,0.996794864902951
"240",10,"nedd4a",-0.00010062857512167,0.926984194816907,0.99951806288377
"241",10,"LOC129350968",-0.000853490628941879,0.0219691145689669,0.851903952575677
"242",10,"ccpg1",-0.00221148976295214,0.267496536851558,0.996794864902951
"243",10,"pigb",4.55390864167831e-05,0.980481612113654,0.999572338668326
"244",10,"vrk3",0.00312052525828821,0.127607163395135,0.996794864902951
"245",10,"LOC111577790",-0.00210583822631986,0.220266692232903,0.996794864902951
"246",10,"LOC111577783",0.000397674246290142,0.734023125653529,0.996794864902951
"247",10,"LOC111577782",0.00185233315261457,0.355229242907965,0.996794864902951
"248",10,"nudt21",-0.000305744622259098,0.768932879415034,0.996794864902951
"249",10,"LOC129348627",0.000136350452835399,0.84884526243199,0.996833154439578
"250",10,"furina",-0.00233692681524971,0.507311974615193,0.996794864902951
"251",10,"si:ch211-122f10.4",0.000484035666552722,0.686087423763711,0.996794864902951
"252",10,"slc38a7",-0.0013285263009372,0.406328485690899,0.996794864902951
"253",10,"got2b",-0.00366741629974792,0.159268846574696,0.996794864902951
"254",10,"LOC111571167",0.0010486206613426,0.68414146251425,0.996794864902951
"255",10,"cog4",0.000601413977033708,0.308942829061406,0.996794864902951
"256",10,"LOC111571169",-0.00023265743403129,0.702433764663812,0.996794864902951
"257",10,"gfod2",-0.00103059291873583,0.284547041441058,0.996794864902951
"258",10,"thap11",-0.000359543176590039,0.714456719508992,0.996794864902951
"259",10,"cmtr2",0.00110686902164775,0.39483395723683,0.996794864902951
"260",10,"LOC111577159",-0.00157657790054343,0.679444964333995,0.996794864902951
"261",10,"dusp22a",-0.00206684864794023,0.251044696438425,0.996794864902951
"262",10,"mthfsd",-0.000771588692265392,0.221299337787358,0.996794864902951
"263",10,"dbndd1",-0.00222717076146505,0.168310258769034,0.996794864902951
"264",10,"def8",-0.00039113284605136,0.819081636127161,0.996794864902951
"265",10,"mc1r",-0.000322982379329719,0.74563213387905,0.996794864902951
"266",10,"tcf25",-6.51323925308054e-05,0.974335941705988,0.999572338668326
"267",10,"pdcd5",-0.00117416436364133,0.0913520069127328,0.958064006014407
"268",10,"si:dkey-234i14.2",-0.00118565368791318,0.0737420904075835,0.927266673936522
"269",10,"LOC129349683",-0.0035664572209252,0.0293365693842879,0.851903952575677
"270",10,"gse1b",2.79133385892321e-05,0.990864228477213,0.999572338668326
"271",10,"atmin",-0.00286904608968364,0.125058701825146,0.995041746398842
"272",10,"cmc2",-0.000207017434921925,0.895126120057197,0.998491367367223
"273",10,"LOC111572293",-0.00298070594414967,0.0210244790488147,0.851903952575677
"274",10,"syt9a",0.000616671672579464,0.297909912588013,0.996794864902951
"275",10,"LOC118469430",-0.00052588630111846,0.370277410264155,0.996794864902951
"276",10,"kiaa1549lb",0.000993990929808588,0.628087195173649,0.996794864902951
"277",10,"hipk3b",-0.00208461742795444,0.640733385489861,0.996794864902951
"278",10,"cstf3",-0.00298627053979838,0.0919169231708353,0.958064006014407
"279",10,"qser1",-0.00152641880263491,0.105873490787709,0.97325168318352
"280",10,"eif3m",-0.000359289058324544,0.768879128783147,0.996794864902951
"281",10,"rcn1",-0.00328520410555145,0.0338208199132574,0.851903952575677
"282",10,"pax6b",-0.00028767641587371,0.41455046185724,0.996794864902951
"283",10,"elp4",-0.000100941914598315,0.919546661760955,0.998982449948509
"284",10,"immp1l",-0.00338701990713857,0.0963346519047998,0.967836015942548
"285",10,"rps6ka2",0.00220621771956524,0.42685099513042,0.996794864902951
"286",10,"LOC111576189",-0.00473015959018435,0.246249288315036,0.996794864902951
"287",10,"ddx21",0.000982060357324414,0.150247609933754,0.996794864902951
"288",10,"LOC111576208",-7.93062743247918e-05,0.921673078535768,0.999146760358386
"289",10,"mpc1",-0.000764219024285093,0.661708816353333,0.996794864902951
"290",10,"kifbp",0.00039819725871011,0.692328770735665,0.996794864902951
"291",10,"vps26a",-0.000454043444201193,0.491315467547088,0.996794864902951
"292",10,"supv3l1",-0.000697284176208193,0.128949490536915,0.996794864902951
"293",10,"LOC111576191",-5.32239846447219e-05,0.876942816273093,0.997156645628785
"294",10,"tacr2",-0.000342162392786931,0.496651708881676,0.996794864902951
"295",10,"tspan15",0.000773328883928221,0.481297991202312,0.996794864902951
"296",10,"LOC111576209",-0.00078327373848399,0.328908492785693,0.996794864902951
"297",10,"LOC129347690",-0.0001496657393574,0.732701544947623,0.996794864902951
"298",10,"hnrnph3",-0.000968570092638742,0.396247093623184,0.996794864902951
"299",10,"rufy2",-0.000417876092588259,0.844282379038775,0.996833154439578
"300",10,"fam120b",-0.000506857479364538,0.417788876458115,0.996794864902951
"301",10,"LOC129349014",-0.000993295013388596,0.525193544495,0.996794864902951
"302",10,"pdcd2",0.000500458726872237,0.269803784085774,0.996794864902951
"303",10,"tbp",-0.000963648283693814,0.289985279404698,0.996794864902951
"304",10,"psmc3",0.000591473764848242,0.683495730318118,0.996794864902951
"305",10,"psmb1",0.000366340010854828,0.727253376350112,0.996794864902951
"306",10,"phf10",-0.000548502327899946,0.629612118238617,0.996794864902951
"307",10,"rab4a",-0.000571810114869208,0.235267794317048,0.996794864902951
"308",10,"ccsapb",-7.95377536618603e-05,0.891238406989505,0.997672979107364
"309",10,"abcb10",-9.96704687439083e-05,0.840540243739566,0.996833154439578
"310",10,"urb2",0.000243867548840277,0.407948042694178,0.996794864902951
"311",10,"galnt2",-0.00365954604271836,0.0122149389164833,0.851903952575677
