,gene,av_p.value,warning,singular,av_q.value,f_m_p.value,d_m_p.value,d_f_p.value,f_m_estimate,d_m_estimate,d_f_estimate,cluster
52,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
53,spata5l1,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
54,dtwd1,0.371319098,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
55,cops2,0.331390322,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
56,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
57,dut,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
58,slc12a1,0.973327165,unable to evaluate scaled gradient,FALSE,NA,NA,NA,NA,NA,NA,NA,6_3
59,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
60,myef2,0.762663889,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
61,sema6dl,0.382269778,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
62,dmxl2,0.214805919,NA,FALSE,1,NA,NA,NA,NA,NA,NA,6_3
63,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
64,tnfaip8l3,0.446278112,unable to evaluate scaled gradient,FALSE,NA,NA,NA,NA,NA,NA,NA,6_3
65,scg3,0.64943994,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
66,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
67,tmod2,0.993861471,unable to evaluate scaled gradient,FALSE,NA,NA,NA,NA,NA,NA,NA,6_3
68,leo1,0.591809325,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
69,mapk6,0.739399617,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
70,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
71,usp8,0.753962593,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
72,LOC111577621,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
73,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
74,pde8a,0.671888479,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
75,LOC111563916,0.954267082,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
76,LOC111563902,0.926772225,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
77,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
78,homer2,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
79,ramac,0.968677766,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
80,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
81,LOC111567348,0.38146678,NA,FALSE,1,NA,NA,NA,NA,NA,NA,6_3
82,zrsr2,0.723562858,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
83,LOC111567330,0.646887702,NA,FALSE,1,NA,NA,NA,NA,NA,NA,6_3
84,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
85,ppef1,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
86,cdkl5,0.715505538,NA,FALSE,1,NA,NA,NA,NA,NA,NA,6_3
87,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
88,LOC118470148,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
89,nhsb,0.850448448,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
90,ace2,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
91,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
92,LOC111566424,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
93,tmem39a,0.990782984,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
94,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
95,LOC118469910,0.927781909,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
96,LOC111564831,0.587258614,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
97,stk16,0.455374114,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
98,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
99,LOC118469909,0.999999996,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
100,psmd14,0.721864449,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
101,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
102,ly75,0.986700335,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
103,marchf7,0.945584404,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
104,baz2ba,0.66607829,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
