"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"132",20,"galns",0.697760125469879,-2.76723886045153e-05,0.697760125469879,0.999759820624708
"133",20,"trappc2l",0.887923166717488,-6.10633593436879e-06,0.887923166717488,0.999759820624708
"134",20,"pabpn1l",0.624901406460671,-4.1861529688887e-05,0.624901406460671,0.999759820624708
"135",20,"cbfa2t3",0.481284864897682,0.000115958254248077,0.481284864897682,0.999759820624708
"136",20,"acsf3",0.756639590433621,1.44801774100563e-05,0.756639590433621,0.999759820624708
"137",20,"spg7",0.221667377329097,4.96445346263358e-05,0.221667377329097,0.999759820624708
"138",20,"ankrd11",0.258568918198041,0.000255390495160349,0.258568918198041,0.999759820624708
"139",20,"LOC111580049",0.295057658211576,-4.20183703832652e-05,0.295057658211576,0.999759820624708
"140",20,"hp",0.0181135855177034,0.000128970608534712,0.0181135855177034,0.999759820624708
"141",20,"LOC111580062",0.750937586749913,7.24050697229656e-06,0.750937586749913,0.999759820624708
"142",20,"dhodh",0.705285574208028,-1.52123741320987e-05,0.705285574208028,0.999759820624708
"143",20,"ist1",0.713988989731158,1.66645223615137e-05,0.713988989731158,0.999759820624708
"144",20,"mphosph10",0.427576475345423,-1.93266252303307e-05,0.427576475345423,0.999759820624708
"145",20,"mcee",0.20318638345881,3.91909803667086e-05,0.20318638345881,0.999759820624708
"146",20,"LOC111580055",0.341276933929758,8.86499985013071e-05,0.341276933929758,0.999759820624708
"147",20,"rplp2l",0.121923614482851,0.000162794442566822,0.121923614482851,0.999759820624708
"148",20,"lin7c",0.11224132640556,0.000105051829975632,0.11224132640556,0.999759820624708
"149",20,"bdnf",0.42295757726244,-5.74279258299043e-05,0.42295757726244,0.999759820624708
"150",20,"mettl15",0.49193632553231,8.98413174912802e-05,0.49193632553231,0.999759820624708
"151",20,"LOC118471246",0.522399113161138,1.82194664453059e-05,0.522399113161138,0.999759820624708
"152",20,"lgr4",0.750921166112915,2.39867037016072e-05,0.750921166112915,0.999759820624708
"153",20,"slc39a13",0.480942080721858,-3.47837473511488e-05,0.480942080721858,0.999759820624708
"154",20,"tmem276b",0.982836119414783,-3.53188127492706e-06,0.982836119414783,0.999759820624708
"155",20,"slc17a6b",0.860356425041391,-1.76747957595612e-05,0.860356425041391,0.999759820624708
"156",20,"ano5b",0.348452807951906,0.000105256632721084,0.348452807951906,0.999759820624708
"157",20,"igdcc3",0.462411854380659,-9.42046156929478e-05,0.462411854380659,0.999759820624708
"158",20,"LOC129349470",0.569865536967765,-3.26394276462649e-05,0.569865536967765,0.999759820624708
"159",20,"eif3jb",0.730319372502594,-1.7866351678714e-05,0.730319372502594,0.999759820624708
"160",20,"strc1",0.918614386752855,-4.30393617206944e-06,0.918614386752855,0.999759820624708
"161",20,"ctdspl2b",0.692712738883763,2.58755973083748e-05,0.692712738883763,0.999759820624708
"162",20,"golm2",0.34680038332953,0.000150233135538392,0.34680038332953,0.999759820624708
"163",20,"fam189a1",0.033474028253111,0.000499295774317921,0.033474028253111,0.999759820624708
"164",20,"tjp1a",0.0514214602637592,-0.000191689599982125,0.0514214602637592,0.999759820624708
"165",20,"sord",0.995323571445201,2.15379570425619e-07,0.995323571445201,0.999759820624708
"166",20,"apba2b",0.616011877756371,-8.34960316020461e-05,0.616011877756371,0.999759820624708
"167",20,"syt7b",0.610357909075951,-7.71267937351724e-05,0.610357909075951,0.999759820624708
"168",20,"sdhaf2",0.478015023540412,3.79190747650384e-05,0.478015023540412,0.999759820624708
"169",20,"LOC111574613",0.251952535511756,-0.000103770469008746,0.251952535511756,0.999759820624708
"170",20,"polr2l",0.434282311956903,3.97160910549235e-05,0.434282311956903,0.999759820624708
"171",20,"dagla",0.291022111114747,0.000160067864091722,0.291022111114747,0.999759820624708
"172",20,"ext2",0.985168539495127,-2.31672796626707e-06,0.985168539495127,0.999759820624708
"173",20,"alx4a",0.673961787122679,-1.72477121839824e-05,0.673961787122679,0.999759820624708
"174",20,"caprin1a",0.162863996369224,8.57682638627388e-05,0.162863996369224,0.999759820624708
"175",20,"nucb2a",0.658801526616312,3.56461625681593e-05,0.658801526616312,0.999759820624708
"176",20,"plekha7b",0.977369668707054,-4.22887673662184e-06,0.977369668707054,0.999759820624708
"177",20,"sox6",0.0606476360322234,-0.00057648054954936,0.0606476360322234,0.999759820624708
"178",20,"pde3b",0.725670358295003,7.20154871851956e-05,0.725670358295003,0.999759820624708
"179",20,"copb1",0.849920439223884,1.46947831397693e-05,0.849920439223884,0.999759820624708
"180",20,"rras2",0.784693644811066,4.0432366714717e-05,0.784693644811066,0.999759820624708
"181",20,"tub",0.543507907663746,8.87336998997998e-05,0.543507907663746,0.999759820624708
"182",20,"LOC129348608",0.560827660763309,4.37377189734907e-05,0.560827660763309,0.999759820624708
"183",20,"lmo1",0.619759402487085,-8.45226334390391e-05,0.619759402487085,0.999759820624708
"184",20,"stk33",0.0935038299498832,-0.000189758064547407,0.0935038299498832,0.999759820624708
"185",20,"rerglb",0.283064012451071,-3.00667324542249e-05,0.283064012451071,0.999759820624708
"186",20,"trim66",0.699972088638824,4.22034316986763e-05,0.699972088638824,0.999759820624708
"187",20,"dennd2b",0.669497417472253,-1.88443934088388e-05,0.669497417472253,0.999759820624708
"188",20,"tmem9b",0.658343776796225,8.94864103744315e-05,0.658343776796225,0.999759820624708
