"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"2581",4,"LOC111570984",0.693207371250702,-5.38381668370664e-06,0.693207371250702,0.996892528797092
"2582",4,"LOC111570992",0.151488676954088,-2.69180025414419e-05,0.151488676954088,0.996892528797092
"2583",4,"tbck",0.183600518628406,-5.48188435978693e-05,0.183600518628406,0.996892528797092
"2584",4,"aimp1a",0.668387369905569,-1.35319791225761e-05,0.668387369905569,0.996892528797092
"2585",4,"papss1",0.345301176170882,-4.25325133304807e-05,0.345301176170882,0.996892528797092
"2586",4,"sgms2a",0.515160514948604,-2.40591049745181e-06,0.515160514948604,0.996892528797092
"2587",4,"LOC111570989",0.45692075467592,1.16544353084941e-05,0.45692075467592,0.996892528797092
"2588",4,"hadh",0.446666882876994,1.6719246112994e-05,0.446666882876994,0.996892528797092
"2589",4,"LOC129348820",0.380643631302518,-2.83451834625241e-05,0.380643631302518,0.996892528797092
"2590",4,"lef1",0.522709982704572,-3.50736561849869e-05,0.522709982704572,0.996892528797092
"2591",4,"LOC111579217",0.735602484034954,-3.36192838450105e-06,0.735602484034954,0.996892528797092
"2592",4,"LOC111578659",0.748994342815432,-3.58095802918935e-06,0.748994342815432,0.996892528797092
"2593",4,"pla2g12a",0.844113380233727,6.50652940833785e-06,0.844113380233727,0.997382279771841
"2594",4,"dnajb14",0.826095851489998,-9.04247899969511e-06,0.826095851489998,0.996892528797092
"2595",4,"snapc3",0.801624731341021,-3.20839022353725e-06,0.801624731341021,0.996892528797092
"2596",4,"psip1a",0.406108716549516,1.73010554272157e-05,0.406108716549516,0.996892528797092
"2597",4,"bnc2",0.650884417243927,-1.19424077778863e-05,0.650884417243927,0.996892528797092
"2598",4,"LOC118470098",0.441695817552788,-2.91170756436995e-06,0.441695817552788,0.996892528797092
"2599",4,"cntln",0.477213365088688,-1.97255971161523e-05,0.477213365088688,0.996892528797092
"2600",4,"sh3gl2a",0.426490083670275,4.02340947073767e-05,0.426490083670275,0.996892528797092
"2601",4,"LOC118469236",0.7011014611322,-3.02453183875707e-06,0.7011014611322,0.996892528797092
"2602",4,"anp32b",0.877455856064212,4.27603582354203e-06,0.877455856064212,0.997382279771841
