"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"13254",596,639,164,695,850,194,0.857553956834532,0.751764705882353,0.845360824742268,0.278929252852026,0.110043659083511,0.495563049531947,0.451016402925575,FALSE,NA,"caskin1",6,0.784440123623686,0.551049300450813,0.996769558529849,0.885556851511927
"13255",40,47,11,695,850,194,0.0575539568345324,0.0552941176470588,0.0567010309278351,0.991278187479361,0.951048960671039,0.894959724329904,0.935646646742749,FALSE,NA,"prpsap2",6,0.997432482042188,0.985593523688411,0.996769558529849,0.983415897448113
"13256",253,244,64,695,850,194,0.364028776978417,0.287058823529412,0.329896907216495,0.482821896835427,0.233932983338193,0.505357480955134,0.702502084439723,FALSE,NA,"LOC111568466",6,0.866332279517695,0.667125281318469,0.996769558529849,0.95012298424709
"13257",65,79,18,695,850,194,0.0935251798561151,0.0929411764705882,0.0927835051546392,0.995459367878367,0.924008836836163,0.968886345075522,0.961540819171639,FALSE,NA,"gng13b",6,0.998386311114253,0.974623482196114,0.998046553591426,0.9903051794294
"13258",52,55,16,695,850,194,0.0748201438848921,0.0647058823529412,0.0824742268041237,0.656757197823928,0.490730992819102,0.743860856654633,0.418325722525633,FALSE,NA,"rad23aa",6,0.903196959498761,0.797872589529233,0.996769558529849,0.865796725628167
"13259",656,796,180,695,850,194,0.943884892086331,0.936470588235294,0.927835051546392,0,3.00297114824159e-78,1.83429155147644e-278,4.33342482649649e-33,FALSE,"Model failed to converge with max|grad| = 0.011033","nfixb",6,0,2.31297971298202e-76,1.89249067848007e-276,3.16283242576691e-31
"13260",78,81,16,695,850,194,0.112230215827338,0.0952941176470588,0.0824742268041237,0.414055788861755,0.639327766872897,0.184341383886244,0.357798384363584,FALSE,NA,"LOC129347520",6,0.843420689127831,0.872945371743616,0.996769558529849,0.833538668319002
"13261",27,32,6,695,850,194,0.0388489208633093,0.0376470588235294,0.0309278350515464,0.908871659183475,0.963307939766497,0.670902679326372,0.688568068721338,FALSE,NA,"gadd45gip1",6,0.977399203525506,0.989923541869938,0.996769558529849,0.945011918115626
"13262",1,3,2,695,850,194,0.00143884892086331,0.00352941176470588,0.0103092783505155,0.335725950755539,0.441040492418918,0.145041641811291,0.353739089964567,FALSE,NA,"LOC129347519",6,0.810741019685444,0.772699244265178,0.996769558529849,0.833538668319002
"13263",6,5,1,695,850,194,0.00863309352517986,0.00588235294117647,0.00515463917525773,0.938781544091576,0.766694066674679,0.776459411253217,0.937587874718287,FALSE,NA,"tspan34b",6,0.984196539783878,0.925154148403238,0.996769558529849,0.983671202721688
"13264",21,15,3,695,850,194,0.0302158273381295,0.0176470588235294,0.0154639175257732,0.206642253694612,0.107368009338319,0.271292027744892,0.833177796780136,TRUE,NA,"znf653",6,0.742828294255616,0.550796951701075,0.996769558529849,0.977291110459642
"13265",1,4,1,695,850,194,0.00143884892086331,0.00470588235294118,0.00515463917525773,0.544064745723249,0.288377642903553,0.366288053196526,0.934914199637664,TRUE,NA,"swsap1",6,0.877582577424522,0.686964267279549,0.996769558529849,0.983271888792341
