id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	6_0|6_0	6_0|6_1	6_0|6_2	6_0|6_3	6_1|6_0	6_1|6_1	6_1|6_2	6_1|6_3	6_2|6_0	6_2|6_1	6_2|6_2	6_2|6_3	6_3|6_0	6_3|6_1	6_3|6_2	6_3|6_3
CPI-SS0C4261737	GJC1_GJA1	simple:P36383	simple:P17302	GJC1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.0	0.156	0.0	0.322	0.0	0.141	0.0	0.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS024F36886	GJA1_GJA5	simple:P17302	simple:P36382	GJA1	GJA5	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297	0.0	0.0
CPI-SS0ACFA4F22	GJA5_GJA5	simple:P36382	simple:P36382	GJA5	GJA5	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E7883ADC	GJC1_GJA5	simple:P36383	simple:P36382	GJC1	GJA5	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.0	0.118	0.0	0.0	0.0	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0CEFF4625	GJC1_GJC1	simple:P36383	simple:P36383	GJC1	GJC1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.143	0.128	0.0	0.0	0.128	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by JAM	0.237	0.17	0.352	0.0	0.17	0.104	0.285	0.0	0.352	0.285	0.466	0.0	0.0	0.0	0.0	0.0
CPI-SC030C83222	L1CAM_pL1:Ezrin	simple:P32004	complex:pL1:Ezrin	L1CAM		False	False	True	curated	False	Ligand-Receptor	Adhesion by L1CAM	1.378	1.51	1.278	1.827	1.417	1.549	1.317	1.866	1.082	1.213	0.981	1.53	0.973	1.104	0.872	1.421
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by L1CAM	2.522	2.561	2.225	2.116	2.561	2.6	2.264	2.155	2.225	2.264	1.928	1.819	2.116	2.155	1.819	1.71
CPI-SS00661A3A4	NECTIN1_CADM3	simple:Q15223	simple:Q8N126	NECTIN1	CADM3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	1.34	1.123	1.176	1.699	1.024	0.807	0.86	1.382	0.623	0.406	0.459	0.982	0.605	0.389	0.442	0.964
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.936	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.219	0.0	0.0	0.0	0.202	0.0	0.0	0.0
