"","individual","Status","LOC111567884","draxina","si:ch211-253b8.5","LOC111588780","slc6a11a","kif5ab","arvcfb","pdlim5a","LOC111580067","LOC118471666","LOC118470186","src","b4galt2","fgf14","ccnt2a","serac1","cxcl14","spock1","LOC129350740","kcnq5a","grid1b","efna2a","LOC129348286"
"11","C14M","M",0.7691666620341,0.120922994046864,0.0676557907674394,0.984625435873482,0.0126902007505473,0.295109959777122,0.587506553427165,0.0981484806986122,0.0946227939249805,0.314984018257483,0.0114781072315186,0,1.11500083809678,0.676781528763779,0.126930606316066,0,0.0442736125847999,1.34496483199973,0.134884630179556,0,2.81064765484272,0.069721177485108,0.0366783401003789
"12","C15F","F",0.736313072466939,0.489003432207824,0.0800387834971718,0.716197220785262,0.0613256028659356,0.357910442670044,0.640698029430766,0.170770956531184,0.0318751489873349,0.197854934840729,0.0610766376969393,0.0431783955980199,1.02233207321894,0.570777893771336,0.389459158714914,0.0862112701764751,0.226225574318563,0.801530331832245,0.184274650600047,0.0377538615228504,3.15799879921432,0.114737028108504,0.422879876510474
"13","C15M","M",0.823830619197031,0.156579387035291,0,0.634191492100706,0,0.336276420792328,0.556866394595012,0.0965693000486444,0.0891091950523037,0.0783381218288242,0.0261408533787237,0,0.65170798013469,0.544971824338905,0.0587389423238719,0.059536511813187,0.0265146763649077,1.05562635838202,0.0900714059557937,0,3.13946306926832,0.0385807587302184,0.127699786964984
"14","C21D","D",0.807319871026735,0.21557302907055,0.0352397293528654,1.18833303745896,0,0.400438430113727,1.2604655035986,0.0460558059245136,0.0504436033201942,0.0639220309103096,0,0.126835318387742,1.22440296956063,1.12531351170508,0.126191234527102,0.129694025281677,0.132231020642143,1.20497982002498,0,0.0726750119675691,3.345113516262,0.122592423184738,0.030756328869087
"15","D4F","F",0.602997458836834,0.482547684067304,0.199529573848731,0.719697870012693,0.0552626838286988,0.120991377729662,0.517724081440305,0.231544280244812,0.0255134159216331,0.0291891448921442,0.086611263743013,0.06907673823357,0.622407833117892,0.507689659769789,0.268533623373495,0.0844384547020767,0.101182005120234,0.766848222940742,0.238378002063477,0.0577180087532426,3.13642618464519,0.0484857508464146,0.212747129250537
"16","D4M","M",1.01723422009308,0.189872364614066,0.0491563548344105,0.754580403931834,0.0275280139288843,0.207963474027595,0.692949533892617,0.172474271454889,0.0997931514586451,0.150365672763781,0.0520510653277551,0.013508509581081,0.901277965927826,0.654894263074079,0.17553048313702,0.0259192212928867,0.114711874128258,1.09843787710054,0.147771310036995,0.0343980790866822,2.68506145002754,0.0118820916342808,0.139214593161505
"17","T11D","E",0.879087143960672,0.342878370738699,0.0644456754733222,0.898298734967615,0.036306341022918,0.392065063088661,0.731651967563757,0.367897026626366,0.060441519540629,0.206324880861491,0.0598206904940802,0.0194358134472009,0.7693211691156,0.524952034917254,0.242102074501394,0.0252870597669767,0.12952512401866,0.971577088017018,0.123815125217056,0.0111263330429726,3.2897452505721,0.038454109653785,0.0890943247615851
"18","T13D","D",0.55666951442024,0.277880600911101,0.0862023906801238,0.73123937607037,0.0521037339371401,0.34104060416825,0.870411730372915,0.151420918676176,0.0345992621556883,0.107044272614749,0.0653492951798486,0,0.916517605989602,0.647177799345799,0.148931128394394,0.00742373074622607,0.0659158420668095,0.972398987941613,0.0223156144984854,0.0227364351025231,2.85835847960426,0.031023995887469,0.243291041294962
"19","T17D","NF",0.684534973084372,0.463692579353305,0.0493226894451587,0.745739321548752,0,0.317574004186233,0.481891523889888,0.235995054237071,0.0645102917432169,0.196830343916861,0.0671948461492992,0.0127629754782935,0.785721533671252,0.669303782357274,0.18640993316793,0.0610994401537634,0.0694603845581627,1.14253119027668,0.0779350275781908,0.0380848985053459,2.8953186855114,0,0.0730967715590883
"20","T19D","D",0.364759372074632,0.140817793543928,0.0165531819397457,0.65579634278402,0,0.325226827277124,0.907008829939306,0.086945801613227,0.045813717865987,0.144561175280579,0.0822830939717782,0,0.857958627834435,0.532972705286721,0.143016075163133,0.0351519907260326,0.048421127378527,1.02718915360552,0.109484262555063,0.0146316402960024,3.13275959082213,0,0.0198930447837222
"21","T5D","D",0.620866944746902,0.234322208359423,0.102184265836359,0.673721439965462,0.0272205539220382,0.18292546645406,0.519890375532343,0.207557144143902,0.0216717301233082,0.197931710084771,0.0709043919578185,0.051889357569204,0.665927441237211,0.446983814017537,0.0899652627825477,0.0269951058415812,0.0729819333308829,0.902750185538111,0.0871865047081374,0.0165458426036524,2.85693113803169,0,0.334932739800343
