"","individual","Status","glceb","syt7b","sox6","LOC111577669","LOC111563338","tmtc2b","hprt1l","sema3ab","LOC111564869","immp2l","LOC111587547","LOC129348729","acer2","slc44a2","gli1","LOC111566713","LOC111583974","cep57","vwa7","wsb1","dnmt3bb.1","tmed4","LOC111564014","LOC118469126","prex1","snx21","LOC118471259","mtf1","tmeff1a","rpl24","il1rapl1a","clu","ginm1","ccdc85cb","shisa3","LOC118470671","LOC111570546","LOC111568198","LOC111579490","fgfbp3","LOC111566120","tap2t","LOC111588195","plce1","LOC111583840","kcnh6a","LOC111584011","LOC111582900","nkx2.2a","lingo2b","si:dkey-288a3.2","lhfpl3","foxp2","cog5","skida1","lrch4","LOC111574283","LOC111579712","LOC129348282","zdbf2"
"11","C14M","M",0.430851418035889,0.0538221403583787,0.975093849728229,0.119766586031134,0.142428461798666,0.861399360629543,0.0476319562511805,0.21392315331335,0.292533328686036,0.0495161790470452,0.02960709963816,0,0.0747191255012766,0.276529839786148,0.971389615124644,0.207225231289889,0.480718179348303,0.0611082823479671,0.120146510131902,0.706091721473727,0.7737729051076,0.116950808487614,0.0817456752402982,0.133306970518376,1.07196430633219,0.275486843635726,0.676529359662649,0.017786739167957,0.754086152482264,0.0817003462348136,0.759381299657847,0.676618903591196,0.22259260248954,0.729639420930282,0.129891439383149,0,0.322973774996955,1.03301145011468,0.0490130958204972,1.50097692229982,0.0381900120143836,0.0911550939626874,0.0151159709252272,0.294359611138249,0.206748608177396,0.0112679826396364,0.041511088446183,0,0.219707872691883,0.0614392245249355,0.00405002575844717,0.0355886761039688,0.105140369343449,0.281617018611071,0.0742671383736554,0.305743366400333,0.0104536941757286,0.0403996356045142,0.0160177716750793,0.0170600103912934
"12","C15F","F",0.327378772165924,0.0588785979563326,1.03067636333508,0.0880529110984007,0.0545344690532244,0.64728081747829,0.0765649297697893,0.0547496738869925,0.154612003622103,0.157899824550512,0.0533152469813616,0.0989953736652047,0.0194480415144185,0.214282155657066,0.543023624353516,0.25728204536043,0.111387249635418,0,0.0701984016120309,0.818168557226329,0.465866278751596,0.0360461682741979,0,0.178503764441105,0.958814196542616,0.158884546624252,0.491514975269843,0.0358629275158676,0.90264053414966,0.124538342719116,0.609622634536415,1.06009866175248,0.306036192056945,0.624814836267921,0.165394296438364,0.0531247570714496,0.172442919865911,0.863850226832232,0.153118080091995,1.35612787644135,0,0.17123710765169,0.0572000809336267,0.141337739248774,0.30183195339868,0.0688557115500008,0.0960113383384477,0,0.359767581940796,0.225570221366576,0.0491186336725835,0.187168781330756,0.269873339742993,0.238744061391601,0.00837313054183271,0.176539225278654,0.0767563718119486,0.0733543924612262,0.0255762016028682,0.0618054435507286
"13","C15M","M",0.645985808049647,0.0789450530651039,0.813410605750695,0.0223465917389051,0.19912326324552,0.849782388896439,0.00793663924797037,0.283178710909008,0.361251285178457,0.013901564119922,0.0558251755476775,0.0784574346336893,0.0734600951250735,0.291193463883252,0.842994019786471,0.255415947914519,0.397429394660183,0.0703718844087679,0.20483396218608,0.659317867679754,0.55013639872274,0.129601448261206,0.0419314818950434,0.215561157650039,1.1973669622859,0.244016973927581,0.731518768398134,0.0251024082406816,0.779834443510247,0.102990466745596,0.633887408037258,0.645287515868668,0.139968724481044,0.72717959085896,0.0889615328333329,0.0108987972239116,0.191465651250317,0.901012206546459,0.0748147625208396,1.65648905254294,0.0499434789516153,0.0521317314146229,0.0506345289389932,0.218749623877353,0.221090351143653,0,0.0534493287512821,0,0.300821178800389,0.091247993081762,0,0.0299300227547553,0.0854173235826615,0.241767464455658,0.13110209314819,0.243267101187448,0,0.0526651011358383,0,0.0201040825493057
"14","C21D","D",0.600180917231581,0.0207013778541015,1.14370833635368,0.035518706794032,0.232554585462276,0.862048170810366,0.0152395700658342,0.17405103692179,0.442083882810104,0.0270849837291884,0.123503771554675,0.0525716925238552,0.0859871656341636,0.168734971684653,0.915635548309979,0.277587350233402,0.471473630491996,0.0191753453822114,0.126458223878165,0.66787131374063,0.614532435460788,0.207238322121735,0,0.0912499177550946,1.177341312966,0.162129276264976,0.623174202315286,0.0334221963276134,0.911242064256817,0.174645788568452,0.564049559132609,0.706085153812724,0.231767712746495,0.88980313877982,0.154443921193388,0,0.430827714063955,0.918499563479948,0.046202159139856,1.78133399434167,0.0201531194255657,0.0906948567975151,0.04773218065527,0.238359043998261,0.282195416561816,0.00378441737195721,0.00604517699727625,0.0131301683849352,0.299580021044185,0.0858590756822463,0.0625984533293563,0.0619857099718543,0.135999515226941,0.226391991762279,0.0481775492000195,0.420537280625471,0.0215505390516495,0.0472872395882118,0,0.0574094362941432
"15","D4F","F",0.375142851329869,0.0589312016449438,1.32613060446795,0.143785819265627,0.120536587524625,0.619617268399224,0.0454081435176962,0.105136562406068,0.344423363315148,0.0853633920003121,0.0303873357332159,0.056515269459328,0.0260039998609304,0.165679082516069,0.645800856151431,0.391624853730299,0.203338527789944,0.0395973550193193,0.0769625629698878,0.760030425918423,0.286854031747964,0.13356083648305,0.0268769857669917,0.197961501544102,1.00444214429446,0.106105676967454,0.572890406839997,0.0771770335920576,0.753351242025063,0.206882657264237,0.518108791229844,0.932769423107819,0.333730031907569,0.823067045871163,0.175053894654954,0.0450460140473114,0.14131785106867,0.565851978908282,0.146016626531745,1.58384055141593,0,0.0729326300936228,0.0373001215392319,0.22218208952883,0.388808304165564,0.0068789227590068,0.123398560195757,0.0200709793933228,0.37009602386531,0.159931695960402,0.126490203589053,0.102714037818885,0.220344223508514,0.1661115259356,0.0337640522440682,0.170413072570221,0.0399515486609532,0.154925917245015,0.0424058034979161,0.0600016348358332
"16","D4M","M",0.491045246843941,0.0688930238919149,1.11640361290013,0.0132746668267536,0.17760221124827,0.853348107015357,0,0.120264089385464,0.320347997718983,0.0511945251573112,0.093743560095985,0.0932714971574001,0.0884289691912883,0.242187427281708,0.849473675119762,0.284118780546015,0.302370538326248,0.0692181632616296,0.228632795960042,0.743240707776618,0.64468527664319,0.183519944513192,0.0468708858709802,0.0465868884989925,1.00400877855104,0.172563959085393,0.463280602736335,0.0235148773085401,0.993904826227248,0.204935227072184,0.804384527468343,0.419748914094885,0.168585371754939,0.826011193665104,0.132048504283256,0.0196709190965561,0.243226483042979,0.838855344536675,0.0264861255283838,1.87279028307715,0.0135344116948297,0.0319404814695579,0.0125120704391873,0.335646251290993,0.256379306991608,0,0.0711932706397928,0.0203257041700202,0.243049617849064,0.177180715966472,0.0136073455640568,0.122432946307973,0.119240263906968,0.254027544750676,0.137423496936943,0.327574204638432,0.0135344116948297,0.0752470284332091,0.0476595209809803,0.0397849072936556
"17","T11D","E",0.39785808019113,0.0737777478406404,1.10227960241113,0.0488768885238629,0.122956773000382,1.00810368572393,0.0376046148176742,0.125762290306933,0.325889416593057,0.0740188046906486,0.0397579966023304,0.380815131649654,0.0493612320931808,0.142132189787028,0.866015471361081,0.42368244474019,0.278762150387421,0.0445765434643209,0.135750766174345,0.669184802748503,0.761719099270072,0.100655567331854,0.0184176082021506,0.134256732876164,1.14082042264039,0.128079666098012,0.653142610037752,0.0494685827051701,0.846094358650605,0.0997956715689112,0.673006554905149,0.462035126000071,0.307200137209479,0.841623732948843,0.105071044487273,0.0053828025932512,0.226238798405516,0.719802041914282,0.0613583847045972,1.05687951012339,0.011118372669039,0.049827695023946,0.040427216586128,0.185472637579426,0.292122338690922,0.0140466580942863,0.0480229736048325,0.0133500314657536,0.380763843342406,0.076351687442374,0.0427771745475114,0.0671057909608132,0.16699055052384,0.214960092287261,0.0917482432865878,0.23946569774974,0.0252171356696601,0.12238945613671,0.00996379779976291,0.0693133965304333
"18","T13D","D",0.507781245915401,0.124332775103065,1.11828746856517,0.0363858213423323,0.129111205625835,0.749014630586636,0.02916206880836,0.131908047815815,0.369847749205676,0.0507441306425098,0.129292737434236,0.0209909624051928,0.0607199988577764,0.177463577316944,0.88428550736161,0.495700751709955,0.431087638094096,0.0189277180475472,0.183182546214571,0.729319119758031,0.764002423364933,0.172710468558195,0,0.145225560740394,1.03989702275002,0.193149143183615,0.656519044703225,0.0433258788346338,0.91551907206112,0.237405394920244,0.615862111082827,0.730424382209421,0.188292286118886,0.900389559094053,0.183492892759783,0.0108845225175553,0.221721958252779,0.935777230030362,0.0424027413321387,1.60965344676299,0.0157848326312143,0.0191399608490065,0.0555371372017407,0.302339531753936,0.155349421462084,0,0.0336002125097408,0,0.426876546785663,0.101993726807969,0.00575294774999504,0.0381277034470479,0.147976193348354,0.321302083137949,0.00747729553351934,0.463438130132991,0.00573450195563964,0.0346498928501082,0.0466387943198196,0.0577619429269485
"19","T14D","D",0.433630882425456,0.0873930468305853,1.07939863438837,0.0481892906778968,0.161483216530907,1.14054149898696,0.0268745207374145,0.126457749759436,0.338452398257323,0.0809075099222446,0.0585270871572366,0.013261802124193,0.0362592734617913,0.147574899961951,1.02889982101764,0.351035172640596,0.184121429098691,0.00605214886764568,0.143239255607068,0.777016669414156,0.793444594150945,0.16601297382622,0,0.168412402381748,0.931724265042672,0.0831719668045406,0.693128413550384,0.0493486247482495,0.882366163036654,0.173631476028565,0.743879131366124,0.611613939971522,0.177936239947867,1.17254499103187,0.108348238806499,0,0.350794264991289,0.902395901010584,0.0256046526799244,1.48564911624514,0.0343766959265443,0.101928435358886,0.080643741162999,0.276549495918768,0.275376750726312,0.0176690982858158,0.0555664347976739,0.0144894737025497,0.175371300614408,0.121037031085534,0,0.0725117930207209,0.1094182920889,0.324738267310782,0.0837353812766043,0.236511129858549,0.0247240325161123,0.118600077007107,0,0.0906163872126788
"20","T17D","NF",0.583673364265722,0.076164023777969,1.16150933381545,0.0240631735022694,0.136554324055177,0.833313038356324,0.0138790606858096,0.226977841792549,0.35607661823283,0.0872378607434516,0.131553197692216,0.0191599389628728,0.0328396846248799,0.241234794008972,0.641360479396274,0.340564825438499,0.603460660275577,0.0583770502810446,0.195870620104092,0.661528793587221,0.759282309926699,0.11439689592145,0.0312356715318446,0.140336543877764,1.12103985791998,0.180444916062894,0.635125090737761,0.0743980862021963,1.06708902060198,0.159577376073349,0.526558942016384,0.801979852837141,0.209725801173432,0.715914187372753,0.174953940336819,0.0223973961485502,0.392663236072116,0.802406618688651,0.0528764329341066,1.7728626585173,0.0383441650695005,0.0819537083106811,0.0101585465479393,0.144514314250718,0.312992687975757,0,0.029689932639575,0,0.338154545717833,0.143654454767965,0.0290217985442789,0.0879263755504386,0.228416339032828,0.399196797143325,0.0566623743240733,0.341425439532376,0.0035404368125887,0.0619936217778768,0.0138121311770219,0.0737601593482757
