"","individual","Status","dync1li2","shc2","LOC111568755","LOC111567884","LOC129348661","LOC111568891","LOC111583456","LOC129348769","LOC118469187","LOC111574349","ddr2l","unga","gpat2","LOC129349178","ywhae1","LOC129349297","LOC111572069","LOC118471263","lig1","slc35f1","LOC129350154","LOC111563592","apool","gpx3","LOC111582645","LOC111564926","chrac1","LOC111565980","hs3st3b1b","shisa8b","LOC111588432","LOC118471785","igf2bp1","mrps7","rragd","senp2","LOC111585948","gng2","LOC111565840","tmbim4","hhla2b.1","ppargc1a","cnpy4","LOC111587507","LOC111585988"
"11","C14M","M",0.409141610291547,0.109271050483151,1.07951092364737,0.557896685504158,0.0122115772765874,0.0455577789935783,0.0537588731213259,0.025333335503401,0,0.178754964169509,0.0132242483273225,0,0.025643807857584,0.0923270418065973,0.377037258194867,0.0257444663683548,1.55504258849871,0.0265512402626281,0.0613491077057315,0.0940061000191157,0.0459423121398438,0.0434036074306831,0.088422107181803,0.50459024148861,0.0202447886509498,0.00332068249731218,0.0335451174113843,0.153588259770933,0.107526662421183,0.0535741074503622,0.0176496646252762,0.105955885471551,0.0321592995090089,0.0425692779822238,0.0708376839199178,0.109903552246572,0.253651507642267,0.335474089825504,0.367312514475058,0.283949313943079,0.0321433773482752,0.820124611826883,0.0329115383898691,0.0230662044821945,0.01315167933858
"12","C15F","F",0.417285764140926,0.124563236033104,1.07020189539892,0.462546468321889,0.0596411247653685,0.0882553485185727,0.00217525514185909,0.0096207011735437,0.0139399664475279,0.130613399763387,0.00943795572213761,0.00641363308955824,0.0393383967408295,0.00868408687947914,0.382067360562148,0.0862777424335456,1.53554884081881,0.00271849990609971,0.0938179167651954,0.130082796365535,0.0473763922584498,0.0115435484146222,0.130543526946998,0.523882392730526,0.0303505254881555,0.0497780158259146,0.071044910644044,0.0800808466878767,0.154943995204178,0.0779965502539875,0.0416959118095585,0.0508381136011916,0.00264307782323864,0.0576731070866351,0.0859635171533433,0.193683547856174,0.216290222226839,0.339339282834148,0.325335553546609,0.38857002036377,0.0140995254989279,0.675142475307473,0.0680071047302579,0.00626699365824332,0.0449713982215092
"13","C15M","M",0.397214906850612,0.062423205683172,0.976701179910585,0.59334002142208,0.0260427959496155,0.0791925255151658,0.0182449560472914,0.0025419471832029,0.00408166679943155,0.190703843238311,0.0109786851419447,0.00561922988626777,0.0169516209512265,0.0801031556764634,0.367471175055518,0.0384986087514323,1.63039008691896,0.0196142431255597,0.0778895093202005,0.12005330876102,0.0266363820873154,0.0316539576118509,0.0857217825175835,0.461592237086286,0.0112581127366915,0.00320565184069356,0.0276378535482296,0.150166176246405,0.0924070501981745,0.0897641473090816,0.0366885122156205,0.0695531147991434,0.0475017561797438,0.0889138794791892,0.045860765424717,0.138688516637227,0.22884509670324,0.35179574088688,0.422532461370237,0.298291431699607,0.0203328732790116,0.906214521225399,0.0387523834692084,0.0216031512656384,0.0167794514791573
"14","C21D","D",0.414204706938594,0.0794253214823755,0.959725007983511,0.375817366395635,0.0236778424782483,0.027563808349784,0.0139633316884371,0,0.00198846911885849,0.128686027056893,0.00415357960870408,0.0030351921598388,0.0151811767563706,0.0499707803063857,0.466794452236734,0.0162775036982301,1.59462164656495,0.00863763531558575,0.0769225226934719,0.126861670830266,0.0380876459928098,0.0406327875210026,0.0988106134620876,0.456008626242026,0.020602479583989,0.0195727152877786,0.039355162538427,0.15241436050142,0.113096471375907,0.0418593130860929,0.0435927810215721,0.0644953554741416,0.0635610900889274,0.0688381873882855,0.0647077130987448,0.107493592917634,0.256465994605672,0.259504022655501,0.313176565928381,0.302048103379653,0.020409381436269,0.953828852499601,0.0657396929791543,0.00921400653017818,0.0103023356603517
"15","D4F","F",0.452558928272656,0.123737277074244,1.06778830807205,0.346033775524595,0.0452755971038826,0.123368724448272,0.0242622494630729,0.00737815839964775,0.0211262116406166,0.165333559889461,0.000896117588725093,0.0126971175228255,0.0449083182167257,0.0357770558615979,0.389414776311195,0.0544774507232493,1.64032213184959,0.0108675082123088,0.0912656114898584,0.149183197573837,0.0590611753869123,0.00833272873416519,0.122701948702591,0.540501771196633,0.0414843762297408,0.0255090116758866,0.0722217199992738,0.0492070255035058,0.126527366219748,0.0614313644639951,0.0539297933071209,0.0375886442681797,0.013318854940272,0.0480654487456015,0.067505404066994,0.136845530243704,0.219689361102953,0.282113712024673,0.286549373714993,0.391548453432048,0.00860107968577299,0.797366488459327,0.100744571063361,0.0149545568509243,0.0201298751646078
"16","D4M","M",0.368552934280623,0.0942634189639031,1.00537354654098,0.510475491299031,0.0156986127875006,0.117758323548303,0.0315877362261291,0.00995992119619008,0,0.201641995272525,0.0168305585583192,0.00325137418007599,0.0345876255220942,0.0885395757624113,0.35064685950852,0.0404960913578778,1.58711970271602,0.0239343736152308,0.0829373049579153,0.125757492614481,0.0351314740311214,0.0150505533160024,0.0822193050814218,0.398384027613237,0.0156914974315969,0.00995409057530179,0.0387843858666833,0.0292704903814262,0.106214036165864,0.107422782515575,0.013314216420223,0.0831553855550126,0.0957584939913725,0.0739763991427547,0.0464985126307306,0.0936862985677026,0.311545194975259,0.369924532791152,0.3447327472422,0.22025391284073,0.0403263561329478,0.78104340894665,0.0385858564281879,0.0305985751052512,0.00828843754506993
"17","T11D","E",0.443510738835959,0.141559674699114,0.97111457795539,0.42134559509475,0.0129344363502275,0.121312518890052,0.016310800324378,0.009786344886662,0.00666471797844752,0.153471606089405,0.00595701331448964,0,0.0372321879505514,0.0424833753679355,0.432567708495224,0.0846153321213753,1.51829100803889,0.0137394063314097,0.0926954108480413,0.119202015781154,0.100030960086999,0.0191253323830551,0.128149915507597,0.41060661745003,0.0363459501659561,0.0164904213864146,0.0430490752715468,0.144060196333165,0.137476525911735,0.0832027151808858,0.0402896960893655,0.0690059930898521,0.0112722462668087,0.0937638623783225,0.0797497808334102,0.185386957365488,0.233737693431334,0.310636365665008,0.405604336927306,0.296705743909369,0.0499064457321855,0.86080730672995,0.0239886630660591,0.0148530449899279,0.0120301170259603
"18","T13D","D",0.372670634283606,0.0817498680442972,0.926799508707729,0.427117894199018,0.015506494190437,0.0373727456710149,0.0185981089600482,0.00250681069309903,0.00299635274936436,0.116055495863414,0.0117389707979564,0.00943143516580602,0.0211231613522419,0.0276842807871302,0.446876813686499,0.0130976488162134,1.79383414498283,0.00192053997187844,0.0804313154481911,0.155679142225552,0.0436013188364564,0.0145743628965738,0.156821309378532,0.438185553427936,0.0170175986200685,0.0206030750152618,0.0387775792752395,0.0765626810136018,0.138781817723473,0.0893122792080355,0.0548601394098271,0.089085537319698,0.0175279526654531,0.0674706664298704,0.0555506605112247,0.121969375002484,0.197724487974848,0.323513706511705,0.307150939922607,0.32201358030585,0.0179906446786694,0.730947480804604,0.130305470804123,0.0220878236322365,0.0260623030238579
"19","T14D","D",0.40186688325487,0.125145767962334,1.17269650315174,0.399734337702476,0.0272255526616523,0.065452735886655,0.00430519686648146,0,0.0189435275102871,0.177377717376126,0,0.00590551545332744,0,0.0495573396401846,0.396240772937276,0.0309747396475241,1.56356940742424,0.00554330106024058,0.101271762089059,0.116066017136282,0.0195375518749305,0,0.156949663331877,0.428372185619044,0.0173783619167714,0.0195668724996118,0.00892036703025042,0.123848384009709,0.132711186053417,0.0676363894738057,0.0405218608346282,0.0465251243079627,0.0203750553765219,0.0499233291234839,0.0422026677301627,0.105329050970612,0.193709232107551,0.289259217727819,0.351431249029242,0.253461257697103,0.0239951966925082,0.909458632972467,0.0633543850927278,0.00675927860565264,0.0304804411667787
"20","T17D","NF",0.38673864068371,0.10531777185376,0.953404820951791,0.351984158008423,0.0176300078889041,0.0382745424055645,0.0255434966290029,0.0125954087366733,0.00754322344935297,0.186300148160628,0.0106838608195888,0,0.0187248877232257,0.0569988082579472,0.395093039227944,0.0399514474616114,1.73235795300899,0.00613078725748766,0.0935952176881445,0.139894512673697,0.0282459721577148,0.0365944221274506,0.167204164671241,0.377806628518766,0.0197854388095523,0.00600463941716004,0.0503176474930632,0.170409417799065,0.0763371208268716,0.122726092782554,0.0483594657881589,0.0778710351681621,0.0553111821237138,0.0334275274250827,0.0615787258460213,0.107489851826612,0.223930878837963,0.321142585666394,0.367078485803326,0.340871803634441,0.0451732470786139,0.921440902344647,0.0622714624546859,0.017861129286986,0.0219199271259819
