"","individual","Status","grik4","LOC129349260","wu:fa11c10","plch2a","LOC129349400","nr1d2a","LOC111580029","LOC111588102","fam110b","tdh","si:zfos-2326c3.2","slco2b1","nelfe","LOC111572229","LOC111585124","arid5b","LOC111565980","mast4","slc31a2","asic2","alk","coq6","chst2b","LOC111584452","tmem198b"
"11","C14M","M",0.526758132843349,0.0223962686186681,0.914180106979983,0.402017068750985,0.480300432411909,0.438549994316427,0.151027155680462,0.0223962686186681,0.164814941324435,0,0.90917137452934,0.91809135009584,0.214453778872591,0.128675776115974,0.0258892812282044,0.444265886978533,0.705718006038369,0.319762142676536,0.402225096821783,1.6486966045332,2.99735505582109,0.0413689652536665,0.175327240874751,0.0559571984627811,0.330574482135822
"12","C15F","F",0.0785729533812408,0,0.952211654442756,0,0.0377795308272144,0.198179990923382,0.415757557712004,0,0.0693883440035735,0.310259859493888,0.730878960980502,1.99570912822459,0.0926067705169313,0,0.118016514478525,1.10424004806354,0,0.160468909475033,0.318220755026143,0.778608903480947,2.86090978116553,0,0.156825138975756,0.334800957836948,0.0735893196153611
"13","C15M","M",0.974252671476606,0.0290059289321837,0.733501124625373,0.287400942848639,0.787141604700923,0.726332633199814,0.326912754571783,0.058612960470274,0.249905979305353,0.204882266208628,0.980159353826996,1.32139617353399,0.128908462625226,0.180507442091861,0.212231808500815,0.405607026129781,0.65559158386617,0.39607800842101,0.319995167905583,2.11442305399111,3.46401800698742,0.0846462848390962,0.142324098515335,0.109284136416091,0.16518403657487
"14","C21D","D",0.338608028598465,0.329822660662977,1.00725666407864,0.188182581526449,0.779259701263005,0.140538194667469,0.499968584993956,0,0.0737202147639039,0.021004844596128,1.30320461210953,1.74033296207214,0.0502071383450134,0.213073272545094,0.119007965654744,1.04247884811788,1.37954621691521,0.194259371092299,0.336439108320629,2.63299610986233,3.32713769330875,0,0.025441964526738,0.290898879560344,0.238467220950594
"15","D4F","F",0.165796508510636,0,0.806524285206845,0.122633537906117,0.103224599729278,0.159978749390387,0.494299497034678,0.036531066271652,0.0150772988353267,0.226980788571279,1.11186929482115,2.1081919466217,0.0371063357319917,0.0306273040464319,0,1.1351694248725,0.097344799490945,0.0595812955377284,0.251356818930249,0.659004763680103,1.58191173644948,0,0.0331080225923074,0.225168156146179,0.0628713341432945
"16","D4M","M",0.542614646663279,0,0.467132999801497,0.130008119829919,0.67202567315458,0.0781331775865659,0.359532898500458,0.0291374429842282,0.128872059005774,0,0.769884635623811,1.71902577660302,0.139905571097966,0.076575639803651,0.434017847989414,0.717888599741639,0.472705925947682,0.208346959662573,0.55113224109462,1.63372712868521,2.29512894623215,0.0958656154362687,0.154574888161179,0.155046046742684,0.361466137401667
"17","T11D","E",0.0671305429108968,0,0.585883968934744,0.0172638861765448,0.069304565603676,0.293799303279484,0.169673326057007,0.0373020228224457,0.128263601793387,0.134847288254821,1.44007803282487,1.84825253634274,0.0565977265018635,0,0,1.08555137216256,0.137690247760302,0.472860742241757,0.388640337200672,2.11461473357148,2.94480341931284,0,0.0172638861765448,0.222314943608171,0.0835831146722662
"18","T13D","D",0.269419311938033,0.0327678182083239,0.700012179640267,0.0579929703998169,0.680923381510541,0,0.566935603595518,0,0.0777902502569282,0,1.13295258722776,1.60631558043715,0.0450224320486043,0.30057418038276,0.203056190431541,0.815865032269823,0.235972549213672,0.381267736786693,0.536140004530594,1.29814533100869,3.18890425411269,0,0.0450224320486043,0.150429101235557,0.255033609539441
"19","T14D","D",0.267267312051585,0.331589498362346,1.18744059906727,0.0477784309383868,0.499673056067166,0.0432105838080466,0.501318842730356,0.116905321445398,0,0.275896824950622,1.51936886430749,2.08373596544032,0.0499287016325368,0.177135637777775,0.273057225611606,0.92272210967921,0.542158561288033,0.115766953217561,0.344924841070399,1.32156098068231,2.69673400180599,0,0.0216295097042801,0.153233436629861,0.258411716096787
"20","T17D","NF",0.559799935843442,0.133855372363908,1.68603606518477,0.138568699673236,1.20575319297501,0,0.269828416945085,0.0461869658938363,0.151600975723829,0.051275321917468,1.22181517961472,2.25416824650747,0,0.605021770725083,0.224697945189219,0.990252631435876,0.780660528633327,0.566400419787168,0.274325094013167,1.96539412750313,3.1499482947587,0,0.0223058108127682,0.119650418771939,0.221931258091455
"21","T19D","D",0.384900017327051,0,1.18039203195188,0.0417074230762745,1.04247207424175,0,0.54480731362224,0.03758780815418,0.104168335599043,0.023067636205821,1.22148853178777,1.13785182627755,0.051731639315813,0.190482341926336,0.249204149422248,0.829965366373786,0.509731706161731,0.195231753056836,0.330531033671585,1.97963840330789,3.52911147778076,0,0.0984469493127786,0.198395325527518,0.199677930095895
"22","T5D","D",0.246014767541135,0,0.87804899536405,0.0742572709546411,0,0.286468653671008,0.139305861008924,0,0.0538031616052849,0.158687674815097,0.889517009196739,1.61688124224939,0.0370842235636111,0,0.484199775659252,1.3735716482582,0,0.141302293820105,0.246223941820104,0.849926271340993,3.40082990938985,0,0,0.152412045899322,0.182065801755218
