"","individual","Status","trim66","LOC111567996","LOC111576154","ptprfa","ell","zgc:92140","nudt4a","LOC111568896","mxi1","LOC111564250","tacr3a","LOC111562847","pcdh18a","cntn4","LOC111562654","LOC111565100","ca16b","LOC111576659","zmat4a","LOC111576468","si:dkey-178e17.1","serpini1","LOC111562717","pgr","LOC111577100","bcan","LOC111587111","rgs5b","pde1cb","wdfy2","sik1","osbpl6","xpo4","nmbr","chgb","LOC111568069","npy7r","LOC111575683","grm5a","LOC111587180","gabra3","LOC111572204","kcnk9","sdc2","camk2g2","LOC111580719","LOC111567620","LOC111583967","LOC111567440","LOC111566726","LOC111566724","LOC111563870","LOC111584897","cacnb1","LOC111588913","stxbp6","ltk","pim3","LOC111565841","LOC111565832","drd3","LOC111585095","htra3b","LOC111571714"
"11","C14M","M",0.0485207531678866,0.173085014050102,0.199452617775136,0.750204129568723,0.294756487212349,0.421535327653196,0,0.0409158317068978,0.687493782950414,0.189367853993748,0.0742831854208284,1.15896927988928,0.177407603875936,0.813393842113426,0,0.0538081527801998,0.511042855843834,0.626488191738404,0.173538584462539,0.087858431515167,0.0357401002738397,0.772194352997819,0.288556108811308,0.110601833532266,0.163755017724435,0.120616539348712,0.732934362388124,0.0961866072222672,0.442617628421124,0.522812881119832,0.249711334798487,0.336087390754911,0.223743915091004,0.639201537492068,1.44735274193441,0.0732035509140695,0.0271728717304475,0.0495963326005186,0.479509810610319,0.0843170014067661,0.877370384961585,0,0.465405529569312,0.171377154698058,1.11573661240485,0.188548315552605,0.145602374425486,0.539761518127028,0.250108734834833,0.344993867171268,0.0156614622317657,1.55201765985274,0.0622593910453514,1.31712815242639,0.205995623075321,0.324965277347424,0.317930278542313,0.196823149522607,0.149195329229612,0.149186710864829,0.0675775595869029,0.259010259501408,0.0295995856907477,0.0469722031965859
"12","C15F","F",0.35977737102205,0.0855738886380719,0.217545062837505,0.901583067866149,0.151528108145894,0.217909305684638,0.0359522367284283,0.280688389396811,0.411173574022765,0.13632137520664,0.0222048244404431,1.20397669338722,0.135085169330929,0.824996504335221,0.0226010383066045,0.296884798168403,0.955416440449891,0.499412546822229,0.0857484420745588,0.0393695031461511,0,0.76855233659844,0.0363442525280972,0.192872754805955,0.178460032739546,0.0354034338791541,0.863485228952096,0.224341393278012,0.0994005601579106,0.286779094426025,0.156950681699716,0.475771655160287,0.32366088934365,0.365235669705778,1.50419037409731,0.108385036203534,0,0.134608649567515,0.691453993579525,0,0.645009285824964,0.0624731044229082,0.345572264460682,0.222839263926909,1.12076156045284,0.354312727745535,0.0861980346370766,0.247898289654486,0.41923403052437,0.603192023273642,0.135574129355748,1.07693371165368,0.0632090879325567,1.11934421174527,0.64019633203245,0.17877156260898,0.217089698641913,0.100009118840802,0.0320859693626945,0.128677051398775,0.0578781437509791,0.3750205391942,0.0695507149031565,0.306005840070871
"13","C15M","M",0.125658889763674,0.0310808856339815,0.289947160773247,0.668714007915071,0.322917788295257,0.408488741131165,0.114408983057328,0.0334499242847565,0.416235051278292,0.124359628587386,0.0887484595525875,0.615136660883697,0.269672135373465,0.573892780693542,0.0313324598818947,0.137133616995066,0.492478461459915,0.506743155895371,0.212608275469415,0.146742111634987,0.0576485660340809,0.865807384547894,0.137055990075062,0.235496467033898,0.0697958192429992,0.217167948463574,0.945450351110278,0.0334040696973497,0.348207932409907,0.367797706002562,0.0755591840322594,0.125794229187547,0.0598246674837689,0.221391377506062,1.63235661125709,0.0348353953213632,0.105411001066727,0.115922931335045,0.534350912401364,0.101931415057456,1.01821819619712,0.0351875145197142,0.376660196681217,0.16402796517879,1.2765900993944,0.184238736222137,0.123015104393627,0.283525029007179,0.166708843568638,0.579686821989173,0.0912073342418137,1.20664581193732,0.0591461290333433,1.0371709666561,0.506701020280596,0.439280028906178,0.272953447138503,0.153165792141043,0.118045451656478,0.184453107600102,0,0.257535745894043,0,0.0335266992467835
"14","C21D","D",0.0434062667853036,0.121202140414201,0.110883965020547,0.728319466066106,0.0729415449335612,0.240147494263079,0.0139191636982901,0.0837834820275192,0.172025900371106,0.206815144588072,0.24913223737868,1.02939725723776,0.274497483465615,0.68395596542698,0.0292865830347275,0.0335576803686334,0.583280841239937,0.653298997367912,0.0799250375185151,0.0139191636982901,0.0669554333173351,0.777569890396128,0.139845526990569,0.173625418481727,0.0473700902295361,0.271316442268394,0.34063986157765,0.183818519201572,0.332994534406193,0.424544316617039,0.0140006799532051,0.196819637519511,0.372462109959277,0.371537812256535,0.962366308092136,0.0697830615274476,0,0.132130852412092,0.205694017825194,0.101852265118799,0.935558239495137,0,0.528125631791013,0.356164741290698,0.890388880572768,0.144018858162127,0.25401097950988,0.322632395602114,0.156839068239394,0.379553530543926,0.0806540094728743,1.62654932100619,0.055233105020893,0.837372316243018,0.4131939955399,0.276038294484732,0.155541292375808,0.0929950878377358,0.045896316755072,0,0.0175446002700989,0.281788812330195,0,0.0810499948957421
"15","D4F","F",0.227303517936325,0.00689101880591521,0.250960603095364,1.11103767781991,0.160222751393317,0.243715870957074,0.0274584854479747,0.186198751248766,0.461573362178398,0.392874855184783,0.105747996723219,1.21927280130341,0.159943945270528,0.837820448157751,0.0730497426345508,0.179434920927758,0.928115896755602,0.482469593453363,0.0713883532512073,0.0604374017801803,0.016632513028025,0.992893952623591,0.113159748500608,0.290621960979863,0.116817873741168,0.163037538302468,0.992517633857754,0.18268566479669,0.140999050756683,0.565192144880132,0.132625657234246,0.276365297669483,0.385977314393551,0.380148147790783,1.83346532681667,0.219632583637832,0.0201323120401201,0.195881498939423,0.686555135507694,0.0503478620288539,0.653862045594094,0.073607473301677,0.234196816593007,0.438171430913345,1.11811365991732,0.192607959608523,0.176095341877878,0.204975429947856,0.442951483368471,0.5309534126866,0.129457075372804,1.35595931177799,0.0481227588828058,1.03689925336219,0.671881350142422,0.320577892338077,0.122945003266812,0.222685863817003,0.0306017238385977,0.0431302915310282,0.11301362280026,0.534386033454495,0.088603839261956,0.36902840425651
"16","D4M","M",0.186512871710247,0.179184138701928,0.209152576052563,0.877507469809123,0.0869799344364689,0.288413354571511,0,0.112327536613533,0.565380055185524,0.0673741699532985,0.0767542087456591,0.908403169455394,0.20999189233472,0.737458860990658,0.0489940450963351,0.0488976626617026,0.540694347863351,0.624049175970669,0.189236515817518,0.0516067694561313,0.0592806583987048,0.615938770269535,0.0979540935797698,0.0625927606668695,0.0818591571658249,0.102164889521612,0.513331245004603,0.0636822622656348,0.253100113105918,0.529325153959175,0.364724340030939,0.307334549531334,0.142152212005523,0.47925182547269,1.12159317033476,0.0986134523842108,0.12706511510088,0.0626607057299404,0.561542954370718,0.109518052478819,0.903526325155094,0,0.357521212252089,0.210288926845111,1.27569153432843,0.167061503166491,0.20074059564479,0.32123465888786,0.274169562473376,0.152535444871102,0.0187548461245529,1.49021537972196,0,1.07530496984473,0.353512095568286,0.279669315646173,0.099231651265441,0.135852540462606,0.182478167572983,0.168793448997191,0.0341698616340647,0.23213034179289,0.0355050864210384,0.156001533505965
"17","T11D","E",0.324225380682628,0.204498138058783,0.354653595733272,1.05363073343291,0.0422197714390363,0.226342997471868,0.143252724077934,0.161238708687599,0.521864467595295,0.187905488088232,0.0659428474817439,1.02574034084252,0.208330058529818,1.12834323632697,0,0.218326541298111,1.00469624263844,0.569802470820826,0.0605688457921993,0.0379347691123682,0.0347019279863318,0.774464254010438,0.137480316265709,0.156032131469997,0.0763603610729704,0.0216562806726224,0.958096693695063,0.264966852154459,0.243030174436255,0.382435736146317,0,0.361964664599916,0.2997620960698,0.450452073569822,1.12545694440021,0.190885364845045,0,0.214152847048121,0.604654649846928,0.110612708921437,0.71750791045429,0.0382864357794777,0.345668809787578,0.100524638439507,0.963983223330773,0.234855228094343,0.172974210774437,0.327339529824385,0.464432687823298,0.513856878328894,0.04926082550262,1.62990767186999,0.11570493079943,0.928233135898029,0.607413723917653,0.334416244163805,0.20691195520432,0.226782238876795,0.0439674031940404,0.0804612542870951,0.0224753998963505,0.322771926648407,0.0499294764290833,0.42611765728457
"18","T13D","D",0.236269306581238,0.161740662609139,0.203001973221013,0.985672727628233,0.136625092525763,0.336695268210775,0.0824575791902852,0.0215570188820074,0.306544057170287,0.121595002673233,0.215795488636886,0.919628805127117,0.481448636935602,0.632165783963809,0.0315654336387545,0,0.643207143408482,0.719607089080708,0.22051099753602,0,0,0.942769417040404,0.117976291248772,0.0811526728458942,0.137010569957541,0.3110110155245,0.717704778437861,0.114979378242728,0.367175503075206,0.510995531456342,0.0574568443701949,0.166768189685619,0.426040350106455,0.420126245063889,1.09145256923175,0.118202589989108,0.0574055753792654,0.121130938629,0.444833793311587,0.134466625083657,0.835052353023576,0.0429377570890111,0.352937226284534,0.206738725331532,0.972008272118388,0.162346052255922,0.297535122246938,0.459461538998067,0.154129342574205,0.348793482077764,0.106329094885876,1.54195947801708,0.0317248081613462,0.841737956732142,0.54885950697631,0.340124248880336,0.208196464354453,0.151034755890728,0.0672742111270423,0,0.038898503399051,0.231926631980606,0.041894334553673,0.0815451786545266
"19","T14D","D",0.196196290847284,0.0597915727661055,0.194424121693777,0.954370186450262,0.204527846086878,0.224521631598545,0.0177705913854856,0.157761263028333,0.476102230412892,0.0693507240755483,0.166938570950475,0.991400809160616,0.312294506465296,0.681450900877111,0.0313761505677187,0.055129652778633,0.87821446201275,0.491418906907672,0.29135013744346,0.0547756554721439,0,0.851707900419609,0.0706304534821316,0.0532703447693966,0.0448129450043916,0.189384356583661,0.810079492474204,0.205700757870156,0.305854373020187,0.3882077272702,0.0900924085369801,0.251023938182251,0.357705248118972,0.392960916026426,0.813966281081016,0.0630607188865997,0.0259601291720965,0.0981918385887889,0.435977532294965,0.119886917400746,0.88979791817275,0.0238337520019011,0.399001567754034,0.21662195720602,0.931937232700712,0.15281924638773,0.291666594002706,0.387496031508072,0.175386990250204,0.422485249011773,0.0362052055946037,1.51926014931464,0,1.02142724328631,0.411248618289877,0.469635959601437,0.0794219187659412,0.113022787131086,0.0710772161138566,0,0,0.152548033646072,0.0313761505677187,0.129820984049847
"20","T17D","NF",0.143862781550606,0.0664453020265786,0.151426209622285,0.9452344223639,0.134461749467976,0.233712886042041,0.0409446850126446,0.10013316080737,0.343800935796824,0.296176031584088,0,0.961867116474974,0.121967401705592,0.643194679266211,0.0389694193261857,0.257723892310628,0.635206864817714,0.546357810362835,0.251357314569224,0.0483233720515359,0.0243537458686114,0.648799466556091,0.0473457510261889,0.106715704490188,0.257098261891701,0.019580628440128,0.781898124308392,0.241544470994634,0.152881157689487,0.432046148400447,0.104371990709953,0.104431344585424,0.366754275313786,0.740331057467746,0.992532356854191,0.311592722409453,0,0.108076725449254,0.516464086207624,0.130577023680525,0.785015026779976,0.136723215946348,0.0689749881289791,0.345202896353353,0.930314565611779,0.0337935541518117,0.106630330062041,0.305867038313488,0.277447735395806,0.234610651287104,0.105769369583714,1.4347020794028,0.0575779225289106,0.926260265856822,0.446229509124519,0.180726989069863,0.073937402173544,0.106764100727064,0.0429059465925103,0.117125738382839,0.0554036370095682,0.374822076780073,0.0261936292895159,0.0616870635077796
