"Barcode","fullumapsketch_1","fullumapsketch_2"
"cellid_000000393-1",-0.85093492269516,3.88699650764465
"cellid_000000394-1",-1.79986071586609,3.4072482585907
"cellid_000000395-1",-2.57967376708984,3.01595687866211
"cellid_000000396-1",1.92563998699188,4.18132352828979
"cellid_000000397-1",2.2653648853302,-1.01674151420593
"cellid_000000398-1",-5.07732677459717,3.53345632553101
"cellid_000000399-1",0.473405122756958,5.95314598083496
"cellid_000000400-1",-1.8428510427475,1.68546617031097
"cellid_000000401-1",1.07563066482544,4.65889310836792
"cellid_000000402-1",0.0618612915277481,2.4162871837616
"cellid_000000403-1",-0.287225216627121,1.82806098461151
"cellid_000000404-1",-1.92472350597382,3.16017198562622
"cellid_000000405-1",0.342187285423279,5.84983539581299
"cellid_000000406-1",-0.633170664310455,-0.956187784671783
"cellid_000000407-1",0.283403426408768,1.90546941757202
"cellid_000000408-1",-2.89105701446533,-0.532506585121155
"cellid_000000409-1",-2.34797143936157,3.13292503356934
"cellid_000000410-1",-3.65432906150818,0.572965085506439
"cellid_000000411-1",-2.77167797088623,3.41515827178955
"cellid_000000412-1",-4.43225240707397,2.82493209838867
"cellid_000000413-1",-2.42410635948181,2.70270180702209
"cellid_000000414-1",-4.16777801513672,3.40868973731995
"cellid_000000415-1",1.64354526996613,6.07267189025879
"cellid_000000416-1",-2.6485903263092,-2.02983093261719
"cellid_000000417-1",-3.28867268562317,3.12253952026367
"cellid_000000418-1",0.331615656614304,6.22486972808838
"cellid_000000419-1",1.57745015621185,5.92616367340088
"cellid_000000420-1",0.3840611577034,6.28076601028442
"cellid_000000421-1",3.17897129058838,-1.05615925788879
"cellid_000000422-1",-3.656658411026,3.19559741020203
"cellid_000000423-1",0.380454868078232,6.0471715927124
"cellid_000000424-1",-3.66450619697571,-1.86687457561493
"cellid_000000425-1",-4.82393264770508,3.07314395904541
"cellid_000000426-1",-3.28144121170044,2.97155952453613
"cellid_000000427-1",-3.6622359752655,3.96095848083496
"cellid_000000428-1",-2.58752202987671,3.42828011512756
"cellid_000000429-1",-2.11148643493652,0.532431602478027
"cellid_000000430-1",-0.400394111871719,-1.546541929245
"cellid_000000431-1",-2.27872180938721,-1.05174779891968
"cellid_000000432-1",-1.97857058048248,2.55329251289368
"cellid_000000433-1",2.61548352241516,-5.49906444549561
"cellid_000000434-1",3.08482623100281,0.495066076517105
"cellid_000000435-1",0.42948392033577,-0.725081562995911
"cellid_000000436-1",-1.42506420612335,1.4341459274292
"cellid_000000437-1",0.705723881721497,-6.06590175628662
"cellid_000000438-1",0.330447643995285,-0.852094888687134
"cellid_000000439-1",-3.25977182388306,-1.06599569320679
"cellid_000000440-1",1.32079124450684,-4.39843082427979
"cellid_000000441-1",-1.70834159851074,-2.63997626304626
"cellid_000000442-1",-2.93494653701782,3.39232635498047
"cellid_000000443-1",0.840900838375092,-2.99992704391479
"cellid_000000444-1",-3.44276237487793,-2.00754141807556
"cellid_000000445-1",-1.61222124099731,2.88631153106689
"cellid_000000446-1",-0.0541979074478149,-4.78578281402588
"cellid_000000447-1",0.42125940322876,-5.58653211593628
"cellid_000000448-1",-2.24080395698547,-0.880855858325958
"cellid_000000449-1",1.04411590099335,-5.31393527984619
"cellid_000000450-1",-3.06318736076355,2.94858837127686
"cellid_000000451-1",0.133567690849304,5.61465311050415
"cellid_000000452-1",-3.41432666778564,-3.84489607810974
"cellid_000000453-1",-2.3558361530304,-4.6449146270752
"cellid_000000454-1",0.752256035804749,5.59115648269653
"cellid_000000455-1",-3.19151043891907,-2.79855275154114
"cellid_000000456-1",-2.75926280021667,3.16177344322205
"cellid_000000457-1",-4.21945714950562,4.71781206130981
"cellid_000000458-1",2.68124556541443,-5.46075487136841
"cellid_000000459-1",2.23610663414001,-4.2626838684082
"cellid_000000460-1",3.9560112953186,-0.345375329256058
"cellid_000000461-1",-7.00121831893921,-4.29237270355225
"cellid_000000462-1",-1.66077053546906,2.79753398895264
"cellid_000000463-1",-2.72433733940125,5.10394239425659
"cellid_000000464-1",-0.608930230140686,2.10511064529419
"cellid_000000465-1",-4.30196332931519,2.95887112617493
"cellid_000000466-1",1.60324645042419,6.07435464859009
"cellid_000000467-1",-3.64658069610596,-0.411282300949097
"cellid_000000468-1",-1.32223284244537,3.71336722373962
"cellid_000000469-1",-0.0296868160367012,-4.84145879745483
"cellid_000000470-1",1.05045640468597,2.73995637893677
"cellid_000000471-1",0.771821081638336,5.28438186645508
"cellid_000000472-1",-4.38711595535278,3.86293029785156
"cellid_000000473-1",-2.45064616203308,5.93525409698486
"cellid_000000474-1",3.07623028755188,-1.35749280452728
"cellid_000000475-1",-5.00924921035767,3.50309872627258
"cellid_000000476-1",-2.36604738235474,-0.0988240763545036
"cellid_000000477-1",-1.50474107265472,3.12706923484802
"cellid_000000478-1",-2.83662557601929,-1.12274384498596
"cellid_000000479-1",-2.58568644523621,-1.15123879909515
"cellid_000000481-1",-2.46815848350525,4.54950761795044
"cellid_000000482-1",-4.55805826187134,2.64228868484497
"cellid_000000483-1",-2.82620310783386,3.11524963378906
"cellid_000000484-1",-2.91018986701965,3.5718686580658
"cellid_000000485-1",-2.00476098060608,3.98859882354736
"cellid_000000486-1",-2.69006991386414,4.07331800460815
"cellid_000000487-1",-4.38973617553711,3.36754727363586
"cellid_000000488-1",2.37052369117737,-3.68931818008423
"cellid_000000489-1",2.21746635437012,-0.562486231327057
"cellid_000000490-1",-2.43497824668884,1.89170277118683
"cellid_000000491-1",0.575246274471283,-0.896772086620331
"cellid_000000492-1",-2.24310564994812,0.0302219968289137
"cellid_000000493-1",-2.4882333278656,3.61551356315613
"cellid_000000494-1",-2.16034388542175,3.40599513053894
