"Barcode","Seurat_res0.2","Seurat_res0.4","Sample","Slice","Sex","Region"
"cellid_000000153-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000154-1","c_05","c_09","M_1_4P10","4P10","M","Dm"
"cellid_000000155-1","c_08","c_17","M_1_4P10","4P10","M","Dm"
"cellid_000000156-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000157-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000158-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000159-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000160-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000161-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000162-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000163-1","c_02","c_01","M_1_4P10","4P10","M","Dc"
"cellid_000000164-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000165-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000167-1","c_01","c_05","M_1_4P10","4P10","M","Dm"
"cellid_000000168-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000169-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000170-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000171-1","c_13","c_18","M_1_4P10","4P10","M","Dm"
"cellid_000000172-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000174-1","c_16","c_27","M_1_4P10","4P10","M","Dm"
"cellid_000000175-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000176-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000177-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000178-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000179-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000180-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000181-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000182-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000183-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000184-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000185-1","c_03","c_24","M_1_4P10","4P10","M","Dm"
"cellid_000000186-1","c_01","c_17","M_1_4P10","4P10","M","Dm"
"cellid_000000187-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000188-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000189-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000190-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000191-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000192-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000193-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000194-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000195-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000196-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000197-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000198-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000199-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000200-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000201-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000202-1","c_01","c_20","M_1_4P10","4P10","M","Dm"
"cellid_000000203-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000205-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000206-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000207-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000208-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000209-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000210-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000211-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000212-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000213-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000214-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000215-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000216-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000217-1","c_03","c_24","M_1_4P10","4P10","M","Dm"
"cellid_000000218-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000219-1","c_01","c_03","M_1_4P10","4P10","M","Dc"
"cellid_000000220-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000221-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000222-1","c_15","c_26","M_1_4P10","4P10","M","none"
"cellid_000000223-1","c_01","c_06","M_1_4P10","4P10","M","Dc"
"cellid_000000224-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000225-1","c_01","c_03","M_1_4P10","4P10","M","Dc"
"cellid_000000226-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000227-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000228-1","c_01","c_20","M_1_4P10","4P10","M","Dm"
"cellid_000000229-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000230-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000231-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000232-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000233-1","c_01","c_16","M_1_4P10","4P10","M","Dm"
"cellid_000000234-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000235-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000236-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000237-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000238-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000239-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000240-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000241-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000242-1","c_06","c_19","M_1_4P10","4P10","M","Dc"
"cellid_000000243-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000244-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000245-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000246-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000247-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000248-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000249-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000250-1","c_17","c_28","M_1_4P10","4P10","M","Dm"
"cellid_000000251-1","c_08","c_12","M_1_4P10","4P10","M","Dm"
"cellid_000000252-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000253-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000254-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000255-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000256-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000257-1","c_03","c_05","M_1_4P10","4P10","M","none"
"cellid_000000258-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000259-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000260-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000261-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000262-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000263-1","c_11","c_22","M_1_4P10","4P10","M","Dm"
"cellid_000000264-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000265-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000266-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000267-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000268-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000269-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000270-1","c_13","c_18","M_1_4P10","4P10","M","Dm"
"cellid_000000271-1","c_09","c_10","M_1_4P10","4P10","M","Dm"
"cellid_000000272-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000273-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000274-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000275-1","c_01","c_12","M_1_4P10","4P10","M","Dm"
"cellid_000000276-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000278-1","c_04","c_04","M_1_4P10","4P10","M","Dm"
"cellid_000000279-1","c_14","c_20","M_1_4P10","4P10","M","Dm"
"cellid_000000280-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000281-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000282-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000284-1","c_04","c_04","M_1_4P10","4P10","M","Dm"
"cellid_000000285-1","c_06","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000286-1","c_13","c_18","M_1_4P10","4P10","M","Dm"
"cellid_000000287-1","c_08","c_17","M_1_4P10","4P10","M","none"
"cellid_000000289-1","c_01","c_17","M_1_4P10","4P10","M","Dm"
"cellid_000000291-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000292-1","c_09","c_10","M_1_4P10","4P10","M","Dm"
"cellid_000000294-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000295-1","c_12","c_11","M_1_4P10","4P10","M","Dm"
"cellid_000000296-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000297-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000298-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000299-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000300-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000301-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000302-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000303-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000304-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000305-1","c_07","c_06","M_1_4P10","4P10","M","Dc"
"cellid_000000306-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000307-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000308-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000309-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000310-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000311-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000312-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000313-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000314-1","c_07","c_06","M_1_4P10","4P10","M","none"
"cellid_000000315-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000316-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000317-1","c_02","c_01","M_1_4P10","4P10","M","none"
"cellid_000000318-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000319-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000320-1","c_09","c_10","M_1_4P10","4P10","M","Dm"
"cellid_000000321-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000322-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000323-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000324-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000325-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000326-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000327-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000328-1","c_06","c_07","M_1_4P10","4P10","M","none"
"cellid_000000329-1","c_05","c_09","M_1_4P10","4P10","M","none"
"cellid_000000330-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000331-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000332-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000333-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000335-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000336-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
