"","cluster","gene","length_estimate","length_summary_p.value","length_summary_q.value"
"16094",3,"zbtb42",-0.001512282890313,0.0126084813348914,0.337073949506603
"16095",3,"akt1",0.00908386646829633,0.0204732422786124,0.461499974017407
"16096",3,"cep170ba",-0.000157794114623002,0.86883693818514,0.984501786291203
"16097",3,"srp14",0.000703208223219115,0.798453981292379,0.984501786291203
"16098",3,"xgb",-0.00076953003251115,0.392518351261759,0.914909855326389
"16099",3,"LOC118471670",-0.000446270707682648,0.752365162353664,0.979816956808139
"16100",3,"ppp1r14d",0.00129699440938108,0.313680216243744,0.90684258410696
"16101",3,"zfyve19",0.00177535833261612,0.120030416348331,0.90684258410696
"16102",3,"LOC111578066",0.0099607310492377,0.011762579772812,0.337073949506603
"16103",3,"LOC111578082",0.000614879644917395,0.6385013296224,0.946054117337486
"16104",3,"LOC111578043",0.00253234594858872,0.359747209246887,0.90684258410696
"16105",3,"LOC111578140",-0.00174258786251496,0.44107218038461,0.925864549250979
"16106",3,"mthfd1b",0.00189691494896917,0.34552955433429,0.90684258410696
"16107",3,"c20h14orf28",0.000556659917672357,0.705433553051491,0.967337426182269
"16108",3,"LOC111578089",0.0018057142183603,0.579283663867014,0.925864549250979
"16109",3,"LOC111577954",-0.0031860063824313,0.253545692004356,0.90684258410696
"16110",3,"ccdc28b",0.00117627718076635,0.171488942985956,0.90684258410696
"16111",3,"tmem39b",0.00110740387111022,0.300666303770396,0.90684258410696
"16112",3,"khdrbs1a",-0.00450284387221061,0.464024655945578,0.925864549250979
"16113",3,"zbtb8os",0.000454197474401738,0.675387876006141,0.956693301286459
"16114",3,"LOC111577897",0.00211585617669687,0.488180855045071,0.925864549250979
"16115",3,"LOC111577920",-0.00034381390320905,0.726189278636507,0.971824483583722
"16116",3,"LOC111577966",-6.39571906530996e-05,0.970725650225251,0.99211500991839
"16117",3,"LOC111577915",-0.00081988796024615,0.413980103575147,0.924351434048352
"16118",3,"LOC129347747",-0.000126909069164341,0.86883693818514,0.984501786291203
"16119",3,"LOC111562649",-0.00385529766339467,0.298948880226451,0.90684258410696
"16120",3,"LOC111562640",0.00469887453563366,0.17250193918236,0.90684258410696
"16121",3,"LOC111562638",-0.00722369568702446,0.182872463118507,0.90684258410696
"16122",3,"LOC111562637",0.0198644484128784,0.195823480808558,0.90684258410696
"16123",3,"LOC129347734",-0.00147382179291909,0.0126084813348914,0.337073949506603
"16124",3,"LOC111569658",-0.00040504521220426,0.72809678636072,0.971912860862288
"16125",3,"cln8",-0.000290363149375788,0.856174709505693,0.984501786291203
"16126",3,"dlgap2a",-0.00294929093296761,0.698016936312935,0.965469116392368
"16127",3,"LOC111569657",-0.000407566099943929,0.810361840009535,0.984501786291203
"16128",3,"zgc:193593",-0.00049377489506296,0.681153856248456,0.959173860621535
"16129",3,"si:ch211-195o20.7",-4.17271334050838e-05,0.948591786020536,0.985243967207375
"16130",3,"LOC129347698",-0.00321251014405407,0.0146495004207605,0.371445338348373
"16131",3,"tmem30aa",0.00281361468652997,0.328683248503525,0.90684258410696
"16132",3,"LOC111569644",-0.000471205214525783,0.680735093405392,0.958837468189233
"16133",3,"tfb1m",0.00915086638085194,0.173777434700716,0.90684258410696
"16134",3,"LOC111569654",0.00379768259968651,0.679671137296558,0.958428653307176
"16135",3,"tiam2a",0.0350634160059025,0.033482639536089,0.614962157036302
"16136",3,"scaf8",0.0150868863201901,0.00124331372195737,0.337073949506603
