,individual,status,prediction,cluster
6,T14D,D,0.4313440186510379,10
7,T17D,NF,0.4076671841323483,10
8,T19D,D,0.38322917783618704,10
9,T5D,D,0.3804428678631823,10
0,A12D,E,0.20292653790818663,11
1,A22D,D,0.18820328013402854,11
2,A25D,D,0.13956528294490783,11
3,C21D,D,0.11195503698709877,11
4,T11D,E,0.6727543022605508,11
5,T13D,D,0.4305332276767066,11
6,T14D,D,0.3901329440852492,11
7,T17D,NF,0.09338186859432773,11
8,T19D,D,0.29680635361537905,11
9,T5D,D,0.5621873750909056,11
0,A12D,E,0.544725971146704,12
1,A22D,D,0.4131228283933532,12
2,A25D,D,0.286273367230373,12
3,C21D,D,0.4068891612738224,12
4,T11D,E,0.5708081360604885,12
5,T13D,D,0.4316587315393429,12
6,T14D,D,0.5867004365891462,12
7,T17D,NF,0.3887305015274923,12
8,T19D,D,0.38765862342928625,12
9,T5D,D,0.3445102148777742,12
0,A12D,E,0.5805498801763561,13
1,A22D,D,0.5562383220714724,13
2,A25D,D,0.6147825036020876,13
3,C21D,D,0.536743538192637,13
4,T11D,E,0.6310013553248317,13
5,T13D,D,0.6315158657111956,13
6,T14D,D,0.5223231463510848,13
7,T17D,NF,0.5079255422891773,13
8,T19D,D,0.5634614461133015,13
9,T5D,D,0.6557347931870886,13
0,A12D,E,0.47187941379432863,14
1,A22D,D,0.4815203971473192,14
2,A25D,D,0.5121632070129003,14
3,C21D,D,0.4465354056726389,14
4,T11D,E,0.5580454147203232,14
5,T13D,D,0.464773650955908,14
6,T14D,D,0.4298604013819324,14
7,T17D,NF,0.46661468415703306,14
8,T19D,D,0.6608199788747172,14
9,T5D,D,0.4910220214012344,14
0,A12D,E,0.5608100450893678,15
1,A22D,D,0.6238419010564762,15
2,A25D,D,0.5929731569775668,15
3,C21D,D,0.5276168034908931,15
4,T11D,E,0.5059309720659058,15
5,T13D,D,0.23916226605483754,15
6,T14D,D,0.4769964197996214,15
7,T17D,NF,0.3290156291156728,15
8,T19D,D,0.5758734916049063,15
9,T5D,D,0.40877691928871196,15
0,A12D,E,0.5124879456582874,16
1,A22D,D,0.6457193404158275,16
2,A25D,D,0.6086236440647399,16
3,C21D,D,0.4683850624156115,16
4,T11D,E,0.45447490357015324,16
5,T13D,D,0.5726165222569493,16
6,T14D,D,0.42977414442861367,16
7,T17D,NF,0.548054316170297,16
8,T19D,D,0.5826391850622041,16
9,T5D,D,0.5891322401772291,16
0,A12D,E,0.49971059246964794,17
1,A22D,D,0.5496090424055547,17
2,A25D,D,0.5728564386049796,17
3,C21D,D,0.3709859182146989,17
4,T11D,E,0.34577345692041217,17
5,T13D,D,0.6305703328630363,17
6,T14D,D,0.52271989706135,17
7,T17D,NF,0.49734992927171,17
8,T19D,D,0.4436382927963502,17
9,T5D,D,0.48472422845917235,17
0,A12D,E,0.47080472066076284,18
1,A22D,D,0.44407415733590183,18
2,A25D,D,0.46589245046388494,18
3,C21D,D,0.44407415733590183,18
4,T11D,E,0.44407415733590183,18
5,T13D,D,0.46908762477541854,18
6,T14D,D,0.842436536322154,18
7,T17D,NF,0.46442617388165836,18
8,T19D,D,0.44407415733590183,18
9,T5D,D,0.5008463582272595,18
0,A12D,E,0.566709443190019,19
1,A22D,D,0.3598115643986361,19
2,A25D,D,0.4172661408431629,19
3,C21D,D,0.3221839318051425,19
4,T11D,E,0.35748314519212526,19
5,T13D,D,0.36980718697759174,19
6,T14D,D,0.21843206022879053,19
7,T17D,NF,0.6036103878025393,19
8,T19D,D,0.39110407114566287,19
9,T5D,D,0.5787452841636825,19
