,individual,status,prediction,cluster
2,A25D,D,0.6069322227962116,23
3,C21D,D,0.48974350493359275,23
4,T11D,E,0.5991371605141377,23
5,T13D,D,0.5893601581655094,23
6,T14D,D,0.5097257970534154,23
7,T17D,NF,0.49345943394950204,23
8,T19D,D,0.5930377663749415,23
9,T5D,D,0.5376638750452155,23
0,A12D,E,0.4821787192866294,24
1,A22D,D,0.5,24
2,A25D,D,0.5126692843940347,24
3,C21D,D,0.4826716824230151,24
4,T11D,E,0.4833564477595786,24
5,T13D,D,0.5272636199326284,24
6,T14D,D,0.5238855767700218,24
7,T17D,NF,0.520672912099194,24
8,T19D,D,0.48302378481643476,24
9,T5D,D,0.524581540726868,24
0,A12D,E,0.5686921406006703,25
1,A22D,D,0.5771040584550361,25
2,A25D,D,0.5697191856826296,25
3,C21D,D,0.5927588508546348,25
4,T11D,E,0.5897428753310147,25
5,T13D,D,0.5970201082569754,25
6,T14D,D,0.5596775109098034,25
7,T17D,NF,0.6204161908659804,25
8,T19D,D,0.5586000771901016,25
9,T5D,D,0.6160989300319804,25
