cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
0	MTMR4	0.002429344470277	2.18603839672186e-07	0.251467254340582	0.426	0.229
0	GPR52	0.00245588434590146	2.20992022487309e-07	0.214465092498236	0.24	0.106
0	EPN1	0.00245846745122109	2.21224462451281e-07	0.510798353225555	0.5	0.287
0	RPH3A	0.00246259558752377	2.21595931568772e-07	0.285260648088516	0.329	0.164
0	NACAD	0.00247199512885137	2.22441746499718e-07	0.438829793488351	0.329	0.167
0	NDUFB7	0.00254690303964117	2.29182312574568e-07	0.494033455474773	0.194	0.078
0	SHARPIN	0.00254768638075119	2.29252801291388e-07	0.705217891586274	0.12	0.036
0	NIPBL	0.00263606591729116	2.37205607602912e-07	0.5323500725066	0.229	0.1
0	PLK3	0.00264735707413612	2.38221638993622e-07	0.409237969975313	0.209	0.089
0	KIFAP3	0.00264797843072047	2.38277551581074e-07	0.249955979256789	0.298	0.144
0	ZNF512	0.00276209616376815	2.48546401850818e-07	0.83585962395165	0.174	0.068
0	STAM	0.00276443865480159	2.48757190209808e-07	0.293756275162488	0.26	0.118
0	PAM	0.00277487314987755	2.49696135146004e-07	0.248461455148361	0.605	0.358
0	NAV2	0.00281024267425706	2.52878851278418e-07	0.431495125386112	0.578	0.358
0	ARHGAP22	0.0028109769816269	2.5294492770871e-07	0.268712762390345	0.205	0.084
0	TMEM145	0.00287845615432734	2.59017020995891e-07	0.26171861369918	0.632	0.371
0	PRSS12	0.00288301630890553	2.59427365149422e-07	1.38088453218399	0.116	0.035
0	BEND5	0.0028984021063034	2.60811851552542e-07	0.365515016099877	0.221	0.094
0	COL6A6	0.00291976963353851	2.62734602136102e-07	1.25095065083421	0.132	0.044
0	LBH	0.0029921381774259	2.69246664035445e-07	0.730941603827634	0.186	0.075
0	USP53	0.00303071053254009	2.72717585938998e-07	0.360826066776944	0.248	0.111
0	USP5	0.0030698899637856	2.76243135407685e-07	0.303924802953057	0.155	0.055
0	ARMH4	0.00307899141278514	2.77062126589142e-07	0.31081896051754	0.357	0.181
0	NHS	0.00312497438179523	2.81199890380206e-07	0.341479791102229	0.5	0.296
0	SOD2	0.00317695174241959	2.85877057717951e-07	0.93804235544459	0.128	0.041
0	KIFC2	0.00320636204045593	2.88523534640145e-07	0.495529374812678	0.244	0.11
0	DYNLRB1	0.00323347414069559	2.90963208917087e-07	0.278595077612053	0.167	0.062
0	IL18RAP	0.00331386236509262	2.98196919382041e-07	0.314948213548423	0.221	0.096
0	TRIT1	0.003321015787312	2.98840617953028e-07	0.553412559183205	0.171	0.065
0	PTGES3	0.00335540048370415	3.01934714631886e-07	0.319972047521154	0.271	0.126
0	SLC45A1	0.00338965806514683	3.0501737290982e-07	1.38644640105033	0.128	0.042
0	EAF1	0.00339255394150918	3.05277957483054e-07	0.972975068631004	0.116	0.035
