"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"mxd1",0.221586275211179,0.416954181308669,0.32232159052707,0.597924971847024,0.88733928095269,0.503431391062735,0.0237579584665103,0.00570253840844748,0.0294604968749578,0.18690731606943,0.729142462005538,0.422049134734385,-0.0683887758485409,-0.0155605391118948,0.0468595995868252,FALSE,NA,NA,0.792998481312182,0.775648764503603,0.684326050072854
"kat6a",0.709837684962469,0.607787253908479,0.517189456677431,0.248922319671903,0.889463496110684,0.18954646008085,0.0534129740397663,0.00529539765519326,0.0587083716949596,0.956249043757735,0.261353692368145,0.612369627458059,-0.00260487871596976,0.0453502019858036,-0.0311167419241622,FALSE,NA,NA,0.866992446842532,0.895944066044232,0.810389909439937
"arvcfb",0.735187256594797,0.605125844701331,0.937362807380622,0.2800041527323,0.899539635976758,0.310122422936616,0.0474949909991523,-0.00467980365005912,0.0428151873490932,0.693719783790124,0.864335597679694,0.610783605673914,-0.0179304398147473,-0.00609179584607129,-0.028872265585658,FALSE,NA,NA,0.878862254567402,0.987418043270471,0.810389909439937
"fbrsl1",0.8866840788173,0.772562681963728,0.63628449738795,0.276589036132312,0.892046212410736,0.315500331103817,0.0502811204566761,-0.00537030997131275,0.0449108104853633,0.181056875623325,0.0245228213291809,0.773616354264418,0.0637398707071531,0.0745631821055285,0.0154333412890533,FALSE,NA,NA,0.950380567744583,0.920223633038816,0.900609042442959
"LOC111571064",0.479143907129562,0.511202948282182,0.577813567715602,0.218949935535912,0.529159991732788,0.431399237596077,0.0578475867780568,-0.0246451119077952,0.0332024748702616,0.21853147062865,0.960530059468761,0.51595838296326,0.0683394574809755,0.00184182805078242,0.0398404107939831,FALSE,NA,NA,0.822450735613019,0.904868080139733,0.75586652150282
"ncor2",0.837409367287182,0.668245496963179,0.262022232438318,0.296447075290164,0.81870752858191,0.199236478197632,0.0421259986069789,0.00770528630910864,0.0498312849160875,0.0535663265144341,0.118620294325862,0.672374402430769,0.0921677425582708,0.0562558592798051,-0.0235106616890587,FALSE,NA,NA,0.927740616434354,0.736951613709078,0.848548357154514
"LOC111586713",0.565910052296741,0.785179325503254,0.872535433055426,0.250807395156599,0.820807072789412,0.31516733430954,0.0527376808008907,-0.00868021650791609,0.0440574642929746,0.701373290307772,0.823032917249986,0.787289462886531,-0.0181864663319803,0.0084635300099314,0.0158766915937426,FALSE,NA,NA,0.836292983940898,0.97088052847608,0.902749960057595
"LOC111579805",0.703260022684286,0.531897835551415,0.057912852338416,0.223284814267365,0.438016976715272,0.0576235160743665,0.0582390798485089,0.0321757361510396,0.0904148159995485,0.915184704910233,0.00593164550707849,0.540005066747498,0.00538392598123946,0.12367955072559,-0.039813556968013,FALSE,NA,NA,0.863988765716392,0.44993831432154,0.7753847810603
"LOC111562509",0.900030122799029,0.0393386299455908,0.0160485896163342,0.0916744260352916,0.817791394564347,0.118180786877829,0.0752664811520204,-0.00840577296546946,0.0668607081865509,0.0875828353060137,0.147059606983421,0.043727717323327,0.0785704141705156,0.0503492286181522,-0.115360758262958,FALSE,NA,NA,0.957679893094146,0.284754029273606,0.209965939506344
"setbp1",0.590408603678669,0.943555823991475,0.92692728859663,0.297739739484676,0.737025623260912,0.455856525742002,0.0522804722783117,-0.0160670306055385,0.0362134416727732,0.8369536062128,0.727158462028179,0.944563271515948,0.0130182464435023,-0.0191321414075647,-0.00443870488830138,FALSE,NA,NA,0.84521192185224,0.984672758840919,0.976271707565648
