"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster","full_label","first_word","second_word","short_label"
"17312",17312,"stac","5.01249958981451e-05",NA,"FALSE",0.00707249768512856,0.347855511798523,0.0105354170058098,2.56821906579052e-05,0.351173661745653,-0.896646197052613,-1.24781985879827,"6_0","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"18492",18492,"LOC111587080","1.16122638429992e-05",NA,"FALSE",0.00170969548378302,0.002525616636888,0.808116005482202,5.941349782701e-05,1.10956014602169,-0.238389286618087,-1.34794943263978,"6_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"10492",10492,"chgb","0",NA,"FALSE",0,0.22170070169317,0,0,0.0844216375951767,-1.21685801228293,-1.30127964987811,"6_1","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"12948",12948,"camk2g2","0.00011121082034954",NA,"FALSE",0.016088777401094,0.892507646459596,0.000271692213871466,0.000607218427169376,-0.109539869295563,-1.07985746056112,-0.970317591265553,"6_1","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"18424",18424,"adam19a","1.03827575788412e-06",NA,"FALSE",0.000151344423162488,5.56461224543447e-07,0.00435376685244426,9.25459627330039e-05,-0.399262823579995,-0.169421285431722,0.229841538148272,"6_1","Progressively downregulated","Progressively","Downregulated","Progressively Downregulated"
"5243",5243,"mat2ab","0.000266801737827098",NA,"FALSE",0.0274735207491587,0.961651000828879,0.00669335263664095,0.0211057973190349,0.0133079965914635,0.107030615334829,0.0937226187433652,"6_2","Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"7669",7669,"LOC111577100","0.000260090749305032",NA,"FALSE",0.0269249263988007,0.0147594525397516,0.448870222770354,0.000528940155714586,1.91140739536351,-1.01453086987298,-2.92593826523649,"6_2","Late upregulated_1","Late","Upregulated","Late Upregulated"
"14751",14751,"baiap2b","5.41868194124766e-07",NA,"FALSE",5.7944169198111e-05,0.00965344244127209,0.231846540743739,1.1142293444566e-06,-0.63005015586998,-0.341187365960083,0.288862789909897,"6_2","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"15844",15844,"LOC111562889","0.000118040030934304",NA,"FALSE",0.0123510488281905,9.5917796470113e-05,0.0265110098979828,0.25166459338386,-1.4414858676647,-0.862245125193465,0.57924074247123,"6_2","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"12993",12993,"lrrc9","7.81570105113497e-90",NA,"FALSE",1.64661623950925e-87,0.904521722951352,0,0,0.0336346321643725,-0.780694675885812,-0.814329308050184,"6_3","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"14469",14469,"nat8l","6.60618723200509e-81",NA,"FALSE",1.37272950852445e-78,3.37577743536599e-11,5.6399329650958e-14,0,0.340767286606964,-0.279490734035007,-0.620258020641971,"6_3","Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
