"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","cluster"
"3596","fbxo41",0.70168960468633,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3597","LOC111575457",0.283490718042133,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3598","mogs",0.738629529995481,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3599","pdcd4a",0.765786293202837,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3600","LOC111575458",0.839803736415057,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3601","mxd4",0.575539187048539,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3602","LOC111575456",0.0535441232692494,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3603","ndufb6",0.00906666781111871,NA,TRUE,"0.534005316749354",NA,NA,NA,4
"3604","LOC129348719",0.999999998910592,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3605","mtap",0.0385500738993767,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3606","cdkn2a/b",0.630934994276819,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3607","LOC118471743",0.398178972169144,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3608","cxxc4",0.253532172210517,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3609","tet2",0.947648542027577,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3610","ppa2",0.259923931585233,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3611","arhgef38",0.999999995341782,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,4
"3612","ints12",0.935977426318574,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3613","gstcd",0.451223334560389,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3614","npnta",0.54195999316331,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3615","LOC111581107",0.0757576901602709,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3616","LOC111570984",0.0390932819003372,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3617","LOC111570992",0.560475141209346,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3618","tbck",0.536058560306388,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3619","si:dkey-17e16.9",0.999999997865497,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3620","aimp1a",0.895967522795719,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3621","dkk2",0.641975991566376,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3622","papss1",0.960054968976774,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3623","sgms2a",0.0679192845523642,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3624","LOC111570989",0.979472971788483,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3625","hadh",0.302037447941765,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3626","LOC129348820",0,"Model failed to converge with max|grad| = 0.017180",FALSE,"NA",NA,NA,NA,4
"3627","lef1",0.872947143777088,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3628","LOC111579217",0.131940975423555,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3629","LOC111578659",0.847647461732926,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3630","pla2g12a",0.53530080589686,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3631","dnajb14",0.0890349800599346,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3632","LOC111578804",0.589236874259784,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3633","snapc3",0.683145183439586,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3634","psip1a",0.955668488249794,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3635","bnc2",0.132392976011847,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3636","LOC118470098",0.832756539820555,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,4
"3637","cntln",0.341283412518792,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3638","sh3gl2a",0.189599655068909,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3639","LOC118469236",0.620287898335415,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3640","spag5",0.844846582929992,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3641","trmo",0.838393175806174,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3642","hemgn",0.856455180788288,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3643","anp32b",0.244400300867358,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3644","LOC129348680",0.91503137740101,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3645","coro2aa",0.522967239752716,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3646","uso1",0.593568352131883,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3647","g3bp2a",0.0308757429301314,NA,TRUE,"0.971741474547193",NA,NA,NA,4
"3648","pkd2",0.26706839446296,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3649","ppm1kb",0.49230705761163,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3650","herc3",0.00111282843915353,NA,TRUE,"0.105366540821119",NA,NA,NA,4
"3651","LOC129348656",0.744111091187345,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3652","LOC129348792",0.815968132600138,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3653","LOC111583083",0.263042043674869,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3654","zgc:154142",0.216496883689431,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3655","gprin3b",0.07956920070942,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3656","elmod2",0.0756058783357644,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3657","ucp1",0.999999999510503,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,4
"3658","LOC129348647",0.587001015122824,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3659","LOC129348694",0.762331858856501,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3660","tbc1d9",0.864771276167264,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3661","LOC111568832",0.53536749080788,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3662","LOC111568838",0.0427452562381967,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3663","LOC129348707",0.723890999904621,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3664","rnf150a",0.797430281944962,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3665","znf330",0.0319703864985098,NA,TRUE,"0.98021345522146",NA,NA,NA,4
"3666","LOC111568839",0.985733287419185,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3667","LOC129348789",0.354417901446862,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3668","inpp4b",0.327243648544763,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3669","LOC129348780",0.63755709934292,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3670","LOC129348686",0.999999999873146,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3671","gab1",0.351025586801435,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3672","usp38",0.092157303549148,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3673","smarca5",0.899854250543685,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3674","frem3",0.999999999324965,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3675","LOC111581047",0.79022318596454,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3676","LOC129348672",0.992670132614917,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3677","LOC129348675",0.731596371148233,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3678","LOC111581049",0.999999999848971,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3679","ptp4a1",0.000604058496490634,NA,TRUE,"0.0597139764812768",NA,NA,NA,4
"3680","LOC111581048",0.518987941717955,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3681","myom2a",0.337994799693525,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",NA,NA,NA,4
"3682","LOC111581369",0.1411663768652,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3683","zbtb45",0.790361259205328,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3684","dla",0.783858432133876,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3685","LOC111581366",0.999999999859547,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3686","arhgap19",0.709620862752521,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3687","slit1b",0.572535684271887,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3688","lcor",0.267206055212613,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3689","LOC111578849",0.294827402312861,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3690","LOC129348673",0.764278568260617,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3691","hoga1",0.18304078978566,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3692","LOC118471471",0.573889575795713,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3693","LOC111580396",0.408348008464835,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3694","LOC111580410",0.937695220060075,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3695","LOC111567263",0.0169562622210848,NA,TRUE,"0.779710090658082",NA,NA,NA,4
"3696","LOC111567266",0.695602370540215,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3697","LOC111567268",0.88847315151464,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3698","LOC129348676",0.708867379784223,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3699","atpv0e2",0.0257103545844972,NA,FALSE,"0.913717753480401",NA,NA,NA,4
"3700","LOC129348674",0.990905049511341,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3701","LOC111567244",0.99279123581384,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3702","LOC111574707",0.999999975115459,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3703","LOC111582391",0.992747570822934,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3704","LOC111567254",0.992963601884629,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3705","LOC111567247",0.999907907163089,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3706","LOC111567243",0.949378374604827,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,4
"3707","LOC111567256",0.999999999784933,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3708","LOC111567259",0.999999999872401,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3709","pgap4",0.94418648384066,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3710","LOC111572257",0.914150953419672,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3711","vps54",0.280815329189209,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3712","LOC129348758",0.481552689562562,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3713","LOC111583456",0.476474320517142,NA,FALSE,"0.999999999899967",NA,NA,NA,4
