"","gene","av_p.value","warning","singular","av_q.value","cluster"
"58","bloc1s6",0.773821216600512,NA,TRUE,"0.999999999964445",14
"59","slc30a4",0.882918475613374,NA,TRUE,"0.999999999964445",14
"60","c1h15orf48",0.501828419083985,NA,FALSE,"0.999999999964445",14
"61","spata5l1",0.111179889903734,NA,TRUE,"0.999999999964445",14
"62","LOC111565744",0.746361539513464,NA,TRUE,"0.999999999964445",14
"63","dtwd1",0.0130634722411752,NA,TRUE,"0.999999999964445",14
"64","LOC129349619",0.822118210525345,NA,FALSE,"0.999999999964445",14
"65","cops2",0.946327380163808,NA,TRUE,"0.999999999964445",14
"66","secisbp2l",0.372967797054909,NA,TRUE,"0.999999999964445",14
"67","LOC111565759",0.568757052957169,NA,FALSE,"0.999999999964445",14
"68","dut",0.739272432942009,NA,TRUE,"0.999999999964445",14
"69","slc12a1",0.932382347397785,NA,FALSE,"0.999999999964445",14
"70","ctxn2",0.264445719203465,NA,TRUE,"0.999999999964445",14
"71","myef2",0.621344832937128,NA,TRUE,"0.999999999964445",14
"72","slc24a5",0.986017192352463,NA,TRUE,"0.999999999964445",14
"73","LOC111565754",0.24852487982309,NA,TRUE,"0.999999999964445",14
"74","sema6dl",0.796734427805041,NA,TRUE,"0.999999999964445",14
"75","LOC118470001",0.0239504189255795,NA,FALSE,"0.999999999964445",14
"76","dmxl2",0.330853800640759,NA,TRUE,"0.999999999964445",14
"77","gldn",0.999999999891504,NA,TRUE,"0.999999999964445",14
"78","LOC111565746",0.970673495918627,NA,FALSE,"0.999999999964445",14
"79","tnfaip8l3",0.798539265531682,NA,FALSE,"0.999999999964445",14
"80","LOC129349365",0.999999999900721,NA,TRUE,"0.999999999964445",14
"81","scg3",0.191851500593122,NA,TRUE,"0.999999999964445",14
"82","lysmd2",0.846505470354161,NA,TRUE,"0.999999999964445",14
"83","tmod2",0.540470864658791,NA,TRUE,"0.999999999964445",14
"84","leo1",0.93543917585129,NA,FALSE,"0.999999999964445",14
"85","LOC129350374",0.977497855329045,NA,TRUE,"0.999999999964445",14
"86","mapk6",0.803943036034634,NA,TRUE,"0.999999999964445",14
"87","LOC118471234",0.32975704129046,NA,FALSE,"0.999999999964445",14
"88","LOC111577620",0.992354210420162,NA,TRUE,"0.999999999964445",14
"89","usp8",0.885929336433542,NA,TRUE,"0.999999999964445",14
"90","hdc",0.97960414644245,NA,TRUE,"0.999999999964445",14
"91","LOC111577621",0.999999999890172,NA,TRUE,"0.999999999964445",14
"92","LOC129349535",0.980969961429233,NA,TRUE,"0.999999999964445",14
"93","zgc:158482",0.999999997663189,"unable to evaluate scaled gradient",FALSE,"NA",14
"94","LOC129349407",0.937507170864938,NA,TRUE,"0.999999999964445",14
"95","pde8a",0.597504093911192,NA,FALSE,"0.999999999964445",14
"96","LOC111563916",0.672159754665158,NA,TRUE,"0.999999999964445",14
"97","LOC111563902",0.966467982642106,NA,FALSE,"0.999999999964445",14
"98","LOC111563893",0.0794432935247928,NA,TRUE,"0.999999999964445",14
"99","homer2",0.161961433249116,NA,TRUE,"0.999999999964445",14
"100","ramac",0.943640910978943,NA,TRUE,"0.999999999964445",14
"101","LOC111567331",0.221512962410453,NA,FALSE,"0.999999999964445",14
"102","LOC111567348",0.398842281629608,NA,TRUE,"0.999999999964445",14
"103","zrsr2",0.167886512180603,NA,TRUE,"0.999999999964445",14
"104","LOC111567330",0.06363158004266,NA,TRUE,"0.999999999964445",14
"105","phka2",0.0506453898058068,NA,TRUE,"0.999999999964445",14
"106","ppef1",0.454206803268474,NA,FALSE,"0.999999999964445",14
"107","rs1a",0.999999897334111,NA,TRUE,"0.999999999964445",14
"108","cdkl5",0.661627032108671,NA,TRUE,"0.999999999964445",14
"109","scml2",0.552604433495261,NA,TRUE,"0.999999999964445",14
"110","nhsb",0.792557171264841,NA,FALSE,"0.999999999964445",14
"111","ace2",0.281229595358171,NA,TRUE,"0.999999999964445",14
"112","il1fma",0.99999999923243,"unable to evaluate scaled gradient",FALSE,"NA",14
"113","pir",0.972021700441402,NA,TRUE,"0.999999999964445",14
"114","vegfd",0.99999995970451,NA,TRUE,"0.999999999964445",14
"115","LOC111566424",0.989178481353955,NA,TRUE,"0.999999999964445",14
"116","ildr1a",0.916839812813781,NA,FALSE,"0.999999999964445",14
"117","tmem39a",0.684810520856456,NA,TRUE,"0.999999999964445",14
"118","LOC111566431",0.816713626255821,NA,FALSE,"0.999999999964445",14
"119","LOC118470075",0.999999999902881,NA,TRUE,"0.999999999964445",14
"120","LOC111566421",0.843258978912764,NA,FALSE,"0.999999999964445",14
