Barcode,Anatomical
cellid_000000301-1,Vd-r
cellid_000000302-1,Dm-3
cellid_000000303-1,Vd-r
cellid_000000304-1,Dm-3
cellid_000000305-1,Vd-r
cellid_000000306-1,Dm-3
cellid_000000307-1,Dm-3
cellid_000000308-1,Vd-r
cellid_000000309-1,Dm-3
cellid_000000310-1,Dm-3
cellid_000000311-1,Dm-3
cellid_000000312-1,Dm-3
cellid_000000313-1,Vd-r
cellid_000000314-1,Vd-r
cellid_000000315-1,Dm-3
cellid_000000316-1,Vd-r
cellid_000000317-1,Vd-r
cellid_000000318-1,Dm-3
cellid_000000319-1,Vd-r
cellid_000000320-1,Dm-3
cellid_000000321-1,Dm-3
cellid_000000322-1,Vd-r
cellid_000000323-1,Vd-r
cellid_000000324-1,Dm-3
cellid_000000325-1,Dm-3
cellid_000000326-1,Dm-3
cellid_000000327-1,Dm-3
cellid_000000328-1,Vd-r
cellid_000000329-1,Vd-r
cellid_000000330-1,Dm-3
cellid_000000331-1,Vd-r
cellid_000000332-1,Dm-3
cellid_000000333-1,Dm-3
cellid_000000334-1,Dm-3
cellid_000000335-1,Dm-3
cellid_000000336-1,Dm-3
cellid_000000337-1,Dm-3
cellid_000000338-1,Dm-3
cellid_000000339-1,Vd-r
cellid_000000340-1,Dm-3
cellid_000000341-1,Dm-3
cellid_000000342-1,Dm-3
cellid_000000344-1,Vd-r
cellid_000000345-1,Dm-3
cellid_000000346-1,Dm-3
cellid_000000347-1,Vd-r
cellid_000000348-1,Dm-3
cellid_000000349-1,Dm-3
cellid_000000350-1,Dm-3
cellid_000000351-1,Dm-3
cellid_000000352-1,Dm-3
cellid_000000353-1,Dm-3
cellid_000000354-1,Dm-3
cellid_000000355-1,Dm-3
cellid_000000356-1,Dm-3
cellid_000000357-1,Dm-3
cellid_000000358-1,Dm-3
cellid_000000359-1,Dm-3
cellid_000000360-1,Dm-3
cellid_000000361-1,Dm-3
cellid_000000362-1,Dm-3
cellid_000000363-1,Dm-3
cellid_000000364-1,Vd-r
cellid_000000365-1,Dm-3
cellid_000000367-1,Dm-3
cellid_000000368-1,Dm-3
cellid_000000369-1,Dm-3
cellid_000000370-1,Dm-3
cellid_000000371-1,Dm-3
cellid_000000372-1,Vd-r
cellid_000000373-1,Dm-3
cellid_000000374-1,Dm-3
cellid_000000375-1,Dm-3
cellid_000000376-1,Dm-3
cellid_000000377-1,Dm-3
cellid_000000378-1,Dm-3
cellid_000000379-1,Vd-r
cellid_000000380-1,Vd-r
cellid_000000381-1,Dm-3
cellid_000000382-1,Dm-3
cellid_000000383-1,Dm-3
cellid_000000384-1,Dm-3
cellid_000000385-1,Dm-3
cellid_000000386-1,Dm-3
cellid_000000387-1,Dm-3
cellid_000000388-1,Dm-3
cellid_000000389-1,Dm-3
cellid_000000390-1,Dm-3
cellid_000000391-1,Vd-r
cellid_000000393-1,Dm-3
cellid_000000394-1,Vd-r
