Barcode,Coltan DIssection
cellid_000003820-1,included
cellid_000003826-1,included
cellid_000003829-1,included
cellid_000003835-1,included
cellid_000003838-1,included
cellid_000003839-1,included
cellid_000003843-1,included
cellid_000003844-1,included
cellid_000003849-1,included
cellid_000003850-1,included
cellid_000003853-1,included
cellid_000003859-1,included
cellid_000003860-1,included
cellid_000003861-1,included
cellid_000003874-1,included
cellid_000003878-1,included
cellid_000003890-1,included
cellid_000003892-1,included
cellid_000003895-1,included
cellid_000003899-1,included
cellid_000003901-1,included
cellid_000003903-1,included
cellid_000003907-1,included
cellid_000003910-1,included
cellid_000003926-1,included
cellid_000003929-1,included
cellid_000003932-1,included
cellid_000003935-1,included
cellid_000003938-1,included
cellid_000003940-1,included
cellid_000003943-1,included
cellid_000003945-1,included
cellid_000003947-1,included
cellid_000003950-1,included
cellid_000003951-1,included
cellid_000003956-1,included
cellid_000003974-1,included
cellid_000003985-1,included
cellid_000004004-1,included
cellid_000004032-1,included
cellid_000004106-1,included
cellid_000004112-1,included
cellid_000004115-1,included
cellid_000004147-1,included
cellid_000004155-1,included
cellid_000004171-1,included
cellid_000004183-1,included
cellid_000004191-1,included
cellid_000004194-1,included
cellid_000004198-1,included
cellid_000004205-1,included
cellid_000004241-1,included
cellid_000004274-1,included
cellid_000004325-1,included
cellid_000004361-1,included
cellid_000004381-1,included
cellid_000004384-1,included
cellid_000004385-1,included
cellid_000004396-1,included
cellid_000004397-1,included
cellid_000004399-1,included
cellid_000004405-1,included
cellid_000004440-1,included
cellid_000004443-1,included
cellid_000004446-1,included
cellid_000004475-1,included
cellid_000004508-1,included
cellid_000004530-1,included
cellid_000004558-1,included
cellid_000004581-1,included
cellid_000004602-1,included
cellid_000004633-1,included
cellid_000004637-1,included
cellid_000004646-1,included
cellid_000004655-1,included
cellid_000004665-1,included
cellid_000004670-1,included
cellid_000004673-1,included
cellid_000004680-1,included
cellid_000004687-1,included
cellid_000004691-1,included
cellid_000004702-1,included
cellid_000004704-1,included
cellid_000004731-1,included
cellid_000004733-1,included
cellid_000004739-1,included
cellid_000004764-1,included
cellid_000004773-1,included
cellid_000004782-1,included
cellid_000004784-1,included
cellid_000004793-1,included
cellid_000004806-1,included
cellid_000004814-1,included
cellid_000004815-1,included
cellid_000004820-1,included
cellid_000004822-1,included
cellid_000004825-1,included
cellid_000004838-1,included
cellid_000004879-1,included
cellid_000004899-1,included
cellid_000004919-1,included
cellid_000004926-1,included
cellid_000004932-1,included
cellid_000004933-1,included
cellid_000004950-1,included
cellid_000004952-1,included
cellid_000004983-1,included
cellid_000004999-1,included
cellid_000005012-1,included
cellid_000005027-1,included
cellid_000005035-1,included
cellid_000005051-1,included
cellid_000005053-1,included
cellid_000005089-1,included
cellid_000005105-1,included
cellid_000005109-1,included
cellid_000005121-1,included
cellid_000005137-1,included
cellid_000005141-1,included
cellid_000005145-1,included
cellid_000005166-1,included
cellid_000005186-1,included
cellid_000005187-1,included
cellid_000005204-1,included
cellid_000005219-1,included
cellid_000005226-1,included
cellid_000005267-1,included
cellid_000005271-1,included
cellid_000005300-1,included
cellid_000005304-1,included
cellid_000005319-1,included
cellid_000005332-1,included
cellid_000005346-1,included
