"","Barcode","Coltan.DIssection","Barcode_updated"
"13962","cellid_000025206-1","included","cellid_000025206-16P17"
"13963","cellid_000025207-1","included","cellid_000025207-16P17"
"13964","cellid_000025208-1","included","cellid_000025208-16P17"
"13965","cellid_000025209-1","included","cellid_000025209-16P17"
"13966","cellid_000025210-1","included","cellid_000025210-16P17"
"13967","cellid_000025211-1","included","cellid_000025211-16P17"
"13968","cellid_000025212-1","included","cellid_000025212-16P17"
"13969","cellid_000025213-1","included","cellid_000025213-16P17"
"13970","cellid_000025214-1","included","cellid_000025214-16P17"
"13971","cellid_000025215-1","included","cellid_000025215-16P17"
"13972","cellid_000025216-1","included","cellid_000025216-16P17"
"13973","cellid_000025217-1","included","cellid_000025217-16P17"
"13974","cellid_000025218-1","included","cellid_000025218-16P17"
"13975","cellid_000025219-1","included","cellid_000025219-16P17"
"13976","cellid_000025220-1","included","cellid_000025220-16P17"
"13977","cellid_000025221-1","included","cellid_000025221-16P17"
"13978","cellid_000025222-1","included","cellid_000025222-16P17"
"13979","cellid_000025223-1","included","cellid_000025223-16P17"
"13980","cellid_000025224-1","included","cellid_000025224-16P17"
"13981","cellid_000025225-1","included","cellid_000025225-16P17"
"13982","cellid_000025226-1","included","cellid_000025226-16P17"
"13983","cellid_000025227-1","included","cellid_000025227-16P17"
"13984","cellid_000025228-1","included","cellid_000025228-16P17"
"13985","cellid_000025229-1","included","cellid_000025229-16P17"
"13986","cellid_000025230-1","included","cellid_000025230-16P17"
"13987","cellid_000025231-1","included","cellid_000025231-16P17"
"13988","cellid_000025232-1","included","cellid_000025232-16P17"
"13989","cellid_000025233-1","included","cellid_000025233-16P17"
"13990","cellid_000025234-1","included","cellid_000025234-16P17"
"13991","cellid_000025235-1","included","cellid_000025235-16P17"
"13992","cellid_000025236-1","included","cellid_000025236-16P17"
"13993","cellid_000025237-1","included","cellid_000025237-16P17"
"13994","cellid_000025238-1","included","cellid_000025238-16P17"
"13995","cellid_000025239-1","included","cellid_000025239-16P17"
"13996","cellid_000025240-1","included","cellid_000025240-16P17"
"13997","cellid_000025241-1","included","cellid_000025241-16P17"
"13998","cellid_000025242-1","included","cellid_000025242-16P17"
"13999","cellid_000025243-1","included","cellid_000025243-16P17"
"14000","cellid_000025244-1","included","cellid_000025244-16P17"
"14001","cellid_000025245-1","included","cellid_000025245-16P17"
"14002","cellid_000025246-1","included","cellid_000025246-16P17"
"14003","cellid_000025247-1","included","cellid_000025247-16P17"
"14004","cellid_000025248-1","included","cellid_000025248-16P17"
"14005","cellid_000025249-1","included","cellid_000025249-16P17"
"14006","cellid_000025250-1","included","cellid_000025250-16P17"
"14007","cellid_000025251-1","included","cellid_000025251-16P17"
"14008","cellid_000025252-1","included","cellid_000025252-16P17"
"14009","cellid_000025253-1","included","cellid_000025253-16P17"
"14010","cellid_000025254-1","included","cellid_000025254-16P17"
"14011","cellid_000025255-1","included","cellid_000025255-16P17"
"14012","cellid_000025256-1","included","cellid_000025256-16P17"
"14013","cellid_000025257-1","included","cellid_000025257-16P17"
"14014","cellid_000025258-1","included","cellid_000025258-16P17"
"14015","cellid_000025259-1","included","cellid_000025259-16P17"
"14016","cellid_000025260-1","included","cellid_000025260-16P17"
"14017","cellid_000025261-1","included","cellid_000025261-16P17"
"14018","cellid_000025262-1","included","cellid_000025262-16P17"
"14019","cellid_000025263-1","included","cellid_000025263-16P17"
"14020","cellid_000025264-1","included","cellid_000025264-16P17"
"14021","cellid_000025265-1","included","cellid_000025265-16P17"
"14022","cellid_000025266-1","included","cellid_000025266-16P17"
"14023","cellid_000025267-1","included","cellid_000025267-16P17"
"14024","cellid_000025268-1","included","cellid_000025268-16P17"
"14025","cellid_000025269-1","included","cellid_000025269-16P17"
"14026","cellid_000025270-1","included","cellid_000025270-16P17"
"14027","cellid_000025271-1","included","cellid_000025271-16P17"
"14028","cellid_000025272-1","included","cellid_000025272-16P17"
"14029","cellid_000025273-1","included","cellid_000025273-16P17"
"14030","cellid_000025274-1","included","cellid_000025274-16P17"
"14031","cellid_000025275-1","included","cellid_000025275-16P17"
"14032","cellid_000025276-1","included","cellid_000025276-16P17"
"14033","cellid_000025277-1","included","cellid_000025277-16P17"
"14034","cellid_000025278-1","included","cellid_000025278-16P17"
"14035","cellid_000025279-1","included","cellid_000025279-16P17"
"14036","cellid_000025280-1","included","cellid_000025280-16P17"
"14037","cellid_000025281-1","included","cellid_000025281-16P17"
"14038","cellid_000025282-1","included","cellid_000025282-16P17"
