"Barcode","res_2"
"cellid_000000778-1",NA
"cellid_000000779-1",NA
"cellid_000000780-1",NA
"cellid_000000784-1",NA
"cellid_000000786-1",NA
"cellid_000000787-1",NA
"cellid_000000791-1","19"
"cellid_000000792-1",NA
"cellid_000000793-1",NA
"cellid_000000796-1",NA
"cellid_000000797-1",NA
"cellid_000000798-1",NA
"cellid_000000800-1",NA
"cellid_000000803-1",NA
"cellid_000000805-1",NA
"cellid_000000806-1",NA
"cellid_000000817-1",NA
"cellid_000000820-1",NA
"cellid_000000821-1",NA
"cellid_000000822-1",NA
"cellid_000000823-1",NA
"cellid_000000825-1",NA
"cellid_000000826-1",NA
"cellid_000000827-1",NA
"cellid_000000828-1",NA
"cellid_000000829-1",NA
"cellid_000000830-1",NA
"cellid_000000831-1",NA
"cellid_000000832-1",NA
"cellid_000000835-1",NA
"cellid_000000836-1",NA
"cellid_000000837-1",NA
"cellid_000000845-1",NA
"cellid_000000847-1",NA
"cellid_000000851-1",NA
"cellid_000000852-1",NA
"cellid_000000853-1",NA
"cellid_000000854-1",NA
"cellid_000000856-1",NA
"cellid_000000859-1",NA
"cellid_000000860-1",NA
"cellid_000000861-1",NA
"cellid_000000862-1",NA
"cellid_000000866-1",NA
"cellid_000000867-1","2"
"cellid_000000872-1",NA
"cellid_000000873-1",NA
"cellid_000000876-1",NA
"cellid_000000878-1",NA
"cellid_000000879-1","16"
"cellid_000000882-1",NA
"cellid_000000883-1",NA
"cellid_000000884-1",NA
"cellid_000000887-1",NA
"cellid_000000890-1",NA
"cellid_000000891-1",NA
"cellid_000000893-1",NA
"cellid_000000895-1",NA
"cellid_000000897-1",NA
"cellid_000000899-1",NA
"cellid_000000900-1",NA
"cellid_000000902-1",NA
"cellid_000000903-1",NA
"cellid_000000904-1",NA
"cellid_000000905-1",NA
"cellid_000000906-1",NA
"cellid_000000907-1",NA
"cellid_000000909-1",NA
"cellid_000000911-1",NA
"cellid_000000912-1",NA
"cellid_000000913-1",NA
"cellid_000000916-1",NA
"cellid_000000917-1",NA
"cellid_000000918-1",NA
"cellid_000000919-1",NA
"cellid_000000921-1","8"
"cellid_000000922-1",NA
"cellid_000000923-1",NA
"cellid_000000924-1",NA
"cellid_000000927-1",NA
"cellid_000000928-1",NA
"cellid_000000929-1","9"
"cellid_000000930-1",NA
"cellid_000000932-1",NA
"cellid_000000936-1",NA
"cellid_000000938-1",NA
"cellid_000000939-1","13"
"cellid_000000940-1","16"
"cellid_000000941-1",NA
"cellid_000000943-1",NA
"cellid_000000944-1",NA
"cellid_000000945-1",NA
"cellid_000000946-1",NA
"cellid_000000947-1",NA
"cellid_000000948-1",NA
"cellid_000000950-1",NA
"cellid_000000951-1",NA
"cellid_000000954-1",NA
"cellid_000000955-1",NA
"cellid_000000957-1",NA
"cellid_000000958-1",NA
"cellid_000000959-1",NA
"cellid_000000960-1",NA
"cellid_000000961-1",NA
"cellid_000000962-1",NA
"cellid_000000965-1",NA
"cellid_000000969-1",NA
"cellid_000000971-1",NA
"cellid_000000975-1",NA
"cellid_000000977-1",NA
"cellid_000000978-1",NA
"cellid_000000979-1",NA
"cellid_000000981-1",NA
"cellid_000000982-1",NA
"cellid_000000985-1",NA
"cellid_000000987-1",NA
"cellid_000000988-1",NA
"cellid_000000990-1",NA
"cellid_000000993-1",NA
"cellid_000000994-1",NA
"cellid_000000997-1","6"
"cellid_000000998-1",NA
"cellid_000000999-1",NA
"cellid_000001000-1",NA
"cellid_000001002-1",NA
"cellid_000001003-1",NA
"cellid_000001004-1",NA
"cellid_000001006-1",NA
"cellid_000001007-1",NA
"cellid_000001009-1",NA
"cellid_000001011-1",NA
"cellid_000001013-1",NA
"cellid_000001014-1",NA
