Barcode,Dissection
cellid_000113262-1,poa dissection
cellid_000113263-1,poa dissection
cellid_000113265-1,poa dissection
cellid_000113266-1,poa dissection
cellid_000113268-1,poa dissection
cellid_000113269-1,poa dissection
cellid_000113270-1,poa dissection
cellid_000113272-1,poa dissection
cellid_000113273-1,poa dissection
cellid_000113274-1,poa dissection
cellid_000113280-1,poa dissection
cellid_000113281-1,poa dissection
cellid_000113283-1,poa dissection
cellid_000113286-1,poa dissection
cellid_000113287-1,poa dissection
cellid_000113290-1,poa dissection
cellid_000113292-1,poa dissection
cellid_000113295-1,poa dissection
cellid_000113297-1,poa dissection
cellid_000113298-1,poa dissection
cellid_000113299-1,poa dissection
cellid_000113302-1,poa dissection
cellid_000113303-1,poa dissection
cellid_000113306-1,poa dissection
cellid_000113309-1,poa dissection
cellid_000113315-1,poa dissection
cellid_000113317-1,poa dissection
cellid_000113320-1,poa dissection
cellid_000113321-1,poa dissection
cellid_000113322-1,poa dissection
cellid_000113323-1,poa dissection
cellid_000113324-1,poa dissection
cellid_000113326-1,poa dissection
cellid_000113330-1,poa dissection
cellid_000113336-1,poa dissection
cellid_000113337-1,poa dissection
cellid_000113339-1,poa dissection
cellid_000113340-1,poa dissection
cellid_000113344-1,poa dissection
cellid_000113345-1,poa dissection
cellid_000113346-1,poa dissection
cellid_000113350-1,poa dissection
cellid_000113357-1,poa dissection
cellid_000113358-1,poa dissection
cellid_000113362-1,poa dissection
cellid_000113365-1,poa dissection
cellid_000113367-1,poa dissection
cellid_000113368-1,poa dissection
cellid_000113369-1,poa dissection
cellid_000113371-1,poa dissection
cellid_000113373-1,poa dissection
cellid_000113379-1,poa dissection
cellid_000113380-1,poa dissection
cellid_000113385-1,poa dissection
cellid_000113386-1,poa dissection
cellid_000113388-1,poa dissection
cellid_000113390-1,poa dissection
cellid_000113391-1,poa dissection
cellid_000113392-1,poa dissection
cellid_000113393-1,poa dissection
cellid_000113395-1,poa dissection
cellid_000113396-1,poa dissection
cellid_000113403-1,poa dissection
cellid_000113406-1,poa dissection
cellid_000113411-1,poa dissection
cellid_000113412-1,poa dissection
cellid_000113413-1,poa dissection
cellid_000113415-1,poa dissection
cellid_000113416-1,poa dissection
cellid_000113426-1,poa dissection
cellid_000113427-1,poa dissection
cellid_000113428-1,poa dissection
cellid_000113432-1,poa dissection
cellid_000113441-1,poa dissection
cellid_000113442-1,poa dissection
cellid_000113443-1,poa dissection
cellid_000113445-1,poa dissection
cellid_000113448-1,poa dissection
cellid_000113452-1,poa dissection
cellid_000113458-1,poa dissection
cellid_000113459-1,poa dissection
cellid_000113460-1,poa dissection
cellid_000113461-1,poa dissection
cellid_000113465-1,poa dissection
cellid_000113466-1,poa dissection
cellid_000113467-1,poa dissection
cellid_000113468-1,poa dissection
cellid_000113471-1,poa dissection
cellid_000113472-1,poa dissection
cellid_000113475-1,poa dissection
