"Barcode","multiome_predicted"
"cellid_000000733-1","0"
"cellid_000000734-1","24"
"cellid_000000736-1","0"
"cellid_000000737-1","5"
"cellid_000000738-1","5"
"cellid_000000740-1","24"
"cellid_000000741-1","0"
"cellid_000000743-1","24"
"cellid_000000744-1","23"
"cellid_000000745-1","24"
"cellid_000000746-1","0"
"cellid_000000747-1","0"
"cellid_000000749-1","24"
"cellid_000000750-1","0"
"cellid_000000751-1","0"
"cellid_000000754-1","24"
"cellid_000000755-1","22"
"cellid_000000756-1","0"
"cellid_000000757-1","24"
"cellid_000000758-1","3"
"cellid_000000759-1","0"
"cellid_000000760-1","24"
"cellid_000000761-1","0"
"cellid_000000762-1","24"
"cellid_000000763-1","22"
"cellid_000000764-1","24"
"cellid_000000765-1","24"
"cellid_000000766-1","24"
"cellid_000000767-1","6"
"cellid_000000768-1","0"
"cellid_000000769-1","0"
"cellid_000000770-1","0"
"cellid_000000772-1","0"
"cellid_000000775-1","0"
"cellid_000000776-1","0"
"cellid_000000777-1","24"
"cellid_000000779-1","0"
"cellid_000000780-1","0"
"cellid_000000781-1","24"
"cellid_000000782-1","0"
"cellid_000000783-1","0"
"cellid_000000785-1","0"
"cellid_000000787-1","0"
"cellid_000000788-1","14"
"cellid_000000789-1","6"
"cellid_000000790-1","0"
"cellid_000000792-1","6"
"cellid_000000793-1","0"
"cellid_000000794-1","24"
"cellid_000000795-1","0"
"cellid_000000797-1","0"
"cellid_000000798-1","0"
"cellid_000000799-1","0"
"cellid_000000800-1","6"
"cellid_000000801-1","0"
"cellid_000000802-1","22"
"cellid_000000803-1","0"
"cellid_000000804-1","0"
"cellid_000000805-1","5"
"cellid_000000806-1","0"
"cellid_000000807-1","3"
"cellid_000000808-1","24"
"cellid_000000811-1","0"
"cellid_000000812-1","3"
"cellid_000000813-1","24"
"cellid_000000814-1","0"
"cellid_000000815-1","24"
"cellid_000000816-1","0"
"cellid_000000817-1","0"
"cellid_000000818-1","25"
"cellid_000000819-1","0"
"cellid_000000820-1","6"
"cellid_000000821-1","0"
"cellid_000000822-1","0"
"cellid_000000823-1","0"
"cellid_000000824-1","24"
"cellid_000000825-1","6"
"cellid_000000827-1","24"
"cellid_000000828-1","0"
"cellid_000000829-1","0"
"cellid_000000831-1","24"
"cellid_000000832-1","0"
"cellid_000000833-1","0"
"cellid_000000835-1","24"
"cellid_000000836-1","0"
"cellid_000000837-1","0"
"cellid_000000838-1","0"
"cellid_000000839-1","0"
"cellid_000000840-1","0"
"cellid_000000841-1","0"
"cellid_000000842-1","3"
"cellid_000000846-1","0"
"cellid_000000847-1","0"
"cellid_000000848-1","0"
"cellid_000000849-1","0"
"cellid_000000850-1","0"
"cellid_000000852-1","0"
"cellid_000000853-1","0"
"cellid_000000855-1","0"
"cellid_000000856-1","0"
"cellid_000000857-1","24"
"cellid_000000858-1","3"
"cellid_000000859-1","24"
"cellid_000000860-1","0"
"cellid_000000861-1","24"
"cellid_000000862-1","0"
"cellid_000000863-1","0"
"cellid_000000864-1","0"
"cellid_000000866-1","0"
"cellid_000000867-1","23"
"cellid_000000868-1","0"
"cellid_000000870-1","0"
"cellid_000000871-1","24"
"cellid_000000874-1","6"
"cellid_000000876-1","24"
"cellid_000000877-1","0"
"cellid_000000878-1","0"
"cellid_000000879-1","0"
"cellid_000000880-1","24"
"cellid_000000881-1","24"
"cellid_000000882-1","24"
"cellid_000000883-1","24"
"cellid_000000884-1","24"
"cellid_000000886-1","24"
"cellid_000000887-1","24"
"cellid_000000888-1","24"
"cellid_000000889-1","24"
"cellid_000000890-1","0"
"cellid_000000891-1","24"
"cellid_000000892-1","0"
"cellid_000000893-1","0"
"cellid_000000894-1","0"
"cellid_000000895-1","5"
"cellid_000000896-1","24"
"cellid_000000900-1","3"
"cellid_000000901-1","24"
"cellid_000000902-1","3"
"cellid_000000903-1","0"
"cellid_000000904-1","0"
"cellid_000000905-1","0"
"cellid_000000906-1","0"
"cellid_000000907-1","0"
"cellid_000000908-1","24"
"cellid_000000909-1","0"
"cellid_000000910-1","0"
