"","individual","Status","glulb","LOC111567884","LOC129348661","LOC111568891","LOC111583456","LOC111574349","ywhae1","LOC111572069","mau2","LOC111563592","gpx3","LOC111565980","shisa8b","igf2bp1","cacng1b","rragd","LOC111563451"
"11","C14M","M",0.0672038323796119,0.557896685504158,0.0122115772765874,0.0455577789935783,0.0537588731213259,0.178754964169509,0.377037258194867,1.55504258849871,0.0472900886144371,0.0434036074306831,0.50459024148861,0.153588259770933,0.0535741074503622,0.0321592995090089,0.0321218698235635,0.0708376839199178,0.0350868171517235
"12","C15F","F",0.0486640893183161,0.462546468321889,0.0596411247653685,0.0882553485185727,0.00217525514185909,0.130613399763387,0.382067360562148,1.53554884081881,0.042624947650064,0.0115435484146222,0.523882392730526,0.0800808466878767,0.0779965502539875,0.00264307782323864,0.0246536066929772,0.0859635171533433,0.0522832468997375
"13","C15M","M",0.0448299763737255,0.59334002142208,0.0260427959496155,0.0791925255151658,0.0182449560472914,0.190703843238311,0.367471175055518,1.63039008691896,0.0612304269273271,0.0316539576118509,0.461592237086286,0.150166176246405,0.0897641473090816,0.0475017561797438,0.0175896077797202,0.045860765424717,0.0625632698700005
"14","C21D","D",0.0179808929416105,0.375817366395635,0.0236778424782483,0.027563808349784,0.0139633316884371,0.128686027056893,0.466794452236734,1.59462164656495,0.0767945059237937,0.0406327875210026,0.456008626242026,0.15241436050142,0.0418593130860929,0.0635610900889274,0.0358368478352468,0.0647077130987448,0.0201678742913634
"15","D4F","F",0.0875846939999451,0.346033775524595,0.0452755971038826,0.123368724448272,0.0242622494630729,0.165333559889461,0.389414776311195,1.64032213184959,0.0793973598445597,0.00833272873416519,0.540501771196633,0.0492070255035058,0.0614313644639951,0.013318854940272,0.0211091381713346,0.067505404066994,0.0710367426577359
"16","D4M","M",0.0531492157933229,0.510475491299031,0.0156986127875006,0.117758323548303,0.0315877362261291,0.201641995272525,0.35064685950852,1.58711970271602,0.0355724676690853,0.0150505533160024,0.398384027613237,0.0292704903814262,0.107422782515575,0.0957584939913725,0.019668901246821,0.0464985126307306,0.072062038292948
"17","T11D","E",0.0349835008289318,0.42134559509475,0.0129344363502275,0.121312518890052,0.016310800324378,0.153471606089405,0.432567708495224,1.51829100803889,0.0925761046126097,0.0191253323830551,0.41060661745003,0.144060196333165,0.0832027151808858,0.0112722462668087,0.0597594299337193,0.0797497808334102,0.022816804917363
"18","T13D","D",0.0443132531112787,0.427117894199018,0.015506494190437,0.0373727456710149,0.0185981089600482,0.116055495863414,0.446876813686499,1.79383414498283,0.0757688161625416,0.0145743628965738,0.438185553427936,0.0765626810136018,0.0893122792080355,0.0175279526654531,0.0442857346155797,0.0555506605112247,0.0261305030823619
"19","T14D","D",0.0367689931957407,0.399734337702476,0.0272255526616523,0.065452735886655,0.00430519686648146,0.177377717376126,0.396240772937276,1.56356940742424,0.129438267289803,0,0.428372185619044,0.123848384009709,0.0676363894738057,0.0203750553765219,0.0646716084247391,0.0422026677301627,0.012419711389946
"20","T17D","NF",0.0364539422717507,0.351984158008423,0.0176300078889041,0.0382745424055645,0.0255434966290029,0.186300148160628,0.395093039227944,1.73235795300899,0.0898758490058101,0.0365944221274506,0.377806628518766,0.170409417799065,0.122726092782554,0.0553111821237138,0.0182523679737268,0.0615787258460213,0.0410667254901216
"21","T19D","D",0.039399897055571,0.436370373723781,0.00474228484763457,0.0402496278482739,0.0124742907004483,0.179639013978483,0.402080590552137,1.71767064039202,0.0559695025676288,0.0305433391180293,0.405052394924459,0.196726272240432,0.0685310641380865,0.0389351238290282,0.0401573243136812,0.0270545576695583,0.0259707834011387
"22","T5D","D",0.0568390168166727,0.36377098354655,0.0151797395670481,0.0460270693363551,0.016560599892368,0.145878672680841,0.503892716515242,1.68366836924734,0.0949553845078156,0.0236734230754347,0.426678701318779,0.0838811815092633,0.0763866732958534,0.0101631701437023,0.029293850651405,0.0951814525996365,0.0575756135365429
