"","individual","Status","sox6","LOC111577669","LOC111563338","dab1a","tmtc2b","sema3ab","LOC111564869","LOC111577263","immp2l","LOC111587547","LOC129348729","gli1","LOC111584294","LOC111583974","dnmt3bb.1","il1rapl1a","ccdc85cb","LOC111570546","LOC111568198","fgfbp3","kcnh6a","si:dkey-288a3.2","LOC111579712","LOC129348282"
"11","C14M","M",0.975093849728229,0.119766586031134,0.142428461798666,0.940961870893365,0.861399360629543,0.21392315331335,0.292533328686036,1.57072621021875,0.0495161790470452,0.02960709963816,0,0.971389615124644,0.0822545640370465,0.480718179348303,0.7737729051076,0.759381299657847,0.729639420930282,0.322973774996955,1.03301145011468,1.50097692229982,0.0112679826396364,0.00405002575844717,0.0403996356045142,0.0160177716750793
"12","C15F","F",1.03067636333508,0.0880529110984007,0.0545344690532244,0.664711814238887,0.64728081747829,0.0547496738869925,0.154612003622103,1.58372765254992,0.157899824550512,0.0533152469813616,0.0989953736652047,0.543023624353516,0.0902922641803719,0.111387249635418,0.465866278751596,0.609622634536415,0.624814836267921,0.172442919865911,0.863850226832232,1.35612787644135,0.0688557115500008,0.0491186336725835,0.0733543924612262,0.0255762016028682
"13","C15M","M",0.813410605750695,0.0223465917389051,0.19912326324552,0.805092540127551,0.849782388896439,0.283178710909008,0.361251285178457,1.35750904613608,0.013901564119922,0.0558251755476775,0.0784574346336893,0.842994019786471,0.0868368666339872,0.397429394660183,0.55013639872274,0.633887408037258,0.72717959085896,0.191465651250317,0.901012206546459,1.65648905254294,0,0,0.0526651011358383,0
"14","C21D","D",1.14370833635368,0.035518706794032,0.232554585462276,0.987187234346854,0.862048170810366,0.17405103692179,0.442083882810104,1.2409543902516,0.0270849837291884,0.123503771554675,0.0525716925238552,0.915635548309979,0.218223279587679,0.471473630491996,0.614532435460788,0.564049559132609,0.88980313877982,0.430827714063955,0.918499563479948,1.78133399434167,0.00378441737195721,0.0625984533293563,0.0472872395882118,0
"15","D4F","F",1.32613060446795,0.143785819265627,0.120536587524625,0.790166517255297,0.619617268399224,0.105136562406068,0.344423363315148,1.51933040128883,0.0853633920003121,0.0303873357332159,0.056515269459328,0.645800856151431,0.113551556795247,0.203338527789944,0.286854031747964,0.518108791229844,0.823067045871163,0.14131785106867,0.565851978908282,1.58384055141593,0.0068789227590068,0.126490203589053,0.154925917245015,0.0424058034979161
"16","D4M","M",1.11640361290013,0.0132746668267536,0.17760221124827,0.781567471533198,0.853348107015357,0.120264089385464,0.320347997718983,1.13909261080114,0.0511945251573112,0.093743560095985,0.0932714971574001,0.849473675119762,0.184452643092245,0.302370538326248,0.64468527664319,0.804384527468343,0.826011193665104,0.243226483042979,0.838855344536675,1.87279028307715,0,0.0136073455640568,0.0752470284332091,0.0476595209809803
"17","T11D","E",1.10227960241113,0.0488768885238629,0.122956773000382,0.880707307066416,1.00810368572393,0.125762290306933,0.325889416593057,1.0668922425759,0.0740188046906486,0.0397579966023304,0.380815131649654,0.866015471361081,0.167406715007723,0.278762150387421,0.761719099270072,0.673006554905149,0.841623732948843,0.226238798405516,0.719802041914282,1.05687951012339,0.0140466580942863,0.0427771745475114,0.12238945613671,0.00996379779976291
"18","T13D","D",1.11828746856517,0.0363858213423323,0.129111205625835,0.87249034655789,0.749014630586636,0.131908047815815,0.369847749205676,0.862019782090465,0.0507441306425098,0.129292737434236,0.0209909624051928,0.88428550736161,0.187575057771216,0.431087638094096,0.764002423364933,0.615862111082827,0.900389559094053,0.221721958252779,0.935777230030362,1.60965344676299,0,0.00575294774999504,0.0346498928501082,0.0466387943198196
"19","T14D","D",1.07939863438837,0.0481892906778968,0.161483216530907,1.164113071842,1.14054149898696,0.126457749759436,0.338452398257323,1.0926455557677,0.0809075099222446,0.0585270871572366,0.013261802124193,1.02889982101764,0.217472800803562,0.184121429098691,0.793444594150945,0.743879131366124,1.17254499103187,0.350794264991289,0.902395901010584,1.48564911624514,0.0176690982858158,0,0.118600077007107,0
"20","T17D","NF",1.16150933381545,0.0240631735022694,0.136554324055177,0.881455452094659,0.833313038356324,0.226977841792549,0.35607661823283,1.48739118713121,0.0872378607434516,0.131553197692216,0.0191599389628728,0.641360479396274,0.103700290399305,0.603460660275577,0.759282309926699,0.526558942016384,0.715914187372753,0.392663236072116,0.802406618688651,1.7728626585173,0,0.0290217985442789,0.0619936217778768,0.0138121311770219
"21","T19D","D",1.03126645794843,0.0652932299790276,0.197362981589484,0.792663096074477,0.867957761571818,0.182347108955978,0.374880610751097,1.13854751782849,0.121312052925026,0.118830462750976,0.0197862657656482,0.822596466362391,0.132173188078082,0.369403176192541,0.532394540175692,0.64890716263364,0.851305404684284,0.259637316339644,0.857154932760405,1.47469338307263,0.0138501172094473,0.00697624342174617,0.0751078259520554,0.0126755013382078
"22","T5D","D",1.09019421987829,0.0414047357737463,0.159493000422005,0.866551418849823,0.795753466551212,0.270322385625728,0.465820809197067,0.532083876037602,0.191798288631427,0.157843740027555,0.1058247546817,0.76063540273237,0.3480362131953,0.588680499670022,0.590003034333704,0.669442435403609,0.702296389920352,0.161056465515465,0.7931156503328,1.35249310918,0.00724096823049204,0.0284129455008068,0.0122629469365574,0
