"iteration","accuracy_cluster6","overall_accuracy","n_genes","genes"
39,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
40,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
41,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
42,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
43,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
44,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
45,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
46,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
47,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
48,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
49,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
50,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
51,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
52,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
53,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
54,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
55,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
56,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
57,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
58,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
59,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
