"","cluster","gene","behavior_p.value","behavior_estimate","behavior_x_status_p.value","status_p.value","d_f_p.value","d_f_estimate","d_m_p.value","d_m_estimate","f_m_p.value","f_m_estimate","behavior_q.value","status_q.value","behavior_x_status_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"10240",26,"LOC111573547",0.215468579219235,0.000105676193153793,0.767715970526937,0.314617111456673,0.121118029024503,0.0840028406196105,0.572393970602047,0.0256893602542394,0.283341289049984,-0.0583134803653711,0.999052010328505,0.999887215316155,0.993420237682745,0.999906406543096,0.999798197321966,0.999910391040111
"10241",26,"ganc",0.260695793886548,0.000219101108369328,0.21954294278863,0.0832370472278239,0.0822062379745253,-0.133066636447454,0.311508815135009,0.0651589616327319,0.0172768911730092,0.198225598080185,0.999052010328505,0.999887215316155,0.923983862595217,0.999906406543096,0.999798197321966,0.999910391040111
"10242",26,"LOC129347783",0.213018891856023,0.000190382586840964,0.39413460342778,0.278762960633589,0.230663851793682,-0.189104315208756,0.574027719851026,-0.0759430589710763,0.477470416633919,0.11316125623768,0.999052010328505,0.999887215316155,0.95504660970895,0.999906406543096,0.999798197321966,0.999910391040111
"10243",26,"znf106a",0.628039711315337,6.32177880551393e-05,0.844226392307736,0.657735622652512,0.4813546658186,0.0825702650003487,0.351569684747967,0.0963893174022299,0.90793098374816,0.0138190524018812,0.999052010328505,0.999887215316155,0.997937625727445,0.999906406543096,0.999798197321966,0.999910391040111
"10244",26,"nenf",0.977555953836176,0.000195071963023644,0.311453363818651,0.75152448417413,0.838472982286299,-0.0134816649067971,0.599836741108638,-0.0305302019075567,0.802235906832693,-0.0170485370007596,0.999052010328505,0.999887215316155,0.948164789541229,0.999906406543096,0.999798197321966,0.999910391040111
"10245",26,"ezra",0.547212447334811,6.47024891122988e-06,0.332088858812345,0.45359362338993,0.942385366961858,-0.00449187331722413,0.403021106277393,-0.0461542787288939,0.518131639880211,-0.0416624054116697,0.999052010328505,0.999887215316155,0.949356204653752,0.999906406543096,0.999798197321966,0.999910391040111
"10246",26,"wdr32",0.50674736164835,0.000196334968107764,0.149119348686588,0.142947159464795,0.129120445141625,-0.0527151524331311,0.923139822455018,-0.00280261692848607,0.159729997421744,0.049912535504645,0.999052010328505,0.999887215316155,0.874426696119626,0.999906406543096,0.999798197321966,0.999910391040111
"10247",26,"zmp:0000000662",0.221438196271422,0.00017598007954254,0.692916934633967,0.968604539322014,0.708432453393012,-0.0281665815301129,0.678674433996412,-0.0273452301393473,0.991519459389725,0.000821351390765683,0.999052010328505,0.999887215316155,0.986657912035098,0.999906406543096,0.999798197321966,0.999910391040111
"10248",26,"ube2d3",0.823973976166556,0.000276718950442759,0.330415894992008,0.869388101346448,0.965871911819069,0.00441618522908777,0.953597831528727,-0.00526034118814517,0.927402171624818,-0.00967652641723293,0.999052010328505,0.999887215316155,0.949356204653752,0.999906406543096,0.999798197321966,0.999910391040111
"10249",26,"manba",0.160874545698894,-7.8556501197473e-05,0.826498336721663,0.976213595421142,0.986155303525478,-0.00117057921645834,0.760765600087424,-0.0180218588528034,0.808373656010758,-0.0168512796363451,0.999052010328505,0.999887215316155,0.995900067311803,0.999906406543096,0.999798197321966,0.999910391040111
"10250",26,"si:dkey-33c12.3",0.0287922712619784,0.000438633861290065,0.0924031895705883,0.213666301448333,0.119117519003852,-0.179464920624223,0.0502775669613501,-0.203234723768406,0.833260022014205,-0.0237698031441833,0.999052010328505,0.999887215316155,0.806130896426499,0.999906406543096,0.999798197321966,0.999910391040111
"10251",26,"pank2",0.136073897998984,-0.000205469978262919,0.561155903056329,0.889455100725654,0.477782760670411,0.13905848771049,0.943942510923328,-0.011944459141364,0.454208173399771,-0.151002946851854,0.999052010328505,0.999887215316155,0.971335849591502,0.999906406543096,0.999798197321966,0.999910391040111
"10252",26,"rab11fip5a",0.0560987959933339,0.000472510359417827,0.993541611667118,0.0216577772250595,0.068172679270884,-0.213577430415256,0.0106395091411018,-0.280261592656738,0.556487135398083,-0.0666841622414823,0.999052010328505,0.999887215316155,0.999465889936013,0.9987742560372,0.999798197321966,0.999910391040111
"10253",26,"sfxn5a",0.643775329290758,6.35276447121108e-05,0.65882618538096,0.257665665313894,0.105168374865946,0.0897865715534982,0.443439862453411,0.0356904185793416,0.326365124613816,-0.0540961529741566,0.999052010328505,0.999887215316155,0.981377054430819,0.999906406543096,0.999798197321966,0.999910391040111
"10254",26,"ap5s1",0.646110269437209,0.00014242003123993,0.731942940234965,0.695904144184536,0.899719899275602,0.00943060693406508,0.578380145233973,0.0366389991809082,0.724369338496341,0.0272083922468431,0.999052010328505,0.999887215316155,0.991433142467127,0.999906406543096,0.999798197321966,0.999910391040111
"10255",26,"gfra4a",0.535153579336584,0.000533985577536552,0.249975350765102,0.170619210137153,0.695109719767159,0.0546558816397875,0.197640110496034,0.162179945355855,0.457176170693013,0.107524063716067,0.999052010328505,0.999887215316155,0.932982604274742,0.999906406543096,0.999798197321966,0.999910391040111
"10256",26,"atrn",0.699087502326415,-2.44999768243994e-05,0.961726614314918,0.957768508657747,0.925175423935644,-0.0245596830058702,0.727483472597078,-0.0799904626998464,0.83687348885644,-0.0554307796939762,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
"10257",26,"eif2ak3",0.732889244231876,-5.84219561801658e-05,0.954790867823237,0.673474944703859,0.774642464157341,-0.0274693911482532,0.491215155351769,0.0582972000707234,0.391095414435776,0.0857665912189765,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
