"","X","source","Phase","Log_11KT","Log_E2","days","mass_final","Percent_Testicular","z_11kt","z_mass","z_percent_testicular","z_testis","SexState"
"131",422,"Parker","S",2.18049862323201,2.51831648841647,70,2.9,NA,-0.214671061428967,-0.56605097794513,NA,NA,-0.128006833139278
"132",431,"Parker","D",2.48750602621804,2.21415478605354,98,3.75,NA,0.3147258223884,-0.222341416485227,NA,NA,-0.203049329867203
"133",442,"Parker","S",NA,NA,98,2.19,NA,NA,-0.853149552811636,NA,NA,-0.513310924033839
"134",452,"Parker","D",2.43319359171485,2.19794183649001,70,4.21,NA,0.221070642419232,-0.0363338891069273,NA,NA,-0.0981252039848826
"135",462,"Parker","S",1.9494388010365,2.16088851614497,70,2.2,NA,-0.613105589899487,-0.849105910912108,NA,NA,-0.0805784919306635
"136",471,"Parker","D",2.06235631808544,2.24612912566344,154,3.7,NA,-0.418393081104306,-0.242559625982869,NA,NA,0.0701061809321044
"137",48,"Parker","S",2.01770097122412,2.02710486587935,154,2.3,NA,-0.495395789326434,-0.808669491916826,NA,NA,-0.110626691347466
"138",491,"Parker","D",2.39787051599537,2.21264031353483,42,3.69,NA,0.160160299440993,-0.246603267882397,NA,NA,-0.152885432984618
"139",501,"Parker","S",2.0381033103059,2.1646502159343,42,2.4,NA,-0.460214439862456,-0.768233072921543,NA,NA,-0.109080166088719
"140",511,"Parker","F",NA,NA,NA,10.9,0,NA,2.66886254167748,-0.783081360239224,-0.949743727558784,1.08879271763775
"141",521,"Parker","M",2.39520403936185,2.53501547444419,NA,3.7,NA,0.155562285168934,-0.242559625982869,NA,NA,-0.149623639872234
"142",531,"Parker",NA,1.57541879121436,2.54329804049167,182,4.7,NA,-1.2580575544428,0.161804563969958,NA,NA,0.541710108720229
"143",541,"Parker","D",2.15980773296943,2.57972644884623,70,3.9,NA,-0.250349982268916,-0.161686787992303,NA,NA,0.035803820536167
"144",551,"Parker",NA,2.91487181754005,2.20846823026562,182,2,NA,1.05166609150077,-0.929978748902673,NA,NA,-0.747940558585311
"145",561,"Parker","S",1.81716857238106,2.579554960401,70,2.4,NA,-0.84118949338499,-0.768233072921543,NA,NA,0.0367701650702679
"146",571,"Parker","D",2.36349916147823,2.24524114890446,42,2.34,NA,0.100891083790242,-0.792494924318712,NA,NA,-0.332899718207343
"147",581,"Parker","D",2.39415387688206,2.57253471916811,182,4.47,NA,0.153751407845145,0.0688008002808075,NA,NA,-0.0333136897874794
"148",59,"Parker","S",2.23829706787539,2.19445883744353,42,1.37,NA,-0.115004681445653,-1.18472818857295,NA,NA,-0.395894398174792
"149",60,"Parker","S",2.45190918693322,2.5807197486976,182,2.11,NA,0.253343407476442,-0.885498688007862,NA,NA,-0.425798555804798
"150",61,"Parker","D",2.7441990714601,2.27397300376955,98,3.43,NA,0.757361722783677,-0.351737957270132,NA,NA,-0.420554042397516
"151",62,"Parker","D",2.62519923148217,2.56191194612757,182,6.43,NA,0.55216098870904,0.861354612588347,NA,NA,0.108458457372152
"152",63,"Parker","S",1.87366929270679,2.23009111974875,98,2.01,NA,-0.743760880970588,-0.925935107003145,NA,NA,-0.0590879526691635
"153",64,"Parker","S",2.3879056895125,2.61352470285365,182,2.92,NA,0.142977169534343,-0.557963694146073,NA,NA,-0.261923824947702
"154",65,"Parker","D",NA,NA,70,NA,NA,NA,NA,NA,NA,NA
"155",66,"Parker","D",2.46092789669808,2.57256958125778,42,4.9,NA,0.268895074306402,0.242677401960523,NA,NA,-0.0128294775005485
"156",67,"Parker","S",2.39431156323123,2.13273983826088,70,1.8,NA,0.154023318753675,-1.01085158689324,NA,NA,-0.43432239241781
"157",68,"Parker","S",2.45379213534447,2.52819656239541,42,2.4,NA,0.256590322735192,-0.768233072921543,NA,NA,-0.383497640499605
"158",69,"Parker","D",2.36993907902924,2.53649531378562,154,5.48,NA,0.111995937453007,0.477208632133162,NA,NA,0.134324791070674
"159",70,"Parker","S",2.14569352390422,2.54460127865114,154,2.81,NA,-0.274688217190922,-0.602443755040884,NA,NA,-0.118543843639261
"160",113,"Graham","E",1.53932706,NA,180,5.15,0,-1.32029335022694,0.34376844944873,-0.783081360239224,-0.949743727558784,0.730756884432823
"161",213,"Graham","EP",2.631423474,NA,NA,2.11,0.37269314,0.562893937038669,-0.885498688007862,0.716345526215484,0.955929848224721,-0.692573840582665
"162",313,"Graham","D",3.124533568,NA,NA,4.73,0.247576874,1.41320225079085,0.173935489668543,0.212975131007193,0.687778043206984,-0.537493198582714
"163",413,"Graham","S",2.078529315,NA,180,2.45,0.0594,-0.390504717223564,-0.748014863423901,-0.544102029802904,-0.0258385129910255,-0.0473522482388929
"164",512,"Graham","D",2.473194909,NA,NA,5.33,0.203388771,0.29004804333328,0.416554003640238,0.0351966248086886,0.573789753203901,-0.244559778458729
"165",611,"Graham","S",2.333185208,NA,180,2.05,0.127975843,0.0486183621832983,-0.909760539405032,-0.268206254647244,0.328953594304393,-0.316486708775879
"166",72,"Graham","F",1.66996737,NA,NA,10.61,0,-1.09502004299636,2.55159692659116,-0.783081360239224,-0.949743727558784,1.06977133084948
"167",82,"Graham","M",2.894460065,NA,0,2.49,0.7093771,1.01646850967423,-0.731840295825788,2.07089952166075,1.60056176493063,-1.04386257177575
"168",93,"Graham","F",NA,NA,NA,10.07,0,NA,2.33324026401663,-0.783081360239224,-0.949743727558784,1.01881916400727
"169",103,"Graham","M",NA,NA,0,4.73,0.623477906,NA,0.173935489668543,1.72530807608601,1.42409473719621,-0.761990752440492
"170",114,"Graham","F",1.558828525,NA,NA,8.71,0,-1.28666544842242,1.78330496568079,-0.783081360239224,-0.949743727558784,0.971836174752025
"171",122,"Graham","M",2.797246761,NA,0,2.74,0.675877771,0.84883600406481,-0.630749248337582,1.93612431602967,1.5290732079152,-0.963875109916862
"172",133,"Graham","F",1.440436766,NA,NA,14.24,0,-1.49081762089336,4.01943893611992,-0.783081360239224,-0.949743727558784,1.39168217969783
"173",143,"Graham","M",3.10177456,NA,0,4.12,0.679272687,1.37395711273624,-0.0727266662026816,1.94978281354764,1.53613670422785,-0.964280403633248
"174",153,"Graham","F",1.298634783,NA,NA,9.44,0,-1.73533787411585,2.07849082434635,-0.783081360239224,-0.949743727558784,1.10187038329708
"175",163,"Graham","M",2.774290636,NA,0,3.07,0.603767883,0.80925096174557,-0.497309065653149,1.64601029663442,1.38616704062319,-0.86804113937582
"176",173,"Graham","D",2.767756781,NA,NA,6.75,0.163934057,0.797984124390277,0.990751153373252,-0.123538411121892,0.456255161155857,-0.181663953740817
"177",182,"Graham","S",2.386944624,NA,180,3.25,0.106671944,0.141319929081789,-0.42452351146164,-0.353916549574904,0.23971628584195,-0.208448490835041
"178",193,"Graham","F",1.689308859,NA,NA,5.52,0,-1.06166800032443,0.493383199731275,-0.783081360239224,-0.949743727558784,0.710675047141289
"179",203,"Graham","M",2.581437619,NA,0,1.65,0.691471874,0.476699416598551,-1.07150621538616,1.99886283949255,1.56183845835491,-0.988788381008058
"180",214,"Graham","E",1.693551086,NA,180,7.6,0,-1.05435279641598,1.33446071483315,-0.783081360239224,-0.949743727558784,0.853712247649402
"181",222,"Graham","EP",2.842478183,NA,NA,3.71,0.540838078,0.926832083718035,-0.23851598408334,1.39282978041576,1.26857303284096,-0.790180313615816
"182",233,"Graham","D",3.148044005,NA,NA,5.76,0.125825245,1.45374313665852,0.590430605319953,-0.276858585793333,0.320500771125902,-0.303745241788859
"183",243,"Graham","S",2.502304189,NA,180,2.65,0.136892108,0.340243452213595,-0.667142025433336,-0.232334149601911,0.362860321915545,-0.342090517873771
"184",253,"Graham","D",2.619948549,NA,NA,4.35,0.352869407,0.543106826115763,0.0202770974864683,0.636590266298171,0.916847572882534,-0.515608091480857
"185",263,"Graham","S",2.509094944,NA,180,1.38,0.146063771,0.351953282337563,-1.18068454667343,-0.195434521946565,0.395999465182459,-0.447576880492507
