id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	6_0|6_0	6_0|6_1	6_0|6_2	6_0|6_3	6_1|6_0	6_1|6_1	6_1|6_2	6_1|6_3	6_2|6_0	6_2|6_1	6_2|6_2	6_2|6_3	6_3|6_0	6_3|6_1	6_3|6_2	6_3|6_3
CPI-CC0918CCE56	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_1_4_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_1_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.095	0.085	0.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC088FD6274	Glutamate_byGLS_and_SLC17A6_Glutamate_Kainate_1_5_complex	complex:Glutamate_byGLS_and_SLC17A6	complex:Glutamate_Kainate_1_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.73	0.72	0.902	0.0	0.77	0.76	0.941	0.0	0.814	0.804	0.985	0.0	0.143	0.133	0.314	0.0
CPI-CC0ACAF2735	Glutamate_byGLS_and_SLC17A7_Glutamate_Kainate_1_5_complex	complex:Glutamate_byGLS_and_SLC17A7	complex:Glutamate_Kainate_1_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.111	0.101	0.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC00F486A57	Glutamate_byGLS_and_SLC1A1_Glutamate_Kainate_1_5_complex	complex:Glutamate_byGLS_and_SLC1A1	complex:Glutamate_Kainate_1_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.13	0.12	0.301	0.0	0.085	0.075	0.257	0.0	0.0	0.0	0.0	0.0	0.248	0.238	0.419	0.0
CPI-CC02BF19DCF	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_1_5_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_1_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.095	0.085	0.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS061474E36	Glutamate_byGLS_and_SLC17A6_GRIK2	complex:Glutamate_byGLS_and_SLC17A6	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.247	1.128	1.349	0.758	1.286	1.168	1.389	0.798	1.331	1.212	1.433	0.842	0.659	0.54	0.762	0.171
CPI-CS009D94220	Glutamate_byGLS_and_SLC17A7_GRIK2	complex:Glutamate_byGLS_and_SLC17A7	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.628	0.509	0.73	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS07D0E4897	Glutamate_byGLS_and_SLC1A1_GRIK2	complex:Glutamate_byGLS_and_SLC1A1	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.647	0.528	0.749	0.158	0.602	0.483	0.704	0.113	0.0	0.0	0.0	0.0	0.764	0.645	0.867	0.276
CPI-CS037F4EF32	Glutamate_byGLS_and_SLC1A3_GRIK2	complex:Glutamate_byGLS_and_SLC1A3	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.611	0.492	0.713	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC05DB41C4E	Glutamate_byGLS_and_SLC17A6_Glutamate_Kainate_2_4_complex	complex:Glutamate_byGLS_and_SLC17A6	complex:Glutamate_Kainate_2_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.041	1.128	1.175	0.758	1.08	1.168	1.215	0.798	1.125	1.212	1.259	0.842	0.453	0.54	0.588	0.171
CPI-CC0476711B8	Glutamate_byGLS_and_SLC17A7_Glutamate_Kainate_2_4_complex	complex:Glutamate_byGLS_and_SLC17A7	complex:Glutamate_Kainate_2_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.422	0.509	0.556	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC052F5C918	Glutamate_byGLS_and_SLC1A1_Glutamate_Kainate_2_4_complex	complex:Glutamate_byGLS_and_SLC1A1	complex:Glutamate_Kainate_2_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.441	0.528	0.575	0.158	0.396	0.483	0.53	0.113	0.0	0.0	0.0	0.0	0.558	0.645	0.693	0.276
CPI-CC0063E25BD	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_2_4_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_2_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.405	0.492	0.539	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC056BCA025	Glutamate_byGLS_and_SLC17A6_Glutamate_Kainate_2_5_complex	complex:Glutamate_byGLS_and_SLC17A6	complex:Glutamate_Kainate_2_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.247	1.128	1.349	0.758	1.286	1.168	1.389	0.798	1.331	1.212	1.433	0.842	0.659	0.54	0.762	0.171
CPI-CC04062A92F	Glutamate_byGLS_and_SLC17A7_Glutamate_Kainate_2_5_complex	complex:Glutamate_byGLS_and_SLC17A7	complex:Glutamate_Kainate_2_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.628	0.509	0.73	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC0EAD8AFBF	Glutamate_byGLS_and_SLC1A1_Glutamate_Kainate_2_5_complex	complex:Glutamate_byGLS_and_SLC1A1	complex:Glutamate_Kainate_2_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.647	0.528	0.749	0.158	0.602	0.483	0.704	0.113	0.0	0.0	0.0	0.0	0.764	0.645	0.867	0.276
CPI-CC0E60351FF	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_2_5_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_2_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.611	0.492	0.713	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0C3746C9B	Glutamate_byGLS_and_SLC17A6_GRIK3	complex:Glutamate_byGLS_and_SLC17A6	simple:Q13003		GRIK3	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.103	0.999	0.914	0.921	1.142	1.038	0.953	0.96	1.187	1.083	0.998	1.005	0.515	0.411	0.326	0.333
CPI-CS09A7E9FE7	Glutamate_byGLS_and_SLC17A7_GRIK3	complex:Glutamate_byGLS_and_SLC17A7	simple:Q13003		GRIK3	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.484	0.379	0.295	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS044A80E08	Glutamate_byGLS_and_SLC1A1_GRIK3	complex:Glutamate_byGLS_and_SLC1A1	simple:Q13003		GRIK3	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.503	0.398	0.314	0.32	0.458	0.354	0.269	0.276	0.0	0.0	0.0	0.0	0.62	0.516	0.431	0.438
CPI-CS0EB60A2B2	Glutamate_byGLS_and_SLC1A3_GRIK3	complex:Glutamate_byGLS_and_SLC1A3	simple:Q13003		GRIK3	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.467	0.363	0.278	0.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC00DB97EEF	Glutamate_byGLS_and_SLC17A6_Glutamate_Kainate_3_4_complex	complex:Glutamate_byGLS_and_SLC17A6	complex:Glutamate_Kainate_3_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.041	0.999	0.914	0.921	1.08	1.038	0.953	0.96	1.125	1.083	0.998	1.005	0.453	0.411	0.326	0.333
CPI-CC0535DCAC1	Glutamate_byGLS_and_SLC17A7_Glutamate_Kainate_3_4_complex	complex:Glutamate_byGLS_and_SLC17A7	complex:Glutamate_Kainate_3_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.422	0.379	0.295	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC0B7463256	Glutamate_byGLS_and_SLC1A1_Glutamate_Kainate_3_4_complex	complex:Glutamate_byGLS_and_SLC1A1	complex:Glutamate_Kainate_3_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.441	0.398	0.314	0.32	0.396	0.354	0.269	0.276	0.0	0.0	0.0	0.0	0.558	0.516	0.431	0.438
CPI-CC049F2ABCF	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_3_4_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_3_4_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.405	0.363	0.278	0.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC02346F1A9	Glutamate_byGLS_and_SLC17A6_Glutamate_Kainate_3_5_complex	complex:Glutamate_byGLS_and_SLC17A6	complex:Glutamate_Kainate_3_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	1.103	0.999	0.914	0.921	1.142	1.038	0.953	0.96	1.187	1.083	0.998	1.005	0.515	0.411	0.326	0.333
CPI-CC093B33AB4	Glutamate_byGLS_and_SLC17A7_Glutamate_Kainate_3_5_complex	complex:Glutamate_byGLS_and_SLC17A7	complex:Glutamate_Kainate_3_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.0	0.0	0.0	0.0	0.484	0.379	0.295	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC0699D36D3	Glutamate_byGLS_and_SLC1A1_Glutamate_Kainate_3_5_complex	complex:Glutamate_byGLS_and_SLC1A1	complex:Glutamate_Kainate_3_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.503	0.398	0.314	0.32	0.458	0.354	0.269	0.276	0.0	0.0	0.0	0.0	0.62	0.516	0.431	0.438
CPI-CC0CB231C91	Glutamate_byGLS_and_SLC1A3_Glutamate_Kainate_3_5_complex	complex:Glutamate_byGLS_and_SLC1A3	complex:Glutamate_Kainate_3_5_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.467	0.363	0.278	0.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
