gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	10	11	12	13	14	15	16	17	18	19	1_0	1_1	1_2	1_3	1_4	1_5	2	20	21	22	23	24	25	26	3	5	6	7	8	9
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.019	0.175	0.0	0.0	0.0	0.0	0.138	0.03	0.0	0.0	0.0	0.084	0.0	0.044	0.0	0.104	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.083
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.019	0.175	0.0	0.0	0.0	0.0	0.138	0.03	0.0	0.0	0.0	0.084	0.0	0.044	0.0	0.104	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.083
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.019	0.175	0.0	0.0	0.0	0.0	0.138	0.03	0.0	0.0	0.0	0.084	0.0	0.044	0.0	0.104	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.083
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.019	0.175	0.0	0.0	0.0	0.0	0.138	0.03	0.0	0.0	0.0	0.084	0.0	0.044	0.0	0.104	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.083
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.019	0.175	0.0	0.0	0.0	0.0	0.138	0.03	0.0	0.0	0.0	0.084	0.0	0.044	0.0	0.104	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.083
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
