"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value","av_q.value","cluster"
"12595","upf3b",0.314679944497649,0.583660756321649,0.615002269439437,0.274689262204368,0.300322324941788,0.541152581248575,0.542314008499756,NA,TRUE,"1","1","1","0.999999999899967",4
"12596","ndufa1",-0.604456848065584,0.0816837588913417,0.0832858875623734,0.797380184750193,0.687742735627958,0.0456399718834888,0.102332828708203,NA,FALSE,"1","1","1","0.999999999899967",4
"12597","nkap",-0.08882684265423,0.739731550299283,-0.00906613640136078,0.973788123546895,0.0797607062528692,0.768492233745383,0.93497680890802,NA,TRUE,"1","1","1","0.999999999899967",4
"12598","zbtb33",0.40262608770752,0.222243117640673,-0.20843510985397,0.59349040668348,-0.61106119756149,0.0873569081642812,0.187305798303481,NA,FALSE,"1","1","1","0.999999999899967",4
"12599","tmem255a",-0.152017117030615,0.369091757515259,-0.274208487461042,0.136928958774823,-0.122191370430427,0.503212647946996,0.32252252026047,NA,TRUE,"1","1","1","0.999999999899967",4
"12600","LOC129350319",0.378172471539412,0.288180294006374,0.230438399283454,0.544931203377148,-0.147734072255957,0.660333555528704,0.568784584181036,NA,TRUE,"1","1","1","0.999999999899967",4
"12601","atp1b4",-0.339186099177448,0.284243074329006,0.224738773848939,0.466537661869318,0.563924873026387,0.0730195749244527,0.198007873360507,NA,FALSE,"1","1","1","0.999999999899967",4
"12602","lamp2",0.0250118637595775,0.808463861399463,0.0202432811729366,0.853554313473416,-0.00476858258664092,0.963869648665367,0.968646217915463,NA,TRUE,"1","1","1","0.999999999899967",4
"12603","cul4b",0.295483428561206,0.365370856498326,0.320779791321661,0.34013017072863,0.0252963627604545,0.932864648672992,0.579860546360489,NA,TRUE,"1","1","1","0.999999999899967",4
"12604","mcts1",-0.516196638589091,0.141466245935433,-0.192309474274662,0.57684663664993,0.323887164314429,0.374494371673691,0.336953577290831,NA,FALSE,"1","1","1","0.999999999899967",4
"12605","c1galt1c1",0.999212669791688,0.0344939514918225,0.714315270466248,0.157281959922472,-0.28489739932544,0.447462578798045,0.10627576510006,NA,TRUE,"1","1","1","0.999999999899967",4
"12606","clic2",0.793982974707845,0.999999839652516,31.8572214197708,0.999991321439009,31.063238445063,0.999990652755986,0.999999999872225,NA,TRUE,"1","1","1","0.999999999899967",4
"12607","si:ch73-335m24.2",0.404785359936357,0.661871576404135,-0.239374922252126,0.81844624643161,-0.644160282188482,0.528820181353006,0.806324447071337,NA,FALSE,"1","1","1","0.999999999899967",4
"12608","ocrl",-0.222825988007089,0.213640688263208,-0.147479498991292,0.427121846827432,0.0753464890157971,0.688382171411662,0.448696280736677,NA,TRUE,"1","1","1","0.999999999899967",4
"12609","vimr2",-1.15713756556409,0.0491469425334679,0.196261218295118,0.638098583024141,1.35339878385921,0.0189577968608164,0.0603194988750383,NA,TRUE,"1","1","1","0.999999999899967",4
"12610","LOC129350292",2204.23760100868,0.999399520491682,2173.40588333827,0.999602578023855,-30.8317176704041,0.999992394207506,0.999999716759107,NA,TRUE,"1","1","1","0.999999999899967",4
"12611","xpnpep2",0.544796552428755,0.657032376171331,0.0176794221384006,0.990042840689133,-0.527117130290354,0.667575858836394,0.866664677787611,NA,TRUE,"1","1","1","0.999999999899967",4
"12612","sash3",-32.6947214381615,0.999990166054373,0.0190718799978225,0.989254425478927,32.7137933181593,0.999990160317917,0.999909310691502,NA,TRUE,"1","1","1","0.999999999899967",4
"12613","LOC129350401",-31.0711024477722,0.999990650898659,0.017083199080329,0.990380776110493,31.0881856468525,0.999990645758431,0.999927326576661,NA,TRUE,"1","1","1","0.999999999899967",4
