"","gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","warning","error","av_q","interaction_q","positive_q"
"11424","taf1c",0.401914311871825,0.564282095271935,0.638381155166208,0.727524942672606,0.606698298792762,0.428095513679295,0.0196916939832754,0.0261529530705214,0.0458446470537967,0.65032689714346,0.465776229263128,0.570014999420767,-0.0298165363490562,0.0487409552798535,0.0454491725667644,NA,NA,0.780203714945871,0.877862890236703,0.719145355302072
"11425","LOC111579785",0.95862104535817,0.195011635178584,0.311515718667292,0.147945236690635,0.877541143909049,0.170027711202468,0.0669072519400156,-0.00600924722819356,0.060898004711822,0.533694340041972,0.604332347184198,0.20693067702365,0.0308868650156473,0.0201850021137184,-0.0775443071925476,NA,NA,0.966879278623726,0.743016715856291,0.454059735941797
"11426","st8sia3",0.596900176145349,0.920858017036994,0.888510889702479,0.313998495271098,0.893298847465756,0.261688103409467,0.0548554499536889,0.00761928827789836,0.0624747382315872,0.821223374148929,0.582522920570229,0.921536941143616,0.0162309886221494,0.0415106021193554,-0.00642210516167395,NA,NA,0.788898213465175,0.963173390432054,0.966667873560599
"11428","onecut2",0.178006832697114,0.042300682015847,0.0715022758235221,0.855198514371637,0.725106266452503,0.639264912059663,-0.00967250638120364,-0.0148278334020722,-0.0245003397832759,0.818014277991989,0.307058159582975,0.0469313891521236,-0.011416180815099,-0.0467735395755036,0.155539365719459,NA,NA,0.780203714945871,0.502563796846556,0.249440008735202
"11429","fech",0.347111409417162,0.242890403493734,0.669001767193003,0.799194962154194,0.484322330527524,0.34203263685745,0.0171265131587368,0.058421477954675,0.0755479911134118,0.930805621303013,0.283336417752348,0.253204206581077,0.00837541457110208,0.139019500960096,0.0923437727224945,NA,NA,0.780203714945871,0.888615522059288,0.468583312669541
"11430","nars1",0.708621451175678,0.0188140112058783,0.0599538689413408,0.57628200139908,0.128237102707149,0.0303257393572298,0.0512627825367322,0.116429546658222,0.167692329194954,0.0314817122815664,0.802112789417395,0.0213245705344707,-0.272446736840045,-0.0179285195980693,-0.303837321399069,NA,NA,0.811798530115821,0.471001227970988,0.174272325075828
"11431","dcc",0.186203932573683,0.392305697686877,0.0199748902247319,0.485331545667854,0.448006959414816,0.900592326660827,0.0363741074643056,-0.0300781006405721,0.00629600682373342,0.129054765995401,0.0333452026467054,0.396970082724534,0.0702729230929986,-0.0807470493260011,0.0642378014810074,NA,NA,0.780203714945871,0.363402827421877,0.58867286291755
"11433","mbd2",0.574866598264963,0.768274024588224,0.893986430454837,0.352438694435043,0.833322763619014,0.465187667488691,0.0563350489826493,-0.0104138902583918,0.0459211587242575,0.247610468743787,0.621467143905647,0.771090264715011,0.0673739287474451,0.0319378275321374,0.0276721755669352,NA,NA,0.784321979669702,0.964686710074574,0.862297218980217
"11434","c17h18orf54",0.871812039383439,0.125528724081181,0.283739989643742,0.147276012804655,0.921650093559466,0.119167897400164,0.0905335326441138,-0.00602428978542076,0.084509242858693,0.696451049512889,0.624016177475051,0.134034666538475,0.0364046333798223,0.0324644146507912,-0.0990898616281838,NA,NA,0.902135936405472,0.734820601121102,0.355654214565809
"11437","ccdc82",0.32416673059982,0.169983775683412,0.296900439380259,0.38506150822598,0.361058385647444,0.890548848434247,-0.0815465571158238,0.0708331766189398,-0.010713380496884,0.430545790132978,0.408144839711813,0.178425517384117,-0.103057069855864,0.0640766084342769,0.178074280247183,NA,NA,0.780203714945871,0.739591254272088,0.433383631730797
"11441","ptpa",0.281469826238673,0.216217400536936,0.252121193395433,0.610211619869865,0.706965347600385,0.812236912722602,-0.0332534504397673,0.019231840783806,-0.0140216096559613,0.291242054339297,0.635159397541992,0.22173725842476,-0.0807865329500633,-0.0246911562067841,0.11362258438637,NA,NA,0.780203714945871,0.715249067403025,0.468583312669541
"11442","ier5l",0.24895142053821,0.0701358700754904,0.272033945057279,0.598915983451543,0.660128737619998,0.99403830402158,-0.0367564995607295,0.0361404262013889,-0.00061607335934058,0.666504738268379,0.713287112083255,0.0771262689688501,-0.0394833352060532,0.0468878727487146,0.171268829967796,NA,NA,0.780203714945871,0.72837513587949,0.311016820819826
"11450","LOC111586733",0.405279787343809,0.172055199022501,0.74296143918525,0.966760139272988,0.932500852522957,0.916013974187075,-0.00328376169123869,-0.00536973255526273,-0.00865349424650142,0.362074809243775,0.489450299975686,0.180676942632758,0.071403998321155,0.063298920380497,0.177276827325115,NA,NA,0.780203714945871,0.910544839953695,0.433383631730797
"11451","actr1b",0.218570791468926,0.108687332079375,0.26896536943177,0.748924004389828,0.532094232917388,0.389553667831245,0.0154578267238321,0.0321806285466502,0.0476384552704823,0.632192203557446,0.369213329303334,0.113350660246232,-0.0255015320688682,0.0663502460227679,0.100396213788334,NA,NA,0.780203714945871,0.727158144024289,0.326774423809792
"11452","npy8ar",0.335395062740232,0.104346146209554,0.715206638257243,0.34379404616108,0.932200613534445,0.361242660401732,0.0402968102875014,-0.00303900831490632,0.0372578019725951,0.323084586542608,0.268482679402189,0.111947364027415,0.0460378605884325,0.0387238097195749,0.0926660541797708,NA,NA,0.780203714945871,0.901334199150925,0.326774423809792
"11457","atp6v1b2",0.521269784236482,0.86605369881488,0.915408277230892,0.558071253983885,0.849476864812259,0.377555301787873,0.0411308370017223,0.0109543268614429,0.0520851638631652,0.990969850143597,0.400944225204541,0.868206159860525,0.00107448476231158,0.0421602327339103,0.0160480379550889,NA,NA,0.780203714945871,0.973783471383035,0.933977834957298
"11459","gfra2b",0.412700978811656,0.619580157076178,0.147791311229789,0.721310422865357,0.138590256848316,0.268490953360179,-0.0244748848917528,0.091719319950922,0.0672444350591692,0.0361720109788196,0.781697111800106,0.623792450387618,-0.205518212696996,0.018655786221933,-0.0466909938196372,NA,NA,0.780203714945871,0.618468344062331,0.755733003479026
"11460","xpo7",0.204660240537342,0.0222286679092956,0.177772774998699,0.691024326808227,0.816290062374127,0.785564379292851,-0.0312717285598045,0.0168965789397474,-0.014375149620057,0.799532531624552,0.769919871093528,0.0250439584959402,-0.032627212062379,0.0161310412668366,0.173487825973595,NA,NA,0.780203714945871,0.64912101293539,0.177121734745968
"11461","pbdc1",0.360034822689591,0.106438109694744,0.37512340404117,0.632758194298301,0.395522301098918,0.761133360318506,-0.0374351845601668,0.0657991255341696,0.0283639409740028,0.774349695093362,0.196437755681958,0.114262870403476,0.0227602916279953,0.166396985712111,0.20840268555055,NA,NA,0.780203714945871,0.776098885047688,0.326774423809792
"11462","ppp3ccb",0.725768269445365,0.612003976714626,0.659730463400845,0.205555246225311,0.789709853529196,0.278894215665834,0.0605107937923894,-0.0104315843077065,0.0500792094846829,0.45805866554083,0.879872235017669,0.616778984898339,0.0350744967587938,-0.00589516837784527,-0.0332756412367816,NA,NA,0.818998832043007,0.885011711530999,0.748784235120761
"11465","helq",0.381403321313738,0.365805252530929,0.557070317772709,0.741029093335267,0.562430410312971,0.791318624031963,-0.0279177163689631,0.0446485069288565,0.0167307905598934,0.505718589151858,0.785983515771966,0.372602052105337,-0.0871607784127938,0.0180601515852704,0.084508399534715,NA,NA,0.780203714945871,0.850928811368645,0.563894739461035
"11467","hpse",0.416611243783793,0.514286285192666,0.748312885268924,0.998911161701443,0.906239900319997,0.932403769262573,0.0001096947296437,-0.00689713389984997,-0.00678743917020627,0.795311157310344,0.749516056513271,0.520421858191648,-0.0199451045584652,-0.0239726898672521,0.0843934313209095,NA,NA,0.780203714945871,0.911208351355358,0.683199724847513
"11469","LOC129347316",0.363913943776249,0.0918437694743708,0.419747685404165,0.50915652282451,0.560029189117606,0.930377599224189,-0.0627675058602136,0.0544947553499062,-0.00827275051030733,0.848705572796183,0.444998407176615,0.0985651341677997,-0.0251340798452447,0.0973280199381265,0.214675609722594,NA,NA,0.780203714945871,0.796309554129198,0.326774423809792
"11470","rpl17",0.522380634817312,0.716926436685669,0.703646130815761,0.274094293897228,0.703985477733374,0.431233927138054,0.0505429554284066,-0.015081814585758,0.0354611408426486,0.349468694655889,0.849993840607317,0.720284425199398,0.0452821238001677,-0.00831592850691263,0.0221535291044309,NA,NA,0.780203714945871,0.896777553793786,0.827801218836198
"11473","apc",0.725519525632193,0.697032422587369,0.531834910724078,0.117596962395582,0.599510738785719,0.226164082861748,0.0845674625464831,-0.0231849888487624,0.0613824736977206,0.197772585915853,0.585273637152324,0.701438045892984,0.0811065955481454,0.0278802701493291,-0.0310992240874438,NA,NA,0.818931151697106,0.842781371710079,0.813465973562976
"11474","fktn",0.482906732036459,0.520859248532117,0.849034791178782,0.60885042314072,0.645267278797348,0.960160660013003,0.0409471435475598,-0.0361930598249453,0.00475408372261455,0.316379991889593,0.987171623580813,0.527969973878023,0.0770066876873543,-0.00204239876805175,0.0841767421286136,NA,NA,0.780203714945871,0.948081803130609,0.686191884772167
"11477","ugcg",0.411801402076635,0.218735719163967,0.203627727909608,0.581682582550785,0.285165523662381,0.829792174054007,-0.0441442297058866,0.0609730961146565,0.0168288664087699,0.501109268090034,0.125689735772589,0.226328488361513,-0.0512369648792365,0.104418360526496,0.15534841041059,NA,NA,0.780203714945871,0.679849241539933,0.468583312669541
"11481","lmbrd2b",0.394313873294242,0.216629787599402,0.875704013404433,0.658929455666671,0.743909759777501,0.411248704241171,0.0292326823943537,0.0207360202263253,0.049968702620679,0.654190802857523,0.193924286325091,0.224632218842524,0.0417924013887434,0.096909262724969,0.0960265434136603,NA,NA,0.780203714945871,0.956907336038353,0.468583312669541
"11487","ythdc1",0.101341793581304,0.000414750414591383,0.0868851709783039,0.763709519873235,0.965534380801727,0.726973723221052,0.0128330316977813,0.00156181603594108,0.0143948477337224,0.232090098896234,0.103795327371062,0.000694501107229352,0.0529790123717444,0.0653889417799504,0.19959734669584,NA,NA,0.780203714945871,0.525821787559943,0.0627223595733093
"11491","fer",0.243740269547361,0.155986560014379,0.00192154579392565,0.982643539202046,0.016451880936556,0.0822382348268136,-0.00159405173293623,-0.130678694761219,-0.132272746494155,0.211412546764872,0.00387561433773443,0.164683280704239,0.0842896545787505,-0.218084889972655,0.176367749020109,NA,NA,0.780203714945871,0.172203715038349,0.418907302680124
"11492","cdc26",0.619299533182006,0.265088041735514,0.289358775196853,0.307636508417658,0.413152187155347,0.0676506033358324,0.0970496068215173,0.07699129120777,0.174040898029287,0.807706547568293,0.28383676500771,0.274143870987138,-0.0317142699037142,0.138856079055885,-0.14526021335308,NA,NA,0.788898213465175,0.737519434393946,0.468583312669541
"11493","prpf4",0.453927859037912,0.976509339643131,0.0876998625919333,0.311802577152144,0.0775072408458711,0.790300855301625,0.0762788378534026,-0.0969281801643085,-0.0206493423109059,0.211329023618507,0.0764405488374192,0.976866374120483,0.087685635284782,-0.134449017218801,0.0037909699394842,NA,NA,0.780203714945871,0.52874859016183,0.990053153622809
"11494","LOC111567437",0.558086403577807,0.438305349399977,0.0828112755471879,0.521670359298941,0.0596231177403693,0.142546248825054,-0.0532847458450262,0.156183934267877,0.102899188422851,0.0329299816543758,0.464165740336874,0.443507583711456,-0.275490671457775,0.0649413172889405,-0.0721657001586935,NA,NA,0.782423252831103,0.518076523727859,0.62299951660357
"11495","LOC111567440",0.35101394549997,0.283336222367217,0.154373077254559,0.496987429796323,0.254815884373442,0.913670523979027,-0.0543089156870785,0.06255160166168,0.00824268597460148,0.22779247296316,0.264030261308927,0.291279575981966,-0.0959920789786952,0.0689052213776378,0.136360119866476,NA,NA,0.780203714945871,0.623522640342537,0.474230490699477
"11497","si:dkey-21c1.4",0.404413152258814,0.275361271132012,0.480703596094734,0.573829693433173,0.521649557730177,0.965880092450763,-0.0540694268829089,0.0506450563689792,-0.00342437051392969,0.54424240551166,0.598484368658863,0.283147758307986,-0.078391968192049,0.0390188367232421,0.140000376674573,NA,NA,0.780203714945871,0.820462592064818,0.469493501502687
