"","gene","gene_name","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","av_q.value","cluster","full_label","first_word","second_word","short_label"
"8326","nr1d2a","nuclear receptor subfamily 1, group D, member 2a",-0.770560278196741,0.043677874009527,-1.51694063461514,0.000176124204519649,-0.746380356418396,0.0711487245994755,0.000820103738490976,NA,FALSE,0.0463091187115285,11,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"8687","LOC111580029",NA,1.13137385252152,2.81184092578521e-05,0.87957020407504,0.00137575631962318,-0.251803648446479,0.235382742158587,0.000143796376887822,NA,FALSE,0.00841715130064491,11,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"9520","fam110b","family with sequence similarity 110 member B",-1.24749600361005,0.000446080222761906,-0.985677895313558,0.00269402248561665,0.261818108296488,0.509187704808889,0.000311770814617134,NA,FALSE,0.0180462326678107,11,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"10407","sema5ba","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5Ba",0.0229143643971095,0.909530427622375,0.616250578195167,0.00131016965732895,0.593336213798057,0.000788021339106291,0.000453012805739177,NA,FALSE,0.0260044367493373,11,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"12915","LOC118469121",NA,0.594805234519294,0.141461062586644,-1.19602940892713,0.0107632206164914,-1.79083464344642,6.22157086269446e-05,0.000326998377892716,NA,FALSE,0.0188750730350296,11,"Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"13017","slco2b1","solute carrier organic anion transporter family, member 2B1",0.647337878470424,0.000103932350961622,0.419088073414442,0.0116033716678783,-0.228249805055982,0.135789423606191,0.000504368664415183,NA,FALSE,0.0288726745083953,11,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"13472","LOC111572229",NA,-1.88021731362938,0.000759811871207366,0.344658828364364,0.33727364258357,2.22487614199375,3.09804208940369e-05,0.000168121885819612,NA,FALSE,0.00981340670598747,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"14720","LOC111565980","uncharacterized LOC111565980",-1.95705959853074,5.42618500320204e-06,0.105992469057007,0.775460573607952,2.06305206758775,5.51045397047596e-07,6.1603048117616e-07,NA,FALSE,3.68908167113562e-05,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"16794","asic2",NA,-0.734571446935345,0.00062402364961727,0.195930946113724,0.349461124524018,0.930502393049069,5.03340235561301e-06,1.26948406569131e-05,NA,FALSE,0.000753710825287586,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"17404","alk","ALK receptor tyrosine kinase",-0.470388159651421,0.0174724533896448,0.230366034946875,0.229592925094307,0.700754194598297,0.00019539295001163,0.000828006571432877,NA,FALSE,0.0465026393361491,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"20205","LOC111582608","zona pellucida sperm-binding protein 3-like",-0.615133860261258,0.173832957871582,0.904376049208236,0.0103863313473525,1.51950990946949,9.51844287783586e-05,0.000136698081713661,NA,FALSE,0.00802425462714651,11,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"20537","LOC111584452",NA,1.49162864101445,0.000131198690646162,1.22887289340813,0.002052964814451,-0.262755747606316,0.314467050026579,0.000659422784117662,NA,FALSE,0.0374393591638388,11,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"14097","hectd2",NA,2.05399120321192,0.000892027073060177,-1.13420299843989,0.3282221559526,-3.1881942016518,0.00186945980211385,6.18096238024444e-05,NA,FALSE,0.0102374105010313,12,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"15915","nfixb","nuclear factor I/Xb",1.16611464958169,0.000343824751465365,-0.154586999402699,0.690255199259136,-1.32070164898439,8.73885038565881e-05,2.14431266180103e-05,NA,FALSE,0.00358118083792953,12,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"16129","tcf7l2","transcription factor 7 like 2",-0.892839960120379,0.00211102950606933,-1.52028601782945,1.94337291688081e-06,-0.627446057709068,0.0656175604389405,4.68919353260467e-06,NA,FALSE,0.000607147341231021,13,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"4824","pxk","PX domain containing serine/threonine kinase",0.193884609312083,0.528803385401952,0.257737646935079,6.29281102513972e-05,0.0638530376229965,0.831774660799781,0.000323978387576577,NA,FALSE,0.0330490032396186,15,"Early upregulated, reduced rebound","Early","Upregulated","Early Upregulated"
"150","pcdh17","protocadherin 17",-1.50231685670314,0.00052105984668663,-1.5652400523698,0.000148983368016763,-0.0629231956666676,0.898260204832559,4.53251816262244e-05,NA,FALSE,0.00646887467195421,16,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"233","syt7b","synaptotagmin VIIb",0.0457177680129005,0.885276408676981,0.919007756483186,0.00109401135214156,0.873289988470285,0.000914189848398772,0.000282439162387118,NA,FALSE,0.0394644538717273,16,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"2375","LOC111567884","uncharacterized LOC111567884",-0.774762910652478,0.000158822871489504,-0.711533163766245,0.000370972015250164,0.0632297468862332,0.747411011215283,0.000147905092092805,NA,FALSE,0.027186554900626,17,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
