max_exprmean_column,max_exprmean_value
16|24,1.687999963760376
12|7,1.6829999685287476
14|2,1.680999994277954
18|31,1.6740000247955322
21|7,1.6619999408721924
2|2,1.6480000019073486
18|18,1.6269999742507935
27|31,1.6230000257492065
27|18,1.6180000305175781
31|23,1.6030000448226929
24|27,1.6019999980926514
24|27,1.6019999980926514
12|16,1.5980000495910645
21|16,1.5770000219345093
14|23,1.5740000009536743
19|23,1.5670000314712524
18|17,1.559999942779541
2|2,1.5549999475479126
1|13,1.5529999732971191
1|13,1.5529999732971191
1|13,1.5529999732971191
1|13,1.5529999732971191
1|17,1.5509999990463257
27|7,1.5470000505447388
27|28,1.5410000085830688
8|28,1.5390000343322754
8|11,1.5390000343322754
12|25,1.5329999923706055
1|13,1.5269999504089355
1|13,1.5269999504089355
21|25,1.5119999647140503
20|17,1.5089999437332153
20|13,1.5069999694824219
3|19,1.503999948501587
12|16,1.5019999742507935
24|25,1.4989999532699585
25|13,1.496000051498413
25|13,1.496000051498413
25|13,1.496000051498413
25|13,1.496000051498413
25|17,1.49399995803833
11|18,1.49399995803833
27|4,1.4910000562667847
27|9,1.4819999933242798
21|16,1.4819999933242798
25|13,1.468999981880188
25|13,1.468999981880188
27|23,1.465000033378601
12|25,1.4609999656677246
24|25,1.4589999914169312
11|24,1.4520000219345093
30|20,1.4520000219345093
21|25,1.440000057220459
1|5,1.4359999895095825
31|24,1.4320000410079956
24|20,1.4210000038146973
18|7,1.4119999408721924
18|2,1.4110000133514404
12|11,1.409000039100647
19|24,1.3960000276565552
12|31,1.3899999856948853
21|11,1.3880000114440918
28|23,1.378000020980835
25|5,1.378000020980835
1|14,1.371999979019165
1|14,1.371999979019165
21|31,1.3700000047683716
12|18,1.36899995803833
12|12,1.3539999723434448
21|18,1.3489999771118164
27|18,1.3359999656677246
13|24,1.3350000381469727
21|12,1.3339999914169312
18|27,1.3339999914169312
20|31,1.3300000429153442
20|31,1.3300000429153442
20|31,1.3300000429153442
30|18,1.3300000429153442
20|31,1.3300000429153442
18|16,1.3270000219345093
20|5,1.3170000314712524
20|5,1.3170000314712524
21|20,1.312000036239624
31|31,1.2960000038146973
31|31,1.2960000038146973
31|31,1.2960000038146973
31|31,1.2960000038146973
27|24,1.2940000295639038
30|24,1.2879999876022339
31|5,1.2829999923706055
31|5,1.2829999923706055
30|30,1.2719999551773071
31|9,1.2669999599456787
4|23,1.2669999599456787
18|25,1.2619999647140503
24|19,1.2610000371932983
11|31,1.2610000371932983
6|4,1.2549999952316284
10|14,1.24399995803833
14|20,1.2380000352859497
18|16,1.2319999933242798
19|9,1.2309999465942383
14|8,1.2300000190734863
27|26,1.2259999513626099
3|2,1.2230000495910645
29|16,1.218999981880188
22|16,1.2170000076293945
28|23,1.2100000381469727
12|9,1.2100000381469727
8|12,1.2089999914169312
12|28,1.2079999446868896
19|16,1.1990000009536743
21|9,1.190000057220459
18|25,1.190000057220459
21|28,1.187000036239624
30|21,1.1820000410079956
18|2,1.1540000438690186
18|11,1.1380000114440918
21|30,1.1319999694824219
27|9,1.1299999952316284
18|31,1.1200000047683716
18|18,1.0989999771118164
30|31,1.097000002861023
4|24,1.0959999561309814
27|17,1.0829999446868896
18|12,1.0829999446868896
12|31,1.0800000429153442
6|18,1.069000005722046
21|31,1.059999942779541
18|12,1.055999994277954
21|21,1.0420000553131104
29|27,1.0399999618530273
22|27,1.0379999876022339
1|31,1.027999997138977
1|31,1.027999997138977
6|24,1.0269999504089355
5|20,1.0199999809265137
19|27,1.0199999809265137
1|5,1.0149999856948853
12|7,1.0049999952316284
12|28,0.9980000257492065
21|7,0.984000027179718
21|28,0.9779999852180481
25|31,0.9700000286102295
25|31,0.9700000286102295
9|4,0.9599999785423279
7|27,0.9580000042915344
7|27,0.9580000042915344
25|5,0.9580000042915344
27|24,0.9419999718666077
18|9,0.9399999976158142
12|9,0.9399999976158142
14|15,0.9390000104904175
18|28,0.9369999766349792
17|5,0.9350000023841858
4|9,0.9309999942779541
13|18,0.9300000071525574
2|19,0.9269999861717224
21|9,0.9190000295639038
28|16,0.8840000033378601
8|2,0.8629999756813049
4|4,0.8560000061988831
2|4,0.8460000157356262
