"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1837",14,21,13,85,111,104,0.164705882352941,0.189189189189189,0.125,0.44979035019697,0.624852322784639,0.443991870669935,0.207120611487036,FALSE,NA,"LOC111565574",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
"1838",12,12,9,85,111,104,0.141176470588235,0.108108108108108,0.0865384615384615,0.493264334455802,0.485125436824493,0.238590363109638,0.595144693555045,TRUE,NA,"apbb2b",28,0.995616406723743,0.940542981122785,0.922887584921307,0.984602820958173
"1839",5,5,3,85,111,104,0.0588235294117647,0.045045045045045,0.0288461538461538,0.667978509800121,0.718448385708204,0.369530668371288,0.568129507923218,FALSE,NA,"zfp91",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
"1840",4,11,3,85,111,104,0.0470588235294118,0.0990990990990991,0.0288461538461538,0.573909040167112,0.445806910585816,0.812843065584176,0.329309458367983,FALSE,NA,"si:dkey-117m1.4",28,0.995616406723743,0.937851254445298,0.962456333509531,0.984602820958173
"1841",4,1,2,85,111,104,0.0470588235294118,0.00900900900900901,0.0192307692307692,0.257666492680474,0.13339505805906,0.293187790929419,0.532832444694031,TRUE,NA,"ankrd49",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"1842",5,1,2,85,111,104,0.0588235294117647,0.00900900900900901,0.0192307692307692,0.149783801741786,0.0866458031632673,0.189367338082214,0.536599393840061,FALSE,NA,"aip",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"1843",12,10,7,85,111,104,0.141176470588235,0.0900900900900901,0.0673076923076923,0.232594008040618,0.265066683317679,0.0997959832862024,0.537484856485706,TRUE,NA,"lonrf1l",28,0.995616406723743,0.937851254445298,0.910924890700913,0.984602820958173
"1844",3,3,2,85,111,104,0.0352941176470588,0.027027027027027,0.0192307692307692,0.796193755259357,0.739882166477624,0.50005341059831,0.705980274444238,TRUE,NA,"dlc1",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
"1845",1,3,5,85,111,104,0.0117647058823529,0.027027027027027,0.0480769230769231,0.378080392180136,0.466597652670286,0.191114575165845,0.42130660674316,TRUE,NA,"LOC111581933",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"1846",48,48,54,85,111,104,0.564705882352941,0.432432432432432,0.519230769230769,0.237081526011526,0.0996105328849375,0.57196506350496,0.253658012198781,FALSE,NA,"spock3",28,0.995616406723743,0.937851254445298,0.952123839739896,0.984602820958173
"1847",1,1,1,85,111,104,0.0117647058823529,0.00900900900900901,0.00961538461538462,0.9806328116178,0.849553727347393,0.885962575371815,0.96309006274435,TRUE,NA,"ugt8",28,0.995616406723743,0.964491197653157,0.962456333509531,0.984602820958173
"1848",8,6,7,85,111,104,0.0941176470588235,0.0540540540540541,0.0673076923076923,0.553603996305588,0.286159525293259,0.499421249909922,0.68423288259042,TRUE,NA,"ndst3",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"1849",4,1,3,85,111,104,0.0470588235294118,0.00900900900900901,0.0288461538461538,0.316877286799497,0.133395038014515,0.513594482692373,0.308618773477219,TRUE,NA,"prss12",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"1850",50,69,57,85,111,104,0.588235294117647,0.621621621621622,0.548076923076923,0.67910694533303,0.616954774429413,0.725286360257186,0.381788850770182,FALSE,NA,"ctnna2",28,0.995616406723743,0.964491197653157,0.962456333509531,0.984602820958173
"1851",9,9,8,85,111,104,0.105882352941176,0.0810810810810811,0.0769230769230769,0.760636350791125,0.557883205878683,0.495564143010046,0.910283755641437,FALSE,NA,"lrrtm1",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
