,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
LOC111564421,0.018902251,0.0064780335,0.0007638601,0.0081872,0.006798611,0.0113122035,0.011994359,0.0035237628,0.007714459,0.005164674,0.0053663445,0.003386959,0.0040730266,0.0031861945,0.0054478007,0.006086275,0.0047222436,0.0070122923,0.032943293,0.010622176,0.0039016714,0.01538631,0.041949265,0.0053678034,0.009745165,0.013833682,0.0383607
LOC111564418,0.08663886,0.015112846,0.011693086,0.04647477,0.040309362,0.06380502,0.041958187,0.016952677,0.06134915,0.025898106,0.012922839,0.022204207,0.014767917,0.022571655,0.039986316,0.028880598,0.042867906,0.053820863,0.049675506,0.026534181,0.019280037,0.062405538,0.13564095,0.013011735,0.043437373,0.04555429,0.043571837
LOC111564417,0.029244225,0.0048514595,0.0026165636,0.015463752,0.013637996,0.021120902,0.017186644,0.011914343,0.04009852,0.013511231,0.0070264074,0.005508974,0.010314463,0.008500925,0.027260587,0.0067946753,0.014064235,0.02032693,0.02367244,0.01947053,0.005052465,0.030033454,0.049482472,0.010421156,0.032423854,0.026639702,0.032399923
LOC111564423,0.00035758154,0.00043214075,0.00054850033,0.0007785439,0.0009806267,0.001068334,0.0014672861,0.0012958398,0.0014498972,0.0015719333,0.0013584448,0.0014979743,0.0018268413,0.0017923507,0.0022609567,0.0024126065,0.0028639762,0.0027065445,0.0030082732,0.0032247626,0.0038946737,0.0045402297,0.005388678,0.007963197,0.0059766863,0.010287082,0.022050282
LOC111564410,0.14497033,0.050213985,0.03198788,0.118182234,0.09649323,0.117012426,0.083145745,0.04640226,0.12745713,0.06421273,0.048149288,0.03446499,0.06351522,0.066860825,0.11229278,0.040603258,0.04880914,0.11634379,0.082659915,0.124521345,0.05266799,0.14451762,0.2154257,0.04719326,0.10977798,0.13529582,0.11828321
LOC111564425,0.0023755599,0.00044359386,0.00086463074,0.0006223896,0.0008586729,0.0009394372,0.0010733419,0.0008946942,0.001667624,0.0010526481,0.0009710164,0.0012211661,0.0009876553,0.0011327062,0.0021423332,0.0020536284,0.0015850784,0.0019496462,0.002099565,0.0020081284,0.0027517418,0.0044769845,0.009517375,0.0037803708,0.0052434206,0.0072997706,0.016599985
ccnb2,0.0024882304,0.0003001722,0.0005283162,0.0009506117,0.0015371209,0.0021979439,0.0012958773,0.0009760376,0.0022057414,0.001078005,0.0011105093,0.00090299745,0.0010603808,0.001079491,0.0028341,0.001526007,0.0016572422,0.0020488317,0.0031093499,0.00836275,0.0036108054,0.004112289,0.003951835,0.004691994,0.005822963,0.009271879,0.044437837
cars1,0.27904555,0.060425006,0.042552337,0.1874466,0.13755007,0.20904218,0.16752376,0.060383137,0.24107222,0.096574634,0.055368584,0.06226773,0.07259016,0.08370946,0.15465513,0.062424008,0.088249706,0.18477856,0.13707213,0.16031496,0.13013133,0.20616062,0.38334766,0.0809938,0.18604101,0.22539404,0.15339044
pex16,0.07581846,0.03922124,0.02282637,0.049767796,0.049366698,0.055888038,0.049036343,0.0141981235,0.13357702,0.035294056,0.026274316,0.020097671,0.02842624,0.05247416,0.045601577,0.039833017,0.036151446,0.05748667,0.038966663,0.054049365,0.03756279,0.04286326,0.11327161,0.02365787,0.06456029,0.053449675,0.07436236
arfgap2,0.294657,0.07091352,0.053533778,0.18260495,0.16253151,0.19795571,0.16985503,0.09068824,0.25288785,0.0927746,0.08734096,0.090327084,0.104666285,0.114710405,0.22323836,0.09066069,0.17353776,0.18981773,0.15372242,0.19836119,0.08388342,0.23805813,0.36702406,0.1426126,0.2624749,0.24077658,0.11727424
LOC118469870,0.009734562,0.005156102,0.000770474,0.0029512376,0.012824262,0.0067425226,0.005461222,0.0025749325,0.021968769,0.0045650066,0.0024239293,0.0019431366,0.005992617,0.0025073923,0.0130712725,0.0039036751,0.006326796,0.012852255,0.005584617,0.005846576,0.002581782,0.0071802563,0.015879542,0.0087755425,0.017649185,0.011361827,0.041075367
glceb,0.5582048,0.29164103,0.14919141,0.37323284,0.51476717,0.544498,0.34484452,0.37210163,1.2948778,0.2500231,0.19106126,0.16683915,0.36156267,0.13828522,0.35149884,0.12367679,0.5319174,0.3076393,0.25655892,1.0075884,0.13626127,0.42370588,0.32998198,0.14773294,0.40195492,1.0247107,0.2602812
paqr5b,0.008280886,0.0008429063,0.0008816521,0.0025829645,0.017884228,0.00829642,0.0022398303,0.0018473462,0.031098073,0.003002356,0.002948508,0.0020085329,0.0037688229,0.0012943327,0.0066999174,0.0041645146,0.0033358466,0.0056641595,0.0067636995,0.013920434,0.003077967,0.008568931,0.016101008,0.0035484831,0.0035609005,0.041926075,0.046578195
