"","gene","estimate","p.value","warning","singular","q.value","cluster"
"10925","LOC129350409",-0.0601182807252297,0.779676877537131,NA,TRUE,"0.992506452400015",20
"10926","mgst2",3.02952353467657,0.433487032321327,NA,TRUE,"0.971342189386492",20
"10927","setd7",0.10796380076083,0.786231390949056,NA,TRUE,"0.992889676329772",20
"10928","hspa9",-0.232147026447936,0.428631105177849,NA,FALSE,"0.971342189386492",20
"10929","rab33ba",-0.0220727623937633,0.963611693445097,NA,FALSE,"1",20
"10930","zgc:113425",-1.79982852893352,0.463323134307538,NA,TRUE,"0.971342189386492",20
"10931","polr2b",0.241803686825382,0.448658176285757,NA,FALSE,"0.971342189386492",20
"10932","LOC111573624",0.0874868947576824,0.827121033031454,NA,FALSE,"0.998578274677726",20
"10933","selenot2",-0.661285056132753,0.15208631236723,NA,FALSE,"0.971342189386492",20
"10934","rnf4",-0.152880548676811,0.770557054448518,NA,FALSE,"0.992016813770237",20
"10935","sqstm1",-0.186781081604985,0.699959933464496,NA,TRUE,"0.989111372187956",20
"10936","LOC129350370",1.99235914302256,0.423286096959253,NA,TRUE,"0.971342189386492",20
"10937","LOC129350369",0.213732685749793,0.807550665863144,NA,TRUE,"0.995987421672783",20
"10938","LOC111581647",-0.434631907560199,0.744737430829309,NA,TRUE,"0.989111372187956",20
"10939","ccdc69",0.249892774572602,0.552315730199893,NA,FALSE,"0.975869528296777",20
"10940","ltc4s",1.99229893075475,0.425008153823639,NA,TRUE,"0.971342189386492",20
"10941","maml1",0.332391869364278,0.241108578106868,NA,TRUE,"0.971342189386492",20
"10942","canx",-0.185827452144201,0.331557049122222,NA,FALSE,"0.971342189386492",20
"10943","LOC129350314",0.0893903327185618,0.942548775702762,NA,TRUE,"1",20
"10944","mgat4b",0.230179422120234,0.167973107061476,NA,FALSE,"0.971342189386492",20
"10945","LOC111583750",0.329707804060722,0.163326083784285,NA,FALSE,"0.971342189386492",20
"10946","nfkb1",-0.00928615644294045,0.956792543552487,NA,FALSE,"1",20
"10947","LOC111583747",0.328437033883236,0.244833965708535,NA,TRUE,"0.971342189386492",20
"10948","LOC111583752",-0.215401356635292,0.532674823798625,NA,FALSE,"0.973250871963574",20
"10949","LOC129350386",82.0985176637542,0.941330653137436,NA,TRUE,"1",20
"10950","LOC111569103",0.234423757167966,0.269680670872899,NA,TRUE,"0.971342189386492",20
"10951","LOC111569101",0.201006276230958,0.560488535362899,NA,FALSE,"0.978741977359687",20
"10952","matr3l1.2",0.0145668199602447,0.94807372835402,NA,FALSE,"1",20
"10953","LOC111569098",-0.470916126030356,0.297348199807188,NA,TRUE,"0.971342189386492",20
"10954","LOC111585276",-0.289372688637089,0.287332434765814,NA,TRUE,"0.971342189386492",20
"10955","hvcn1",-0.214788596278992,0.814693914037553,NA,FALSE,"0.997204530344348",20
"10956","LOC118471573",0.0832178772934832,0.770258125540102,NA,TRUE,"0.992009622966045",20
"10957","gfra3",-0.230823527345706,0.558896564420686,NA,FALSE,"0.978741977359687",20
"10958","LOC129350388",1.99235000385618,0.42354906624617,NA,TRUE,"0.971342189386492",20
"10959","dnd1",-3.68489249227123,0.466370833480786,NA,TRUE,"0.971342189386492",20
"10960","hars",0.444617893415491,0.447361817947902,NA,FALSE,"0.971342189386492",20
"10961","LOC111585280",0.179533821243779,0.838414634709692,NA,TRUE,"0.999446207008927",20
"10962","ldhd",0.291700179243829,0.470192784117042,NA,TRUE,"0.971638595000342",20
"10963","tctn1",-0.564636505275701,0.41872459287646,NA,TRUE,"0.971342189386492",20
"10964","uvssa",-0.0644245974181181,0.836835792405729,NA,TRUE,"0.999446207008927",20
"10965","sil1",0.79337666093297,0.216564247293684,NA,TRUE,"0.971342189386492",20
"10966","pcdh12",6.94347677949427,0.467944950739561,NA,TRUE,"0.971342189386492",20
"10967","LOC111578712",-2.45747231758228,0.461831982768802,NA,TRUE,"0.971342189386492",20
"10968","gm2a",-0.152479966515614,0.634992626779368,NA,TRUE,"0.989111372187956",20
"10969","shtn3",-0.630204871446066,0.0971137854160744,NA,TRUE,"0.971342189386492",20
"10970","thoc3",-0.723394599607832,0.487743590421397,NA,TRUE,"0.973250871963574",20
"10971","LOC111578714",-0.697889036207816,0.498768019249351,NA,TRUE,"0.973250871963574",20
"10972","cplx2b",-0.165656727840481,0.47304051524339,NA,FALSE,"0.972006439667651",20
"10973","slc25a48",-1.03690670904632,0.383958606637136,NA,TRUE,"0.971342189386492",20
"10974","glra1",0.333959058338023,0.114333836308489,NA,FALSE,"0.971342189386492",20
"10975","g3bp1",0.351591711937082,0.364974555598648,NA,TRUE,"0.971342189386492",20
"10976","sparc",-0.450858859651306,0.896237698163442,NA,FALSE,"1",20
"10977","atox1",0.594870449348468,0.226400213674692,NA,FALSE,"0.971342189386492",20
"10978","slc36a1",-0.0231504032061992,0.885304680860725,NA,TRUE,"1",20
"10979","mtnr1al",-0.37739443189933,0.505334416184274,NA,FALSE,"0.973250871963574",20
"10980","fat2",0.314479934687928,0.58990409818308,NA,FALSE,"0.987183715582624",20
"10981","lman2",-0.00526588933311308,0.98508005577159,NA,TRUE,"1",20
"10982","htr4",0.0753606983619124,0.837237634576018,NA,FALSE,"0.999446207008927",20
"10983","slc26a2",1.28530250708928,0.45769203628543,NA,TRUE,"0.971342189386492",20
"10984","pde6a",-0.227307816718927,0.80076419371538,NA,TRUE,"0.99492158391121",20
"10985","ppargc1b",-0.034100859082227,0.760544860560447,NA,TRUE,"0.991430820313529",20
"10986","LOC118471549",-0.0939314987432813,0.915567830024253,NA,TRUE,"1",20
"10987","arhgef37",-0.451979060272219,0.288698492307475,NA,FALSE,"0.971342189386492",20
"10988","LOC111571139",-0.061823956472058,0.90899520164773,NA,FALSE,"1",20
"10989","LOC111563482",0.529027038737956,0.370102439579578,NA,TRUE,"0.971342189386492",20
"10990","LOC129350321",0.0893897505226214,0.942454280619733,NA,TRUE,"1",20
"10991","smu1a",-0.0284896206123877,0.937691527161762,NA,TRUE,"1",20
"10992","LOC111564844",-0.171389253809103,0.354753916629948,NA,FALSE,"0.971342189386492",20
"10993","LOC129350301",0.249513482735112,0.777402969622005,NA,TRUE,"0.992506452400015",20
"10994","LOC111578485",-0.392599465592891,0.00885408531692218,NA,FALSE,"0.971342189386492",20
"10995","slc49a3",-0.430343016470439,0.357091971792217,NA,FALSE,"0.971342189386492",20
"10996","LOC111578488",-1.9817675229385,0.0744019217360113,NA,TRUE,"0.971342189386492",20
"10997","LOC111578486",-0.150575125068132,0.771876902098819,NA,TRUE,"0.992377153066729",20
"10998","sec24b",-0.0459811911048927,0.812394245053973,NA,TRUE,"0.996786691154608",20
"10999","hopx",0.351242074648131,0.408574872947783,NA,TRUE,"0.971342189386492",20
"11000","LOC129350410",-0.434616549169454,0.745729332974606,NA,TRUE,"0.989111372187956",20
"11001","srp72",-0.433851825007209,0.253140451677776,NA,TRUE,"0.971342189386492",20
"11002","leprotl1",-0.275551177714727,0.354704106697231,NA,TRUE,"0.971342189386492",20
"11003","fat4",0.26348369112819,0.490065782995087,NA,TRUE,"0.973250871963574",20
"11004","LOC129350280",-0.389606699435084,0.437384885645423,NA,FALSE,"0.971342189386492",20
"11005","ankrd50",-0.0681532225040494,0.774257435675675,NA,FALSE,"0.992506452400015",20
"11006","LOC129350290",-0.459881387679164,0.495656146837247,NA,TRUE,"0.973250871963574",20
"11007","spry1",-1.14411179369839,0.78406844999126,NA,FALSE,"0.992506452400015",20
